"accepted_species","traits"
"sp3",0
"sp5",1
"sp7",1
"sp8",0
"sp9",1
"sp10",NA
"sp12",1
"sp13",1
"sp14",0
"sp15",0
"sp18",0
"sp19",1
"sp20",1
"sp22",0
"sp23",1
"sp24",0
"sp25",1
"sp26",1
"sp27",0
"sp28",0
"sp29",0
"sp30",0
"sp31",0
"sp32",0
"sp33",0
"sp34",0
"sp36",0
"sp37",0
"sp38",0
"sp39",NA
"sp40",NA
"sp41",0
"sp43",0
"sp44",0
"sp45",0
"sp46",0
"sp47",NA
"sp48",0
"sp49",NA
"sp50",1
"sp51",0
"sp52",0
"sp53",1
"sp54",1
"sp55",0
"sp56",1
"sp57",NA
"sp58",0
"sp59",NA
"sp60",1
"sp61",0
"sp63",1
"sp64",1
"sp65",1
"sp66",0
"sp67",0
"sp68",0
"sp69",0
"sp70",0
"sp71",0
"sp72",0
"sp73",1
"sp74",1
"sp75",0
"sp76",NA
"sp77",NA
"sp78",1
"sp79",1
"sp80",0
"sp81",0
"sp82",0
"sp83",1
"sp84",0
"sp85",0
"sp86",0
"sp87",1
"sp88",0
"sp89",0
"sp90",1
"sp91",0
"sp92",0
"sp93",0
"sp94",0
"sp95",0
"sp96",0
"sp97",1
"sp98",1
"sp99",1
"sp100",1
"sp101",1
"sp102",1
"sp103",1
"sp104",0
"sp105",NA
"sp106",0
"sp107",0
"sp108",0
"sp109",0
"sp110",1
"sp111",1
