,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
t6,10.611234,10.739673,1.0965918,5.9561005,5.6189127,4.306325,4.9437985,4.0275807,7.5322022,2.9413517,2.6802466,5.32917,5.631886,7.8194833,6.9838567,6.1133924
t48,-3.933041,1.6991038,4.8868017,5.458675,7.2045193,8.903801,-0.035356715,7.107656,9.636108,7.1943192,7.626327,7.683394,9.364145,6.4055357,6.99902,8.168391
t49,-3.9425776,1.6991124,4.84018,5.4837494,7.1724377,8.853374,-0.07290928,7.0782704,9.603684,7.148927,7.6115975,7.66437,9.416582,6.3912797,6.942132,8.111936
t96,-3.9110024,1.5950608,4.878546,5.586317,7.1107984,8.869908,-0.08267238,7.138784,9.804836,7.2466626,7.6838493,7.788348,9.421552,6.2882853,7.010304,8.110572
t109,-3.8271587,1.6098168,4.875618,5.5404215,7.1669602,8.90153,0.031899482,7.1114917,9.727695,7.2102323,7.735562,7.8190775,9.40725,6.3337464,6.989998,8.177144
t137,-3.8816085,1.5800327,4.8205442,5.589214,7.141722,8.853278,-0.0800389,7.085468,9.822826,7.224822,7.7307715,7.9035964,9.477199,6.3155923,6.9528613,8.099847
t138,-3.9089909,1.5999731,4.9024796,5.597447,7.1181984,8.842044,-0.09195881,7.163895,9.7924385,7.2080154,7.675715,7.740159,9.487542,6.2866225,6.95179,8.085029
t115,-3.9819934,1.625602,4.8763676,5.529276,7.244215,8.936921,-0.06381579,7.1167946,9.813227,7.254962,7.678502,7.8560324,9.4950905,6.392708,6.9794936,8.158026
t116,-3.8944552,1.6487542,4.829137,5.5372233,7.2591505,8.852273,-0.0629023,7.0807104,9.741647,7.118531,7.6882195,7.8603864,9.570128,6.3835707,6.857413,8.0815115
t92,-3.9287143,1.6444509,4.862053,5.512838,7.253538,8.914975,-0.040628497,7.0972843,9.753487,7.202246,7.6821136,7.8161283,9.478719,6.409998,6.9524283,8.150603
t93,-3.8686802,1.6232228,4.8010216,5.5563602,7.3078995,8.843011,-0.09697216,7.038656,9.800389,7.0820084,7.731171,7.8953166,9.52632,6.409473,6.84427,8.077574
t37,-3.941693,1.7480763,4.9092684,5.4068656,7.225987,8.774369,0.075675406,7.1505466,9.430368,7.2097535,7.554493,7.4627028,9.569525,6.516904,6.866724,8.021974
t121,-3.9764087,1.8334595,4.9278092,5.328921,7.2388186,8.738254,0.06316597,7.1776023,9.382749,7.223921,7.5109468,7.375345,9.567313,6.5621605,6.8053527,8.033728
t159,-3.923666,1.8598471,4.870929,5.2729516,7.297968,8.825909,0.07541054,7.1356206,9.49759,7.3088436,7.5868077,7.4799056,9.56698,6.6235538,6.828736,8.134399
t160,-3.938134,1.7926829,4.8955154,5.331821,7.2398787,8.809948,0.06560463,7.1296988,9.418144,7.3021235,7.52558,7.432057,9.570969,6.6325984,6.873122,8.096326
t75,-3.9606183,1.8058994,4.9513535,5.3531895,7.194933,8.760301,0.037414376,7.1751676,9.36803,7.266783,7.4970136,7.3621078,9.559346,6.5645385,6.840462,8.0522
t61,-4.0157638,1.8484697,4.959444,5.3122635,7.1966915,8.774824,0.014543155,7.1980534,9.411477,7.265241,7.4615874,7.3689413,9.522503,6.561142,6.82635,8.0766735
t14,10.711979,11.202962,0.66164494,6.150027,5.834051,4.2945914,4.9061127,3.7789822,7.7232895,2.9262872,2.7443027,4.955605,5.4005375,8.162389,7.0760903,6.178752
t15,10.548837,11.40466,0.34825465,6.046502,5.8547707,4.2101574,4.8079815,3.7719772,7.772216,2.8982298,2.658286,4.8831797,5.3514857,8.272277,7.206394,6.1091037
t16,10.569513,11.608015,0.10219937,6.04578,5.8973846,4.2640033,4.7829666,3.623191,7.7802043,2.8986406,2.7266183,4.7694197,5.2128863,8.379003,7.2817893,6.2073383
t12,10.710001,11.256403,0.6311868,6.166402,5.9047046,4.341763,4.8789124,3.6929712,7.7303786,3.0079668,2.7831273,4.879688,5.318321,8.20074,7.089623,6.1659055
t163,10.154296,12.083885,-0.48642403,6.1455073,6.044718,3.7932856,4.5074086,3.6608667,8.03468,2.748913,2.2591038,4.4886804,5.2122006,8.835674,7.317253,5.9172735
t164,10.121457,12.149057,-0.54409415,6.078024,6.0595703,3.7506385,4.5326,3.7442257,8.142109,2.7015858,2.2188778,4.4679966,5.2451515,8.920339,7.314882,5.8247705
t150,10.13291,12.157469,-0.5210126,6.0612288,6.075274,3.7469428,4.565737,3.7505417,8.145747,2.6629932,2.213688,4.43581,5.2530375,8.9253435,7.3185587,5.819476
t128,10.105989,12.16655,-0.482322,6.1024733,6.1294,3.7262998,4.577084,3.7006757,8.102299,2.6305385,2.1890056,4.3817587,5.210005,8.905051,7.3669,5.8643813
t119,10.123121,12.150466,-0.47873738,6.0567665,6.189111,3.7482433,4.644698,3.6953487,8.10033,2.5825567,2.209962,4.322773,5.168121,8.859776,7.428572,5.858178
t120,10.108071,12.139366,-0.4434819,6.0961885,6.169653,3.7222803,4.6259413,3.6858976,8.08016,2.5926106,2.181754,4.3402104,5.1855097,8.863316,7.4021244,5.8820667
t54,10.363714,11.722424,0.008605097,6.109154,5.9813952,3.9246385,4.7273064,3.7690225,7.9694815,2.753973,2.402657,4.62498,5.3325143,8.563473,7.208795,5.9141173
t30,10.422405,11.795875,-0.082427025,6.0518064,5.984366,4.0085397,4.744008,3.6899924,7.9654493,2.7841625,2.483779,4.5998716,5.261283,8.564707,7.2697678,5.972596
t40,10.395393,11.957016,-0.2999052,5.995843,6.0542736,3.9784207,4.7511463,3.6633418,8.022059,2.6943185,2.4365878,4.47037,5.2296557,8.713097,7.307242,5.9287457
t44,10.244424,12.074551,-0.45442337,6.0221944,6.077481,3.889249,4.6321626,3.6805139,8.064247,2.7071168,2.3565037,4.449831,5.189233,8.800201,7.361707,5.9128056
t45,10.317686,11.997832,-0.36863923,6.042151,6.1091557,3.9004102,4.713624,3.6875029,8.031891,2.6322107,2.3559902,4.4019437,5.2175126,8.775314,7.3508167,5.9054756
t24,10.4444065,11.678698,0.06487309,6.081148,5.935368,4.0048842,4.7551394,3.7438645,7.9558716,2.8207316,2.482539,4.6842766,5.3171988,8.478617,7.2188888,5.9725933
t47,10.297411,12.054887,-0.41915885,6.0159283,6.062087,4.0354657,4.645831,3.5825393,7.9508014,2.7666235,2.5035136,4.503042,5.1211414,8.710545,7.4007797,6.0616117
t59,10.420458,11.797651,-0.07312247,6.037021,5.961115,4.099609,4.7059164,3.6398547,7.8964157,2.8686352,2.576394,4.6668167,5.205874,8.497966,7.316489,6.0830135
t60,10.185998,12.052933,-0.36375323,6.1162043,6.025608,3.9502165,4.5632787,3.6098187,7.9459853,2.8039207,2.4201124,4.5660596,5.118148,8.686368,7.4027333,6.120724
t94,10.311802,12.354388,-0.62788683,5.4407454,6.4218035,4.9977326,4.343802,2.8716714,7.2559123,3.3305926,3.5136845,4.571766,4.421733,8.531536,7.8552384,6.8733454
t143,10.295937,12.417662,-0.59484774,5.512428,6.4461403,4.9685273,4.410627,2.8933723,7.263852,3.249048,3.496075,4.6269283,4.4623485,8.46361,7.8499227,6.8604746
t144,10.257386,12.478711,-0.62645394,5.451307,6.5092344,5.0679526,4.365445,2.8488696,7.2027802,3.2958667,3.6300974,4.6583858,4.3934927,8.44999,7.9140763,6.985624
t100,10.294178,12.352091,-0.68898576,5.4615116,6.3942337,5.0021663,4.3648725,2.7822287,7.183023,3.2864711,3.5768785,4.558263,4.432853,8.547489,7.939829,6.941149
t113,10.349961,12.302456,-0.6637651,5.4878764,6.365372,4.9766593,4.378885,2.818628,7.207351,3.2741945,3.5325289,4.547182,4.467148,8.53546,7.907334,6.9038653
t114,10.347279,12.337136,-0.6279129,5.4912767,6.4223857,5.0253954,4.4041944,2.8019154,7.1761785,3.254653,3.5734875,4.587701,4.446622,8.4708395,7.9336596,6.9421964
t87,10.42359,12.269553,-0.6723977,5.450808,6.391649,5.153238,4.405288,2.7488482,7.12649,3.263956,3.6223602,4.5758553,4.388073,8.472743,7.9592915,6.967005
t23,10.677647,11.363826,0.4875023,6.147226,5.863501,4.211659,4.8701286,3.7390788,7.7795124,2.8823776,2.715291,4.865058,5.3655043,8.258771,7.1076555,6.135584
t41,10.450358,12.186516,-0.48602998,5.579836,6.326657,4.911117,4.4164915,2.9684572,7.2944016,3.246685,3.418357,4.594605,4.5764627,8.481919,7.7855654,6.8138795
t70,10.452904,12.209283,-0.57468295,5.5864615,6.32351,4.929617,4.478774,2.8720303,7.213217,3.1652837,3.4646685,4.5816603,4.549258,8.45126,7.879405,6.8479643
t71,10.384299,12.254943,-0.54634196,5.602483,6.308081,4.841465,4.434773,2.9732912,7.322527,3.2068124,3.3769965,4.587321,4.6038213,8.530973,7.7835636,6.7672787
