"accepted_species","I1.1/1"
"t10","1"
"t79","1"
"t80","1"
"t52","1"
"t53","0"
"t45","1"
"t46","1"
"t8","1"
"t6","1"
"t69","0"
"t70","0"
"t65","0"
"t58","0"
"t59","0"
"t36","0"
"t51","0"
"t38","0"
"t23","1"
"t73","1"
"t74","1"
"t62",NA
"t81","0"
"t82","1"
"t21",NA
"t22","1"
"t28","0"
"t29","1"
"t17","0"
"t85","0"
"t86","0"
"t83","0"
"t84","0"
"t71","0"
"t72","0"
"t99","0"
"t100","0"
"t19","0"
"t13","1"
"t4",NA
"t50",NA
"t9","0"
"t31",NA
"t32","0"
"t40","0"
"t7","0"
"t26","0"
"t89","1"
"t90","0"
"t18","0"
"t25","0"
"t47","0"
"t54","0"
"t60","0"
"t61",NA
"t41","0"
"t27","0"
"t24","0"
"t39","0"
"t75","0"
"t76","0"
"t68","0"
"t93","1"
"t94","1"
"t37","0"
"t34","1"
"t35","0"
"t66",NA
"t67",NA
"t43","0"
"t44",NA
"t16","0"
"t2","1"
"t97","0"
"t98","1"
"t30","0"
"t55","0"
"t56",NA
"t48","1"
"t49","1"
"t87","1"
"t88","1"
"t11","0"
"t77","0"
"t78","0"
"t3","0"
"t57","1"
"t33","0"
"t63","0"
"t64","0"
"t14","0"
"t15","0"
"t12","0"
"t91","0"
"t92","0"
"t20","0"
"t5","0"
"t95","0"
"t96","0"
"t42","0"
"t1","0"
