"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110","c111","c112","c113","c114","c115","c116","c117","c118","c119","c120","c121","c122","c123","c124","c125","c126","c127","c128","c129","c130","c131","c132","c133","c134","c135","c136","c137","c138","c139","c140","c141","c142","c143","c144","c145","c146","c147","c148","c149","c150"
"t3",-0.0725942856956428,-0.0052223854023734,0.00123387382486015,-0.0522318528164461,0.0117075796756269,-0.00349374069044777,-0.00200263409182186,0.0314498210365015,-0.0539951861953591,6.73001781204434e-05,0.00173639093261801,0.0108252910017686,-9.80270982253011e-05,-0.00674519288536744,0.0235160243598129,0.00238094779794443,0.00230563038579561,0.000863663133077578,0.172400793453576,-4.89920046324831e-05,-0.00659394009778799,-0.000188752308016941,0.0047217751745831,-0.0792904227302299,0.20489949604941,0.0724602778078214,-0.0050847714500114,-0.00251310622415824,0.0694498180875256,-0.015676190789747,0.896524853478471,-0.0119082749299823,0.0582609286198327,0.0182319201483554,0.00518052857741807,0.0592546382802566,-0.114762424602498,0.000203095249639408,-0.000532901252239173,-0.0308334431023424,0.111368699724905,0.00250946229212996,0.0358209680158726,0.067905182957594,-0.0497610152815282,0.066443397807152,-0.000202914159040738,0.0369601501916085,-0.000210294517102037,-0.0235756554468466,0.0491530742081065,-0.00661256184327998,0.0317086290935757,0.147938361788948,0.00313869858514175,0.000271239016125568,0.000142807423340274,0.000871521042709515,0.0279250631414774,-0.0352724406915166,0.00465759609300477,0.00106105968437846,0.0027033098115227,-9.19203741945847e-05,-0.0108784268976734,0.0237978868438666,-0.0014869944797575,0.000210879401894995,-0.000247828884520301,-0.104440150800817,-0.00166237435854365,0.00331166232921534,7.27942927080146e-06,0.000462358683323725,-0.00163973087087707,2.51210230147602e-05,1.65416396265912e-06,6.28322155649511e-16,1.20490777858321e-05,-0.0254362655695806,0.00284489699529338,-6.36517437386904e-16,-0.000484175981913799,1.88432977052418e-09,6.61292208510975e-17,3.39763394648456e-08,-5.26118472354263e-07,-0.00011888299395417,-1.58128927308097e-16,4.50745058382147e-06,-1.90460297958086e-05,1.66648397778895e-16,-0.00061008888430153,-6.94309911866075e-05,1.60789225981449e-16,-8.20196572785263e-06,7.70034293490023e-16,-2.7842707973312e-05,-3.20956796852018e-16,-1.98028344721994e-05,-4.31458800925503e-08,7.43016558661148e-05,0.00481512332169495,4.14349059737809e-16,-1.51751398663268e-15,2.11684838465899e-16,-0.000293632209035175,-1.96427617164045e-06,-2.2383520144563e-16,-7.37490446472042e-05,1.64071711784017e-16,0.00056881534205661,-5.30394439838957e-05,1.05801942471029e-16,-4.30837226008411e-05,0.000114385062547622,0.000194361102831214,9.47874663520477e-05,-1.60402018443843e-06,-1.71771685143297e-05,1.71178175214979e-16,-6.41145805734288e-06,-3.81528576790506e-17,-9.97769841956358e-05,0.000351504308043409,-8.92616456108863e-05,-1.13842135082873e-06,0.000217592335553059,1.2959879232075e-06,-9.61066791612068e-05,1.21401701832201e-07,-1.71869264789196e-08,-1.08285389939764e-05,-4.23839435003904e-16,1.35136584448619e-16,-2.84261199651966e-08,-1.20445365541726e-07,-1.10211820966189e-16,-5.9119563048704e-16,-9.63696147393345e-08,1.92469206918961e-16,2.88311020708073e-16,-2.14581132362932e-15,-5.90957353726117e-16,-2.73681448818738e-09,3.02098888030297e-15,2.41835060194411e-15,3.07966742996586e-13,2.00145432874859e-15,0.0816496580927749
"t8",-0.0797500264841425,-0.0117246079201973,0.000614559486542389,-0.0565292621416152,0.0179781611652571,-0.00269625836811917,-0.00310230474703161,0.0504295850757981,-0.148194365413594,0.00026634668907963,0.0109812774321545,-0.0178338040737993,-3.10108620833283e-05,-0.0037562663006161,0.0145448994691267,0.00148543784968142,0.00159942381310605,0.000734340396934125,0.154074868911096,-1.79754752194832e-05,-0.0106763527703746,-0.000329067210503455,0.0102998548602777,-0.205743254154297,0.625884757742757,0.607928464380407,0.0485547098824166,0.00256594483996822,-0.0333578605770888,0.00655932699517976,-0.311067783536573,0.00340293646447308,-0.0113832248722789,-0.00156642892512722,-0.000278523003632915,0.00775879854187361,-0.0350014815975731,0.000315727165424357,-0.000112358382393315,-0.00801400294559445,0.0336415124096132,0.0015964397837527,0.0155667817697421,0.0893077013136993,-0.00855632743820611,0.01399903021647,-8.35884841595003e-05,0.0102430575593279,-6.53863716025429e-05,-0.0123315095470716,0.0229971562060933,-0.00339681390637131,0.0226964411763381,0.0763394189718938,0.00168238074349706,0.000159169051929571,6.00157094938609e-05,0.000519759146395619,0.0172443959454917,-0.0223849001289724,0.00268768528791056,0.000676670404742737,0.00188916985317767,-6.73864982151107e-05,-0.0086862873814628,0.0200274074372198,-0.00122047932860517,0.000186318488260151,-0.000224723681899762,-0.0975256606241883,-0.0016048180062537,0.00456408369724771,4.19983599200484e-05,0.000407891930778328,-0.00274979860513483,0.00027053307496323,0.00239557476468496,-5.05193140778215e-16,-0.000747193469103102,0.0337178898792213,-0.00242200667541805,1.61886039971736e-16,0.000508459121976144,-2.86286859834599e-10,-1.15336030283968e-15,-5.24025397680461e-09,-2.81875138680161e-06,1.67440728004749e-05,7.75433501101993e-16,-1.1011077337188e-06,-1.06461216183528e-06,3.72366797678384e-16,-0.000277207596951239,-5.1756484708317e-06,2.17124670200882e-16,-7.69498383595785e-07,3.33718757981592e-15,-3.12125112585069e-06,-2.94916701500234e-15,-9.64107930154808e-06,-6.52342883452033e-09,1.22416975727121e-05,0.00242516630962912,3.37043734831802e-16,-2.56076928936357e-15,5.33665968396014e-16,-0.00015404460095996,-3.57453742120968e-07,-9.78294828414008e-17,-1.40616004730618e-05,-1.28705310591755e-16,0.000118976177196137,-2.989311609428e-05,-1.17936326854848e-16,-9.66141029707964e-06,2.61969597438102e-05,4.94805219512661e-05,2.48573232439526e-05,-4.30666359630158e-07,-4.68358110175928e-06,3.55602749650474e-16,-1.84574798631779e-06,3.0693173046913e-17,-4.38147739314074e-05,0.000103219010669313,-5.51160025418309e-05,-3.41415354642912e-07,8.3126712065307e-05,3.94051471170359e-07,-2.96269532160081e-05,3.81258074892475e-08,-5.4855265972964e-09,-3.5273059354692e-06,-5.78820791778129e-16,1.54652090192462e-16,-9.51185435732352e-09,-4.06665386131504e-08,-1.19298682558535e-16,-7.65389676155959e-16,-6.2793178629696e-08,-4.82424928332073e-17,5.19562438249387e-16,-1.26043203608596e-15,-2.66933444035633e-16,-9.76488534719004e-10,2.82073428182919e-15,2.12854886238706e-15,3.07428425526871e-13,2.12131008621564e-15,0.0816496580927696
"t21",-0.0816436427948156,-0.0124693932812801,0.000663752513109604,-0.0632551121807698,0.0217361789007177,-0.00337088259491001,-0.00450904063522134,0.0742015773816944,-0.255036615736276,0.000490720269696616,0.0214085577655546,-0.0664313969080037,6.49721906716013e-05,0.00202026385964455,-0.00537713340660544,-0.000531018701823458,-0.00036462592995266,-5.51577858138321e-05,-0.00822906719304611,-5.44465307806026e-07,-0.000645631004933274,-1.9896705766858e-05,0.000609619533343585,-0.0120111168896243,0.0345027821877792,0.0286255510790409,0.00179308302028823,-1.50068691868256e-06,0.0011257301358309,-0.000267234661789115,0.0156837095949711,-0.000205797586099744,0.000904389975498673,0.000176237810222112,3.49092756942e-05,-0.00125024384723841,0.0108768677842178,-9.95017417042528e-05,3.8904299622421e-05,0.00434818316737149,-0.0232858619602432,-0.00129584021294149,-0.0182497937891746,-0.190264989772368,-0.0120084101743064,0.0100004012113298,-9.35988665352666e-06,0.000397128430661382,1.09571000968996e-05,0.00726479538638572,-0.0201006846762614,0.00379981004323196,-0.0512149261829247,-0.0739624882708862,-0.00174375179927719,-0.000181752620221961,-9.0201612119205e-05,-0.000896091343302301,-0.0298699392531473,0.0418042027056683,-0.00608947773364388,-0.00171234527341969,-0.00536063277761111,0.000202286084302615,0.0277294087199188,-0.064510690116148,0.00432602271475441,-0.000713568680174493,0.000884219991175785,0.395396968114876,0.00672464048214576,-0.0308119508843267,-0.000378967025692206,-0.00371466539530334,0.0250511132265936,-0.00269848332232752,-0.0259620615276609,2.12276388562595e-14,0.0121427332064579,-0.828202996826198,0.0709496057724017,-1.15684678905963e-14,-0.0188033919927825,-4.67065456618572e-08,2.89370082402083e-15,-1.86388741640629e-07,-8.78551160844932e-05,0.000519317895813232,-1.41109750903034e-14,-2.58741616865712e-05,-1.05577284273954e-05,8.25617735099889e-16,-0.00252685521573882,-4.6619624422446e-05,-1.3157286163641e-15,-6.45240092890623e-06,-1.9485595576145e-14,-2.43921947814615e-05,1.03706054632649e-14,-7.24161518369834e-05,-4.61923151761746e-08,8.54895379351527e-05,0.0164214229465554,3.86062909525964e-15,6.85336812873693e-15,-7.30218106696564e-16,-0.000912676157219869,-1.90223149525367e-06,-2.97509635422993e-15,-7.21049568091364e-05,-2.08792554521348e-15,0.000562230843081726,-0.000136702802797637,1.23803606106814e-15,-4.26308301809943e-05,0.000113080868560626,0.000189541780848264,9.18223712907958e-05,-1.54419667593946e-06,-1.6461784941968e-05,-9.95416421285368e-16,-6.02958184108694e-06,-8.16502582066701e-16,-0.000139551135143721,0.000327878384091531,-0.000170982686124641,-1.05218278606002e-06,0.000252722409002448,1.19002188817759e-06,-8.76655254737836e-05,1.09688669865965e-07,-1.5393197181487e-08,-9.58619206389418e-06,3.18854484134946e-16,-6.31225260731207e-16,-2.47570326777418e-08,-1.04302435359015e-07,1.14444296419079e-16,-5.64819688532131e-17,-1.51819348559324e-07,8.26474447972516e-16,3.81876728381073e-16,-7.95789040828508e-15,-1.776939616333e-15,-2.28247602561339e-09,2.99390062153754e-15,4.89363796228694e-15,3.13052815567712e-13,1.05313576469526e-15,0.0816496580927789
"t147",-0.0860989634191864,-0.0140924348509733,0.000768282379325594,-0.0768565460113717,0.0287433350320124,-0.00459459791275756,-0.00683778676094788,0.113326698897637,-0.420569253715251,0.000831343718593049,0.0370047029399044,-0.132312188381262,0.000174310870651949,0.00764693659019253,-0.0237086999295867,-0.00237680043490595,-0.002039787127997,-0.000631807288970718,-0.122536766239764,8.943876816609e-06,0.00282068621390956,8.19216648044488e-05,-0.00220770901166386,0.0418128575346123,-0.1083357643799,-0.0778286251640763,-0.00435549926870927,2.90196461362469e-06,-0.00194771148642685,0.00045413096975933,-0.0260594806452594,0.00033489852404156,-0.00142359511429562,-0.000265769976216969,-5.1992156604015e-05,0.00181627926752577,-0.0157731027666867,0.000144515356836754,-5.72118595299738e-05,-0.00710892403599759,0.0410964479589035,0.00240416332495759,0.037496787247225,0.438189481414255,0.0392654205408039,-0.0390763743249634,0.00010791819153741,-0.0115137627382682,4.57985174764e-05,0.0021717158757771,0.00222589511732406,-0.00341269997405796,0.178548889239379,-0.0372232177583208,-0.000542849733345875,-3.05390357076256e-05,-2.56365013445899e-06,1.58510379467524e-07,2.83342208026935e-05,-0.000499568098321537,0.00019085386260498,6.60153909105288e-05,0.000236056967119871,-9.33663676537497e-06,-0.0013343100647315,0.00312089496909744,-0.00021957324345261,3.72789639799299e-05,-4.6584243688075e-05,-0.0210077836907167,-0.000360279120812147,0.00173665495335286,2.1352069304327e-05,0.000209257861861077,-0.00141119217335975,0.000151696973518009,0.00145606348201127,-1.13880816676991e-15,-0.000671438944511906,0.0451428652538141,-0.00384656490498506,5.53356429883633e-16,0.00101308712607763,2.42802985741814e-09,-5.11558328288508e-16,9.40212415887021e-09,4.40514313016964e-06,-2.60327672204189e-05,3.99122473079402e-16,1.27576987121729e-06,4.61459748481094e-07,5.07968746882496e-16,0.000107930513876454,1.9842571174528e-06,1.01191240125165e-15,2.68412697167657e-07,7.36500742651231e-16,9.88977545482398e-07,4.38538067846088e-15,2.88945945506697e-06,1.7953725437511e-09,-3.30079995600988e-06,-0.000624325908645721,-6.17097506616497e-16,6.54661778001553e-16,2.14619411511629e-16,3.2038343445466e-05,6.13818710394327e-08,5.4074139229894e-16,2.2474025013234e-06,-3.72101165425079e-15,-1.60223644013995e-05,3.73463125046691e-06,-1.08746523114812e-15,1.10668293405944e-06,-2.8363089275059e-06,-3.73290062558854e-06,-1.63654744051258e-06,2.50126245537772e-08,2.47924947097951e-07,-1.84963880056136e-15,6.34651949542327e-08,-1.20580261935837e-15,1.22973099571274e-06,-2.82854340965914e-06,1.18750315006619e-06,6.80043657200344e-09,-1.37776156003801e-06,-5.88516514466782e-09,2.94583806535146e-07,-1.18223589195314e-10,-1.61823693480384e-11,-3.77186896908757e-08,-2.06351082936121e-15,3.1333774584026e-15,-2.00871672650329e-10,-1.00272748652727e-09,1.23633054003408e-14,-1.6174957611834e-14,-2.44345924609035e-09,1.25030967991856e-14,5.3518129512448e-15,6.13884583472315e-15,3.2275717039869e-14,-4.60056233777348e-11,9.20235576189412e-15,5.10626385773291e-14,0.707106781186854,6.4136821982921e-14,0.0816496580901003
"t148",-0.0860989634191864,-0.0140924348509737,0.000768282379326,-0.0768565460113719,0.0287433350320122,-0.00459459791275762,-0.00683778676094774,0.113326698897637,-0.42056925371525,0.000831343718593252,0.0370047029399043,-0.132312188381263,0.00017431087065152,0.00764693659019332,-0.0237086999295862,-0.00237680043490581,-0.00203978712799669,-0.000631807288970601,-0.122536766239765,8.94387681711744e-06,0.00282068621390993,8.19216648044685e-05,-0.00220770901166387,0.0418128575346117,-0.108335764379899,-0.0778286251640765,-0.00435549926870858,2.90196461261305e-06,-0.00194771148642694,0.000454130969759188,-0.0260594806452583,0.000334898524040897,-0.0014235951142942,-0.00026576997621569,-5.19921566045049e-05,0.00181627926752609,-0.0157731027666848,0.000144515356836909,-5.72118595305561e-05,-0.00710892403599772,0.0410964479589036,0.0024041633249613,0.0374967872472248,0.438189481414253,0.039265420540803,-0.0390763743249624,0.000107918191536347,-0.011513762738268,4.57985174761773e-05,0.00217171587577594,0.00222589511732153,-0.00341269997405721,0.178548889239377,-0.0372232177583276,-0.000542849733343669,-3.05390357091538e-05,-2.56365013468792e-06,1.58510379872934e-07,2.83342208016735e-05,-0.000499568098320926,0.000190853862602606,6.60153909110952e-05,0.00023605696712152,-9.33663676279459e-06,-0.00133431006473241,0.00312089496910024,-0.000219573243451309,3.72789639793826e-05,-4.6584243686403e-05,-0.0210077836907139,-0.000360279120812139,0.0017366549533531,2.13520693046581e-05,0.000209257861860847,-0.00141119217335734,0.000151696973518802,0.00145606348201042,-9.28924831660347e-16,-0.00067143894452044,0.0451428652538088,-0.00384656490497508,4.04297954536106e-16,0.0010130871260764,2.42803122461466e-09,1.27621904677068e-16,9.40212716757221e-09,4.40514312598057e-06,-2.60327672158545e-05,6.13692383219549e-16,1.27576987036468e-06,4.61459747649626e-07,-2.14274428616283e-16,0.000107930513874447,1.98425711784869e-06,-3.84138725240321e-16,2.68412697155645e-07,6.45497577811495e-15,9.88977542476346e-07,-2.30482853543857e-15,2.88945945520198e-06,1.79537603586672e-09,-3.3007999619593e-06,-0.000624325908644593,3.32116988744554e-16,-4.1304172565959e-15,-1.37401735256416e-15,3.20383434561825e-05,6.13818760255421e-08,-2.26253562277356e-17,2.24740249951817e-06,3.94672917947342e-15,-1.60223643993219e-05,3.73463123672548e-06,1.05271770841364e-15,1.10668293660442e-06,-2.83630892553276e-06,-3.73290062513707e-06,-1.63654743919123e-06,2.50126276311243e-08,2.47924948288145e-07,1.74027941077319e-15,6.34651973972807e-08,9.67156797162709e-16,1.22973099180065e-06,-2.82854340172295e-06,1.18750312654791e-06,6.8004468490876e-09,-1.37776154642158e-06,-5.88517347767245e-09,2.94583820060453e-07,-1.18226930219723e-10,-1.61795813374655e-11,-3.77186886057655e-08,1.36039313073568e-15,-2.59660727085531e-15,-2.0087321057562e-10,-1.00271284937328e-09,-1.20818876657148e-14,1.51391210344842e-14,-2.44335270493215e-09,-1.1756335644739e-14,-4.7358413659356e-15,-1.19003818796268e-14,-3.36937609797057e-14,-4.59433171892919e-11,-2.85999599538776e-15,-4.67401232075999e-14,-0.70710678118624,-6.03668725116946e-14,0.0816496580954381
"t43",-0.0851859255669369,-0.0137545179483636,0.000746403633237262,-0.0739795791182719,0.0272348991379248,-0.00432956838894382,-0.00632305279022601,0.104667384129322,-0.38342796854554,0.000754561001081217,0.0334770748013095,-0.117069437608173,0.000147966781044723,0.00624084279659496,-0.0190669115448218,-0.0019088595558485,-0.00160815430790415,-0.000477942268413643,-0.091790510426463,6.24897176957207e-06,0.00175110731118108,5.02623974657401e-05,-0.00131504116677123,0.0246475844256086,-0.0619168554376656,-0.0421184300389596,-0.00222865602391914,1.23991677094863e-06,-0.000709685374278538,0.000159770718503369,-0.00872360945751493,0.000106286862587981,-0.000406289980272371,-6.1630591429959e-05,-1.10126028364688e-05,0.00028633725348287,0.000589700284372832,-6.11143397369781e-06,4.32206849965804e-06,0.00164307630757757,-0.0123756439680591,-0.000814361955578418,-0.0150988651704327,-0.201594371163914,-0.0228508557341733,0.0243971535654195,-8.13616185261709e-05,0.00910114460801776,-4.40924895165732e-05,-0.00434819323346469,-0.00771146537659578,0.0147748359256395,-0.813327173279457,0.200906500295394,0.00323874465863965,0.000226243707523365,6.32484539374541e-05,0.000531163718379358,0.0176158934913008,-0.0228280980689336,0.00281282457660723,0.000729097434083816,0.00211528952310223,-7.70957668124459e-05,-0.0101929345190662,0.0235918388496804,-0.00150120880938159,0.000237994045434083,-0.000291017851033081,-0.128272790606366,-0.00214801899756477,0.00817615809655911,9.25121503739935e-05,0.000904685725365556,-0.00610051710933652,0.000642747243525378,0.00606825976112447,-4.77202262635005e-15,-0.00263215023682705,0.170129613410508,-0.0143218382672047,2.61668200902958e-15,0.0037235895391345,8.41928920228574e-09,-8.34992879311935e-16,3.14246518534275e-08,1.46279097225107e-05,-8.6423209550093e-05,4.25975283043327e-15,4.16521477788407e-06,1.37789467967904e-06,1.17325924110569e-16,0.000318142705406427,5.83782844263674e-06,-5.87221745384258e-17,7.80411758519168e-07,-4.12496625529656e-15,2.84021481602644e-06,-5.27986789133708e-15,8.23813967501324e-06,5.06156448148021e-09,-9.28040538706895e-06,-0.0017445410311073,-1.02748869004082e-15,9.23203675821585e-16,1.58027353839586e-15,8.70097708838886e-05,1.62562752230714e-07,-4.30571846717863e-17,5.89762965465225e-06,-5.32772250645424e-16,-4.11673683147833e-05,9.51115212457476e-06,-2.48804307372373e-16,2.79073345773726e-06,-7.10812711007055e-06,-9.02929650611179e-06,-3.91375083150512e-06,5.92487294912084e-08,5.83466818823414e-07,5.41795966788808e-16,1.45726928857158e-07,3.76551294346384e-17,2.79891861422841e-06,-6.43185398119063e-06,2.67775597102114e-06,1.52985001620585e-08,-3.08433656709783e-06,-1.31430494400145e-08,6.52994302952629e-07,-2.59346593961152e-10,-3.51645594111187e-11,-8.09649904830904e-08,-5.38315303041296e-16,6.35368005568291e-17,-4.23907941053329e-10,-2.10367654674606e-09,-9.80305590565961e-16,-7.24709566745386e-16,-5.00357010266223e-09,-1.72084460843173e-16,2.68683938813153e-16,2.81831916653469e-15,6.17542210894424e-17,-9.28469540470195e-11,2.86593438899524e-15,2.16923794866971e-15,3.08038317076154e-13,1.99909469978806e-15,0.0816496580927759
"t32",-0.0847318275415253,-0.0135858946708264,0.000735473692604738,-0.0725391137671231,0.0264767863736325,-0.00419619492125792,-0.00606286613415777,0.100289038714102,-0.364591818640076,0.000715580744786536,0.0316848541462104,-0.109286024223651,0.000134390140945241,0.0055100348233379,-0.01664688410604,-0.00166482583323364,-0.00138218762329042,-0.000396712668929738,-0.0755270168123121,4.80422128915948e-06,0.00116547604814759,3.28933047171727e-05,-0.000822886157551267,0.0151676828709859,-0.0361533114933156,-0.0221300658822281,-0.00102827625352625,2.7897259412408e-07,1.93590226435495e-05,-1.42141295502851e-05,0.00157486555887757,-3.02262453864964e-05,0.000207038319546819,6.34615643773145e-05,1.42542347890717e-05,-0.000673000382875467,0.011518114505074,-0.00010687726367915,4.59498939643247e-05,0.00789271786643837,-0.0515379642035375,-0.00320447469945387,-0.0551068384531885,-0.699119142044313,-0.0735586272854958,0.0771251385466887,-0.000247541580893882,0.0274952281482467,-0.000130978116100703,-0.0170114452449404,0.0382412250655368,-0.0132612169923068,0.488964669188158,-0.000436427221606533,0.000661199626863442,0.000108895275055241,5.71658133932618e-05,0.0005314803572978,0.0176721961889848,-0.0237445614413,0.0031079247864433,0.000823310083076974,0.00242868147808665,-8.90999343526939e-05,-0.0118532467524143,0.027457472820145,-0.00176094184858941,0.000280626510597149,-0.000343702844356819,-0.151749754131101,-0.00254555839087373,0.00984012922351836,0.000111836968686563,0.00109378310710261,-0.00737567687215792,0.000777855743728069,0.00734951284445591,-4.90899889485719e-15,-0.00319621386251299,0.206887055448945,-0.0174232293938878,2.44234032642149e-15,0.00453179998579069,1.02629035971821e-08,1.635066423624e-16,3.83345208308481e-08,1.7846374661665e-05,-0.000105438685046976,2.99793613009028e-15,5.08296602625431e-06,1.68246551554141e-06,-8.40438293860361e-16,0.000388452586393665,7.12794227930926e-06,5.56102097489565e-16,9.52818375664085e-07,8.49879233174776e-15,3.46734902959715e-06,-3.39945478133546e-15,1.00564816292449e-05,6.17798917203128e-09,-1.13269917372446e-05,-0.00212908444538203,-4.01048913664387e-16,-4.63617884464824e-15,2.78661284679491e-16,0.000106137816733024,1.98187859128317e-07,9.2011212225867e-16,7.18834562386788e-06,7.60724850370332e-16,-5.01456449204432e-05,1.15820817968445e-05,1.62202751883263e-16,3.3972008113948e-06,-8.65084324259231e-06,-1.09726529709664e-05,-4.75352089130402e-06,7.19271647974117e-08,7.08080108053879e-07,7.08197348444529e-16,1.76605376718614e-07,5.27651154847877e-16,3.39017567745645e-06,-7.79009725699143e-06,3.24151152105243e-06,1.85165077019167e-08,-3.73192096393183e-06,-1.58999853406081e-08,7.89568138791203e-07,-3.13360510110925e-10,-4.24597342491761e-11,-9.7667314427515e-08,-8.44852860474906e-16,3.56399485182516e-16,-5.10655707760248e-10,-2.53290980447722e-09,-7.78557267104061e-18,-1.72287400847513e-15,-6.01156499146749e-09,-7.58307646883501e-17,4.51737413592134e-16,-2.92295805516793e-15,-6.64868118465533e-16,-1.11405947530147e-10,2.7562907259605e-15,1.74701300270327e-15,3.06678293870988e-13,2.24075680581811e-15,0.0816496580927734
"t14",-0.0989617022386152,-0.0470126231846538,-0.0047833400875181,0.0305900970417815,0.00114830114791071,-0.000340268005481501,-0.000650368398314601,0.0106409557685727,-0.0297528419009462,4.90406896125981e-05,0.00181144736670386,0.0713859716916079,-9.86629854439715e-06,-0.0011696901457611,0.0043672783313716,0.000444442118658476,0.000455121280142594,0.000184935747927148,0.0376277594559441,-3.46000036691181e-06,-0.0012636368097207,-3.72552400851259e-05,0.00120152178252651,-0.0414779182014399,0.0283747946779038,0.0160742524675254,9.94687877160349e-06,-0.000199944918644913,0.00455795745247297,-0.000974047566418962,0.0512526587220697,-0.000617920857547503,0.00243051485209582,0.000428201572201199,8.38766478604562e-05,-0.0304237342280944,0.0985600159892324,-0.00166564638407895,-6.04766019869872e-05,0.00211795333192406,-0.010618183117019,-0.00504545866867655,-0.00472546453940938,-0.0142526797938736,0.00785955358325833,-0.0113332023436353,0.000398886270084844,-0.00784367860892205,5.27370104232374e-05,0.0476627670665174,-0.0276440877293234,0.00428554838779168,-0.0226093580016996,-0.107717652606048,-0.00242436073589976,-0.00024025815667107,-0.000106508089980682,-0.00100201603063256,-0.0333378847972428,0.045251474610401,-0.00606787295573578,-0.00162132506735307,-0.00479639731857576,0.000175744473424028,0.0232966815021024,-0.0539266593083969,0.00342034739339191,-0.00053759167017394,0.000654544575214956,0.286905288159386,0.00477036045059101,-0.0143159365722796,-0.000132825358950902,0.00433672629039316,-0.00828466873662959,-0.000671196004321168,-0.00534764145243665,-4.62429554144391e-15,-0.00453610908583396,0.169327089297419,-0.0082434907337391,6.15593059915341e-15,0.00691947717587707,4.67681285807425e-08,2.97690135852381e-15,3.40196540596737e-07,0.000180151874442936,-0.00106995153265016,2.85784577560044e-15,7.42525855172744e-05,-4.96089550931386e-05,-3.38656654228139e-14,-0.285332859706157,0.000140946047674044,2.54888786468809e-14,6.83708443119872e-07,-7.65130746768666e-15,3.96521902140247e-05,-2.98175878015164e-14,0.00625896960698304,4.3878139195868e-07,-0.00114193134749189,-0.860185566991952,-6.42286558125349e-14,9.12992847108135e-14,-1.92692853769021e-14,0.0357418253407273,-9.13341353742856e-06,-4.70674452860285e-15,-0.000311806083635617,-9.94431226824724e-15,0.00202782302934163,0.00474743868677868,-1.17388787276422e-15,-0.00013658780984399,0.000350308842196578,0.000502489974918806,0.000233794599669665,-3.81093849322979e-06,-3.98195007140099e-05,-1.68141802564473e-15,-1.36179853223986e-05,-5.42353241112859e-15,-0.000308192137465218,0.000722388531451474,0.011027069509336,-2.27053411929296e-06,0.000538131872885296,2.51976447330223e-06,-0.000182605780022915,2.23595608004935e-07,-3.08024160963004e-08,-1.87460460087863e-05,4.65493005936862e-17,7.5036881931778e-16,-4.69901987589917e-08,-1.96032632909338e-07,-1.55228636836926e-15,-1.72829593157817e-15,-8.49009588910072e-05,2.42434815215576e-15,1.76342258801529e-15,-1.15347839405744e-14,-1.55900341387516e-15,-4.04277639955453e-09,5.01259626970898e-15,2.48925178502753e-15,3.08586489694562e-13,9.94647309414888e-16,0.0816496580927612
