"accepted_species","I1.1/1"
"t36","1"
"t51","1"
"t52","1"
"t95","1"
"t96","1"
"t75","1"
"t59","1"
"t17","1"
"t48","1"
"t49","1"
"t23","1"
"t42","0"
"t43","1"
"t33","1"
"t3","0"
"t37","0"
"t93","0"
"t94","0"
"t65","0"
"t53","0"
"t22","0"
"t68","0"
"t69","0"
"t14","0"
"t13","1"
"t38","1"
"t39","0"
"t27","0"
"t28","1"
"t19","0"
"t20","0"
"t6","0"
"t26","0"
"t9","0"
"t7","0"
"t5","0"
"t77",NA
"t78",NA
"t46",NA
"t47",NA
"t32",NA
"t18",NA
"t21","0"
"t34",NA
"t64",NA
"t87","1"
"t88",NA
"t29",NA
"t97","0"
"t98","0"
"t30","1"
"t31","0"
"t85","1"
"t86","1"
"t56","0"
"t57","0"
"t76","0"
"t83","0"
"t84","0"
"t54","0"
"t55","0"
"t41","0"
"t70","0"
"t71","0"
"t73","0"
"t74","1"
"t63","0"
"t24","0"
"t25","0"
"t62","0"
"t91","0"
"t92","0"
"t79","0"
"t60","0"
"t61","0"
"t11","0"
"t50","0"
"t82","0"
"t99","0"
"t100","0"
"t72","0"
"t10","1"
"t8","0"
"t15","0"
"t16","0"
"t12","0"
"t80","0"
"t81","0"
"t89","0"
"t90","0"
"t58","0"
"t66","0"
"t67","0"
"t40","0"
"t35","1"
"t44","0"
"t45","0"
"t1","0"
"t2","0"
"t4","0"
