,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,144.0,144,144,144,144,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
unique,,1,2,2,1,,,,,,,,,,,,,
top,,ER,mcar,ultrametric,binary,,,,,,,,,,,,,
freq,,144,72,76,144,,,,,,,,,,,,,
mean,201.27777777777777,,,,,0.5863498087513649,0.19879868964462488,0.2181060156380719,0.24587213832386276,0.2556646285912436,0.2659378353468554,0.25444941495469653,0.2533510511945184,0.24241711077053807,0.250547503010942,0.31091935188166514,0.2425859758956024,0.24026058337367637
std,117.4630693008345,,,,,0.11902143315461829,0.06199297465926132,0.06255822361342622,0.03409886903744894,0.06368769802445443,0.09027561147515234,0.04785765361313158,0.052396536382889526,0.0740226574097103,0.0686184122955241,0.11300062858295014,0.06254544001463412,0.06642996760628578
min,6.0,,,,,0.403142602890608,0.0575998528085679,0.0446242321795826,0.1559242474623954,0.1437356129386321,0.0954254167903815,0.1534401287069344,0.0910219941527655,0.0739604133249166,0.079074423123521,0.0743847381957062,0.0427445710884767,0.0823493144908757
25%,99.25,,,,,0.5076233157124015,0.16224910481547922,0.19035174210926437,0.22744286354441484,0.22847897774237874,0.2117930497045483,0.23661921525548602,0.23008675860756864,0.1975854870524178,0.21642894746296976,0.23400247308644462,0.20559915343134594,0.20608345486816032
50%,199.5,,,,,0.561980494496005,0.1968652304327294,0.221081126704045,0.2446403091130651,0.247647658248619,0.2522081290905449,0.2497800664523738,0.249027304598267,0.2336697350282114,0.24582548417472788,0.2997797162595302,0.24304458489636366,0.23504410494911598
75%,304.75,,,,,0.6509962498446857,0.23744984686996776,0.24785033012094734,0.26276398541707136,0.2629201502712622,0.30549833387929026,0.265798618732486,0.26551305056218283,0.2705599941643006,0.2729061307107314,0.37368074592130207,0.27583894130952985,0.27569742017334287
max,399.0,,,,,0.919505694940795,0.4001184007680947,0.4260667008660893,0.3585281320887263,0.5946460388966976,0.7706240221063357,0.4991302944271381,0.4908236509919688,0.6565564285356489,0.6201201331329601,0.7566442458336535,0.4780014766757253,0.5267213730848449
