,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,310.0,310,310,310,310,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0
unique,,1,2,2,1,,,,,,,,,,,,,
top,,HiSSE,mcar,ultrametric,binary,,,,,,,,,,,,,
freq,,310,155,164,310,,,,,,,,,,,,,
mean,197.46774193548387,,,,,0.7702377928367683,0.16318566057450035,0.17302163325575018,0.18873487075099973,0.19187289880640265,0.20773569242594264,0.18794738626470164,0.18886516472279727,0.19012062886311437,0.18780994176705704,0.23898341724230257,0.18722865323348134,0.1839158224842878
std,113.12637458149449,,,,,1.0626966165508014,0.08099914471480786,0.09162917579502343,0.0913587004904361,0.09417170364119068,0.1200793621749449,0.08763122554885568,0.08999829762232348,0.10302688213299474,0.09386595366650398,0.13381173670353794,0.10027517689996167,0.09622990849460006
min,0.0,,,,,0.400948352842434,6.013660314522065e-05,0.0001321178491214,0.00079611701377,0.0010587052627674,6.06353346313371e-08,0.0010032751360031,0.0011220254586326,0.0001234567654321,0.0001234567654321,1.973182090000103e-06,0.0001234567654321,0.0001234567654321
25%,101.25,,,,,0.5505469901973514,0.10562850716501868,0.11199319899431709,0.11993090537152554,0.12594763959679955,0.12967954184684358,0.12332045741415976,0.12484503641548307,0.12180502476276642,0.11905245426407163,0.12948854949323807,0.11694936804483609,0.1137453369137153
50%,196.5,,,,,0.63411098356997,0.1701008264083905,0.17830437261680826,0.20727193503999797,0.20925169769621854,0.2070881799190323,0.20671319561728596,0.20798300317781754,0.19140667235117576,0.19888433043148265,0.2333809861807777,0.1889718772216638,0.18972353751072385
75%,291.75,,,,,0.7518396243996746,0.2236061678016062,0.2311866345226898,0.2461903228485552,0.2486692543974195,0.26765499091434564,0.24761970008094913,0.24930729632209075,0.24844831292460468,0.24937646778247158,0.32632624521164205,0.2450748804715364,0.24286056524457572
max,399.0,,,,,11.7616485923731,0.3846027772785963,0.6017014723435585,0.5999924646771604,0.6310793891896842,0.8031822672295884,0.4889065622450962,0.4924828167800494,0.6673288378080401,0.5808728153359121,0.7448904091848487,0.610027353283953,0.5387987465908352
