,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,42.0,42,42,42,42,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
unique,,1,2,2,1,,,,,,,,,,,,,
top,,bBMT,mcar,ultrametric,binary,,,,,,,,,,,,,
freq,,42,21,26,42,,,,,,,,,,,,,
mean,216.88095238095238,,,,,3.182001905097287,0.04499242449810344,0.05365046875707501,0.13138634113538958,0.12652575715863937,0.1307796067535084,0.11843981276926797,0.12624849262421353,0.04201907678411905,0.041094271655654956,0.04274777201994286,0.03945735817978732,0.04639474527159369
std,119.46919235109137,,,,,7.427993584443392,0.0818918590929354,0.08770705056523402,0.11325922702830607,0.11247830546739573,0.1150011490360301,0.10865997532160075,0.11056867953842163,0.07596743584739958,0.09660100932922175,0.09089428587194788,0.08840969283055662,0.10762702981976523
min,20.0,,,,,0.432719837155534,1.341035054132754e-05,0.0,3.145150053438345e-05,0.0001530784121836,4.210472503403826e-07,2.919803865246123e-09,2.4985110477041156e-05,5.251074774490038e-05,5.251074774490038e-05,5.251074774490038e-05,2.86382850246056e-05,5.251074774490038e-05
25%,116.25,,,,,0.628847137698377,7.858866175639382e-05,0.00012611459432945,0.0033820132307684,0.00325857144782,0.00681802170012235,0.002919182929496425,0.003860265960985225,0.00012345654321,0.00012345654321,0.00012345654321,0.00012345654321,0.00012345654321
50%,252.5,,,,,1.13642282483729,0.00063270628769825,0.0031111111111110502,0.119777878768857,0.1059937177529964,0.10406768548565586,0.10006096980655371,0.1,0.0005387393518109999,0.000408401627596,0.0005068899806058,0.00018730745910615002,0.00047078593855185
75%,322.75,,,,,2.94936375494702,0.06296800881340035,0.09431209600173499,0.23377695833735831,0.223626227812167,0.22608109566169646,0.22108707846049994,0.2318381510118259,0.06311406564898768,0.013487318712716525,0.025085930188204476,0.015981649487666973,0.011469093300057775
max,383.0,,,,,35.4844691069326,0.3249871168959443,0.3276666666666666,0.3812876433934808,0.3864408291616402,0.4141374212529607,0.3694519021529128,0.3404081817288942,0.3373670555199328,0.4380693570915813,0.4299404093494144,0.3685437054771339,0.4843472759713997
