,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,302.0,302,302,302,302,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0
unique,,1,2,2,1,,,,,,,,,,,,,
top,,BiSSE,mcar,ultrametric,binary,,,,,,,,,,,,,
freq,,302,151,162,302,,,,,,,,,,,,,
mean,209.13576158940398,,,,,0.7208517778340523,0.16822906743088012,0.17298488652966848,0.19027078099499561,0.19127402032628876,0.20511794478609116,0.19026135489958307,0.19026230467759958,0.1841771070006045,0.18577444471369034,0.24493551925840837,0.18773423289545343,0.18153044179292813
std,115.46378290201062,,,,,0.2849122277503744,0.08588477381879576,0.09004155979951653,0.0888210565418814,0.09343436049438836,0.10982321124999295,0.09264701859973613,0.09179363592609206,0.0988535845848416,0.09412933246304632,0.13483801385791944,0.09984740722697069,0.09373484799047906
min,0.0,,,,,0.413989594350051,4.603218600638917e-05,0.0,9.517641300927944e-09,1.7771269021251852e-08,5.3692003882529055e-11,8.080407917891961e-11,3.6645873456266974e-06,1.825326810026662e-07,3.3043307595838566e-05,7.74634474049536e-06,3.27514221801316e-06,9.0702918820864e-05
25%,107.25,,,,,0.57438272004285,0.10138020110687802,0.10493066812729546,0.1402537985381716,0.1412482821410794,0.13502657638656118,0.14187792102699776,0.13678465095627912,0.11136523633084816,0.1181325202381891,0.1525523090136161,0.1177475276828442,0.1156844532523624
50%,212.5,,,,,0.686204498552199,0.1791746473977915,0.18733417043813017,0.2121668407615221,0.21169080812911545,0.21537981615094937,0.20940810535665677,0.21139138865846208,0.19451069872662852,0.20600351467451974,0.25433816823302935,0.2044478892687543,0.19689946034509315
75%,309.75,,,,,0.806460313736739,0.22919747308120336,0.23687719455174622,0.25271172283497734,0.2525433936146469,0.2702239547888097,0.25464652169847446,0.25200758335705825,0.2516562799158233,0.25189011075009915,0.3363287301616949,0.2526068667424544,0.24451901652706198
max,399.0,,,,,3.37567270621418,0.3930055870955116,0.4745949962877546,0.4341607515840563,0.5684423703824427,0.694632524088938,0.5099740665741718,0.453715016028736,0.5682092230196769,0.4471321958534371,0.6401245743011492,0.4924390485291733,0.4928406540555271
