,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,130.0,130,130,130,130,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0
unique,,1,2,2,1,,,,,,,,,,,,,
top,,ARD,mcar,ultrametric,binary,,,,,,,,,,,,,
freq,,130,65,72,130,,,,,,,,,,,,,
mean,215.05384615384617,,,,,0.6749373802366617,0.14806668302590054,0.16772924404402392,0.19613933356809357,0.19728030751094647,0.209914775574119,0.20095344709971272,0.19806533377485427,0.17870983873237645,0.186817272394165,0.2468034435161834,0.18448711981679639,0.1873174079399012
std,113.94520045189556,,,,,0.8281009378357287,0.07123540810513604,0.07821607173672902,0.07812052805267927,0.08222223553126795,0.09478457355781587,0.0772265492777282,0.08220144010785009,0.08908993252008982,0.08203550775138506,0.1236452881440846,0.09197622796670053,0.08961858725871676
min,12.0,,,,,0.404214223507499,8.203966901536434e-06,0.0,9.314773696795282e-05,9.302520428357887e-05,9.302415756188378e-05,9.306466929329654e-05,9.304110766870466e-05,0.0001234567654321,0.0001234567654321,0.0001234567654321,0.0001234567654321,0.0001234567654321
25%,106.25,,,,,0.461375392267947,0.11029547709107515,0.12355621239928635,0.15191247720585227,0.15461792545341135,0.1608622013222406,0.16626430468569353,0.15453452849210042,0.13760849211088189,0.14553367497958883,0.1769496588861269,0.1358684609413594,0.14081899912900966
50%,234.5,,,,,0.531884554452034,0.14706455211966735,0.16704041640423245,0.2202409362804872,0.21585421884652622,0.2218033336777757,0.21394891883376155,0.20995600612916104,0.18795079396224265,0.20311209066734945,0.2591229733324868,0.18663959415762404,0.19612803660369071
75%,316.75,,,,,0.648415004388267,0.19741586547987,0.22326701777653815,0.24824399393291097,0.24735148197350107,0.2637145359341365,0.2492145601710159,0.2462219085041884,0.22685162955567137,0.23486137964992168,0.3127137165140742,0.23888107557481295,0.2365854969180419
max,399.0,,,,,7.12894767384982,0.3418811975113306,0.412962962962963,0.4528024046703839,0.4820096436369167,0.5564318016045504,0.4037709237076192,0.4896685480646982,0.47987815182721,0.3570008220229079,0.6113176054981786,0.4898674926442138,0.4813403174622498
