,models,stat,p value,hochberg_adjusted_p_value
0,corHMM_xgb_umap_supervised,-25.229435622239876,1.0462855055688807e-111,6.905484336754613e-110
1,phylnn_fill_means_xgb_umap_supervised,-20.892927375088593,3.4249786127630335e-82,2.226236098295972e-80
2,xgb_umap_supervised_xgb_autoenc_supervised,19.655131024096764,3.4571509345758944e-74,2.2125765981285724e-72
3,xgb_eigenvecs_xgb_umap_supervised,-19.58921486356946,9.088299163649693e-74,5.725628473099307e-72
4,xgb_umap_xgb_umap_supervised,-18.64284933051238,8.072169201004396e-68,5.004744904622726e-66
5,xgb_umap_supervised_xgb_autoencoded,18.11739369918151,1.3912859783040594e-64,8.486844467654762e-63
6,corHMM_logit_umap,-17.999129488388203,7.327510987389371e-64,4.396506592433623e-62
7,corHMM_logit_umap_supervised,-17.644361181666973,1.0322186345184423e-61,6.09008994365881e-60
8,corHMM_logit_eigenvecs,-16.378668945200946,3.0070661359840735e-54,1.7440983588707627e-52
9,corHMM_xgb_umap,-15.422050780087053,7.836175101544011e-49,4.466619807880086e-47
10,logit_autoenc_supervised_xgb_umap_supervised,-15.18912051966604,1.5183693801627987e-47,8.502868528911672e-46
11,corHMM_logit_autoencoded,-15.155105481416113,2.3350362794495866e-47,1.2842699536972726e-45
12,logit_autoencoded_xgb_umap_supervised,-14.998384682825519,1.6824564159869835e-46,9.08526464632971e-45
13,corHMM_logit_autoenc_supervised,-14.552656987148474,4.2932484643156535e-44,2.2754216860872965e-42
14,logit_eigenvecs_xgb_umap_supervised,-14.228354500077412,2.2548612757964804e-42,1.1725278634141697e-40
15,corHMM_xgb_autoencoded,-13.661065923256583,1.985554344687908e-39,1.0126327157908331e-37
16,logit_umap_xgb_umap_supervised,-13.536932786725918,8.531544424640101e-39,4.265772212320051e-37
17,corHMM_xgb_eigenvecs,-12.789450398027258,4.523932828411849e-35,2.216727085921806e-33
18,corHMM_xgb_autoenc_supervised,-12.357819404494446,5.437173852186247e-33,2.6098434490493988e-31
19,phylnn_fill_means_logit_umap_supervised,-12.131492195129194,6.376596914625056e-32,2.997000549873776e-30
20,logit_umap_supervised_xgb_umap_supervised,-11.519242452345706,4.181689622142648e-29,1.923577226185618e-27
21,phylnn_fill_means_logit_umap,-10.531985669333837,8.360148843652658e-25,3.7620669796436963e-23
22,logit_umap_supervised_xgb_autoenc_supervised,9.831690852854,6.089291894884474e-22,2.6792884337491688e-20
23,logit_umap_supervised_xgb_eigenvecs,9.347816316247988,4.6504138113242007e-20,1.9996779388694064e-18
24,phylnn_fill_means_logit_eigenvecs,-9.331749581078725,5.353737680995497e-20,2.2485698260181088e-18
25,phylnn_fill_means_logit_autoencoded,-8.775281705038608,6.200774487789939e-18,2.542317539993875e-16
26,logit_umap_supervised_xgb_autoencoded,8.54812372426068,4.017954421651873e-17,1.6071817686607492e-15
27,corHMM_phylnn_fill_means,-8.41253522500822,1.2016086083879608e-16,4.686273572713047e-15
28,phylnn_fill_means_logit_autoenc_supervised,-8.097787936777253,1.442067374623085e-15,5.4798560235677236e-14
29,logit_umap_supervised_xgb_umap,7.862126992944105,8.785828769856454e-15,3.250756644846888e-13
30,phylnn_fill_means_xgb_umap,-7.2937185234821325,5.670194530764849e-13,2.0412700310753453e-11
31,logit_umap_xgb_autoenc_supervised,7.234850595513253,8.595073286011067e-13,3.008275650103873e-11
32,logit_umap_supervised_logit_autoenc_supervised,7.212770105676533,1.0038723224556772e-12,3.413165896349303e-11
33,logit_umap_supervised_logit_autoencoded,6.895817672122651,8.904335375648148e-12,2.938430673963889e-10
34,logit_umap_xgb_eigenvecs,6.593257419268891,6.597688274791214e-11,2.1112602479331884e-09
35,phylnn_fill_means_xgb_autoencoded,-6.256835851844586,5.570482216384753e-10,1.7268494870792736e-08
36,logit_eigenvecs_logit_umap_supervised,-5.925191380909208,4.1397983264096986e-09,1.2419394979229096e-07
37,logit_umap_xgb_autoencoded,5.646459459973217,2.071934801753644e-08,6.008610925085568e-07
