,Ev Model,corHMM,picante,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
unique,1,,,,,,,,,,,,,
top,HISSE,,,,,,,,,,,,,
freq,100,,,,,,,,,,,,,
mean,,0.22121015812083067,0.2331442974365632,0.23255075848115297,0.24418183457901838,0.24614205350725174,0.2769111398143938,0.246664752110375,0.24678552462216344,0.24389185160097032,0.2534962638805169,0.33838186627443645,0.25123990383031286,0.24754039465876293
std,,0.057914404626734514,0.06918009174036918,0.06145713360910204,0.049242214823177026,0.05390015573997135,0.073003060757841,0.05023455518462236,0.04682753335603068,0.06303042264853442,0.0658363977026934,0.10481903325902393,0.07003133286072785,0.054919590221095105
min,,0.07018748121633071,0.059926574414641554,0.0834074074074074,0.10940795686278852,0.09156789840189558,0.13351742069546702,0.0980836544014253,0.12611605508534485,0.07985346590563458,0.12704404174401146,0.014318374794514538,0.06603342120405435,0.0810003511402961
25%,,0.18448708834179828,0.1935830785060773,0.19006172839506172,0.2201581144659639,0.21680303557663305,0.22884684108950265,0.21714450017048065,0.2174446931522835,0.2004885716039015,0.22109075033954168,0.27740329606430814,0.21712708599277,0.2153444083542686
50%,,0.2240322026967284,0.22399835417882724,0.22798387089085476,0.24824505903050065,0.24993294227654594,0.267791874268539,0.2496827151718629,0.2500523962429105,0.2418349886278452,0.2496355452013084,0.33536672098448295,0.25140537259693074,0.2484403506921697
75%,,0.2527668580065756,0.2673094754156876,0.2708676598014087,0.2609156317693374,0.2673899644646245,0.3152760348844071,0.2748209141070425,0.2649422470676048,0.28244725946047533,0.27121504956371467,0.41841963233691737,0.2730150608347335,0.2795906390886539
max,,0.37650814128656573,0.42646776315503543,0.4204033930472675,0.4033754480221157,0.43568234485719826,0.4715620403954256,0.3918165737078082,0.38640441926129265,0.4407058183042965,0.485645700352079,0.5763287882646595,0.532572651941585,0.3874142364894881
