"accepted_species","traits"
"t14",0
"t24",0
"t28",0
"t32",0
"t34",0
"t35",0
"t37",0
"t38",0
"t40",1
"t44",NA
"t46",0
"t48",0
"t49",1
"t50",1
"t51",0
"t53",1
"t54",0
"t55",1
"t56",1
"t57",0
"t58",0
"t59",0
"t60",0
"t61",0
"t62",1
"t63",1
"t64",1
"t67",NA
"t68",0
"t70",0
"t71",0
"t72",0
"t73",NA
"t74",0
"t75",0
"t76",1
"t77",1
"t80",1
"t81",0
"t82",1
"t83",1
"t84",NA
"t85",1
"t86",0
"t87",0
"t88",1
"t89",0
"t90",NA
"t91",0
"t92",NA
"t93",0
"t94",0
"t95",0
"t96",0
"t97",0
"t98",1
"t99",0
"t100",0
"t102",0
"t103",0
"t104",0
"t105",0
"t106",0
"t107",0
"t108",0
"t109",NA
"t110",0
"t111",1
"t112",1
"t113",0
"t114",1
"t115",0
"t116",0
"t117",0
"t118",0
"t119",NA
"t120",1
"t121",1
"t122",1
"t123",1
"t124",1
"t125",1
"t126",NA
"t127",0
"t128",0
"t129",0
"t130",0
"t131",0
"t132",0
"t133",0
"t134",0
"t135",0
"t136",NA
"t137",0
"t138",0
"t139",0
"t140",1
"t141",1
"t142",1
"t143",1
