"accepted_species","I1.1/1"
"t13","1"
"t73","1"
"t74","1"
"t26","1"
"t27","1"
"t91","1"
"t92","1"
"t11","0"
"t12","1"
"t62","1"
"t63","1"
"t17","1"
"t18","1"
"t89","0"
"t90","1"
"t1","1"
"t71","0"
"t72","0"
"t66","0"
"t33","0"
"t64","1"
"t65","1"
"t39","0"
"t40","1"
"t43","0"
"t56","1"
"t57","1"
"t83","0"
"t84","0"
"t10","0"
"t20","0"
"t69","0"
"t70","0"
"t7","0"
"t61","0"
"t34","0"
"t46","0"
"t51","0"
"t54","0"
"t55","0"
"t35","0"
"t36","0"
"t28","0"
"t29","0"
"t6","0"
"t60","0"
"t95","0"
"t96","0"
"t93","0"
"t94","0"
"t22","0"
"t23","0"
"t75","0"
"t76","0"
"t30","0"
"t25","0"
"t67","0"
"t68","0"
"t48","0"
"t97","0"
"t98","0"
"t49","0"
"t50","0"
"t21","0"
"t99","0"
"t100","0"
"t4","0"
"t79",NA
"t80",NA
"t87",NA
"t88",NA
"t24",NA
"t31",NA
"t32","0"
"t85",NA
"t86",NA
"t47",NA
"t16","1"
"t58","0"
"t59",NA
"t37","0"
"t38","0"
"t41","0"
"t42","0"
"t52","0"
"t53","0"
"t9","0"
"t77","0"
"t78","0"
"t19","0"
"t3","0"
"t81","0"
"t82","0"
"t5","0"
"t14","0"
"t15","1"
"t44","0"
"t45","0"
"t8","0"
"t2","0"
