"accepted_species","trait_EB_scaled"
"t5",-0.361982370383087
"t91",-1.07562850159203
"t92",-1.02261158103805
"t25",NA
"t8",-0.674358323682629
"t41",-0.40010023865116
"t42",-0.520275447303248
"t38",0.804971421785195
"t39",0.39785304487348
"t10",1.3894590356857
"t70",-1.03064800622118
"t71",-0.175619751450039
"t3",-0.246693832189249
"t2",-0.264495331674253
"t4",1.04281970151173
"t95",0.152348854800601
"t96",0.217016164703789
"t11",1.18530572850978
"t22",0.0993338379412324
"t23",1.55978970179374
"t81",NA
"t82",-0.199518745071137
"t99",1.18253117395415
"t100",1.22751465125795
"t83",0.935296007267626
"t84",0.632694931353367
"t18",0.418716770262905
"t19",0.561674643154784
"t85",0.0365268523808695
"t86",-0.152854857567759
"t34",-1.12595555895576
"t35",-0.173578382048877
"t74",NA
"t93",-0.398795302040799
"t94",-0.292900660618945
"t6",-0.199460111240808
"t97",-1.41558430948145
"t98",-1.41290900216633
"t16",-1.4891566530687
"t1",-0.113489723704701
"t43",-0.84900614488876
"t50",NA
"t51",-0.504237826917292
"t9",0.0423757160761117
"t75",-0.326643882032159
"t76",-0.492867475828753
"t26",NA
"t27",0.0315274208263317
"t56",-0.977956774373509
"t57",-0.229731896936646
"t53",-0.557587359189051
"t36",-0.399215000593878
"t66",-0.198422575976129
"t67",-1.15579151772079
"t14",0.100236827725212
"t58",NA
"t59",0.479931679346891
"t77",0.306337579825967
"t78",0.736048406913175
"t79",-0.127819561344462
"t80",-0.397401938084609
"t40",-0.0843674552021939
"t87",0.153555691893949
"t88",-0.26887792955852
"t20",2.25485296498504
"t21",NA
"t15",1.09265597942032
"t13",-0.17993167242963
"t44",-0.0614641446620418
"t45",-0.66486499815602
"t89",0.733538529154256
"t90",NA
"t32",0.862815060377787
"t33",0.36040434986106
"t37",1.88083952276781
"t46",2.31951644731678
"t47",1.9003811212217
"t30",1.60981726832783
"t31",2.04384311063749
"t12",NA
"t64",0.968743488558569
"t65",1.21931781459556
"t28",-0.520153533799469
"t48",-0.291048702132455
"t49",0.245818910486947
"t52",0.0127616647846523
"t72",0.636334986055853
"t73",0.333707587159116
"t54",0.857516460660617
"t55",NA
"t60",-0.250350040192583
"t61",0.303140604477889
"t29",-0.783413456267234
"t17",0.10299180362546
"t62",0.268933923721716
"t63",0.156325719379191
"t7",-2.77887116955829
"t24",-2.11566107886109
"t68",-3.42520761610823
"t69",-2.84845516717621
