"accepted_species","I1.1/1"
"t69","0"
"t70","0"
"t41","0"
"t42","0"
"t80","0"
"t81","0"
"t68","0"
"t16","0"
"t21","0"
"t24","0"
"t35","0"
"t60","0"
"t61","0"
"t33","0"
"t18","0"
"t19","0"
"t1","0"
"t3","0"
"t31","0"
"t32","0"
"t34","0"
"t77","1"
"t78","0"
"t38","0"
"t36","0"
"t26","0"
"t8","0"
"t25","1"
"t29","0"
"t30","0"
"t84","1"
"t85","0"
"t59","0"
"t40","0"
"t10","1"
"t20","1"
"t48","1"
"t49","1"
"t2","1"
"t66","1"
"t67",NA
"t11",NA
"t12",NA
"t52",NA
"t53",NA
"t28",NA
"t27",NA
"t91",NA
"t92",NA
"t43",NA
"t64","1"
"t65","1"
"t13","1"
"t58","1"
"t71","1"
"t72","1"
"t74","1"
"t75","1"
"t23","1"
"t62","1"
"t63","1"
"t99","1"
"t100","1"
"t22","1"
"t14","1"
"t15","1"
"t5","1"
"t4","1"
"t44","1"
"t45","0"
"t50","1"
"t82","1"
"t83","1"
"t54","1"
"t51","1"
"t97","1"
"t98","1"
"t76","1"
"t89","1"
"t90","1"
"t73","1"
"t46","1"
"t47","0"
"t37","1"
"t39","1"
"t9","1"
"t55","1"
"t56","1"
"t57","1"
"t79","1"
"t88","1"
"t95","1"
"t96","1"
"t17","1"
"t6","1"
"t7","1"
"t86","1"
"t87","1"
"t93","1"
"t94","1"
