"","t1","t3","t115","t116","t99","t100","t48","t49","t28","t46","t47","t29","t30","t12","t97","t98","t89","t90","t125","t126","t55","t92","t93","t31","t86","t87","t85","t123","t124","t4","t11","t13","t14","t5","t63","t64","t112","t113","t114","t88","t60","t61","t7","t6","t57","t62","t70","t71","t75","t76","t34","t35","t95","t96","t81","t82","t56","t68","t69","t27","t94","t107","t108","t39","t40","t25","t105","t106","t121","t122","t23","t53","t54","t36","t33","t17","t10","t77","t78","t104","t109","t110","t91","t102","t103","t72","t73","t32","t8","t74","t117","t118","t111","t51","t16","t79","t80","t65","t18","t19","t9","t22","t83","t84","t21","t15","t20","t45","t52","t119","t120","t101","t24","t41","t42","t58","t59","t26","t37","t38","t66","t67","t50","t43","t44","t2"
"t1",0,5.3369000143,9.35796239953,9.35796239953,9.3579623996,9.3579623996,9.3579623997,9.3579623997,9.3579623997,9.3579623995,9.0221542079,9.35796239948,9.35796239948,9.3579623994,9.3579623997,9.3579623997,9.3579623993,9.3579623993,9.3579623996671,9.3579623996671,9.3579623996,9.3579623996,9.1714432331,8.76453493985,9.35796239955,9.35796239955,9.28727892965,9.357962399537,9.357962399537,7.11111396145,7.7923737948,9.0114737259,7.9664257015,7.6278371811,9.3579623993,9.3579623993,9.35796239937,9.35796239937,9.35796239937,9.3579623994,9.35796239932,9.35796239932,7.6202720706,7.77985888,9.35796239976,9.35796239969,9.3579623997,9.3579623997,9.35796239926,9.35796239926,9.35796239926,9.35796239976,9.35796239976,9.35796239976,9.35796239976,9.35796239976,9.35796239981,9.35796239984,9.35796239984,9.35796239981,9.35796239981,9.35796239981,9.35796239981,9.35796239976,9.35796239976,9.35796239936,9.3579623992,9.25817640228,9.357962399205,9.357962399205,9.1508136348,9.35796239929,8.9508162397,9.35796239929,8.6608667815,9.3579623989,7.83458734829,9.35796239949,9.35796239949,9.35796239937,9.2779519049,9.35796239939,9.35796239937,9.35796239927,9.35796239927,9.35796239937,9.35796239937,8.59854805562,9.35796239959,9.35796239949,9.35796239944,9.35796239944,9.35796239944,9.35796239949,8.04566043589,9.3579623996,9.3579623996,9.35796239959,8.43943372759,9.35796239979,7.92832145259,9.3579623992,9.3579623995,9.3579623995,9.35796239989,8.36111780359,8.1828999151,9.35796239949,9.35796239952,9.35796239947,9.35796239947,9.35796239952,9.35796239969,9.35796239949,9.35796239949,9.35796239949,9.35796239949,9.35796239949,9.35796239959,9.35796239959,9.35796239959,9.35796239959,9.35796239959,9.35796239989,9.35796239989,3.3630077742
"t3",5.3369000143,0,6.94796835923,6.94796835923,6.9479683593,6.9479683593,6.9479683594,6.9479683594,6.9479683594,6.9479683592,6.6121601676,6.94796835918,6.94796835918,6.9479683591,6.9479683594,6.9479683594,6.947968359,6.947968359,6.9479683593671,6.9479683593671,6.9479683593,6.9479683593,6.7614491928,6.35454089955,6.94796835925,6.94796835925,6.87728488935,6.947968359237,6.947968359237,4.70111992115,5.3823797545,6.6014796856,5.5564316612,5.2178431408,6.947968359,6.947968359,6.94796835907,6.94796835907,6.94796835907,6.9479683591,6.94796835902,6.94796835902,5.2102780303,5.3698648397,6.94796835946,6.94796835939,6.9479683594,6.9479683594,6.94796835896,6.94796835896,6.94796835896,6.94796835946,6.94796835946,6.94796835946,6.94796835946,6.94796835946,6.94796835951,6.94796835954,6.94796835954,6.94796835951,6.94796835951,6.94796835951,6.94796835951,6.94796835946,6.94796835946,6.94796835906,6.9479683589,6.84818236198,6.947968358905,6.947968358905,6.7408195945,6.94796835899,6.5408221994,6.94796835899,6.2508727412,6.9479683586,5.42459330799,6.94796835919,6.94796835919,6.94796835907,6.8679578646,6.94796835909,6.94796835907,6.94796835897,6.94796835897,6.94796835907,6.94796835907,6.18855401532,6.94796835929,6.94796835919,6.94796835914,6.94796835914,6.94796835914,6.94796835919,5.63566639559,6.9479683593,6.9479683593,6.94796835929,6.02943968729,6.94796835949,5.51832741229,6.9479683589,6.9479683592,6.9479683592,6.94796835959,5.95112376329,5.7729058748,6.94796835919,6.94796835922,6.94796835917,6.94796835917,6.94796835922,6.94796835939,6.94796835919,6.94796835919,6.94796835919,6.94796835919,6.94796835919,6.94796835929,6.94796835929,6.94796835929,6.94796835929,6.94796835929,6.94796835959,6.94796835959,2.4723796283
"t115",9.35796239953,6.94796835923,0,0.09417721086,0.97275805233,0.97275805233,4.49683822443,4.49683822443,4.49683822443,7.56583115823,7.23002296663,7.56583115821,7.56583115821,7.56583115813,8.58489800663,8.58489800663,8.58489800623,8.58489800623,8.5848980065971,8.5848980065971,8.58489800653,8.58489800653,8.39837884003,7.99147054678,8.58489800648,8.58489800648,8.51421453658,8.584898006467,8.584898006467,6.33804956838,7.01930940173,8.23840933283,7.19336130843,6.85477278803,8.58489800623,8.58489800623,8.5848980063,8.5848980063,8.5848980063,8.58489800633,8.58489800625,8.58489800625,6.84720767753,7.00679448693,8.58489800669,8.58489800662,8.58489800663,8.58489800663,8.58489800619,8.58489800619,8.58489800619,8.58489800669,8.58489800669,8.58489800669,8.58489800669,8.58489800669,8.58489800674,8.58489800677,8.58489800677,8.58489800674,8.58489800674,8.58489800674,8.58489800674,8.58489800669,8.58489800669,8.58489800629,8.58489800613,8.48511200921,8.584898006135,8.584898006135,8.37774924173,8.58489800622,8.17775184663,8.58489800622,7.88780238843,8.58489800583,7.06152295522,8.58489800642,8.58489800642,8.5848980063,8.50488751183,8.58489800632,8.5848980063,8.5848980062,8.5848980062,8.5848980063,8.5848980063,7.82548366255,8.58489800652,8.58489800642,8.58489800637,8.58489800637,8.58489800637,8.58489800642,7.27259604282,8.58489800653,8.58489800653,8.58489800652,7.66636933452,8.58489800672,7.15525705952,8.58489800613,8.58489800643,8.58489800643,8.58489800682,7.58805341052,7.40983552203,8.58489800642,8.58489800645,8.5848980064,8.5848980064,8.58489800645,8.58489800662,8.58489800642,8.58489800642,8.58489800642,8.58489800642,8.58489800642,8.58489800652,8.58489800652,8.58489800652,8.58489800652,8.58489800652,8.58489800682,8.58489800682,6.49344201353
"t116",9.35796239953,6.94796835923,0.09417721086,0,0.97275805233,0.97275805233,4.49683822443,4.49683822443,4.49683822443,7.56583115823,7.23002296663,7.56583115821,7.56583115821,7.56583115813,8.58489800663,8.58489800663,8.58489800623,8.58489800623,8.5848980065971,8.5848980065971,8.58489800653,8.58489800653,8.39837884003,7.99147054678,8.58489800648,8.58489800648,8.51421453658,8.584898006467,8.584898006467,6.33804956838,7.01930940173,8.23840933283,7.19336130843,6.85477278803,8.58489800623,8.58489800623,8.5848980063,8.5848980063,8.5848980063,8.58489800633,8.58489800625,8.58489800625,6.84720767753,7.00679448693,8.58489800669,8.58489800662,8.58489800663,8.58489800663,8.58489800619,8.58489800619,8.58489800619,8.58489800669,8.58489800669,8.58489800669,8.58489800669,8.58489800669,8.58489800674,8.58489800677,8.58489800677,8.58489800674,8.58489800674,8.58489800674,8.58489800674,8.58489800669,8.58489800669,8.58489800629,8.58489800613,8.48511200921,8.584898006135,8.584898006135,8.37774924173,8.58489800622,8.17775184663,8.58489800622,7.88780238843,8.58489800583,7.06152295522,8.58489800642,8.58489800642,8.5848980063,8.50488751183,8.58489800632,8.5848980063,8.5848980062,8.5848980062,8.5848980063,8.5848980063,7.82548366255,8.58489800652,8.58489800642,8.58489800637,8.58489800637,8.58489800637,8.58489800642,7.27259604282,8.58489800653,8.58489800653,8.58489800652,7.66636933452,8.58489800672,7.15525705952,8.58489800613,8.58489800643,8.58489800643,8.58489800682,7.58805341052,7.40983552203,8.58489800642,8.58489800645,8.5848980064,8.5848980064,8.58489800645,8.58489800662,8.58489800642,8.58489800642,8.58489800642,8.58489800642,8.58489800642,8.58489800652,8.58489800652,8.58489800652,8.58489800652,8.58489800652,8.58489800682,8.58489800682,6.49344201353
"t99",9.3579623996,6.9479683593,0.97275805233,0.97275805233,0,0.4641348092,4.4968382245,4.4968382245,4.4968382245,7.5658311583,7.2300229667,7.56583115828,7.56583115828,7.5658311582,8.5848980067,8.5848980067,8.5848980063,8.5848980063,8.5848980066671,8.5848980066671,8.5848980066,8.5848980066,8.3983788401,7.99147054685,8.58489800655,8.58489800655,8.51421453665,8.584898006537,8.584898006537,6.33804956845,7.0193094018,8.2384093329,7.1933613085,6.8547727881,8.5848980063,8.5848980063,8.58489800637,8.58489800637,8.58489800637,8.5848980064,8.58489800632,8.58489800632,6.8472076776,7.006794487,8.58489800676,8.58489800669,8.5848980067,8.5848980067,8.58489800626,8.58489800626,8.58489800626,8.58489800676,8.58489800676,8.58489800676,8.58489800676,8.58489800676,8.58489800681,8.58489800684,8.58489800684,8.58489800681,8.58489800681,8.58489800681,8.58489800681,8.58489800676,8.58489800676,8.58489800636,8.5848980062,8.48511200928,8.584898006205,8.584898006205,8.3777492418,8.58489800629,8.1777518467,8.58489800629,7.8878023885,8.5848980059,7.06152295529,8.58489800649,8.58489800649,8.58489800637,8.5048875119,8.58489800639,8.58489800637,8.58489800627,8.58489800627,8.58489800637,8.58489800637,7.82548366262,8.58489800659,8.58489800649,8.58489800644,8.58489800644,8.58489800644,8.58489800649,7.27259604289,8.5848980066,8.5848980066,8.58489800659,7.66636933459,8.58489800679,7.15525705959,8.5848980062,8.5848980065,8.5848980065,8.58489800689,7.58805341059,7.4098355221,8.58489800649,8.58489800652,8.58489800647,8.58489800647,8.58489800652,8.58489800669,8.58489800649,8.58489800649,8.58489800649,8.58489800649,8.58489800649,8.58489800659,8.58489800659,8.58489800659,8.58489800659,8.58489800659,8.58489800689,8.58489800689,6.4934420136
"t100",9.3579623996,6.9479683593,0.97275805233,0.97275805233,0.4641348092,0,4.4968382245,4.4968382245,4.4968382245,7.5658311583,7.2300229667,7.56583115828,7.56583115828,7.5658311582,8.5848980067,8.5848980067,8.5848980063,8.5848980063,8.5848980066671,8.5848980066671,8.5848980066,8.5848980066,8.3983788401,7.99147054685,8.58489800655,8.58489800655,8.51421453665,8.584898006537,8.584898006537,6.33804956845,7.0193094018,8.2384093329,7.1933613085,6.8547727881,8.5848980063,8.5848980063,8.58489800637,8.58489800637,8.58489800637,8.5848980064,8.58489800632,8.58489800632,6.8472076776,7.006794487,8.58489800676,8.58489800669,8.5848980067,8.5848980067,8.58489800626,8.58489800626,8.58489800626,8.58489800676,8.58489800676,8.58489800676,8.58489800676,8.58489800676,8.58489800681,8.58489800684,8.58489800684,8.58489800681,8.58489800681,8.58489800681,8.58489800681,8.58489800676,8.58489800676,8.58489800636,8.5848980062,8.48511200928,8.584898006205,8.584898006205,8.3777492418,8.58489800629,8.1777518467,8.58489800629,7.8878023885,8.5848980059,7.06152295529,8.58489800649,8.58489800649,8.58489800637,8.5048875119,8.58489800639,8.58489800637,8.58489800627,8.58489800627,8.58489800637,8.58489800637,7.82548366262,8.58489800659,8.58489800649,8.58489800644,8.58489800644,8.58489800644,8.58489800649,7.27259604289,8.5848980066,8.5848980066,8.58489800659,7.66636933459,8.58489800679,7.15525705959,8.5848980062,8.5848980065,8.5848980065,8.58489800689,7.58805341059,7.4098355221,8.58489800649,8.58489800652,8.58489800647,8.58489800647,8.58489800652,8.58489800669,8.58489800649,8.58489800649,8.58489800649,8.58489800649,8.58489800649,8.58489800659,8.58489800659,8.58489800659,8.58489800659,8.58489800659,8.58489800689,8.58489800689,6.4934420136
"t48",9.3579623997,6.9479683594,4.49683822443,4.49683822443,4.4968382245,4.4968382245,0,1.1267928794,1.8733683286,7.5658311584,7.2300229668,7.56583115838,7.56583115838,7.5658311583,8.5848980068,8.5848980068,8.5848980064,8.5848980064,8.5848980067671,8.5848980067671,8.5848980067,8.5848980067,8.3983788402,7.99147054695,8.58489800665,8.58489800665,8.51421453675,8.584898006637,8.584898006637,6.33804956855,7.0193094019,8.238409333,7.1933613086,6.8547727882,8.5848980064,8.5848980064,8.58489800647,8.58489800647,8.58489800647,8.5848980065,8.58489800642,8.58489800642,6.8472076777,7.0067944871,8.58489800686,8.58489800679,8.5848980068,8.5848980068,8.58489800636,8.58489800636,8.58489800636,8.58489800686,8.58489800686,8.58489800686,8.58489800686,8.58489800686,8.58489800691,8.58489800694,8.58489800694,8.58489800691,8.58489800691,8.58489800691,8.58489800691,8.58489800686,8.58489800686,8.58489800646,8.5848980063,8.48511200938,8.584898006305,8.584898006305,8.3777492419,8.58489800639,8.1777518468,8.58489800639,7.8878023886,8.584898006,7.06152295539,8.58489800659,8.58489800659,8.58489800647,8.504887512,8.58489800649,8.58489800647,8.58489800637,8.58489800637,8.58489800647,8.58489800647,7.82548366272,8.58489800669,8.58489800659,8.58489800654,8.58489800654,8.58489800654,8.58489800659,7.27259604299,8.5848980067,8.5848980067,8.58489800669,7.66636933469,8.58489800689,7.15525705969,8.5848980063,8.5848980066,8.5848980066,8.58489800699,7.58805341069,7.4098355222,8.58489800659,8.58489800662,8.58489800657,8.58489800657,8.58489800662,8.58489800679,8.58489800659,8.58489800659,8.58489800659,8.58489800659,8.58489800659,8.58489800669,8.58489800669,8.58489800669,8.58489800669,8.58489800669,8.58489800699,8.58489800699,6.4934420137
"t49",9.3579623997,6.9479683594,4.49683822443,4.49683822443,4.4968382245,4.4968382245,1.1267928794,0,1.8733683286,7.5658311584,7.2300229668,7.56583115838,7.56583115838,7.5658311583,8.5848980068,8.5848980068,8.5848980064,8.5848980064,8.5848980067671,8.5848980067671,8.5848980067,8.5848980067,8.3983788402,7.99147054695,8.58489800665,8.58489800665,8.51421453675,8.584898006637,8.584898006637,6.33804956855,7.0193094019,8.238409333,7.1933613086,6.8547727882,8.5848980064,8.5848980064,8.58489800647,8.58489800647,8.58489800647,8.5848980065,8.58489800642,8.58489800642,6.8472076777,7.0067944871,8.58489800686,8.58489800679,8.5848980068,8.5848980068,8.58489800636,8.58489800636,8.58489800636,8.58489800686,8.58489800686,8.58489800686,8.58489800686,8.58489800686,8.58489800691,8.58489800694,8.58489800694,8.58489800691,8.58489800691,8.58489800691,8.58489800691,8.58489800686,8.58489800686,8.58489800646,8.5848980063,8.48511200938,8.584898006305,8.584898006305,8.3777492419,8.58489800639,8.1777518468,8.58489800639,7.8878023886,8.584898006,7.06152295539,8.58489800659,8.58489800659,8.58489800647,8.504887512,8.58489800649,8.58489800647,8.58489800637,8.58489800637,8.58489800647,8.58489800647,7.82548366272,8.58489800669,8.58489800659,8.58489800654,8.58489800654,8.58489800654,8.58489800659,7.27259604299,8.5848980067,8.5848980067,8.58489800669,7.66636933469,8.58489800689,7.15525705969,8.5848980063,8.5848980066,8.5848980066,8.58489800699,7.58805341069,7.4098355222,8.58489800659,8.58489800662,8.58489800657,8.58489800657,8.58489800662,8.58489800679,8.58489800659,8.58489800659,8.58489800659,8.58489800659,8.58489800659,8.58489800669,8.58489800669,8.58489800669,8.58489800669,8.58489800669,8.58489800699,8.58489800699,6.4934420137
"t28",9.3579623997,6.9479683594,4.49683822443,4.49683822443,4.4968382245,4.4968382245,1.8733683286,1.8733683286,0,7.5658311584,7.2300229668,7.56583115838,7.56583115838,7.5658311583,8.5848980068,8.5848980068,8.5848980064,8.5848980064,8.5848980067671,8.5848980067671,8.5848980067,8.5848980067,8.3983788402,7.99147054695,8.58489800665,8.58489800665,8.51421453675,8.584898006637,8.584898006637,6.33804956855,7.0193094019,8.238409333,7.1933613086,6.8547727882,8.5848980064,8.5848980064,8.58489800647,8.58489800647,8.58489800647,8.5848980065,8.58489800642,8.58489800642,6.8472076777,7.0067944871,8.58489800686,8.58489800679,8.5848980068,8.5848980068,8.58489800636,8.58489800636,8.58489800636,8.58489800686,8.58489800686,8.58489800686,8.58489800686,8.58489800686,8.58489800691,8.58489800694,8.58489800694,8.58489800691,8.58489800691,8.58489800691,8.58489800691,8.58489800686,8.58489800686,8.58489800646,8.5848980063,8.48511200938,8.584898006305,8.584898006305,8.3777492419,8.58489800639,8.1777518468,8.58489800639,7.8878023886,8.584898006,7.06152295539,8.58489800659,8.58489800659,8.58489800647,8.504887512,8.58489800649,8.58489800647,8.58489800637,8.58489800637,8.58489800647,8.58489800647,7.82548366272,8.58489800669,8.58489800659,8.58489800654,8.58489800654,8.58489800654,8.58489800659,7.27259604299,8.5848980067,8.5848980067,8.58489800669,7.66636933469,8.58489800689,7.15525705969,8.5848980063,8.5848980066,8.5848980066,8.58489800699,7.58805341069,7.4098355222,8.58489800659,8.58489800662,8.58489800657,8.58489800657,8.58489800662,8.58489800679,8.58489800659,8.58489800659,8.58489800659,8.58489800659,8.58489800659,8.58489800669,8.58489800669,8.58489800669,8.58489800669,8.58489800669,8.58489800699,8.58489800699,6.4934420137
"t46",9.3579623995,6.9479683592,7.56583115823,7.56583115823,7.5658311583,7.5658311583,7.5658311584,7.5658311584,7.5658311584,0,0.803339946,1.87890948518,1.87890948518,3.3582227881,8.5848980066,8.5848980066,8.5848980062,8.5848980062,8.5848980065671,8.5848980065671,8.5848980065,8.5848980065,8.39837884,7.99147054675,8.58489800645,8.58489800645,8.51421453655,8.584898006437,8.584898006437,6.33804956835,7.0193094017,8.2384093328,7.1933613084,6.854772788,8.5848980062,8.5848980062,8.58489800627,8.58489800627,8.58489800627,8.5848980063,8.58489800622,8.58489800622,6.8472076775,7.0067944869,8.58489800666,8.58489800659,8.5848980066,8.5848980066,8.58489800616,8.58489800616,8.58489800616,8.58489800666,8.58489800666,8.58489800666,8.58489800666,8.58489800666,8.58489800671,8.58489800674,8.58489800674,8.58489800671,8.58489800671,8.58489800671,8.58489800671,8.58489800666,8.58489800666,8.58489800626,8.5848980061,8.48511200918,8.584898006105,8.584898006105,8.3777492417,8.58489800619,8.1777518466,8.58489800619,7.8878023884,8.5848980058,7.06152295519,8.58489800639,8.58489800639,8.58489800627,8.5048875118,8.58489800629,8.58489800627,8.58489800617,8.58489800617,8.58489800627,8.58489800627,7.82548366252,8.58489800649,8.58489800639,8.58489800634,8.58489800634,8.58489800634,8.58489800639,7.27259604279,8.5848980065,8.5848980065,8.58489800649,7.66636933449,8.58489800669,7.15525705949,8.5848980061,8.5848980064,8.5848980064,8.58489800679,7.58805341049,7.409835522,8.58489800639,8.58489800642,8.58489800637,8.58489800637,8.58489800642,8.58489800659,8.58489800639,8.58489800639,8.58489800639,8.58489800639,8.58489800639,8.58489800649,8.58489800649,8.58489800649,8.58489800649,8.58489800649,8.58489800679,8.58489800679,6.4934420135
