,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
t5,-4.385386,-1.3216159,4.0602183,22.95176,13.49595,-2.813953,4.5164256,-0.62426084,10.420746,17.76727,16.49813,6.174275,13.960201,-0.44751722,8.468885,3.1291287
t86,-6.938045,-2.069011,5.672357,34.89274,22.772076,-5.0716043,9.336044,-0.85013956,19.295313,32.36945,27.831211,8.258814,25.394745,-0.30821443,15.540619,7.8229804
t91,-6.94926,-2.1069381,5.621897,34.938103,22.756489,-5.1072855,9.26918,-0.8372043,19.251266,32.416225,27.994202,8.278531,25.455599,-0.28817734,15.484213,7.819196
t92,-6.911739,-2.081468,5.519964,34.839233,22.833351,-5.0563927,9.40131,-0.8712268,19.469816,32.319794,27.853338,8.323778,25.467342,-0.27654624,15.52158,7.7245936
t119,-6.8842835,-2.1158621,5.8134317,35.106945,22.932596,-5.079732,9.373746,-0.8821492,19.204302,32.620453,27.707237,8.225711,25.530373,-0.28997055,15.559542,7.641808
t120,-6.8871536,-2.1072059,5.779904,35.126293,22.942286,-5.080098,9.381889,-0.88625306,19.385193,32.57881,27.807766,8.212405,25.572447,-0.30201736,15.562239,7.6472616
t32,-5.9428606,-1.892371,4.910637,31.098722,20.714153,-4.1187754,8.307422,-0.41043997,18.42005,27.583717,24.879711,9.350449,23.592216,-0.47085807,14.669422,7.2478013
t162,-6.6085215,-2.026436,5.100477,34.59378,22.841496,-4.581966,8.848322,-0.4588172,20.301088,30.835266,27.29345,10.620355,26.202114,-0.5404405,15.836261,7.5112147
t163,-6.6090426,-2.0264103,5.102885,34.59363,22.842676,-4.5817842,8.847779,-0.45903596,20.302164,30.83665,27.293884,10.620679,26.201975,-0.54006696,15.836721,7.511373
t55,-6.3137393,-1.9624449,5.0196075,33.376953,21.56033,-4.4156957,8.669068,-0.42308837,19.222252,29.838028,26.27604,9.814979,25.056911,-0.49832138,15.151429,7.2181816
t50,-5.6596117,-1.906411,4.551362,30.539764,20.136055,-4.127829,8.598455,-0.33649454,17.584957,26.503376,24.298681,8.537793,23.345587,-0.5626289,15.008704,7.004345
t51,-6.2273602,-2.0820518,5.1634345,33.190514,21.811733,-4.4256225,8.857277,-0.48612127,18.680754,28.911827,26.165512,9.565297,24.91364,-0.43762308,15.991691,7.0009456
t46,-6.4458404,-2.1604064,5.40619,34.433517,22.808245,-4.661285,9.573795,-0.45421705,19.418888,30.269777,27.28475,9.45637,25.724424,-0.43893418,16.505281,7.5998073
t143,-6.6500506,-2.1700974,5.5905647,34.065292,23.01432,-4.8326106,9.506703,-0.40663823,20.52697,30.715057,28.079866,9.60879,26.150274,-0.50332487,16.923956,8.022201
t144,-6.650697,-2.166211,5.5950546,34.080322,23.03555,-4.8291335,9.510602,-0.40686542,20.507856,30.727598,28.071896,9.581609,26.15122,-0.50495553,16.923767,8.032077
