accepted_species,estimate
t135,1.2473563
t136,1.3448311
t117,1.3448311
t84,1.1137593
t146,1.3448311
t131,1.3448311
t132,1.3223115
t112,0.67034036
t113,0.83867747
t81,0.7411094
t123,1.0111104
t124,0.7411094
t45,0.8611971
t21,-0.53373563
