"accepted_species","sorted"
"t1",0.712942014636011
"t89",-2.27502171051961
"t90",-2.22373405549284
"t37",-1.52028881820409
"t38",-1.07297790757408
"t29",0.607666180134207
"t30",-0.0374735152020554
"t6",-1.18622834081702
"t67",-0.14060920077905
"t70",0.370849358059907
"t71",-0.383382806592428
"t60",NA
"t19",NA
"t81",-0.413524798296234
"t82",-0.559079273891912
"t72",-0.50654854623011
"t73",-0.879986966869102
"t56",-0.602035476140987
"t57",-0.17848801655241
"t3",0.020542494645515
"t99",-1.15858723802996
"t100",-1.15450070541559
"t76",-1.55356590294468
"t24",-0.840120598409538
"t21",NA
"t4",1.62775289120605
"t35",-0.0266081550352917
"t36",0.559479718896909
"t48",1.54915052226786
"t49",1.36480480691871
"t11",0.561204968516715
"t58",-0.232377493405654
"t59",NA
"t12",0.505836862709831
"t52",-0.402992511446628
"t53",0.172346662213117
"t7",1.32049439004956
"t44",0.394531012188354
"t45",0.307163978982462
"t26",0.480020594587762
"t32",0.172860717754873
"t33",1.17378002085304
"t23",-0.157710481032513
"t39",-0.617925279935885
"t42",NA
"t43",-1.02552100665509
"t17",-1.11423731291181
"t97",-1.3520171375905
"t98",-1.36909905234802
"t31",NA
"t46",-0.507570488027464
"t47",0.919117003679417
"t41",-0.266148879488111
"t16",-1.21906801448194
"t63",NA
"t64",-0.149118019362964
"t50",2.44745252755797
"t51",3.04448950820602
"t27",1.10301145337443
"t28",1.2270556122831
"t79",1.1263694691398
"t80",1.07247991039517
"t61",0.77137280869562
"t62",1.18441999073563
"t18",0.23953796520211
"t20",0.386492794550401
"t95",0.863503593738313
"t96",0.815705329079062
"t40",0.789682518488605
"t25",2.67514034718712
"t54",1.34359380585095
"t55",NA
"t22",1.03264035811854
"t9",-0.301412589316871
"t14",-0.559024560827342
"t15",-0.237880799802717
"t13",NA
"t77",0.388577783981748
"t78",-0.282680197703288
"t34",-0.215618975756105
"t93",-0.264560984459968
"t94",-0.230715825713484
"t10",-0.976127574492655
"t5",0.230078601882845
"t2",-0.570008402989352
"t68",NA
"t69",-0.552384750903057
"t85",-0.214401299745811
"t86",-0.383168563648357
"t83",0.895177201355146
"t84",0.621668373486393
"t74",-1.95396779162669
"t75",-1.66625172150272
"t65",-0.308331378761221
"t66",0.146050895944596
"t87",-0.140060129545262
"t88",-0.0719938620201122
"t91",-0.0668064856124573
"t92",0.515515278500558
"t8",1.46443992759124
