,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
t2,-4.584857,24.856972,19.088356,-3.2420464,-5.528522,5.086204,-4.282685,11.775053,5.5013437,-0.9132826,24.4178,-8.14192,-8.187554,-9.22158,6.7533164,6.688865
t19,-5.14172,27.549284,20.881151,-3.6706593,-7.3456926,9.337398,-5.415989,13.36606,7.64755,-0.4787767,23.443554,-8.854836,-9.215973,-10.530612,8.601083,6.3488154
t34,-5.9019055,33.140293,25.230106,-4.6201873,-8.8397875,11.372223,-6.4289536,15.820145,8.272879,-0.47201714,27.612255,-10.375782,-10.946028,-12.082465,10.257406,7.604807
t49,-6.3956523,35.350994,27.071167,-5.083794,-9.191721,12.220834,-6.832248,16.581789,8.886946,-0.5880134,29.815426,-11.124139,-11.779746,-12.950577,10.087106,7.448249
t50,-6.4035745,35.189083,26.693022,-5.0812154,-9.307955,12.10953,-6.7572684,16.830029,8.556587,-0.56964296,29.770868,-11.055595,-11.8421755,-12.825925,10.404445,7.6974163
t21,-4.8669076,26.018171,19.845936,-3.443571,-7.0547194,9.009969,-5.199506,12.521944,7.4605093,-0.33318505,21.524755,-8.358415,-8.660434,-10.02216,8.342976,5.563628
t16,-4.5041165,24.016356,18.198181,-3.1684184,-6.4952316,7.9094815,-4.7004056,11.935661,6.721857,-0.3580875,20.57058,-7.802334,-8.066665,-9.260394,7.947404,5.8928003
t32,-5.2891617,29.101852,21.880253,-3.9924283,-7.687343,9.399829,-5.463817,14.071947,7.1036325,-0.5709587,25.259571,-9.298682,-9.713735,-10.786776,9.2634325,7.6058836
t33,-6.1798024,35.01382,26.078838,-4.972279,-8.955335,11.26046,-6.437486,16.702824,7.7564273,-0.7755758,31.73529,-11.103474,-11.771968,-12.454179,10.311785,10.285978
t7,-2.4476883,16.939651,10.297596,-2.3399878,-3.6800861,4.521935,-2.6323483,8.377377,3.0757937,-0.90976316,19.59408,-5.0727715,-6.0535717,-4.8899684,4.4918656,10.259252
t29,-0.8757914,18.866173,4.0756073,-2.9040134,-4.0841684,4.3846374,-2.43962,13.961081,-0.6974604,-2.2058468,24.872726,-4.221771,-7.658001,-1.5011982,1.3199538,9.64882
t47,-1.6275648,26.14054,8.330956,-3.992262,-5.373816,5.3095307,-3.479821,17.335598,-0.7699718,-2.649987,32.34258,-5.9906473,-10.094194,-2.7762587,2.2044985,11.792248
t48,-1.6777757,26.167448,8.629283,-3.985415,-5.25968,5.22762,-3.3609467,17.183617,-0.8227798,-2.7367084,32.44749,-5.9485474,-10.006793,-2.8228025,1.8851668,11.935356
t73,-1.2300673,23.430696,6.4588466,-3.56078,-4.719506,4.731852,-2.9961717,16.254675,-0.8789464,-2.6512973,29.913818,-5.233545,-9.162819,-2.0339859,1.186865,10.890509
t79,-1.3534632,24.528915,7.1255627,-3.7354305,-4.946002,4.9610715,-3.1462753,16.777723,-0.8952506,-2.729312,30.990585,-5.5115757,-9.504695,-2.2284129,1.333011,11.201322
t86,-1.5229791,25.83851,7.971224,-3.9123864,-5.216978,5.449065,-3.3322816,17.417475,-0.92512673,-2.779452,32.33667,-5.8865733,-9.976153,-2.6583426,1.715627,11.755819
t87,-1.5774376,25.974482,8.026238,-3.959489,-5.274229,5.414779,-3.376376,17.558338,-0.9023606,-2.7977312,32.49322,-5.9439473,-10.05724,-2.67857,1.6052892,11.668571
t65,-1.6136446,25.703285,8.032899,-3.9254205,-5.2095447,5.234886,-3.3277473,17.49187,-0.8941318,-2.8001962,32.43277,-5.918386,-10.005451,-2.7219899,1.4512323,11.520355
t67,-1.7181952,25.432598,7.6146755,-4.07434,-5.2490096,5.105175,-3.011068,17.681273,-0.9748454,-3.120727,32.83488,-5.910023,-10.120655,-2.8875883,2.0153718,11.93573
t80,-1.6841093,25.286566,7.5787773,-4.0107074,-5.096601,4.798062,-2.9775045,17.4461,-0.9857108,-3.193137,32.84757,-5.874141,-10.057625,-2.9178255,1.6044554,11.93845
t108,-1.6431884,25.328907,7.3968806,-4.0140524,-5.0795126,4.7793484,-2.995011,17.440418,-1.0017091,-3.2002263,32.924316,-5.831439,-10.094414,-2.8189993,1.4813188,11.747464
