"","t2","t19","t34","t49","t50","t21","t16","t32","t33","t7","t29","t47","t48","t73","t79","t86","t87","t65","t67","t80","t108","t109","t54","t141","t142","t140","t111","t112","t84","t85","t154","t155","t35","t39","t40","t145","t146","t68","t123","t138","t139","t150","t151","t124","t113","t114","t100","t131","t147","t160","t161","t46","t41","t42","t152","t153","t66","t55","t56","t36","t28","t134","t135","t24","t23","t12","t63","t106","t107","t102","t148","t149","t105","t103","t156","t157","t92","t121","t122","t115","t116","t128","t132","t133","t110","t72","t81","t119","t120","t126","t127","t104","t26","t45","t88","t89","t69","t70","t125","t158","t159","t62","t51","t27","t101","t143","t144","t78","t75","t60","t61","t25","t76","t96","t97","t71","t129","t130","t52","t136","t137","t93","t83","t22","t11","t8","t9","t10","t17","t18","t98","t99","t82","t58","t59","t44","t37","t38","t57","t74","t117","t118","t64","t94","t95","t20","t15","t4","t3","t6","t13","t14","t30","t31","t43","t53","t77","t90","t91","t5","t1"
"t2",0,5.15714332298,6.52006490738,7.18573558338,7.18573558338,4.70171377958,4.23739434498,5.58473036838,7.18573558338,3.52003455156,5.23709179864,7.1857355822,7.1857355822,6.53123072864,6.79523414444,7.18573558254,7.18573558254,7.18573558264,7.18573558276,7.18573558276,7.18573558266,7.18573558266,7.18573558316,7.185735582724,7.185735582724,7.18573558266,7.18573558266,6.90934022836,6.78661995336,7.18573558306,7.18573558373,7.18573558373,7.18573558296,7.18573558356,6.94215559356,7.18573558346,7.18573558346,7.18573558326,7.18573558326,7.18573558326,7.18573558326,7.1857355832,7.1857355832,6.97282157896,7.18573558314,7.18573558314,7.18573558314,7.18573558314,7.18573558324,7.1857355832056,7.1857355832056,7.18573558344,5.99059250226,5.6049522758,7.18573558307,7.18573558307,6.34539264498,6.87393607768,6.73957172768,7.18573558308,7.18573558364,7.18573558284,7.18573558284,7.18573558344,5.57848727416,4.10292534386,6.29545414911,6.80612229232,7.18573558282,7.18573558279,7.1857355836,7.1857355836,7.1857355836,7.18573558359,7.18573558367,7.18573558367,7.18573558359,7.18573558359,7.18573558359,7.18573558369,6.78390950325,7.18573558404,7.18573558409,7.18573558409,7.18573558414,7.18573558374,7.185735583823,7.185735583723,7.185735583723,7.185735583623,6.897883437713,7.166092481523,6.13413033532,6.345761239575,7.185735583175,7.185735583175,7.185735583255,7.097565961555,7.185735583255,7.185735583315,7.185735583315,6.448175784675,5.936758771275,5.110241281195,6.87060447924,7.18573558284,7.18573558284,7.18573558284,7.12857613412,7.18573558312,7.18573558312,5.14139150156,6.92193732816,7.18573558326,7.18573558326,6.47514140126,7.18573558326,7.18573558326,6.62674777916,7.18573558339,7.18573558339,7.18573558339,7.18573558336,5.49304047091,5.86878253506,3.25735806478,6.24789118861,3.93077749181,7.18573558288,4.38880055982,7.18573558312,7.18573558312,6.59642959171,7.18573558292,7.18573558292,5.70459988343,7.18573558322,7.18573558322,7.18573558272,7.18573558302,7.18573558302,7.18573558302,6.51067427432,6.96550286652,7.18573558252,5.24356447342,4.65178921918,2.48380958818,2.5367188154,2.87999021105,5.51779860925,4.43322176375,5.95038761215,5.720806689931,5.818213231131,7.185735583231,7.185735583631,6.907565837631,7.185735583631,3.7602337305,2.5316394929
"t19",5.15714332298,0,2.8744182898,3.5400889658,3.5400889658,1.056067162,1.7582168306,3.105552854,4.706558069,4.14291376118,5.85997100826,7.80861479182,7.80861479182,7.15410993826,7.41811335406,7.80861479216,7.80861479216,7.80861479226,7.80861479238,7.80861479238,7.80861479228,7.80861479228,7.80861479278,7.808614792344,7.808614792344,7.80861479228,7.80861479228,7.53221943798,7.40949916298,7.80861479268,7.80861479335,7.80861479335,7.80861479258,7.80861479318,7.56503480318,7.80861479308,7.80861479308,7.80861479288,7.80861479288,7.80861479288,7.80861479288,7.80861479282,7.80861479282,7.59570078858,7.80861479276,7.80861479276,7.80861479276,7.80861479276,7.80861479286,7.8086147928256,7.8086147928256,7.80861479306,6.61347171188,6.22783148542,7.80861479269,7.80861479269,6.9682718546,7.4968152873,7.3624509373,7.8086147927,7.80861479326,7.80861479246,7.80861479246,7.80861479306,6.20136648378,4.72580455348,6.91833335873,7.42900150194,7.80861479244,7.80861479241,7.80861479322,7.80861479322,7.80861479322,7.80861479321,7.80861479329,7.80861479329,7.80861479321,7.80861479321,7.80861479321,7.80861479331,7.40678871287,7.80861479366,7.80861479371,7.80861479371,7.80861479376,7.80861479336,7.808614793443,7.808614793343,7.808614793343,7.808614793243,7.520762647333,7.788971691143,6.75700954494,6.968640449195,7.808614792795,7.808614792795,7.808614792875,7.720445171175,7.808614792875,7.808614792935,7.808614792935,7.071054994295,6.559637980895,5.733120490815,7.49348368886,7.80861479246,7.80861479246,7.80861479246,7.75145534374,7.80861479274,7.80861479274,5.76427071118,7.54481653778,7.80861479288,7.80861479288,7.09802061088,7.80861479288,7.80861479288,7.24962698878,7.80861479301,7.80861479301,7.80861479301,7.80861479298,6.11591968053,6.49166174468,3.8802372744,6.87077039823,4.55365670143,7.8086147925,5.01167976944,7.80861479274,7.80861479274,7.21930880133,7.80861479254,7.80861479254,6.32747909305,7.80861479284,7.80861479284,7.80861479234,7.80861479264,7.80861479264,7.80861479264,7.13355348394,7.58838207614,7.80861479214,5.86644368304,5.2746684288,3.3899976534,3.56321069798,4.48103336423,7.11884176243,6.03426491693,7.55143076533,7.321849843111,7.419256384311,8.786778736411,8.786778736811,8.508608990811,8.786778736811,5.36127688368,5.46301632188
"t34",6.52006490738,2.8744182898,0,3.206646268,3.206646268,2.1467835942,3.121138415,4.4684744384,6.0694796534,5.50583534558,7.22289259266,9.17153637622,9.17153637622,8.51703152266,8.78103493846,9.17153637656,9.17153637656,9.17153637666,9.17153637678,9.17153637678,9.17153637668,9.17153637668,9.17153637718,9.171536376744,9.171536376744,9.17153637668,9.17153637668,8.89514102238,8.77242074738,9.17153637708,9.17153637775,9.17153637775,9.17153637698,9.17153637758,8.92795638758,9.17153637748,9.17153637748,9.17153637728,9.17153637728,9.17153637728,9.17153637728,9.17153637722,9.17153637722,8.95862237298,9.17153637716,9.17153637716,9.17153637716,9.17153637716,9.17153637726,9.1715363772256,9.1715363772256,9.17153637746,7.97639329628,7.59075306982,9.17153637709,9.17153637709,8.331193439,8.8597368717,8.7253725217,9.1715363771,9.17153637766,9.17153637686,9.17153637686,9.17153637746,7.56428806818,6.08872613788,8.28125494313,8.79192308634,9.17153637684,9.17153637681,9.17153637762,9.17153637762,9.17153637762,9.17153637761,9.17153637769,9.17153637769,9.17153637761,9.17153637761,9.17153637761,9.17153637771,8.76971029727,9.17153637806,9.17153637811,9.17153637811,9.17153637816,9.17153637776,9.171536377843,9.171536377743,9.171536377743,9.171536377643,8.883684231733,9.151893275543,8.11993112934,8.331562033595,9.171536377195,9.171536377195,9.171536377275,9.083366755575,9.171536377275,9.171536377335,9.171536377335,8.433976578695,7.922559565295,7.096042075215,8.85640527326,9.17153637686,9.17153637686,9.17153637686,9.11437692814,9.17153637714,9.17153637714,7.12719229558,8.90773812218,9.17153637728,9.17153637728,8.46094219528,9.17153637728,9.17153637728,8.61254857318,9.17153637741,9.17153637741,9.17153637741,9.17153637738,7.47884126493,7.85458332908,5.2431588588,8.23369198263,5.91657828583,9.1715363769,6.37460135384,9.17153637714,9.17153637714,8.58223038573,9.17153637694,9.17153637694,7.69040067745,9.17153637724,9.17153637724,9.17153637674,9.17153637704,9.17153637704,9.17153637704,8.49647506834,8.95130366054,9.17153637654,7.22936526744,6.6375900132,4.7529192378,4.92613228238,5.84395494863,8.48176334683,7.39718650133,8.91435234973,8.684771427511,8.782177968711,10.149700320811,10.149700321211,9.871530575211,10.149700321211,6.72419846808,6.82593790628
"t49",7.18573558338,3.5400889658,3.206646268,0,2.813333964,2.8124542702,3.786809091,5.1341451144,6.7351503294,6.17150602158,7.88856326866,9.83720705222,9.83720705222,9.18270219866,9.44670561446,9.83720705256,9.83720705256,9.83720705266,9.83720705278,9.83720705278,9.83720705268,9.83720705268,9.83720705318,9.837207052744,9.837207052744,9.83720705268,9.83720705268,9.56081169838,9.43809142338,9.83720705308,9.83720705375,9.83720705375,9.83720705298,9.83720705358,9.59362706358,9.83720705348,9.83720705348,9.83720705328,9.83720705328,9.83720705328,9.83720705328,9.83720705322,9.83720705322,9.62429304898,9.83720705316,9.83720705316,9.83720705316,9.83720705316,9.83720705326,9.8372070532256,9.8372070532256,9.83720705346,8.64206397228,8.25642374582,9.83720705309,9.83720705309,8.996864115,9.5254075477,9.3910431977,9.8372070531,9.83720705366,9.83720705286,9.83720705286,9.83720705346,8.22995874418,6.75439681388,8.94692561913,9.45759376234,9.83720705284,9.83720705281,9.83720705362,9.83720705362,9.83720705362,9.83720705361,9.83720705369,9.83720705369,9.83720705361,9.83720705361,9.83720705361,9.83720705371,9.43538097327,9.83720705406,9.83720705411,9.83720705411,9.83720705416,9.83720705376,9.837207053843,9.837207053743,9.837207053743,9.837207053643,9.549354907733,9.817563951543,8.78560180534,8.997232709595,9.837207053195,9.837207053195,9.837207053275,9.749037431575,9.837207053275,9.837207053335,9.837207053335,9.099647254695,8.588230241295,7.761712751215,9.52207594926,9.83720705286,9.83720705286,9.83720705286,9.78004760414,9.83720705314,9.83720705314,7.79286297158,9.57340879818,9.83720705328,9.83720705328,9.12661287128,9.83720705328,9.83720705328,9.27821924918,9.83720705341,9.83720705341,9.83720705341,9.83720705338,8.14451194093,8.52025400508,5.9088295348,8.89936265863,6.58224896183,9.8372070529,7.04027202984,9.83720705314,9.83720705314,9.24790106173,9.83720705294,9.83720705294,8.35607135345,9.83720705324,9.83720705324,9.83720705274,9.83720705304,9.83720705304,9.83720705304,9.16214574434,9.61697433654,9.83720705254,7.89503594344,7.3032606892,5.4185899138,5.59180295838,6.50962562463,9.14743402283,8.06285717733,9.58002302573,9.350442103511,9.447848644711,10.815370996811,10.815370997211,10.537201251211,10.815370997211,7.38986914408,7.49160858228
"t50",7.18573558338,3.5400889658,3.206646268,2.813333964,0,2.8124542702,3.786809091,5.1341451144,6.7351503294,6.17150602158,7.88856326866,9.83720705222,9.83720705222,9.18270219866,9.44670561446,9.83720705256,9.83720705256,9.83720705266,9.83720705278,9.83720705278,9.83720705268,9.83720705268,9.83720705318,9.837207052744,9.837207052744,9.83720705268,9.83720705268,9.56081169838,9.43809142338,9.83720705308,9.83720705375,9.83720705375,9.83720705298,9.83720705358,9.59362706358,9.83720705348,9.83720705348,9.83720705328,9.83720705328,9.83720705328,9.83720705328,9.83720705322,9.83720705322,9.62429304898,9.83720705316,9.83720705316,9.83720705316,9.83720705316,9.83720705326,9.8372070532256,9.8372070532256,9.83720705346,8.64206397228,8.25642374582,9.83720705309,9.83720705309,8.996864115,9.5254075477,9.3910431977,9.8372070531,9.83720705366,9.83720705286,9.83720705286,9.83720705346,8.22995874418,6.75439681388,8.94692561913,9.45759376234,9.83720705284,9.83720705281,9.83720705362,9.83720705362,9.83720705362,9.83720705361,9.83720705369,9.83720705369,9.83720705361,9.83720705361,9.83720705361,9.83720705371,9.43538097327,9.83720705406,9.83720705411,9.83720705411,9.83720705416,9.83720705376,9.837207053843,9.837207053743,9.837207053743,9.837207053643,9.549354907733,9.817563951543,8.78560180534,8.997232709595,9.837207053195,9.837207053195,9.837207053275,9.749037431575,9.837207053275,9.837207053335,9.837207053335,9.099647254695,8.588230241295,7.761712751215,9.52207594926,9.83720705286,9.83720705286,9.83720705286,9.78004760414,9.83720705314,9.83720705314,7.79286297158,9.57340879818,9.83720705328,9.83720705328,9.12661287128,9.83720705328,9.83720705328,9.27821924918,9.83720705341,9.83720705341,9.83720705341,9.83720705338,8.14451194093,8.52025400508,5.9088295348,8.89936265863,6.58224896183,9.8372070529,7.04027202984,9.83720705314,9.83720705314,9.24790106173,9.83720705294,9.83720705294,8.35607135345,9.83720705324,9.83720705324,9.83720705274,9.83720705304,9.83720705304,9.83720705304,9.16214574434,9.61697433654,9.83720705254,7.89503594344,7.3032606892,5.4185899138,5.59180295838,6.50962562463,9.14743402283,8.06285717733,9.58002302573,9.350442103511,9.447848644711,10.815370996811,10.815370997211,10.537201251211,10.815370997211,7.38986914408,7.49160858228
"t21",4.70171377958,1.056067162,2.1467835942,2.8124542702,2.8124542702,0,1.3027872872,2.6501233106,4.2511285256,3.68748421778,5.40454146486,7.35318524842,7.35318524842,6.69868039486,6.96268381066,7.35318524876,7.35318524876,7.35318524886,7.35318524898,7.35318524898,7.35318524888,7.35318524888,7.35318524938,7.353185248944,7.353185248944,7.35318524888,7.35318524888,7.07678989458,6.95406961958,7.35318524928,7.35318524995,7.35318524995,7.35318524918,7.35318524978,7.10960525978,7.35318524968,7.35318524968,7.35318524948,7.35318524948,7.35318524948,7.35318524948,7.35318524942,7.35318524942,7.14027124518,7.35318524936,7.35318524936,7.35318524936,7.35318524936,7.35318524946,7.3531852494256,7.3531852494256,7.35318524966,6.15804216848,5.77240194202,7.35318524929,7.35318524929,6.5128423112,7.0413857439,6.9070213939,7.3531852493,7.35318524986,7.35318524906,7.35318524906,7.35318524966,5.74593694038,4.27037501008,6.46290381533,6.97357195854,7.35318524904,7.35318524901,7.35318524982,7.35318524982,7.35318524982,7.35318524981,7.35318524989,7.35318524989,7.35318524981,7.35318524981,7.35318524981,7.35318524991,6.95135916947,7.35318525026,7.35318525031,7.35318525031,7.35318525036,7.35318524996,7.353185250043,7.353185249943,7.353185249943,7.353185249843,7.065333103933,7.333542147743,6.30158000154,6.513210905795,7.353185249395,7.353185249395,7.353185249475,7.265015627775,7.353185249475,7.353185249535,7.353185249535,6.615625450895,6.104208437495,5.277690947415,7.03805414546,7.35318524906,7.35318524906,7.35318524906,7.29602580034,7.35318524934,7.35318524934,5.30884116778,7.08938699438,7.35318524948,7.35318524948,6.64259106748,7.35318524948,7.35318524948,6.79419744538,7.35318524961,7.35318524961,7.35318524961,7.35318524958,5.66049013713,6.03623220128,3.424807731,6.41534085483,4.09822715803,7.3531852491,4.55625022604,7.35318524934,7.35318524934,6.76387925793,7.35318524914,7.35318524914,5.87204954965,7.35318524944,7.35318524944,7.35318524894,7.35318524924,7.35318524924,7.35318524924,6.67812394054,7.13295253274,7.35318524874,5.41101413964,4.8192388854,2.93456811,3.10778115458,4.02560382083,6.66341221903,5.57883537353,7.09600122193,6.866420299711,6.963826840911,8.331349193011,8.331349193411,8.053179447411,8.331349193411,4.90584734028,5.00758677848
"t16",4.23739434498,1.7582168306,3.121138415,3.786809091,3.786809091,1.3027872872,0,1.6863949266,3.2874001416,3.22316478318,4.94022203026,6.88886581382,6.88886581382,6.23436096026,6.49836437606,6.88886581416,6.88886581416,6.88886581426,6.88886581438,6.88886581438,6.88886581428,6.88886581428,6.88886581478,6.888865814344,6.888865814344,6.88886581428,6.88886581428,6.61247045998,6.48975018498,6.88886581468,6.88886581535,6.88886581535,6.88886581458,6.88886581518,6.64528582518,6.88886581508,6.88886581508,6.88886581488,6.88886581488,6.88886581488,6.88886581488,6.88886581482,6.88886581482,6.67595181058,6.88886581476,6.88886581476,6.88886581476,6.88886581476,6.88886581486,6.8888658148256,6.8888658148256,6.88886581506,5.69372273388,5.30808250742,6.88886581469,6.88886581469,6.0485228766,6.5770663093,6.4427019593,6.8888658147,6.88886581526,6.88886581446,6.88886581446,6.88886581506,5.28161750578,3.80605557548,5.99858438073,6.50925252394,6.88886581444,6.88886581441,6.88886581522,6.88886581522,6.88886581522,6.88886581521,6.88886581529,6.88886581529,6.88886581521,6.88886581521,6.88886581521,6.88886581531,6.48703973487,6.88886581566,6.88886581571,6.88886581571,6.88886581576,6.88886581536,6.888865815443,6.888865815343,6.888865815343,6.888865815243,6.601013669333,6.869222713143,5.83726056694,6.048891471195,6.888865814795,6.888865814795,6.888865814875,6.800696193175,6.888865814875,6.888865814935,6.888865814935,6.151306016295,5.639889002895,4.813371512815,6.57373471086,6.88886581446,6.88886581446,6.88886581446,6.83170636574,6.88886581474,6.88886581474,4.84452173318,6.62506755978,6.88886581488,6.88886581488,6.17827163288,6.88886581488,6.88886581488,6.32987801078,6.88886581501,6.88886581501,6.88886581501,6.88886581498,5.19617070253,5.57191276668,2.9604882964,5.95102142023,3.63390772343,6.8888658145,4.09193079144,6.88886581474,6.88886581474,6.29955982333,6.88886581454,6.88886581454,5.40773011505,6.88886581484,6.88886581484,6.88886581434,6.88886581464,6.88886581464,6.88886581464,6.21380450594,6.66863309814,6.88886581414,4.94669470504,4.3549194508,2.4702486754,2.64346171998,3.56128438623,6.19909278443,5.11451593893,6.63168178733,6.402100865111,6.499507406311,7.867029758411,7.867029758811,7.588860012811,7.867029758811,4.44152790568,4.54326734388
"t32",5.58473036838,3.105552854,4.4684744384,5.1341451144,5.1341451144,2.6501233106,1.6863949266,0,2.319126765,4.57050080658,6.28755805366,8.23620183722,8.23620183722,7.58169698366,7.84570039946,8.23620183756,8.23620183756,8.23620183766,8.23620183778,8.23620183778,8.23620183768,8.23620183768,8.23620183818,8.236201837744,8.236201837744,8.23620183768,8.23620183768,7.95980648338,7.83708620838,8.23620183808,8.23620183875,8.23620183875,8.23620183798,8.23620183858,7.99262184858,8.23620183848,8.23620183848,8.23620183828,8.23620183828,8.23620183828,8.23620183828,8.23620183822,8.23620183822,8.02328783398,8.23620183816,8.23620183816,8.23620183816,8.23620183816,8.23620183826,8.2362018382256,8.2362018382256,8.23620183846,7.04105875728,6.65541853082,8.23620183809,8.23620183809,7.3958589,7.9244023327,7.7900379827,8.2362018381,8.23620183866,8.23620183786,8.23620183786,8.23620183846,6.62895352918,5.15339159888,7.34592040413,7.85658854734,8.23620183784,8.23620183781,8.23620183862,8.23620183862,8.23620183862,8.23620183861,8.23620183869,8.23620183869,8.23620183861,8.23620183861,8.23620183861,8.23620183871,7.83437575827,8.23620183906,8.23620183911,8.23620183911,8.23620183916,8.23620183876,8.236201838843,8.236201838743,8.236201838743,8.236201838643,7.948349692733,8.216558736543,7.18459659034,7.396227494595,8.236201838195,8.236201838195,8.236201838275,8.148032216575,8.236201838275,8.236201838335,8.236201838335,7.498642039695,6.987225026295,6.160707536215,7.92107073426,8.23620183786,8.23620183786,8.23620183786,8.17904238914,8.23620183814,8.23620183814,6.19185775658,7.97240358318,8.23620183828,8.23620183828,7.52560765628,8.23620183828,8.23620183828,7.67721403418,8.23620183841,8.23620183841,8.23620183841,8.23620183838,6.54350672593,6.91924879008,4.3078243198,7.29835744363,4.98124374683,8.2362018379,5.43926681484,8.23620183814,8.23620183814,7.64689584673,8.23620183794,8.23620183794,6.75506613845,8.23620183824,8.23620183824,8.23620183774,8.23620183804,8.23620183804,8.23620183804,7.56114052934,8.01596912154,8.23620183754,6.29403072844,5.7022554742,3.8175846988,3.99079774338,4.90862040963,7.54642880783,6.46185196233,7.97901781073,7.749436888511,7.846843429711,9.214365781811,9.214365782211,8.936196036211,9.214365782211,5.78886392908,5.89060336728
"t33",7.18573558338,4.706558069,6.0694796534,6.7351503294,6.7351503294,4.2511285256,3.2874001416,2.319126765,0,6.17150602158,7.88856326866,9.83720705222,9.83720705222,9.18270219866,9.44670561446,9.83720705256,9.83720705256,9.83720705266,9.83720705278,9.83720705278,9.83720705268,9.83720705268,9.83720705318,9.837207052744,9.837207052744,9.83720705268,9.83720705268,9.56081169838,9.43809142338,9.83720705308,9.83720705375,9.83720705375,9.83720705298,9.83720705358,9.59362706358,9.83720705348,9.83720705348,9.83720705328,9.83720705328,9.83720705328,9.83720705328,9.83720705322,9.83720705322,9.62429304898,9.83720705316,9.83720705316,9.83720705316,9.83720705316,9.83720705326,9.8372070532256,9.8372070532256,9.83720705346,8.64206397228,8.25642374582,9.83720705309,9.83720705309,8.996864115,9.5254075477,9.3910431977,9.8372070531,9.83720705366,9.83720705286,9.83720705286,9.83720705346,8.22995874418,6.75439681388,8.94692561913,9.45759376234,9.83720705284,9.83720705281,9.83720705362,9.83720705362,9.83720705362,9.83720705361,9.83720705369,9.83720705369,9.83720705361,9.83720705361,9.83720705361,9.83720705371,9.43538097327,9.83720705406,9.83720705411,9.83720705411,9.83720705416,9.83720705376,9.837207053843,9.837207053743,9.837207053743,9.837207053643,9.549354907733,9.817563951543,8.78560180534,8.997232709595,9.837207053195,9.837207053195,9.837207053275,9.749037431575,9.837207053275,9.837207053335,9.837207053335,9.099647254695,8.588230241295,7.761712751215,9.52207594926,9.83720705286,9.83720705286,9.83720705286,9.78004760414,9.83720705314,9.83720705314,7.79286297158,9.57340879818,9.83720705328,9.83720705328,9.12661287128,9.83720705328,9.83720705328,9.27821924918,9.83720705341,9.83720705341,9.83720705341,9.83720705338,8.14451194093,8.52025400508,5.9088295348,8.89936265863,6.58224896183,9.8372070529,7.04027202984,9.83720705314,9.83720705314,9.24790106173,9.83720705294,9.83720705294,8.35607135345,9.83720705324,9.83720705324,9.83720705274,9.83720705304,9.83720705304,9.83720705304,9.16214574434,9.61697433654,9.83720705254,7.89503594344,7.3032606892,5.4185899138,5.59180295838,6.50962562463,9.14743402283,8.06285717733,9.58002302573,9.350442103511,9.447848644711,10.815370996811,10.815370997211,10.537201251211,10.815370997211,7.38986914408,7.49160858228
"t7",3.52003455156,4.14291376118,5.50583534558,6.17150602158,6.17150602158,3.68748421778,3.22316478318,4.57050080658,6.17150602158,0,2.76288271548,4.71152649904,4.71152649904,4.05702164548,4.32102506128,4.71152649938,4.71152649938,4.71152649948,4.7115264996,4.7115264996,4.7115264995,4.7115264995,4.7115265,4.711526499564,4.711526499564,4.7115264995,4.7115264995,4.4351311452,4.3124108702,4.7115264999,4.71152650057,4.71152650057,4.7115264998,4.7115265004,4.4679465104,4.7115265003,4.7115265003,4.7115265001,4.7115265001,4.7115265001,4.7115265001,4.71152650004,4.71152650004,4.4986124958,4.71152649998,4.71152649998,4.71152649998,4.71152649998,4.71152650008,4.7115265000456,4.7115265000456,4.71152650028,3.5163834191,3.13074319264,4.71152649991,4.71152649991,3.87118356182,4.39972699452,4.26536264452,4.71152649992,4.71152650048,4.71152649968,4.71152649968,4.71152650028,3.104278191,1.6287162607,3.82124506595,4.33191320916,4.71152649966,4.71152649963,4.71152650044,4.71152650044,4.71152650044,4.71152650043,4.71152650051,4.71152650051,4.71152650043,4.71152650043,4.71152650043,4.71152650053,4.30970042009,4.71152650088,4.71152650093,4.71152650093,4.71152650098,4.71152650058,4.711526500663,4.711526500563,4.711526500563,4.711526500463,4.423674354553,4.691883398363,3.65992125216,3.871552156415,4.711526500015,4.711526500015,4.711526500095,4.623356878395,4.711526500095,4.711526500155,4.711526500155,3.973966701515,3.462549688115,2.636032198035,4.39639539608,4.71152649968,4.71152649968,4.71152649968,4.65436705096,4.71152649996,4.71152649996,2.6671824184,4.447728245,4.7115265001,4.7115265001,4.0009323181,4.7115265001,4.7115265001,4.152538696,4.71152650023,4.71152650023,4.71152650023,4.7115265002,3.01883138775,3.3945734519,0.96026751098,3.95080063481,1.63368693801,4.88864502908,2.09171000602,4.88864502932,4.88864502932,4.29933903791,4.88864502912,4.88864502912,3.40750932963,4.88864502942,4.88864502942,4.88864502892,4.88864502922,4.88864502922,4.88864502922,4.21358372052,4.66841231272,4.88864502872,2.94647391962,2.35469866538,1.75288888198,1.92610192656,2.84392459281,5.48173299101,4.39715614551,5.91432199391,5.684741071691,5.782147612891,7.149669964991,7.149669965391,6.871500219391,7.149669965391,3.72416811226,3.82590755046
