,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
t2,0.66188973,0.90451956,4.2348604,4.52697,4.024587,3.9168575,4.302246,3.6829836,4.1801167,6.50093,3.9996746,6.483938,4.3608613,5.701487,7.132648,4.0708675
t19,0.5047968,0.99029535,4.004298,4.6301875,3.9082468,3.8719246,4.3944116,3.6083555,4.055795,6.4079876,3.9626281,6.7224817,4.3277984,5.566544,6.998748,4.03849
t34,0.4499709,0.9657984,3.7498078,4.821403,3.625525,3.780786,4.5841146,3.5064716,4.0300765,6.5486813,4.1457534,6.9428387,4.4989,5.5804524,6.7720437,3.8804173
t49,0.39821833,0.9057111,3.6485155,4.947491,3.5785272,3.6668918,4.587878,3.4437027,4.0631447,6.5431767,4.1117167,7.0074034,4.556253,5.6070223,6.755264,3.7852457
t50,0.39529842,0.95266664,3.6773922,4.8734984,3.5989327,3.7417457,4.618395,3.4542446,3.986781,6.5000615,4.140667,6.9790707,4.4859877,5.5713544,6.7425985,3.8546731
t21,0.5616766,0.97389674,4.0740867,4.5904202,3.9336972,3.8984113,4.375962,3.6432335,4.0803204,6.43868,3.9918976,6.6660595,4.3372827,5.6018777,7.0270524,4.054425
t16,0.63894945,0.9887594,4.18749,4.5040226,3.9765365,3.96175,4.3366113,3.7187822,4.072931,6.4416533,3.9932828,6.604298,4.301268,5.608805,7.0612187,4.1102095
t32,0.5095204,0.964817,3.9344494,4.6987133,3.7958443,3.836691,4.4742036,3.568764,4.0535874,6.4863415,4.0565634,6.792875,4.394272,5.590061,6.9088097,3.9698186
t33,0.45805818,0.99726325,3.7015796,4.844157,3.5967667,3.7639933,4.603871,3.4923728,4.0085387,6.5459642,4.141095,7.003205,4.505736,5.541915,6.7480183,3.865522
t7,1.1290283,1.0560607,4.8797975,3.9536107,4.360694,4.3134704,4.0758576,4.1259446,4.1993966,6.309808,4.070513,5.9544525,4.283561,5.728083,7.4393187,4.53873
t29,-3.0290396,7.0334287,4.725297,7.046297,4.0528426,6.017183,7.677162,6.4201984,0.6407845,7.0916553,5.833163,2.8253565,1.4474545,7.125202,9.249651,0.8949394
t47,-0.058714774,10.380739,1.6242572,8.148152,3.8648562,5.1297655,5.0436425,1.3462905,3.6083858,7.046274,2.6662169,4.4803147,0.9704063,12.683407,6.975506,5.001648
t48,-0.0022695144,10.36135,1.6035566,8.112799,3.8792396,5.160161,5.1608934,1.4513991,3.5504131,6.9392548,2.6360407,4.490465,1.0080698,12.693538,7.053683,4.9356265
t73,-0.03561916,10.203374,1.5905111,8.037946,3.9256854,5.190824,4.9168887,1.4210757,3.2904322,7.036897,2.7709768,4.3399816,0.8335223,12.561978,6.9201193,4.9092383
t79,-0.080807775,10.25443,1.5877516,8.003168,3.956863,5.193381,5.04287,1.4543302,3.3307912,7.0381184,2.7525885,4.3686485,0.88346654,12.606064,6.9285603,4.951992
t86,-0.10433508,10.342142,1.5497593,8.015533,3.9895828,5.2410126,4.930589,1.4034201,3.4753752,7.0127954,2.736078,4.466876,0.9213501,12.628527,7.0204167,5.0029855
t87,-0.03485873,10.297144,1.6233816,8.044847,3.965995,5.231286,5.023263,1.3791842,3.4361315,6.974702,2.763515,4.4068475,0.9551402,12.663257,6.960969,4.896446
t65,-0.06859908,10.319472,1.6333662,8.023251,3.963909,5.203835,5.1057053,1.4060409,3.4200687,6.9989467,2.738072,4.4155746,0.99536276,12.696948,6.9501896,4.930985
t67,-0.021315074,10.25643,1.5782712,8.19368,3.7851439,5.0834513,4.7536454,1.3279159,3.578372,7.105675,2.6697388,4.3853464,0.77838796,12.5317545,6.936796,4.979213
t80,0.07028701,10.269559,1.6667404,8.314906,3.7007134,5.014446,4.705104,1.2214601,3.5656571,7.102233,2.6425865,4.3976684,0.88550735,12.5925455,6.853007,4.945786
t108,0.054348834,10.225131,1.6151791,8.195113,3.8173857,5.1298275,4.6402493,1.2469122,3.4993427,7.0629206,2.740354,4.3481855,0.8303175,12.577044,6.905279,4.888969
t109,0.07571269,10.223791,1.6323061,8.232817,3.7952867,5.1177144,4.628264,1.2150959,3.5184546,7.063013,2.737428,4.350507,0.85118383,12.5884285,6.894409,4.883144
t54,0.14456247,10.072479,1.487719,8.168832,3.6951063,4.987676,4.6514363,1.3353525,3.3722844,7.032409,2.702307,4.2892237,0.834918,12.414071,7.030514,4.891148
t141,0.17435387,10.002726,1.4965762,8.1965685,3.657884,4.9606595,4.5030103,1.2357706,3.3130512,7.0706677,2.6980865,4.22196,0.77561665,12.367555,6.9727464,4.869483
t142,0.122796126,10.046191,1.5505205,8.209534,3.6953275,4.9967456,4.491848,1.1696863,3.3449285,7.109885,2.6888535,4.228561,0.7494947,12.4109335,6.9006367,4.8886857
t140,0.24460255,9.951397,1.4346064,8.116654,3.7075443,5.014975,4.4684887,1.2962555,3.253687,6.9836287,2.7843173,4.1919765,0.8055558,12.345681,7.082798,4.792043
t111,0.11550147,10.05395,1.4547839,8.131852,3.6817548,4.9184685,4.572942,1.2913517,3.2373447,7.0989265,2.6517236,4.2081914,0.7795372,12.355987,6.978205,4.916393
t112,0.15211539,10.012744,1.4962529,8.180943,3.6723075,4.961005,4.5170455,1.2392693,3.290818,7.082763,2.6925116,4.217094,0.76861316,12.367996,6.9583335,4.879616
t84,-0.14208272,10.418693,1.5078893,8.10758,3.8472543,5.081511,5.3778524,1.6114128,3.8726118,7.0493484,2.5810375,4.5647273,0.9598026,12.628382,7.165307,5.1490307
