"accepted_species","I1.1/1"
"t58","1"
"t59","0"
"t73","1"
"t72","1"
"t24","1"
"t25",NA
"t22","0"
"t23","0"
"t29","0"
"t30",NA
"t40","1"
"t41","1"
"t44",NA
"t93","1"
"t94","1"
"t46","1"
"t32","1"
"t15","0"
"t28","1"
"t90","0"
"t91","0"
"t42","1"
"t74","1"
"t75","1"
"t52","1"
"t53","1"
"t1","0"
"t84","1"
"t85","0"
"t31","1"
"t67","1"
"t68","1"
"t45","1"
"t14","1"
"t66","0"
"t86","0"
"t87","0"
"t57","0"
"t7","0"
"t9","1"
"t16",NA
"t33","0"
"t34","1"
"t55","1"
"t56","1"
"t18","1"
"t19","0"
"t10","0"
"t11","0"
"t97","1"
"t98","1"
"t69","0"
"t70","1"
"t49","0"
"t17","0"
"t50","0"
"t51","0"
"t13","0"
"t3","1"
"t62","0"
"t63","1"
"t60","0"
"t61","0"
"t54","0"
"t64","0"
"t65","1"
"t35","1"
"t92",NA
"t95",NA
"t96","1"
"t82","1"
"t83","1"
"t12","1"
"t26","1"
"t27","1"
"t80","1"
"t81","1"
"t20","1"
"t21","0"
"t4","1"
"t2","1"
"t43","1"
"t47","0"
"t48","1"
"t38","1"
"t39",NA
"t78",NA
"t79","1"
"t88","0"
"t89","0"
"t71",NA
"t76","1"
"t77","1"
"t5","1"
"t6","1"
"t8","0"
"t99","0"
"t100","0"
"t36",NA
"t37","1"
