"accepted_species","trait_EB_scaled"
"t22",-1.05146622950006
"t93",-0.0481635681304371
"t94",-0.050863968275934
"t42",-0.514832025759088
"t43",-0.569035582609055
"t69",-0.966051000606901
"t77",-1.26612735262545
"t78",-0.794437654889744
"t38",-0.56346945919022
"t39",-1.01750756699285
"t27",-0.696154061404961
"t32",-0.362494241354961
"t33",-0.265057918934679
"t60",-1.15580428738419
"t61",-1.14930275999724
"t7",-0.0754267775663618
"t53",-0.643687574822466
"t72",NA
"t73",-0.553352458977621
"t11",-0.545970549778591
"t48",NA
"t49",-0.129614622511844
"t44",0.437333170549887
"t47",-0.320607954759318
"t91",-0.274175450646348
"t92",-0.234802709468179
"t57",0.141060947691696
"t65",0.38151280912908
"t66",0.183589387982786
"t58",0.386430325391929
"t59",0.629300936002993
"t83",NA
"t84",-1.90689423498343
"t8",-1.97023580027976
"t9",-1.63951852367545
"t19",-1.51356685997256
"t20",-1.26096985213832
"t6",-0.990178744197687
"t71",-1.2175570357798
"t97",-1.02067516040375
"t98",-1.14293673291669
"t54",-1.15071323302219
"t16",0.391337959265366
"t17",0.445542919445874
"t23",-0.358408641073863
"t51",-0.182618321953879
"t52",-0.0746451128819809
"t67",0.180141722402759
"t68",-0.0969319179772011
"t89",NA
"t90",0.159961108618754
"t86",0.174490934699646
"t29",0.229107301493048
"t28",0.280818019862567
"t45",-0.438841967329876
"t46",-0.316948866815057
"t85",NA
"t95",-0.685196155815933
"t96",NA
"t3",-1.06934074678003
"t2",0.453389776752816
"t12",-0.253317322289529
"t13",-0.260132474779052
"t25",-0.414031525266258
"t26",0.155701165779986
"t1",0.830431801331052
"t55",-1.66043091448131
"t56",NA
"t62",-0.841777489094303
"t79",-0.816753441466413
"t80",-0.674142994780258
"t36",-0.526457426521708
"t37",NA
"t18",0.533294194160906
"t14",1.28815491753924
"t81",0.581035708492564
"t82",0.714746143967425
"t74",0.610287746866947
"t50",NA
"t21",0.550400566841543
"t75",1.15927289090558
"t76",1.20188385804777
"t70",1.43173774944178
"t99",1.6722756401734
"t100",1.65757395086715
"t87",2.2662685723306
"t88",2.15121463967137
"t10",1.12174501644491
"t34",1.38393354434997
"t35",1.11073893799998
"t30",1.02349199148854
"t31",1.31127892033761
"t63",1.26516991184472
"t64",1.18392572499401
"t15",1.18549016843609
"t4",NA
"t5",1.76610393859286
"t40",2.05593918983779
"t41",2.38138037601002
"t24",1.77311453676745
