,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,phylopars,picante,phylnn_fill_means,linear_eigenvecs,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_umap,xgb_autoencoded
count,1200.0,1200,1200,1200,1200,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
unique,,6,2,1,1,,,,,,,,,
top,,BM,mcar,ultrametric,continuous,,,,,,,,,
freq,,200,600,1200,1200,,,,,,,,,
mean,182.0,,,,,0.4189099686194535,0.43204504225300183,0.6454062431977258,0.5892854347195638,0.5922819496262028,0.6308736832372072,0.4736393887304024,0.5236396595288093,0.48961188769825525
std,114.18347028973227,,,,,0.308173479589097,0.3286438575031428,0.31174412416722325,0.7261267967541172,0.7655005071145105,0.7366962357665334,0.3488308143453665,0.3370533660319808,0.32447228067633443
min,0.0,,,,,1.1473439470088831e-05,0.000490794004243,0.0008694596360479,0.002362948042108,0.0073749007353514,0.0008969836220765,1.0668344582054346e-05,1.2441079718328308e-05,3.616706145100346e-05
25%,84.75,,,,,0.20033401211477792,0.20130180412437107,0.44898609000413353,0.3021831957810498,0.3558016818325783,0.3719218523555359,0.24151423267504335,0.29589336897787044,0.255271255063863
50%,169.5,,,,,0.3596321526598313,0.3593684254595704,0.6205729969517844,0.5033585752997249,0.5395630078281475,0.565603633585531,0.4005332025460523,0.4882055650355195,0.4346487090261789
75%,277.75,,,,,0.6043115511828746,0.6161450207022929,0.8062338385937267,0.7504521997934608,0.7599291555089299,0.8103537352105138,0.6664528952356905,0.7230141329661266,0.6865366140373301
max,397.0,,,,,2.2416403766933617,2.2416403766933546,2.5674409718537747,12.839330468268958,24.34905752225572,18.24276378864078,2.863368801873168,4.417661899491002,2.0957077081566737
