,lambda,kappa,Ev Model,corHMM,picante,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised,EV Model,Missing Type
count,200.0,200.0,800,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800,800
unique,,,6,,,,,,,,,,,,,,4,2
top,,,BISSE,,,,,,,,,,,,,,simulations,mcar
freq,,,200,,,,,,,,,,,,,,200,400
mean,0.5391406199126504,0.47094651980791236,,0.149118829398659,0.15939428309452752,0.1667244700498499,0.17648947783925892,0.17719667507188297,0.19365699349996818,0.17453990939327022,0.1767160550903558,0.16467645413637363,0.1703606771613085,0.21714280017026355,0.1668207046124683,0.16331019276715963,,
std,0.2855659008388884,0.2857583659283831,,0.1037660355183289,0.1162349406363215,0.11135771432760327,0.10906470657046516,0.10759458299716315,0.13473437396533852,0.10508518893346046,0.10575184637762249,0.11719485636616632,0.11989178616411898,0.16118902916256223,0.11791077845144977,0.11268322574750257,,
min,0.0242157834582031,0.007343360921368,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
25%,0.27390489232493526,0.21118869894416975,,0.05865212529715758,0.060557886152592146,0.07976230311688712,0.09370590054835298,0.09321855277265757,0.09305674560598576,0.0920272370511119,0.09286481812086951,0.06875223000232875,0.07636117990831016,0.08473457854218319,0.0696264644290204,0.06982620416610077,,
50%,0.572185829980299,0.47680770047009,,0.16030009538830547,0.17690545104505317,0.1779820809407563,0.19903270293154934,0.19846933114145202,0.19708874690227526,0.19832952959754524,0.2041908012756553,0.17858388686505383,0.1864850908738958,0.2082083856259305,0.17945244024568457,0.17903785179909554,,
75%,0.8008687342517076,0.6757558466051705,,0.229412342263134,0.24151442112686602,0.2435289664869033,0.24974618126191983,0.25168077904404385,0.2719664518402739,0.25008235578277127,0.25075670033178155,0.2472554981230484,0.25119052724679186,0.33087792667813354,0.2517924815724964,0.24502650715815882,,
max,0.980084053007886,0.973335451446474,,0.49449569293875195,0.6160182020955981,0.7,0.8418399119768856,0.8580218796067026,0.990733065655904,0.5301831992948832,0.622068657121895,0.674033227933988,0.80545826785843,0.8207077367178446,0.5848175791669286,0.58894378417281,,
