"","t2","t3","t4","t1","t39","t41","t79","t80","t32","t73","t74","t35","t65","t66","t33","t24","t67","t93","t94","t28","t119","t129","t130","t104","t40","t102","t103","t50","t46","t5","t6","t30","t31","t7","t9","t16","t27","t95","t96","t71","t105","t124","t137","t138","t70","t90","t109","t135","t136","t108","t64","t91","t92","t69","t29","t112","t133","t134","t63","t52","t120","t121","t85","t48","t17","t14","t99","t100","t21","t22","t113","t114","t68","t97","t98","t38","t127","t128","t72","t117","t118","t89","t58","t59","t86","t87","t115","t116","t101","t125","t126","t49","t25","t11","t12","t77","t78","t122","t123","t110","t111","t88","t51","t10","t18","t19","t23","t44","t45","t26","t131","t132","t61","t62","t60","t8","t34","t53","t54","t47","t75","t76","t106","t107","t15","t20","t56","t57","t43","t36","t13","t81","t82","t55","t83","t84","t42","t37"
"t2",0,3.3172735901,1.827366982,0.89521053394,4.47880425584,4.47880425584,4.47880425574,4.47880425574,3.36598748171,4.47880425535,4.47880425535,4.47880425534,4.20920949884,4.47880425534,4.47880425495,3.54973387225,4.47880425544,4.47880425534,4.37356480824,3.67668965444,4.47880425536,4.47880425538,4.47880425538,4.47880425534,4.47880425544,4.47880425552,4.47880425552,3.80897533003,4.47880425544,1.65280111604,4.47880425494,4.57616677059,3.94202316609,2.21950534639,2.64729346509,4.57616677129,3.07253285821,4.57616677139,4.57616677139,4.57616677149,4.57616677149,4.5761667715,4.5761667715,4.5761667715,4.57616677149,4.57616677149,4.57616677153,4.57616677148,4.57616677148,4.57616677144,4.57616677143,4.57616677143,4.52293167353,4.33998688253,3.70632587139,4.57616677149,4.57616677145,4.57616677145,4.57616677149,4.57616677139,4.57616677144,4.57616677144,4.57616677139,4.35050308809,4.57616677139,5.43628983972,5.43628984012,5.43628984012,5.15430150592,3.83978458022,5.43628984043,5.43628984043,5.43628984053,5.43628984053,5.43628984053,5.43628984033,5.43628984035,5.43628984035,5.4362898403,5.4362898403,5.4362898403,5.4362898403,5.16108319952,5.43628983952,5.43628983962,5.43628983962,5.43628983962,5.43628983962,5.33392170088,5.43628983964,5.43628983964,5.02299569589,5.43628983982,3.21641371622,4.24687136042,5.436289839302,5.436289839302,5.436289839672,5.436289839672,5.436289839662,5.436289839662,5.436289839562,5.436289839662,2.977230079882,4.172084377592,4.332925459692,4.654159286092,5.436289840122,5.436289840122,5.010731184922,5.436289840532,5.436289840532,5.43628983999,5.43628983999,5.436289840022,2.68369920574,4.87718868002,5.43628984012,5.43628984012,5.43628984002,5.43628984002,5.43628984002,5.43628983972,5.43628983972,4.71959400162,4.12255191492,5.29259748352,5.27043830472,5.43628984002,4.50855448776,5.43628984052,5.43628983992,5.43628983992,5.43628984002,5.43628983993,5.43628983993,5.43628984003,5.43628984003
"t3",3.3172735901,0,2.7008606379,2.72838307224,6.31197679414,6.31197679414,6.31197679404,6.31197679404,5.19916002001,6.31197679365,6.31197679365,6.31197679364,6.04238203714,6.31197679364,6.31197679325,5.38290641055,6.31197679374,6.31197679364,6.20673734654,5.50986219274,6.31197679366,6.31197679368,6.31197679368,6.31197679364,6.31197679374,6.31197679382,6.31197679382,5.64214786833,6.31197679374,3.48597365434,6.31197679324,6.40933930889,5.77519570439,4.05267788469,4.48046600339,6.40933930959,4.90570539651,6.40933930969,6.40933930969,6.40933930979,6.40933930979,6.4093393098,6.4093393098,6.4093393098,6.40933930979,6.40933930979,6.40933930983,6.40933930978,6.40933930978,6.40933930974,6.40933930973,6.40933930973,6.35610421183,6.17315942083,5.53949840969,6.40933930979,6.40933930975,6.40933930975,6.40933930979,6.40933930969,6.40933930974,6.40933930974,6.40933930969,6.18367562639,6.40933930969,7.26946237802,7.26946237842,7.26946237842,6.98747404422,5.67295711852,7.26946237873,7.26946237873,7.26946237883,7.26946237883,7.26946237883,7.26946237863,7.26946237865,7.26946237865,7.2694623786,7.2694623786,7.2694623786,7.2694623786,6.99425573782,7.26946237782,7.26946237792,7.26946237792,7.26946237792,7.26946237792,7.16709423918,7.26946237794,7.26946237794,6.85616823419,7.26946237812,5.04958625452,6.08004389872,7.269462377602,7.269462377602,7.269462377972,7.269462377972,7.269462377962,7.269462377962,7.269462377862,7.269462377962,4.810402618182,6.005256915892,6.166097997992,6.487331824392,7.269462378422,7.269462378422,6.843903723222,7.269462378832,7.269462378832,7.26946237829,7.26946237829,7.269462378322,4.51687174404,6.71036121832,7.26946237842,7.26946237842,7.26946237832,7.26946237832,7.26946237832,7.26946237802,7.26946237802,6.55276653992,5.95572445322,7.12577002182,7.10361084302,7.26946237832,6.34172702606,7.26946237882,7.26946237822,7.26946237822,7.26946237832,7.26946237823,7.26946237823,7.26946237833,7.26946237833
"t4",1.827366982,2.7008606379,0,1.23847646414,4.82207018604,4.82207018604,4.82207018594,4.82207018594,3.70925341191,4.82207018555,4.82207018555,4.82207018554,4.55247542904,4.82207018554,4.82207018515,3.89299980245,4.82207018564,4.82207018554,4.71683073844,4.01995558464,4.82207018556,4.82207018558,4.82207018558,4.82207018554,4.82207018564,4.82207018572,4.82207018572,4.15224126023,4.82207018564,1.99606704624,4.82207018514,4.91943270079,4.28528909629,2.56277127659,2.99055939529,4.91943270149,3.41579878841,4.91943270159,4.91943270159,4.91943270169,4.91943270169,4.9194327017,4.9194327017,4.9194327017,4.91943270169,4.91943270169,4.91943270173,4.91943270168,4.91943270168,4.91943270164,4.91943270163,4.91943270163,4.86619760373,4.68325281273,4.04959180159,4.91943270169,4.91943270165,4.91943270165,4.91943270169,4.91943270159,4.91943270164,4.91943270164,4.91943270159,4.69376901829,4.91943270159,5.77955576992,5.77955577032,5.77955577032,5.49756743612,4.18305051042,5.77955577063,5.77955577063,5.77955577073,5.77955577073,5.77955577073,5.77955577053,5.77955577055,5.77955577055,5.7795557705,5.7795557705,5.7795557705,5.7795557705,5.50434912972,5.77955576972,5.77955576982,5.77955576982,5.77955576982,5.77955576982,5.67718763108,5.77955576984,5.77955576984,5.36626162609,5.77955577002,3.55967964642,4.59013729062,5.779555769502,5.779555769502,5.779555769872,5.779555769872,5.779555769862,5.779555769862,5.779555769762,5.779555769862,3.320496010082,4.515350307792,4.676191389892,4.997425216292,5.779555770322,5.779555770322,5.353997115122,5.779555770732,5.779555770732,5.77955577019,5.77955577019,5.779555770222,3.02696513594,5.22045461022,5.77955577032,5.77955577032,5.77955577022,5.77955577022,5.77955577022,5.77955576992,5.77955576992,5.06285993182,4.46581784512,5.63586341372,5.61370423492,5.77955577022,4.85182041796,5.77955577072,5.77955577012,5.77955577012,5.77955577022,5.77955577013,5.77955577013,5.77955577023,5.77955577023
"t1",0.89521053394,2.72838307224,1.23847646414,0,3.8485323315,3.8485323315,3.8485323314,3.8485323314,2.73571555737,3.84853233101,3.84853233101,3.848532331,3.5789375745,3.848532331,3.84853233061,2.91946194791,3.8485323311,3.848532331,3.7432928839,3.0464177301,3.84853233102,3.84853233104,3.84853233104,3.848532331,3.8485323311,3.84853233118,3.84853233118,3.17870340569,3.8485323311,1.0225291917,3.8485323306,3.94589484625,3.31175124175,1.58923342205,2.01702154075,3.94589484695,2.44226093387,3.94589484705,3.94589484705,3.94589484715,3.94589484715,3.94589484716,3.94589484716,3.94589484716,3.94589484715,3.94589484715,3.94589484719,3.94589484714,3.94589484714,3.9458948471,3.94589484709,3.94589484709,3.89265974919,3.70971495819,3.07605394705,3.94589484715,3.94589484711,3.94589484711,3.94589484715,3.94589484705,3.9458948471,3.9458948471,3.94589484705,3.72023116375,3.94589484705,4.80601791538,4.80601791578,4.80601791578,4.52402958158,3.20951265588,4.80601791609,4.80601791609,4.80601791619,4.80601791619,4.80601791619,4.80601791599,4.80601791601,4.80601791601,4.80601791596,4.80601791596,4.80601791596,4.80601791596,4.53081127518,4.80601791518,4.80601791528,4.80601791528,4.80601791528,4.80601791528,4.70364977654,4.8060179153,4.8060179153,4.39272377155,4.80601791548,2.58614179188,3.61659943608,4.806017914962,4.806017914962,4.806017915332,4.806017915332,4.806017915322,4.806017915322,4.806017915222,4.806017915322,2.346958155542,3.541812453252,3.702653535352,4.023887361752,4.806017915782,4.806017915782,4.380459260582,4.806017916192,4.806017916192,4.80601791565,4.80601791565,4.806017915682,2.0534272814,4.24691675568,4.80601791578,4.80601791578,4.80601791568,4.80601791568,4.80601791568,4.80601791538,4.80601791538,4.08932207728,3.49227999058,4.66232555918,4.64016638038,4.80601791568,3.87828256342,4.80601791618,4.80601791558,4.80601791558,4.80601791568,4.80601791559,4.80601791559,4.80601791569,4.80601791569
"t39",4.47880425584,6.31197679414,4.82207018604,3.8485323315,0,1.763636088,1.7636360879,1.7636360879,3.39982208187,4.51263885551,4.51263885551,4.5126388555,4.243044099,4.5126388555,4.51263885511,3.58356847241,4.5126388556,4.5126388555,4.4073994084,3.7105242546,4.51263885552,4.51263885554,4.51263885554,4.5126388555,4.5126388556,4.51263885568,4.51263885568,3.84280993019,4.5126388556,3.9010318782,6.7270350171,7.32818811355,6.69404450905,4.97152668935,5.39931480805,7.32818811425,5.82455420117,7.32818811435,7.32818811435,7.32818811445,7.32818811445,7.32818811446,7.32818811446,7.32818811446,7.32818811445,7.32818811445,7.32818811449,7.32818811444,7.32818811444,7.3281881144,7.32818811439,7.32818811439,7.27495301649,7.09200822549,6.45834721435,7.32818811445,7.32818811441,7.32818811441,7.32818811445,7.32818811435,7.3281881144,7.3281881144,7.32818811435,7.10252443105,7.32818811435,8.18831118268,8.18831118308,8.18831118308,7.90632284888,6.59180592318,8.18831118339,8.18831118339,8.18831118349,8.18831118349,8.18831118349,8.18831118329,8.18831118331,8.18831118331,8.18831118326,8.18831118326,8.18831118326,8.18831118326,7.91310454248,8.18831118248,8.18831118258,8.18831118258,8.18831118258,8.18831118258,8.08594304384,8.1883111826,8.1883111826,7.77501703885,8.18831118278,5.96843505918,6.99889270338,8.188311182262,8.188311182262,8.188311182632,8.188311182632,8.188311182622,8.188311182622,8.188311182522,8.188311182622,5.729251422842,6.924105720552,7.084946802652,7.406180629052,8.188311183082,8.188311183082,7.762752527882,8.188311183492,8.188311183492,8.18831118295,8.18831118295,8.188311182982,5.4357205487,7.62921002298,8.18831118308,8.18831118308,8.18831118298,8.18831118298,8.18831118298,8.18831118268,8.18831118268,7.47161534458,6.87457325788,8.04461882648,8.02245964768,8.18831118298,7.26057583072,8.18831118348,8.18831118288,8.18831118288,8.18831118298,8.18831118289,8.18831118289,8.18831118299,8.18831118299
"t41",4.47880425584,6.31197679414,4.82207018604,3.8485323315,1.763636088,0,1.6547129307,1.6547129307,3.39982208187,4.51263885551,4.51263885551,4.5126388555,4.243044099,4.5126388555,4.51263885511,3.58356847241,4.5126388556,4.5126388555,4.4073994084,3.7105242546,4.51263885552,4.51263885554,4.51263885554,4.5126388555,4.5126388556,4.51263885568,4.51263885568,3.84280993019,4.5126388556,3.9010318782,6.7270350171,7.32818811355,6.69404450905,4.97152668935,5.39931480805,7.32818811425,5.82455420117,7.32818811435,7.32818811435,7.32818811445,7.32818811445,7.32818811446,7.32818811446,7.32818811446,7.32818811445,7.32818811445,7.32818811449,7.32818811444,7.32818811444,7.3281881144,7.32818811439,7.32818811439,7.27495301649,7.09200822549,6.45834721435,7.32818811445,7.32818811441,7.32818811441,7.32818811445,7.32818811435,7.3281881144,7.3281881144,7.32818811435,7.10252443105,7.32818811435,8.18831118268,8.18831118308,8.18831118308,7.90632284888,6.59180592318,8.18831118339,8.18831118339,8.18831118349,8.18831118349,8.18831118349,8.18831118329,8.18831118331,8.18831118331,8.18831118326,8.18831118326,8.18831118326,8.18831118326,7.91310454248,8.18831118248,8.18831118258,8.18831118258,8.18831118258,8.18831118258,8.08594304384,8.1883111826,8.1883111826,7.77501703885,8.18831118278,5.96843505918,6.99889270338,8.188311182262,8.188311182262,8.188311182632,8.188311182632,8.188311182622,8.188311182622,8.188311182522,8.188311182622,5.729251422842,6.924105720552,7.084946802652,7.406180629052,8.188311183082,8.188311183082,7.762752527882,8.188311183492,8.188311183492,8.18831118295,8.18831118295,8.188311182982,5.4357205487,7.62921002298,8.18831118308,8.18831118308,8.18831118298,8.18831118298,8.18831118298,8.18831118268,8.18831118268,7.47161534458,6.87457325788,8.04461882648,8.02245964768,8.18831118298,7.26057583072,8.18831118348,8.18831118288,8.18831118288,8.18831118298,8.18831118289,8.18831118289,8.18831118299,8.18831118299
"t79",4.47880425574,6.31197679404,4.82207018594,3.8485323314,1.7636360879,1.6547129307,0,0.620348196,3.39982208177,4.51263885541,4.51263885541,4.5126388554,4.2430440989,4.5126388554,4.51263885501,3.58356847231,4.5126388555,4.5126388554,4.4073994083,3.7105242545,4.51263885542,4.51263885544,4.51263885544,4.5126388554,4.5126388555,4.51263885558,4.51263885558,3.84280993009,4.5126388555,3.9010318781,6.727035017,7.32818811345,6.69404450895,4.97152668925,5.39931480795,7.32818811415,5.82455420107,7.32818811425,7.32818811425,7.32818811435,7.32818811435,7.32818811436,7.32818811436,7.32818811436,7.32818811435,7.32818811435,7.32818811439,7.32818811434,7.32818811434,7.3281881143,7.32818811429,7.32818811429,7.27495301639,7.09200822539,6.45834721425,7.32818811435,7.32818811431,7.32818811431,7.32818811435,7.32818811425,7.3281881143,7.3281881143,7.32818811425,7.10252443095,7.32818811425,8.18831118258,8.18831118298,8.18831118298,7.90632284878,6.59180592308,8.18831118329,8.18831118329,8.18831118339,8.18831118339,8.18831118339,8.18831118319,8.18831118321,8.18831118321,8.18831118316,8.18831118316,8.18831118316,8.18831118316,7.91310454238,8.18831118238,8.18831118248,8.18831118248,8.18831118248,8.18831118248,8.08594304374,8.1883111825,8.1883111825,7.77501703875,8.18831118268,5.96843505908,6.99889270328,8.188311182162,8.188311182162,8.188311182532,8.188311182532,8.188311182522,8.188311182522,8.188311182422,8.188311182522,5.729251422742,6.924105720452,7.084946802552,7.406180628952,8.188311182982,8.188311182982,7.762752527782,8.188311183392,8.188311183392,8.18831118285,8.18831118285,8.188311182882,5.4357205486,7.62921002288,8.18831118298,8.18831118298,8.18831118288,8.18831118288,8.18831118288,8.18831118258,8.18831118258,7.47161534448,6.87457325778,8.04461882638,8.02245964758,8.18831118288,7.26057583062,8.18831118338,8.18831118278,8.18831118278,8.18831118288,8.18831118279,8.18831118279,8.18831118289,8.18831118289
"t80",4.47880425574,6.31197679404,4.82207018594,3.8485323314,1.7636360879,1.6547129307,0.620348196,0,3.39982208177,4.51263885541,4.51263885541,4.5126388554,4.2430440989,4.5126388554,4.51263885501,3.58356847231,4.5126388555,4.5126388554,4.4073994083,3.7105242545,4.51263885542,4.51263885544,4.51263885544,4.5126388554,4.5126388555,4.51263885558,4.51263885558,3.84280993009,4.5126388555,3.9010318781,6.727035017,7.32818811345,6.69404450895,4.97152668925,5.39931480795,7.32818811415,5.82455420107,7.32818811425,7.32818811425,7.32818811435,7.32818811435,7.32818811436,7.32818811436,7.32818811436,7.32818811435,7.32818811435,7.32818811439,7.32818811434,7.32818811434,7.3281881143,7.32818811429,7.32818811429,7.27495301639,7.09200822539,6.45834721425,7.32818811435,7.32818811431,7.32818811431,7.32818811435,7.32818811425,7.3281881143,7.3281881143,7.32818811425,7.10252443095,7.32818811425,8.18831118258,8.18831118298,8.18831118298,7.90632284878,6.59180592308,8.18831118329,8.18831118329,8.18831118339,8.18831118339,8.18831118339,8.18831118319,8.18831118321,8.18831118321,8.18831118316,8.18831118316,8.18831118316,8.18831118316,7.91310454238,8.18831118238,8.18831118248,8.18831118248,8.18831118248,8.18831118248,8.08594304374,8.1883111825,8.1883111825,7.77501703875,8.18831118268,5.96843505908,6.99889270328,8.188311182162,8.188311182162,8.188311182532,8.188311182532,8.188311182522,8.188311182522,8.188311182422,8.188311182522,5.729251422742,6.924105720452,7.084946802552,7.406180628952,8.188311182982,8.188311182982,7.762752527782,8.188311183392,8.188311183392,8.18831118285,8.18831118285,8.188311182882,5.4357205486,7.62921002288,8.18831118298,8.18831118298,8.18831118288,8.18831118288,8.18831118288,8.18831118258,8.18831118258,7.47161534448,6.87457325778,8.04461882638,8.02245964758,8.18831118288,7.26057583062,8.18831118338,8.18831118278,8.18831118278,8.18831118288,8.18831118279,8.18831118279,8.18831118289,8.18831118289
"t32",3.36598748171,5.19916002001,3.70925341191,2.73571555737,3.39982208187,3.39982208187,3.39982208177,3.39982208177,0,1.29944530876,1.29944530876,1.50360760055,1.23401284405,1.50360760055,1.50360760016,1.47098034246,2.52343238127,2.52343238117,2.41819293407,1.72131778027,3.03418974919,3.03418974921,3.03418974921,3.03418974917,3.03418974927,3.03418974935,3.03418974935,2.36436082386,3.03418974927,2.78821510407,5.61421824297,6.21537133942,5.58122773492,3.85870991522,4.28649803392,6.21537134012,4.71173742704,6.21537134022,6.21537134022,6.21537134032,6.21537134032,6.21537134033,6.21537134033,6.21537134033,6.21537134032,6.21537134032,6.21537134036,6.21537134031,6.21537134031,6.21537134027,6.21537134026,6.21537134026,6.16213624236,5.97919145136,5.34553044022,6.21537134032,6.21537134028,6.21537134028,6.21537134032,6.21537134022,6.21537134027,6.21537134027,6.21537134022,5.98970765692,6.21537134022,7.07549440855,7.07549440895,7.07549440895,6.79350607475,5.47898914905,7.07549440926,7.07549440926,7.07549440936,7.07549440936,7.07549440936,7.07549440916,7.07549440918,7.07549440918,7.07549440913,7.07549440913,7.07549440913,7.07549440913,6.80028776835,7.07549440835,7.07549440845,7.07549440845,7.07549440845,7.07549440845,6.97312626971,7.07549440847,7.07549440847,6.66220026472,7.07549440865,4.85561828505,5.88607592925,7.075494408132,7.075494408132,7.075494408502,7.075494408502,7.075494408492,7.075494408492,7.075494408392,7.075494408492,4.616434648712,5.811288946422,5.972130028522,6.293363854922,7.075494408952,7.075494408952,6.649935753752,7.075494409362,7.075494409362,7.07549440882,7.07549440882,7.075494408852,4.32290377457,6.51639324885,7.07549440895,7.07549440895,7.07549440885,7.07549440885,7.07549440885,7.07549440855,7.07549440855,6.35879857045,5.76175648375,6.93180205235,6.90964287355,7.07549440885,6.14775905659,7.07549440935,7.07549440875,7.07549440875,7.07549440885,7.07549440876,7.07549440876,7.07549440886,7.07549440886
"t73",4.47880425535,6.31197679365,4.82207018555,3.84853233101,4.51263885551,4.51263885551,4.51263885541,4.51263885541,1.29944530876,0,0.6779191132,2.61642437419,2.34682961769,2.61642437419,2.6164243738,2.5837971161,3.63624915491,3.63624915481,3.53100970771,2.83413455391,4.14700652283,4.14700652285,4.14700652285,4.14700652281,4.14700652291,4.14700652299,4.14700652299,3.4771775975,4.14700652291,3.90103187771,6.72703501661,7.32818811306,6.69404450856,4.97152668886,5.39931480756,7.32818811376,5.82455420068,7.32818811386,7.32818811386,7.32818811396,7.32818811396,7.32818811397,7.32818811397,7.32818811397,7.32818811396,7.32818811396,7.328188114,7.32818811395,7.32818811395,7.32818811391,7.3281881139,7.3281881139,7.274953016,7.092008225,6.45834721386,7.32818811396,7.32818811392,7.32818811392,7.32818811396,7.32818811386,7.32818811391,7.32818811391,7.32818811386,7.10252443056,7.32818811386,8.18831118219,8.18831118259,8.18831118259,7.90632284839,6.59180592269,8.1883111829,8.1883111829,8.188311183,8.188311183,8.188311183,8.1883111828,8.18831118282,8.18831118282,8.18831118277,8.18831118277,8.18831118277,8.18831118277,7.91310454199,8.18831118199,8.18831118209,8.18831118209,8.18831118209,8.18831118209,8.08594304335,8.18831118211,8.18831118211,7.77501703836,8.18831118229,5.96843505869,6.99889270289,8.188311181772,8.188311181772,8.188311182142,8.188311182142,8.188311182132,8.188311182132,8.188311182032,8.188311182132,5.729251422352,6.924105720062,7.084946802162,7.406180628562,8.188311182592,8.188311182592,7.762752527392,8.188311183002,8.188311183002,8.18831118246,8.18831118246,8.188311182492,5.43572054821,7.62921002249,8.18831118259,8.18831118259,8.18831118249,8.18831118249,8.18831118249,8.18831118219,8.18831118219,7.47161534409,6.87457325739,8.04461882599,8.02245964719,8.18831118249,7.26057583023,8.18831118299,8.18831118239,8.18831118239,8.18831118249,8.1883111824,8.1883111824,8.1883111825,8.1883111825
