"","t4","t13","t16","t17","t79","t129","t130","t81","t49","t135","t136","t101","t102","t64","t77","t78","t9","t38","t39","t14","t123","t124","t83","t112","t113","t47","t2","t3","t84","t85","t10","t65","t66","t43","t44","t40","t24","t27","t28","t133","t134","t80","t34","t29","t30","t37","t45","t56","t57","t46","t98","t99","t21","t15","t6","t7","t35","t36","t12","t25","t26","t103","t139","t140","t69","t48","t62","t95","t107","t108","t70","t63","t119","t120","t116","t82","t58","t61","t71","t72","t117","t118","t104","t105","t33","t52","t53","t59","t60","t110","t111","t89","t96","t97","t50","t51","t90","t91","t106","t121","t122","t88","t92","t93","t68","t20","t8","t5","t32","t41","t42","t137","t138","t94","t54","t22","t23","t11","t67","t76","t109","t114","t115","t31","t127","t128","t125","t126","t100","t75","t18","t19","t131","t132","t86","t87","t73","t74","t55","t1"
"t4",0,3.42134711829,4.02921280283,2.48014327443,4.02921280373,4.0292128037,4.0292128037,4.02921280378,4.0292128036,4.029212803612,4.029212803612,4.0292128036,4.0292128036,4.0292128036,4.02921280359,4.02921280359,4.02921280299,3.80436386249,3.66337574109,2.72264313739,4.02921280347,4.02921280347,4.02921280349,4.02921280349,4.02921280349,4.02921280359,1.7760161063,2.5544467075,6.15956850228,6.12029638288,5.95553207928,6.38912649358,5.85524680138,6.38912649349,5.74895636129,6.3891264939,5.20894114148,5.99201570236,6.38912649316,6.38912649363,6.38912649363,6.38912649358,5.22855581038,6.38912649328,6.38912649328,5.699348222287,6.389126493287,6.389126493317,5.576756211737,6.389126493317,6.389126493787,6.389126493787,5.280105385887,5.002674589787,3.466138627707,3.189444572307,6.389126493747,6.389126493747,4.682965970047,6.389126493597,6.389126493597,6.389126493607,6.3891264936613,6.3891264936613,5.983488011607,6.389126493607,6.389126493607,6.389126493707,6.389126493697,6.389126493697,6.389126493607,6.389126493537,6.389126493557,6.389126493557,6.389126493537,6.389126493537,6.004965791537,6.389126493637,6.220004789037,6.389126493637,6.389126493687,6.389126493687,6.389126493687,6.389126493687,5.748788950587,6.187019332257,5.779396814757,6.389126493609,6.389126493609,6.389126493557,6.389126493557,6.389126493557,6.389126493567,6.389126493567,5.919051649527,6.389126493427,6.389126493687,6.389126493687,6.389126493557,6.389126493597,6.389126493597,6.389126493657,6.389126493657,6.389126493657,6.123011100187,6.389126493587,4.208457313687,5.0883528951,5.6833874838,6.3891264935,5.7985620761,6.389126493645,6.389126493645,6.3891264937,6.3891264937,5.2043716881,5.6820660597,6.3891264939,6.3891264941,6.3891264942,6.3891264942,6.38912649423,6.38912649423,6.3891264945,6.389126494062,6.389126494062,6.389126494102,6.389126494102,6.389126494022,6.3891264941,6.3891264943,6.3891264943,6.3891264937,6.3891264937,6.11750866034,6.38912649368,6.389126493673,6.389126493673,6.03926306288,5.2811162872
"t13",3.42134711829,0,3.34278985254,1.79372032414,3.34278985344,3.34278985341,3.34278985341,3.34278985349,4.72824185751,4.728241857522,4.728241857522,4.72824185751,4.72824185751,4.72824185751,4.7282418575,4.7282418575,4.7282418569,6.1758367746,6.0348486532,5.0941160495,6.40068571558,6.40068571558,6.4006857156,6.4006857156,6.4006857156,6.4006857157,4.22753390079,5.00596450199,8.61108629677,8.57181417737,8.40704987377,8.84064428807,8.30676459587,8.84064428798,8.20047415578,8.84064428839,7.66045893597,8.44353349685,8.84064428765,8.84064428812,8.84064428812,8.84064428807,7.68007360487,8.84064428777,8.84064428777,8.150866016777,8.840644287777,8.840644287807,8.028274006227,8.840644287807,8.840644288277,8.840644288277,7.731623180377,7.454192384277,5.917656422197,5.640962366797,8.840644288237,8.840644288237,7.134483764537,8.840644288087,8.840644288087,8.840644288097,8.8406442881513,8.8406442881513,8.435005806097,8.840644288097,8.840644288097,8.840644288197,8.840644288187,8.840644288187,8.840644288097,8.840644288027,8.840644288047,8.840644288047,8.840644288027,8.840644288027,8.456483586027,8.840644288127,8.671522583527,8.840644288127,8.840644288177,8.840644288177,8.840644288177,8.840644288177,8.200306745077,8.638537126747,8.230914609247,8.840644288099,8.840644288099,8.840644288047,8.840644288047,8.840644288047,8.840644288057,8.840644288057,8.370569444017,8.840644287917,8.840644288177,8.840644288177,8.840644288047,8.840644288087,8.840644288087,8.840644288147,8.840644288147,8.840644288147,8.574528894677,8.840644288077,6.659975108177,7.53987068959,8.13490527829,8.84064428799,8.25007987059,8.840644288135,8.840644288135,8.84064428819,8.84064428819,7.65588948259,8.13358385419,8.84064428839,8.84064428859,8.84064428869,8.84064428869,8.84064428872,8.84064428872,8.84064428899,8.840644288552,8.840644288552,8.840644288592,8.840644288592,8.840644288512,8.84064428859,8.84064428879,8.84064428879,8.84064428819,8.84064428819,8.56902645483,8.84064428817,8.840644288163,8.840644288163,8.49078085737,7.73263408169
"t16",4.02921280283,3.34278985254,0,1.6819286816,3.7508401901,3.75084019007,3.75084019007,3.75084019015,5.33610754205,5.336107542062,5.336107542062,5.33610754205,5.33610754205,5.33610754205,5.33610754204,5.33610754204,5.33610754144,6.78370245914,6.64271433774,5.70198173404,7.00855140012,7.00855140012,7.00855140014,7.00855140014,7.00855140014,7.00855140024,4.83539958533,5.61383018653,9.21895198131,9.17967986191,9.01491555831,9.44850997261,8.91463028041,9.44850997252,8.80833984032,9.44850997293,8.26832462051,9.05139918139,9.44850997219,9.44850997266,9.44850997266,9.44850997261,8.28793928941,9.44850997231,9.44850997231,8.758731701317,9.448509972317,9.448509972347,8.636139690767,9.448509972347,9.448509972817,9.448509972817,8.339488864917,8.062058068817,6.525522106737,6.248828051337,9.448509972777,9.448509972777,7.742349449077,9.448509972627,9.448509972627,9.448509972637,9.4485099726913,9.4485099726913,9.042871490637,9.448509972637,9.448509972637,9.448509972737,9.448509972727,9.448509972727,9.448509972637,9.448509972567,9.448509972587,9.448509972587,9.448509972567,9.448509972567,9.064349270567,9.448509972667,9.279388268067,9.448509972667,9.448509972717,9.448509972717,9.448509972717,9.448509972717,8.808172429617,9.246402811287,8.838780293787,9.448509972639,9.448509972639,9.448509972587,9.448509972587,9.448509972587,9.448509972597,9.448509972597,8.978435128557,9.448509972457,9.448509972717,9.448509972717,9.448509972587,9.448509972627,9.448509972627,9.448509972687,9.448509972687,9.448509972687,9.182394579217,9.448509972617,7.267840792717,8.14773637413,8.74277096283,9.44850997253,8.85794555513,9.448509972675,9.448509972675,9.44850997273,9.44850997273,8.26375516713,8.74144953873,9.44850997293,9.44850997313,9.44850997323,9.44850997323,9.44850997326,9.44850997326,9.44850997353,9.448509973092,9.448509973092,9.448509973132,9.448509973132,9.448509973052,9.44850997313,9.44850997333,9.44850997333,9.44850997273,9.44850997273,9.17689213937,9.44850997271,9.448509972703,9.448509972703,9.09864654191,8.34049976623
"t17",2.48014327443,1.79372032414,1.6819286816,0,2.2017706617,2.20177066167,2.20177066167,2.20177066175,3.78703801365,3.787038013662,3.787038013662,3.78703801365,3.78703801365,3.78703801365,3.78703801364,3.78703801364,3.78703801304,5.23463293074,5.09364480934,4.15291220564,5.45948187172,5.45948187172,5.45948187174,5.45948187174,5.45948187174,5.45948187184,3.28633005693,4.06476065813,7.66988245291,7.63061033351,7.46584602991,7.89944044421,7.36556075201,7.89944044412,7.25927031192,7.89944044453,6.71925509211,7.50232965299,7.89944044379,7.89944044426,7.89944044426,7.89944044421,6.73886976101,7.89944044391,7.89944044391,7.209662172917,7.899440443917,7.899440443947,7.087070162367,7.899440443947,7.899440444417,7.899440444417,6.790419336517,6.512988540417,4.976452578337,4.699758522937,7.899440444377,7.899440444377,6.193279920677,7.899440444227,7.899440444227,7.899440444237,7.8994404442913,7.8994404442913,7.493801962237,7.899440444237,7.899440444237,7.899440444337,7.899440444327,7.899440444327,7.899440444237,7.899440444167,7.899440444187,7.899440444187,7.899440444167,7.899440444167,7.515279742167,7.899440444267,7.730318739667,7.899440444267,7.899440444317,7.899440444317,7.899440444317,7.899440444317,7.259102901217,7.697333282887,7.289710765387,7.899440444239,7.899440444239,7.899440444187,7.899440444187,7.899440444187,7.899440444197,7.899440444197,7.429365600157,7.899440444057,7.899440444317,7.899440444317,7.899440444187,7.899440444227,7.899440444227,7.899440444287,7.899440444287,7.899440444287,7.633325050817,7.899440444217,5.718771264317,6.59866684573,7.19370143443,7.89944044413,7.30887602673,7.899440444275,7.899440444275,7.89944044433,7.89944044433,6.71468563873,7.19238001033,7.89944044453,7.89944044473,7.89944044483,7.89944044483,7.89944044486,7.89944044486,7.89944044513,7.899440444692,7.899440444692,7.899440444732,7.899440444732,7.899440444652,7.89944044473,7.89944044493,7.89944044493,7.89944044433,7.89944044433,7.62782261097,7.89944044431,7.899440444303,7.899440444303,7.54957701351,6.79143023783
"t79",4.02921280373,3.34278985344,3.7508401901,2.2017706617,0,0.92678235697,0.92678235697,0.92678235705,5.33610754295,5.336107542962,5.336107542962,5.33610754295,5.33610754295,5.33610754295,5.33610754294,5.33610754294,5.33610754234,6.78370246004,6.64271433864,5.70198173494,7.00855140102,7.00855140102,7.00855140104,7.00855140104,7.00855140104,7.00855140114,4.83539958623,5.61383018743,9.21895198221,9.17967986281,9.01491555921,9.44850997351,8.91463028131,9.44850997342,8.80833984122,9.44850997383,8.26832462141,9.05139918229,9.44850997309,9.44850997356,9.44850997356,9.44850997351,8.28793929031,9.44850997321,9.44850997321,8.758731702217,9.448509973217,9.448509973247,8.636139691667,9.448509973247,9.448509973717,9.448509973717,8.339488865817,8.062058069717,6.525522107637,6.248828052237,9.448509973677,9.448509973677,7.742349449977,9.448509973527,9.448509973527,9.448509973537,9.4485099735913,9.4485099735913,9.042871491537,9.448509973537,9.448509973537,9.448509973637,9.448509973627,9.448509973627,9.448509973537,9.448509973467,9.448509973487,9.448509973487,9.448509973467,9.448509973467,9.064349271467,9.448509973567,9.279388268967,9.448509973567,9.448509973617,9.448509973617,9.448509973617,9.448509973617,8.808172430517,9.246402812187,8.838780294687,9.448509973539,9.448509973539,9.448509973487,9.448509973487,9.448509973487,9.448509973497,9.448509973497,8.978435129457,9.448509973357,9.448509973617,9.448509973617,9.448509973487,9.448509973527,9.448509973527,9.448509973587,9.448509973587,9.448509973587,9.182394580117,9.448509973517,7.267840793617,8.14773637503,8.74277096373,9.44850997343,8.85794555603,9.448509973575,9.448509973575,9.44850997363,9.44850997363,8.26375516803,8.74144953963,9.44850997383,9.44850997403,9.44850997413,9.44850997413,9.44850997416,9.44850997416,9.44850997443,9.448509973992,9.448509973992,9.448509974032,9.448509974032,9.448509973952,9.44850997403,9.44850997423,9.44850997423,9.44850997363,9.44850997363,9.17689214027,9.44850997361,9.448509973603,9.448509973603,9.09864654281,8.34049976713
"t129",4.0292128037,3.34278985341,3.75084019007,2.20177066167,0.92678235697,0,0.08908083844,0.84557598912,5.33610754292,5.336107542932,5.336107542932,5.33610754292,5.33610754292,5.33610754292,5.33610754291,5.33610754291,5.33610754231,6.78370246001,6.64271433861,5.70198173491,7.00855140099,7.00855140099,7.00855140101,7.00855140101,7.00855140101,7.00855140111,4.8353995862,5.6138301874,9.21895198218,9.17967986278,9.01491555918,9.44850997348,8.91463028128,9.44850997339,8.80833984119,9.4485099738,8.26832462138,9.05139918226,9.44850997306,9.44850997353,9.44850997353,9.44850997348,8.28793929028,9.44850997318,9.44850997318,8.758731702187,9.448509973187,9.448509973217,8.636139691637,9.448509973217,9.448509973687,9.448509973687,8.339488865787,8.062058069687,6.525522107607,6.248828052207,9.448509973647,9.448509973647,7.742349449947,9.448509973497,9.448509973497,9.448509973507,9.4485099735613,9.4485099735613,9.042871491507,9.448509973507,9.448509973507,9.448509973607,9.448509973597,9.448509973597,9.448509973507,9.448509973437,9.448509973457,9.448509973457,9.448509973437,9.448509973437,9.064349271437,9.448509973537,9.279388268937,9.448509973537,9.448509973587,9.448509973587,9.448509973587,9.448509973587,8.808172430487,9.246402812157,8.838780294657,9.448509973509,9.448509973509,9.448509973457,9.448509973457,9.448509973457,9.448509973467,9.448509973467,8.978435129427,9.448509973327,9.448509973587,9.448509973587,9.448509973457,9.448509973497,9.448509973497,9.448509973557,9.448509973557,9.448509973557,9.182394580087,9.448509973487,7.267840793587,8.147736375,8.7427709637,9.4485099734,8.857945556,9.448509973545,9.448509973545,9.4485099736,9.4485099736,8.263755168,8.7414495396,9.4485099738,9.448509974,9.4485099741,9.4485099741,9.44850997413,9.44850997413,9.4485099744,9.448509973962,9.448509973962,9.448509974002,9.448509974002,9.448509973922,9.448509974,9.4485099742,9.4485099742,9.4485099736,9.4485099736,9.17689214024,9.44850997358,9.448509973573,9.448509973573,9.09864654278,8.3404997671
"t130",4.0292128037,3.34278985341,3.75084019007,2.20177066167,0.92678235697,0.08908083844,0,0.84557598912,5.33610754292,5.336107542932,5.336107542932,5.33610754292,5.33610754292,5.33610754292,5.33610754291,5.33610754291,5.33610754231,6.78370246001,6.64271433861,5.70198173491,7.00855140099,7.00855140099,7.00855140101,7.00855140101,7.00855140101,7.00855140111,4.8353995862,5.6138301874,9.21895198218,9.17967986278,9.01491555918,9.44850997348,8.91463028128,9.44850997339,8.80833984119,9.4485099738,8.26832462138,9.05139918226,9.44850997306,9.44850997353,9.44850997353,9.44850997348,8.28793929028,9.44850997318,9.44850997318,8.758731702187,9.448509973187,9.448509973217,8.636139691637,9.448509973217,9.448509973687,9.448509973687,8.339488865787,8.062058069687,6.525522107607,6.248828052207,9.448509973647,9.448509973647,7.742349449947,9.448509973497,9.448509973497,9.448509973507,9.4485099735613,9.4485099735613,9.042871491507,9.448509973507,9.448509973507,9.448509973607,9.448509973597,9.448509973597,9.448509973507,9.448509973437,9.448509973457,9.448509973457,9.448509973437,9.448509973437,9.064349271437,9.448509973537,9.279388268937,9.448509973537,9.448509973587,9.448509973587,9.448509973587,9.448509973587,8.808172430487,9.246402812157,8.838780294657,9.448509973509,9.448509973509,9.448509973457,9.448509973457,9.448509973457,9.448509973467,9.448509973467,8.978435129427,9.448509973327,9.448509973587,9.448509973587,9.448509973457,9.448509973497,9.448509973497,9.448509973557,9.448509973557,9.448509973557,9.182394580087,9.448509973487,7.267840793587,8.147736375,8.7427709637,9.4485099734,8.857945556,9.448509973545,9.448509973545,9.4485099736,9.4485099736,8.263755168,8.7414495396,9.4485099738,9.448509974,9.4485099741,9.4485099741,9.44850997413,9.44850997413,9.4485099744,9.448509973962,9.448509973962,9.448509974002,9.448509974002,9.448509973922,9.448509974,9.4485099742,9.4485099742,9.4485099736,9.4485099736,9.17689214024,9.44850997358,9.448509973573,9.448509973573,9.09864654278,8.3404997671
"t81",4.02921280378,3.34278985349,3.75084019015,2.20177066175,0.92678235705,0.84557598912,0.84557598912,0,5.336107543,5.336107543012,5.336107543012,5.336107543,5.336107543,5.336107543,5.33610754299,5.33610754299,5.33610754239,6.78370246009,6.64271433869,5.70198173499,7.00855140107,7.00855140107,7.00855140109,7.00855140109,7.00855140109,7.00855140119,4.83539958628,5.61383018748,9.21895198226,9.17967986286,9.01491555926,9.44850997356,8.91463028136,9.44850997347,8.80833984127,9.44850997388,8.26832462146,9.05139918234,9.44850997314,9.44850997361,9.44850997361,9.44850997356,8.28793929036,9.44850997326,9.44850997326,8.758731702267,9.448509973267,9.448509973297,8.636139691717,9.448509973297,9.448509973767,9.448509973767,8.339488865867,8.062058069767,6.525522107687,6.248828052287,9.448509973727,9.448509973727,7.742349450027,9.448509973577,9.448509973577,9.448509973587,9.4485099736413,9.4485099736413,9.042871491587,9.448509973587,9.448509973587,9.448509973687,9.448509973677,9.448509973677,9.448509973587,9.448509973517,9.448509973537,9.448509973537,9.448509973517,9.448509973517,9.064349271517,9.448509973617,9.279388269017,9.448509973617,9.448509973667,9.448509973667,9.448509973667,9.448509973667,8.808172430567,9.246402812237,8.838780294737,9.448509973589,9.448509973589,9.448509973537,9.448509973537,9.448509973537,9.448509973547,9.448509973547,8.978435129507,9.448509973407,9.448509973667,9.448509973667,9.448509973537,9.448509973577,9.448509973577,9.448509973637,9.448509973637,9.448509973637,9.182394580167,9.448509973567,7.267840793667,8.14773637508,8.74277096378,9.44850997348,8.85794555608,9.448509973625,9.448509973625,9.44850997368,9.44850997368,8.26375516808,8.74144953968,9.44850997388,9.44850997408,9.44850997418,9.44850997418,9.44850997421,9.44850997421,9.44850997448,9.448509974042,9.448509974042,9.448509974082,9.448509974082,9.448509974002,9.44850997408,9.44850997428,9.44850997428,9.44850997368,9.44850997368,9.17689214032,9.44850997366,9.448509973653,9.448509973653,9.09864654286,8.34049976718
"t49",4.0292128036,4.72824185751,5.33610754205,3.78703801365,5.33610754295,5.33610754292,5.33610754292,5.336107543,0,1.887331960812,1.887331960812,1.8873319608,1.8873319608,1.8873319608,1.97573778121,1.97573778121,4.55299832661,6.78370245991,6.64271433851,5.70198173481,7.00855140089,7.00855140089,7.00855140091,7.00855140091,7.00855140091,7.00855140101,4.8353995861,5.6138301873,9.21895198208,9.17967986268,9.01491555908,9.44850997338,8.91463028118,9.44850997329,8.80833984109,9.4485099737,8.26832462128,9.05139918216,9.44850997296,9.44850997343,9.44850997343,9.44850997338,8.28793929018,9.44850997308,9.44850997308,8.758731702087,9.448509973087,9.448509973117,8.636139691537,9.448509973117,9.448509973587,9.448509973587,8.339488865687,8.062058069587,6.525522107507,6.248828052107,9.448509973547,9.448509973547,7.742349449847,9.448509973397,9.448509973397,9.448509973407,9.4485099734613,9.4485099734613,9.042871491407,9.448509973407,9.448509973407,9.448509973507,9.448509973497,9.448509973497,9.448509973407,9.448509973337,9.448509973357,9.448509973357,9.448509973337,9.448509973337,9.064349271337,9.448509973437,9.279388268837,9.448509973437,9.448509973487,9.448509973487,9.448509973487,9.448509973487,8.808172430387,9.246402812057,8.838780294557,9.448509973409,9.448509973409,9.448509973357,9.448509973357,9.448509973357,9.448509973367,9.448509973367,8.978435129327,9.448509973227,9.448509973487,9.448509973487,9.448509973357,9.448509973397,9.448509973397,9.448509973457,9.448509973457,9.448509973457,9.182394579987,9.448509973387,7.267840793487,8.1477363749,8.7427709636,9.4485099733,8.8579455559,9.448509973445,9.448509973445,9.4485099735,9.4485099735,8.2637551679,8.7414495395,9.4485099737,9.4485099739,9.448509974,9.448509974,9.44850997403,9.44850997403,9.4485099743,9.448509973862,9.448509973862,9.448509973902,9.448509973902,9.448509973822,9.4485099739,9.4485099741,9.4485099741,9.4485099735,9.4485099735,9.17689214014,9.44850997348,9.448509973473,9.448509973473,9.09864654268,8.340499767
"t135",4.029212803612,4.728241857522,5.336107542062,3.787038013662,5.336107542962,5.336107542932,5.336107542932,5.336107543012,1.887331960812,0,0.017080281224,1.477319533212,1.477319533212,1.477319533212,1.975737781222,1.975737781222,4.552998326622,6.783702459922,6.642714338522,5.701981734822,7.008551400902,7.008551400902,7.008551400922,7.008551400922,7.008551400922,7.008551401022,4.835399586112,5.613830187312,9.218951982092,9.179679862692,9.014915559092,9.448509973392,8.914630281192,9.448509973302,8.808339841102,9.448509973712,8.268324621292,9.051399182172,9.448509972972,9.448509973442,9.448509973442,9.448509973392,8.287939290192,9.448509973092,9.448509973092,8.758731702099,9.448509973099,9.448509973129,8.636139691549,9.448509973129,9.448509973599,9.448509973599,8.339488865699,8.062058069599,6.525522107519,6.248828052119,9.448509973559,9.448509973559,7.742349449859,9.448509973409,9.448509973409,9.448509973419,9.4485099734733,9.4485099734733,9.042871491419,9.448509973419,9.448509973419,9.448509973519,9.448509973509,9.448509973509,9.448509973419,9.448509973349,9.448509973369,9.448509973369,9.448509973349,9.448509973349,9.064349271349,9.448509973449,9.279388268849,9.448509973449,9.448509973499,9.448509973499,9.448509973499,9.448509973499,8.808172430399,9.246402812069,8.838780294569,9.448509973421,9.448509973421,9.448509973369,9.448509973369,9.448509973369,9.448509973379,9.448509973379,8.978435129339,9.448509973239,9.448509973499,9.448509973499,9.448509973369,9.448509973409,9.448509973409,9.448509973469,9.448509973469,9.448509973469,9.182394579999,9.448509973399,7.267840793499,8.147736374912,8.742770963612,9.448509973312,8.857945555912,9.448509973457,9.448509973457,9.448509973512,9.448509973512,8.263755167912,8.741449539512,9.448509973712,9.448509973912,9.448509974012,9.448509974012,9.448509974042,9.448509974042,9.448509974312,9.448509973874,9.448509973874,9.448509973914,9.448509973914,9.448509973834,9.448509973912,9.448509974112,9.448509974112,9.448509973512,9.448509973512,9.176892140152,9.448509973492,9.448509973485,9.448509973485,9.098646542692,8.340499767012
