"accepted_species","I1.1/1"
"t77","0"
"t78","0"
"t24","0"
"t68","0"
"t69",NA
"t65","0"
"t99","0"
"t100","0"
"t40","0"
"t41","0"
"t43",NA
"t44","0"
"t71","0"
"t72","0"
"t62","1"
"t63","0"
"t55","0"
"t33",NA
"t34","0"
"t93",NA
"t94","1"
"t73","0"
"t74","0"
"t3","0"
"t11","1"
"t54","1"
"t9","0"
"t10","0"
"t4","0"
"t1","1"
"t58","0"
"t59",NA
"t48","0"
"t14","0"
"t52","0"
"t53",NA
"t45","1"
"t46","0"
"t47","0"
"t64","0"
"t70","0"
"t97","0"
"t98","0"
"t12","0"
"t22","0"
"t23","0"
"t13","1"
"t17","0"
"t30","0"
"t50","0"
"t51","0"
"t31",NA
"t28",NA
"t32","0"
"t82","0"
"t83","0"
"t49","0"
"t95","0"
"t96","0"
"t38",NA
"t39","0"
"t7","0"
"t8","1"
"t35","0"
"t84","0"
"t85","0"
"t79","0"
"t80","1"
"t20","0"
"t75","0"
"t76","1"
"t27","1"
"t86","0"
"t87","0"
"t81","0"
"t88","0"
"t91","1"
"t92","0"
"t42","0"
"t89","0"
"t90","1"
"t25","0"
"t26","1"
"t36","0"
"t37","0"
"t21","0"
"t29","0"
"t66","0"
"t67","1"
"t16","1"
"t56",NA
"t57","0"
"t5","0"
"t6","0"
"t2","0"
"t18","0"
"t19","0"
"t60","0"
"t61","0"
"t15","0"
