"accepted_species","I1.1/1"
"t28",NA
"t29","0"
"t38","1"
"t13","1"
"t87","1"
"t88","1"
"t79",NA
"t34","1"
"t35","1"
"t17",NA
"t11",NA
"t5",NA
"t89",NA
"t90","1"
"t33","0"
"t30","1"
"t9","1"
"t8","1"
"t6","0"
"t14",NA
"t15","0"
"t54","0"
"t56",NA
"t57","0"
"t68","1"
"t69","0"
"t43","1"
"t44","1"
"t93","1"
"t94",NA
"t51","0"
"t20","1"
"t66","1"
"t67","0"
"t26","1"
"t73","1"
"t74","0"
"t24","0"
"t99","0"
"t100","0"
"t2","0"
"t27","1"
"t45",NA
"t46","0"
"t21","1"
"t19","1"
"t75","1"
"t76","1"
"t7","1"
"t77","1"
"t78","0"
"t12","1"
"t18","1"
"t64","0"
"t65","0"
"t37","1"
"t10","1"
"t58","1"
"t59","1"
"t31","1"
"t80","1"
"t81","1"
"t55","0"
"t52","0"
"t22","1"
"t23","1"
"t39","1"
"t97","1"
"t98","1"
"t63","1"
"t47","1"
"t48","1"
"t61","1"
"t62","1"
"t60","1"
"t82","1"
"t83","0"
"t84","0"
"t70","1"
"t71","1"
"t49","1"
"t50","1"
"t36","1"
"t40","0"
"t53","1"
"t95","0"
"t96","1"
"t16","0"
"t41","1"
"t42","1"
"t25","1"
"t85","0"
"t86","0"
"t3","0"
"t4","0"
"t1","1"
"t32","1"
"t72","1"
"t91","1"
"t92","1"
