"","t1","t7","t8","t11","t18","t110","t111","t125","t126","t74","t75","t12","t16","t17","t2","t3","t6","t15","t46","t49","t85","t86","t43","t95","t121","t122","t93","t94","t79","t53","t63","t96","t97","t101","t119","t120","t98","t82","t69","t64","t40","t30","t20","t22","t61","t91","t92","t70","t71","t27","t45","t59","t60","t34","t80","t81","t102","t103","t48","t72","t123","t124","t114","t50","t37","t35","t76","t77","t99","t100","t32","t87","t88","t78","t108","t109","t44","t67","t68","t65","t127","t128","t66","t62","t19","t31","t33","t41","t42","t57","t58","t29","t83","t84","t73","t112","t113","t36","t25","t13","t106","t107","t26","t104","t105","t90","t115","t116","t56","t51","t52","t47","t54","t55","t117","t118","t89","t21","t5","t23","t24","t14","t10","t4","t9","t28","t38","t39"
"t1",0,3.8632838474,3.5687261838,4.1494970531,4.47280641568,6.48993470986,6.48993470986,6.48993471012,6.48993471012,6.48993470948,6.48993470948,6.48993470988,6.48993471008,6.48993471008,2.00808594779,4.64163353069,5.87877582305,5.19459945414,6.48993470994,6.48993470993,6.48993470993,6.48993470993,6.48993470994,6.48993471004,6.48993471004,6.48993471004,6.48993470994,6.48993470994,6.48993470994,6.48993470994,6.48993470984,6.489934709925,6.489934709925,6.4899347099485,6.4899347099085,6.4899347099085,6.489934709917,6.489934709827,6.191918547717,6.489934709857,6.48993470984,6.23580305274,6.48993471004,6.48993470984,6.48993471027,6.48993471027,6.48993471027,6.48993471027,6.48993471027,6.48993470974,6.48993471027,6.48993471027,6.48993471027,5.95451832367,6.48993471007,6.48993471007,6.48993471007,6.48993471007,6.48993471007,6.48993471007,6.48993471004,6.48993471004,6.48993471004,6.48993471007,6.48993471007,6.22220947634,6.41753812804,6.2166291703,6.48993471014,6.48993471014,6.48993471017,6.48993471012,6.48993471012,6.48993471007,6.48993471009,6.48993471009,6.48993471007,6.48993471038,6.48993471038,6.48993471047,6.48993471043,6.48993471043,6.48993471038,6.43971410748,6.48993471018,6.48993471058,6.32522791035,6.48993471015,6.48993471015,6.48993471008,6.48993471008,6.33015068958,6.48993471062,6.48993471062,6.48993471058,6.48993471018,6.48993471018,6.48993471018,6.48993470968,4.28565944724,6.48993471005,6.48993471005,6.48993471035,6.48993471035,6.48993471035,6.48993471039,6.48993471035,6.48993471035,6.48993471029,6.48993471059,6.48993471059,6.48993471064,6.48993471064,5.94124009457,6.48993471004,6.48993471004,6.39456739254,4.79051380744,2.99793490465,5.33574786385,6.48993471025,5.31969961325,3.40391331575,2.75215843495,3.63333095605,6.48993471115,6.48993471095,6.48993471095
"t7",3.8632838474,0,1.5580340944,4.1535455877,4.47685495028,6.49398324446,6.49398324446,6.49398324472,6.49398324472,6.49398324408,6.49398324408,6.49398324448,6.49398324468,6.49398324468,2.21536845839,4.84891604129,6.08605833365,5.40188196474,6.69721722054,6.69721722053,6.69721722053,6.69721722053,6.69721722054,6.69721722064,6.69721722064,6.69721722064,6.69721722054,6.69721722054,6.69721722054,6.69721722054,6.69721722044,6.697217220525,6.697217220525,6.6972172205485,6.6972172205085,6.6972172205085,6.697217220517,6.697217220427,6.399201058317,6.697217220457,6.69721722044,6.44308556334,6.69721722064,6.69721722044,6.69721722087,6.69721722087,6.69721722087,6.69721722087,6.69721722087,6.69721722034,6.69721722087,6.69721722087,6.69721722087,6.16180083427,6.69721722067,6.69721722067,6.69721722067,6.69721722067,6.69721722067,6.69721722067,6.69721722064,6.69721722064,6.69721722064,6.69721722067,6.69721722067,6.42949198694,6.62482063864,6.4239116809,6.69721722074,6.69721722074,6.69721722077,6.69721722072,6.69721722072,6.69721722067,6.69721722069,6.69721722069,6.69721722067,6.69721722098,6.69721722098,6.69721722107,6.69721722103,6.69721722103,6.69721722098,6.64699661808,6.69721722078,6.69721722118,6.53251042095,6.69721722075,6.69721722075,6.69721722068,6.69721722068,6.53743320018,6.69721722122,6.69721722122,6.69721722118,6.69721722078,6.69721722078,6.69721722078,6.69721722028,4.49294195784,6.69721722065,6.69721722065,6.69721722095,6.69721722095,6.69721722095,6.69721722099,6.69721722095,6.69721722095,6.69721722089,6.69721722119,6.69721722119,6.69721722124,6.69721722124,6.14852260517,6.69721722064,6.69721722064,6.60184990314,4.99779631804,3.20521741525,5.54303037445,6.69721722085,5.52698212385,3.61119582635,2.95944094555,3.84061346665,6.69721722175,6.69721722155,6.69721722155
"t8",3.5687261838,1.5580340944,0,3.8589879241,4.18229728668,6.19942558086,6.19942558086,6.19942558112,6.19942558112,6.19942558048,6.19942558048,6.19942558088,6.19942558108,6.19942558108,1.92081079479,4.55435837769,5.79150067005,5.10732430114,6.40265955694,6.40265955693,6.40265955693,6.40265955693,6.40265955694,6.40265955704,6.40265955704,6.40265955704,6.40265955694,6.40265955694,6.40265955694,6.40265955694,6.40265955684,6.402659556925,6.402659556925,6.4026595569485,6.4026595569085,6.4026595569085,6.402659556917,6.402659556827,6.104643394717,6.402659556857,6.40265955684,6.14852789974,6.40265955704,6.40265955684,6.40265955727,6.40265955727,6.40265955727,6.40265955727,6.40265955727,6.40265955674,6.40265955727,6.40265955727,6.40265955727,5.86724317067,6.40265955707,6.40265955707,6.40265955707,6.40265955707,6.40265955707,6.40265955707,6.40265955704,6.40265955704,6.40265955704,6.40265955707,6.40265955707,6.13493432334,6.33026297504,6.1293540173,6.40265955714,6.40265955714,6.40265955717,6.40265955712,6.40265955712,6.40265955707,6.40265955709,6.40265955709,6.40265955707,6.40265955738,6.40265955738,6.40265955747,6.40265955743,6.40265955743,6.40265955738,6.35243895448,6.40265955718,6.40265955758,6.23795275735,6.40265955715,6.40265955715,6.40265955708,6.40265955708,6.24287553658,6.40265955762,6.40265955762,6.40265955758,6.40265955718,6.40265955718,6.40265955718,6.40265955668,4.19838429424,6.40265955705,6.40265955705,6.40265955735,6.40265955735,6.40265955735,6.40265955739,6.40265955735,6.40265955735,6.40265955729,6.40265955759,6.40265955759,6.40265955764,6.40265955764,5.85396494157,6.40265955704,6.40265955704,6.30729223954,4.70323865444,2.91065975165,5.24847271085,6.40265955725,5.23242446025,3.31663816275,2.66488328195,3.54605580305,6.40265955815,6.40265955795,6.40265955795
"t11",4.1494970531,4.1535455877,3.8589879241,0,1.66072006198,3.67784835616,3.67784835616,3.67784835642,3.67784835642,3.67784835578,3.67784835578,3.67784835618,3.67784835638,3.67784835638,2.50158166409,5.13512924699,6.37227153935,5.68809517044,6.98343042624,6.98343042623,6.98343042623,6.98343042623,6.98343042624,6.98343042634,6.98343042634,6.98343042634,6.98343042624,6.98343042624,6.98343042624,6.98343042624,6.98343042614,6.983430426225,6.983430426225,6.9834304262485,6.9834304262085,6.9834304262085,6.983430426217,6.983430426127,6.685414264017,6.983430426157,6.98343042614,6.72929876904,6.98343042634,6.98343042614,6.98343042657,6.98343042657,6.98343042657,6.98343042657,6.98343042657,6.98343042604,6.98343042657,6.98343042657,6.98343042657,6.44801403997,6.98343042637,6.98343042637,6.98343042637,6.98343042637,6.98343042637,6.98343042637,6.98343042634,6.98343042634,6.98343042634,6.98343042637,6.98343042637,6.71570519264,6.91103384434,6.7101248866,6.98343042644,6.98343042644,6.98343042647,6.98343042642,6.98343042642,6.98343042637,6.98343042639,6.98343042639,6.98343042637,6.98343042668,6.98343042668,6.98343042677,6.98343042673,6.98343042673,6.98343042668,6.93320982378,6.98343042648,6.98343042688,6.81872362665,6.98343042645,6.98343042645,6.98343042638,6.98343042638,6.82364640588,6.98343042692,6.98343042692,6.98343042688,6.98343042648,6.98343042648,6.98343042648,6.98343042598,4.77915516354,6.98343042635,6.98343042635,6.98343042665,6.98343042665,6.98343042665,6.98343042669,6.98343042665,6.98343042665,6.98343042659,6.98343042689,6.98343042689,6.98343042694,6.98343042694,6.43473581087,6.98343042634,6.98343042634,6.88806310884,5.28400952374,3.49143062095,5.82924358015,6.98343042655,5.81319532955,3.89740903205,3.24565415125,4.12682667235,6.98343042745,6.98343042725,6.98343042725
"t18",4.47280641568,4.47685495028,4.18229728668,1.66072006198,0,2.29728929358,2.29728929358,2.29728929384,2.29728929384,2.2972892932,2.2972892932,3.922990043,3.9229900432,3.9229900432,2.82489102667,5.45843860957,6.69558090193,6.01140453302,7.30673978882,7.30673978881,7.30673978881,7.30673978881,7.30673978882,7.30673978892,7.30673978892,7.30673978892,7.30673978882,7.30673978882,7.30673978882,7.30673978882,7.30673978872,7.306739788805,7.306739788805,7.3067397888285,7.3067397887885,7.3067397887885,7.306739788797,7.306739788707,7.008723626597,7.306739788737,7.30673978872,7.05260813162,7.30673978892,7.30673978872,7.30673978915,7.30673978915,7.30673978915,7.30673978915,7.30673978915,7.30673978862,7.30673978915,7.30673978915,7.30673978915,6.77132340255,7.30673978895,7.30673978895,7.30673978895,7.30673978895,7.30673978895,7.30673978895,7.30673978892,7.30673978892,7.30673978892,7.30673978895,7.30673978895,7.03901455522,7.23434320692,7.03343424918,7.30673978902,7.30673978902,7.30673978905,7.306739789,7.306739789,7.30673978895,7.30673978897,7.30673978897,7.30673978895,7.30673978926,7.30673978926,7.30673978935,7.30673978931,7.30673978931,7.30673978926,7.25651918636,7.30673978906,7.30673978946,7.14203298923,7.30673978903,7.30673978903,7.30673978896,7.30673978896,7.14695576846,7.3067397895,7.3067397895,7.30673978946,7.30673978906,7.30673978906,7.30673978906,7.30673978856,5.10246452612,7.30673978893,7.30673978893,7.30673978923,7.30673978923,7.30673978923,7.30673978927,7.30673978923,7.30673978923,7.30673978917,7.30673978947,7.30673978947,7.30673978952,7.30673978952,6.75804517345,7.30673978892,7.30673978892,7.21137247142,5.60731888632,3.81473998353,6.15255294273,7.30673978913,6.13650469213,4.22071839463,3.56896351383,4.45013603493,7.30673979003,7.30673978983,7.30673978983
"t110",6.48993470986,6.49398324446,6.19942558086,3.67784835616,2.29728929358,0,0.16959698916,2.12542669282,2.12542669282,3.16945216258,3.16945216258,5.94011833718,5.94011833738,5.94011833738,4.84201932085,7.47556690375,8.71270919611,8.0285328272,9.323868083,9.32386808299,9.32386808299,9.32386808299,9.323868083,9.3238680831,9.3238680831,9.3238680831,9.323868083,9.323868083,9.323868083,9.323868083,9.3238680829,9.323868082985,9.323868082985,9.3238680830085,9.3238680829685,9.3238680829685,9.323868082977,9.323868082887,9.025851920777,9.323868082917,9.3238680829,9.0697364258,9.3238680831,9.3238680829,9.32386808333,9.32386808333,9.32386808333,9.32386808333,9.32386808333,9.3238680828,9.32386808333,9.32386808333,9.32386808333,8.78845169673,9.32386808313,9.32386808313,9.32386808313,9.32386808313,9.32386808313,9.32386808313,9.3238680831,9.3238680831,9.3238680831,9.32386808313,9.32386808313,9.0561428494,9.2514715011,9.05056254336,9.3238680832,9.3238680832,9.32386808323,9.32386808318,9.32386808318,9.32386808313,9.32386808315,9.32386808315,9.32386808313,9.32386808344,9.32386808344,9.32386808353,9.32386808349,9.32386808349,9.32386808344,9.27364748054,9.32386808324,9.32386808364,9.15916128341,9.32386808321,9.32386808321,9.32386808314,9.32386808314,9.16408406264,9.32386808368,9.32386808368,9.32386808364,9.32386808324,9.32386808324,9.32386808324,9.32386808274,7.1195928203,9.32386808311,9.32386808311,9.32386808341,9.32386808341,9.32386808341,9.32386808345,9.32386808341,9.32386808341,9.32386808335,9.32386808365,9.32386808365,9.3238680837,9.3238680837,8.77517346763,9.3238680831,9.3238680831,9.2285007656,7.6244471805,5.83186827771,8.16968123691,9.32386808331,8.15363298631,6.23784668881,5.58609180801,6.46726432911,9.32386808421,9.32386808401,9.32386808401
"t111",6.48993470986,6.49398324446,6.19942558086,3.67784835616,2.29728929358,0.16959698916,0,2.12542669282,2.12542669282,3.16945216258,3.16945216258,5.94011833718,5.94011833738,5.94011833738,4.84201932085,7.47556690375,8.71270919611,8.0285328272,9.323868083,9.32386808299,9.32386808299,9.32386808299,9.323868083,9.3238680831,9.3238680831,9.3238680831,9.323868083,9.323868083,9.323868083,9.323868083,9.3238680829,9.323868082985,9.323868082985,9.3238680830085,9.3238680829685,9.3238680829685,9.323868082977,9.323868082887,9.025851920777,9.323868082917,9.3238680829,9.0697364258,9.3238680831,9.3238680829,9.32386808333,9.32386808333,9.32386808333,9.32386808333,9.32386808333,9.3238680828,9.32386808333,9.32386808333,9.32386808333,8.78845169673,9.32386808313,9.32386808313,9.32386808313,9.32386808313,9.32386808313,9.32386808313,9.3238680831,9.3238680831,9.3238680831,9.32386808313,9.32386808313,9.0561428494,9.2514715011,9.05056254336,9.3238680832,9.3238680832,9.32386808323,9.32386808318,9.32386808318,9.32386808313,9.32386808315,9.32386808315,9.32386808313,9.32386808344,9.32386808344,9.32386808353,9.32386808349,9.32386808349,9.32386808344,9.27364748054,9.32386808324,9.32386808364,9.15916128341,9.32386808321,9.32386808321,9.32386808314,9.32386808314,9.16408406264,9.32386808368,9.32386808368,9.32386808364,9.32386808324,9.32386808324,9.32386808324,9.32386808274,7.1195928203,9.32386808311,9.32386808311,9.32386808341,9.32386808341,9.32386808341,9.32386808345,9.32386808341,9.32386808341,9.32386808335,9.32386808365,9.32386808365,9.3238680837,9.3238680837,8.77517346763,9.3238680831,9.3238680831,9.2285007656,7.6244471805,5.83186827771,8.16968123691,9.32386808331,8.15363298631,6.23784668881,5.58609180801,6.46726432911,9.32386808421,9.32386808401,9.32386808401
"t125",6.48993471012,6.49398324472,6.19942558112,3.67784835642,2.29728929384,2.12542669282,2.12542669282,0,0.02303946108,3.16945216284,3.16945216284,5.94011833744,5.94011833764,5.94011833764,4.84201932111,7.47556690401,8.71270919637,8.02853282746,9.32386808326,9.32386808325,9.32386808325,9.32386808325,9.32386808326,9.32386808336,9.32386808336,9.32386808336,9.32386808326,9.32386808326,9.32386808326,9.32386808326,9.32386808316,9.323868083245,9.323868083245,9.3238680832685,9.3238680832285,9.3238680832285,9.323868083237,9.323868083147,9.025851921037,9.323868083177,9.32386808316,9.06973642606,9.32386808336,9.32386808316,9.32386808359,9.32386808359,9.32386808359,9.32386808359,9.32386808359,9.32386808306,9.32386808359,9.32386808359,9.32386808359,8.78845169699,9.32386808339,9.32386808339,9.32386808339,9.32386808339,9.32386808339,9.32386808339,9.32386808336,9.32386808336,9.32386808336,9.32386808339,9.32386808339,9.05614284966,9.25147150136,9.05056254362,9.32386808346,9.32386808346,9.32386808349,9.32386808344,9.32386808344,9.32386808339,9.32386808341,9.32386808341,9.32386808339,9.3238680837,9.3238680837,9.32386808379,9.32386808375,9.32386808375,9.3238680837,9.2736474808,9.3238680835,9.3238680839,9.15916128367,9.32386808347,9.32386808347,9.3238680834,9.3238680834,9.1640840629,9.32386808394,9.32386808394,9.3238680839,9.3238680835,9.3238680835,9.3238680835,9.323868083,7.11959282056,9.32386808337,9.32386808337,9.32386808367,9.32386808367,9.32386808367,9.32386808371,9.32386808367,9.32386808367,9.32386808361,9.32386808391,9.32386808391,9.32386808396,9.32386808396,8.77517346789,9.32386808336,9.32386808336,9.22850076586,7.62444718076,5.83186827797,8.16968123717,9.32386808357,8.15363298657,6.23784668907,5.58609180827,6.46726432937,9.32386808447,9.32386808427,9.32386808427
"t126",6.48993471012,6.49398324472,6.19942558112,3.67784835642,2.29728929384,2.12542669282,2.12542669282,0.02303946108,0,3.16945216284,3.16945216284,5.94011833744,5.94011833764,5.94011833764,4.84201932111,7.47556690401,8.71270919637,8.02853282746,9.32386808326,9.32386808325,9.32386808325,9.32386808325,9.32386808326,9.32386808336,9.32386808336,9.32386808336,9.32386808326,9.32386808326,9.32386808326,9.32386808326,9.32386808316,9.323868083245,9.323868083245,9.3238680832685,9.3238680832285,9.3238680832285,9.323868083237,9.323868083147,9.025851921037,9.323868083177,9.32386808316,9.06973642606,9.32386808336,9.32386808316,9.32386808359,9.32386808359,9.32386808359,9.32386808359,9.32386808359,9.32386808306,9.32386808359,9.32386808359,9.32386808359,8.78845169699,9.32386808339,9.32386808339,9.32386808339,9.32386808339,9.32386808339,9.32386808339,9.32386808336,9.32386808336,9.32386808336,9.32386808339,9.32386808339,9.05614284966,9.25147150136,9.05056254362,9.32386808346,9.32386808346,9.32386808349,9.32386808344,9.32386808344,9.32386808339,9.32386808341,9.32386808341,9.32386808339,9.3238680837,9.3238680837,9.32386808379,9.32386808375,9.32386808375,9.3238680837,9.2736474808,9.3238680835,9.3238680839,9.15916128367,9.32386808347,9.32386808347,9.3238680834,9.3238680834,9.1640840629,9.32386808394,9.32386808394,9.3238680839,9.3238680835,9.3238680835,9.3238680835,9.323868083,7.11959282056,9.32386808337,9.32386808337,9.32386808367,9.32386808367,9.32386808367,9.32386808371,9.32386808367,9.32386808367,9.32386808361,9.32386808391,9.32386808391,9.32386808396,9.32386808396,8.77517346789,9.32386808336,9.32386808336,9.22850076586,7.62444718076,5.83186827797,8.16968123717,9.32386808357,8.15363298657,6.23784668907,5.58609180827,6.46726432937,9.32386808447,9.32386808427,9.32386808427
"t74",6.48993470948,6.49398324408,6.19942558048,3.67784835578,2.2972892932,3.16945216258,3.16945216258,3.16945216284,3.16945216284,0,0.7236863462,5.9401183368,5.940118337,5.940118337,4.84201932047,7.47556690337,8.71270919573,8.02853282682,9.32386808262,9.32386808261,9.32386808261,9.32386808261,9.32386808262,9.32386808272,9.32386808272,9.32386808272,9.32386808262,9.32386808262,9.32386808262,9.32386808262,9.32386808252,9.323868082605,9.323868082605,9.3238680826285,9.3238680825885,9.3238680825885,9.323868082597,9.323868082507,9.025851920397,9.323868082537,9.32386808252,9.06973642542,9.32386808272,9.32386808252,9.32386808295,9.32386808295,9.32386808295,9.32386808295,9.32386808295,9.32386808242,9.32386808295,9.32386808295,9.32386808295,8.78845169635,9.32386808275,9.32386808275,9.32386808275,9.32386808275,9.32386808275,9.32386808275,9.32386808272,9.32386808272,9.32386808272,9.32386808275,9.32386808275,9.05614284902,9.25147150072,9.05056254298,9.32386808282,9.32386808282,9.32386808285,9.3238680828,9.3238680828,9.32386808275,9.32386808277,9.32386808277,9.32386808275,9.32386808306,9.32386808306,9.32386808315,9.32386808311,9.32386808311,9.32386808306,9.27364748016,9.32386808286,9.32386808326,9.15916128303,9.32386808283,9.32386808283,9.32386808276,9.32386808276,9.16408406226,9.3238680833,9.3238680833,9.32386808326,9.32386808286,9.32386808286,9.32386808286,9.32386808236,7.11959281992,9.32386808273,9.32386808273,9.32386808303,9.32386808303,9.32386808303,9.32386808307,9.32386808303,9.32386808303,9.32386808297,9.32386808327,9.32386808327,9.32386808332,9.32386808332,8.77517346725,9.32386808272,9.32386808272,9.22850076522,7.62444718012,5.83186827733,8.16968123653,9.32386808293,8.15363298593,6.23784668843,5.58609180763,6.46726432873,9.32386808383,9.32386808363,9.32386808363
