"","t134","t135","t68","t9","t58","t75","t76","t56","t55","t150","t151","t86","t8","t3","t6","t100","t139","t140","t83","t80","t103","t104","t13","t16","t116","t117","t69","t121","t122","t59","t47","t40","t99","t131","t132","t101","t88","t36","t118","t119","t87","t84","t70","t52","t53","t48","t91","t92","t152","t153","t29","t42","t125","t126","t28","t102","t141","t142","t143","t37","t38","t41","t106","t123","t124","t49","t93","t94","t43","t44","t154","t155","t65","t51","t62","t105","t111","t127","t128","t77","t60","t61","t30","t31","t97","t98","t14","t15","t19","t20","t95","t96","t136","t156","t157","t89","t72","t73","t74","t39","t54","t78","t79","t22","t5","t35","t67","t109","t110","t46","t23","t21","t27","t50","t112","t113","t90","t71","t148","t149","t45","t63","t64","t114","t115","t57","t85","t129","t130","t18","t7","t24","t25","t133","t144","t145","t17","t12","t137","t138","t66","t32","t107","t108","t10","t81","t82","t146","t147","t120","t26","t33","t34","t11","t4","t1","t2"
"t134",0,0.2548829124,1.6308503082,2.77313533,8.620888220922,8.032332267452,8.620888220922,8.620888220892,8.6208882209,8.62088822051,8.62088822051,8.3471459344,6.3031275989,6.1050917851,6.3425888157,9.3304998115,9.33049981155,9.33049981155,9.3304998115,9.0271736057,9.3304998115,9.3304998115,7.27429326139,9.3304998121,9.3304998122,9.18474690744,9.330499812,9.330499812,9.330499812,9.2550984373,9.3304998116,9.330499812,9.33049981191,9.33049981182,9.33049981182,9.33049981182,9.3304998119,9.33049981143,9.33049981191,9.33049981191,9.33049981191,9.05913888993,8.86184976293,9.33049981188,8.92663203068,8.29473014606,9.330499812,9.330499812,9.33049981197,9.33049981197,8.3978712508,9.3304998118,9.3304998123,9.3304998123,8.74245161967,9.33049981217,9.33049981215,9.33049981216,9.33049981216,9.33049981187,9.15681263187,8.35104678478,9.33049981188,9.33049981193,9.33049981193,8.57484453048,9.3304998119,9.3304998119,9.3304998118,9.3304998118,9.33049981194,9.33049981194,9.33049981188,9.33049981218,9.33049981188,9.33049981198,9.33049981192,9.3304998119,9.3304998119,9.07959072308,9.33049981188,9.33049981188,9.33049981218,8.41844095028,9.33049981228,9.33049981228,8.05181391838,7.61582146308,9.33049981198,8.58280281398,9.33049981192,9.33049981192,9.33049981202,9.3304998119617,9.3304998119617,9.33049981202,9.29819466742,9.33049981193,9.33049981193,8.61829586922,8.81277406442,9.33049981202,9.33049981202,9.33049981242,7.6397490638,7.99152827659,8.89322091519,9.25455043239,9.33049981199,8.32268763819,8.77074755019,7.6975319085,7.8980898574,9.10835916526,9.33049981188,9.33049981188,9.33049981188,9.33049981188,9.33049981188,9.33049981188,9.19155543685,9.33049981185,8.78456861135,9.33049981186,9.33049981186,8.6061653679,9.3304998119,9.3304998118,9.3304998118,7.48117504386,6.3012226799,7.6645870043,7.799817743,9.26825069766,9.33049981232,9.33049981232,9.330499812,7.4714745299,9.3304998115,9.3304998115,8.58134114783,8.3131545195,9.2770857502,9.3304998124,7.00776062691,9.1848839214,9.0669289721,9.33049981183,9.33049981183,9.3304998118,7.77905502508,8.5516322928,9.3304998115,7.3204166628,6.2691182615,5.25433632578,5.64239780788
"t135",0.2548829124,0,1.6308503082,2.77313533,8.620888220922,8.032332267452,8.620888220922,8.620888220892,8.6208882209,8.62088822051,8.62088822051,8.3471459344,6.3031275989,6.1050917851,6.3425888157,9.3304998115,9.33049981155,9.33049981155,9.3304998115,9.0271736057,9.3304998115,9.3304998115,7.27429326139,9.3304998121,9.3304998122,9.18474690744,9.330499812,9.330499812,9.330499812,9.2550984373,9.3304998116,9.330499812,9.33049981191,9.33049981182,9.33049981182,9.33049981182,9.3304998119,9.33049981143,9.33049981191,9.33049981191,9.33049981191,9.05913888993,8.86184976293,9.33049981188,8.92663203068,8.29473014606,9.330499812,9.330499812,9.33049981197,9.33049981197,8.3978712508,9.3304998118,9.3304998123,9.3304998123,8.74245161967,9.33049981217,9.33049981215,9.33049981216,9.33049981216,9.33049981187,9.15681263187,8.35104678478,9.33049981188,9.33049981193,9.33049981193,8.57484453048,9.3304998119,9.3304998119,9.3304998118,9.3304998118,9.33049981194,9.33049981194,9.33049981188,9.33049981218,9.33049981188,9.33049981198,9.33049981192,9.3304998119,9.3304998119,9.07959072308,9.33049981188,9.33049981188,9.33049981218,8.41844095028,9.33049981228,9.33049981228,8.05181391838,7.61582146308,9.33049981198,8.58280281398,9.33049981192,9.33049981192,9.33049981202,9.3304998119617,9.3304998119617,9.33049981202,9.29819466742,9.33049981193,9.33049981193,8.61829586922,8.81277406442,9.33049981202,9.33049981202,9.33049981242,7.6397490638,7.99152827659,8.89322091519,9.25455043239,9.33049981199,8.32268763819,8.77074755019,7.6975319085,7.8980898574,9.10835916526,9.33049981188,9.33049981188,9.33049981188,9.33049981188,9.33049981188,9.33049981188,9.19155543685,9.33049981185,8.78456861135,9.33049981186,9.33049981186,8.6061653679,9.3304998119,9.3304998118,9.3304998118,7.48117504386,6.3012226799,7.6645870043,7.799817743,9.26825069766,9.33049981232,9.33049981232,9.330499812,7.4714745299,9.3304998115,9.3304998115,8.58134114783,8.3131545195,9.2770857502,9.3304998124,7.00776062691,9.1848839214,9.0669289721,9.33049981183,9.33049981183,9.3304998118,7.77905502508,8.5516322928,9.3304998115,7.3204166628,6.2691182615,5.25433632578,5.64239780788
"t68",1.6308503082,1.6308503082,0,2.77313533,8.620888220922,8.032332267452,8.620888220922,8.620888220892,8.6208882209,8.62088822051,8.62088822051,8.3471459344,6.3031275989,6.1050917851,6.3425888157,9.3304998115,9.33049981155,9.33049981155,9.3304998115,9.0271736057,9.3304998115,9.3304998115,7.27429326139,9.3304998121,9.3304998122,9.18474690744,9.330499812,9.330499812,9.330499812,9.2550984373,9.3304998116,9.330499812,9.33049981191,9.33049981182,9.33049981182,9.33049981182,9.3304998119,9.33049981143,9.33049981191,9.33049981191,9.33049981191,9.05913888993,8.86184976293,9.33049981188,8.92663203068,8.29473014606,9.330499812,9.330499812,9.33049981197,9.33049981197,8.3978712508,9.3304998118,9.3304998123,9.3304998123,8.74245161967,9.33049981217,9.33049981215,9.33049981216,9.33049981216,9.33049981187,9.15681263187,8.35104678478,9.33049981188,9.33049981193,9.33049981193,8.57484453048,9.3304998119,9.3304998119,9.3304998118,9.3304998118,9.33049981194,9.33049981194,9.33049981188,9.33049981218,9.33049981188,9.33049981198,9.33049981192,9.3304998119,9.3304998119,9.07959072308,9.33049981188,9.33049981188,9.33049981218,8.41844095028,9.33049981228,9.33049981228,8.05181391838,7.61582146308,9.33049981198,8.58280281398,9.33049981192,9.33049981192,9.33049981202,9.3304998119617,9.3304998119617,9.33049981202,9.29819466742,9.33049981193,9.33049981193,8.61829586922,8.81277406442,9.33049981202,9.33049981202,9.33049981242,7.6397490638,7.99152827659,8.89322091519,9.25455043239,9.33049981199,8.32268763819,8.77074755019,7.6975319085,7.8980898574,9.10835916526,9.33049981188,9.33049981188,9.33049981188,9.33049981188,9.33049981188,9.33049981188,9.19155543685,9.33049981185,8.78456861135,9.33049981186,9.33049981186,8.6061653679,9.3304998119,9.3304998118,9.3304998118,7.48117504386,6.3012226799,7.6645870043,7.799817743,9.26825069766,9.33049981232,9.33049981232,9.330499812,7.4714745299,9.3304998115,9.3304998115,8.58134114783,8.3131545195,9.2770857502,9.3304998124,7.00776062691,9.1848839214,9.0669289721,9.33049981183,9.33049981183,9.3304998118,7.77905502508,8.5516322928,9.3304998115,7.3204166628,6.2691182615,5.25433632578,5.64239780788
"t9",2.77313533,2.77313533,2.77313533,0,6.635929348722,6.047373395252,6.635929348722,6.635929348692,6.6359293487,6.63592934831,6.63592934831,6.3621870622,4.3181687267,4.1201329129,4.3576299435,7.3455409393,7.34554093935,7.34554093935,7.3455409393,7.0422147335,7.3455409393,7.3455409393,5.28933438919,7.3455409399,7.34554094,7.19978803524,7.3455409398,7.3455409398,7.3455409398,7.2701395651,7.3455409394,7.3455409398,7.34554093971,7.34554093962,7.34554093962,7.34554093962,7.3455409397,7.34554093923,7.34554093971,7.34554093971,7.34554093971,7.07418001773,6.87689089073,7.34554093968,6.94167315848,6.30977127386,7.3455409398,7.3455409398,7.34554093977,7.34554093977,6.4129123786,7.3455409396,7.3455409401,7.3455409401,6.75749274747,7.34554093997,7.34554093995,7.34554093996,7.34554093996,7.34554093967,7.17185375967,6.36608791258,7.34554093968,7.34554093973,7.34554093973,6.58988565828,7.3455409397,7.3455409397,7.3455409396,7.3455409396,7.34554093974,7.34554093974,7.34554093968,7.34554093998,7.34554093968,7.34554093978,7.34554093972,7.3455409397,7.3455409397,7.09463185088,7.34554093968,7.34554093968,7.34554093998,6.43348207808,7.34554094008,7.34554094008,6.06685504618,5.63086259088,7.34554093978,6.59784394178,7.34554093972,7.34554093972,7.34554093982,7.3455409397617,7.3455409397617,7.34554093982,7.31323579522,7.34554093973,7.34554093973,6.63333699702,6.82781519222,7.34554093982,7.34554093982,7.34554094022,5.6547901916,6.00656940439,6.90826204299,7.26959156019,7.34554093979,6.33772876599,6.78578867799,5.7125730363,5.9131309852,7.12340029306,7.34554093968,7.34554093968,7.34554093968,7.34554093968,7.34554093968,7.34554093968,7.20659656465,7.34554093965,6.79960973915,7.34554093966,7.34554093966,6.6212064957,7.3455409397,7.3455409396,7.3455409396,5.49621617166,4.3162638077,5.6796281321,5.8148588708,7.28329182546,7.34554094012,7.34554094012,7.3455409398,5.4865156577,7.3455409393,7.3455409393,6.59638227563,6.3281956473,7.292126878,7.3455409402,5.02280175471,7.1999250492,7.0819700999,7.34554093963,7.34554093963,7.3455409396,5.79409615288,6.5666734206,7.3455409393,5.3354577906,4.2841593893,3.26937745358,3.65743893568
"t58",8.620888220922,8.620888220922,8.620888220922,6.635929348722,0,1.34761522793,1.9361711814,1.96441112363,1.978442176222,3.317299143232,3.317299143232,3.043556857122,3.388758675622,6.105091785822,6.342588816422,9.330499812222,9.330499812272,9.330499812272,9.330499812222,9.027173606422,9.330499812222,9.330499812222,7.274293262112,9.330499812822,9.330499812922,9.184746908162,9.330499812722,9.330499812722,9.330499812722,9.255098438022,9.330499812322,9.330499812722,9.330499812632,9.330499812542,9.330499812542,9.330499812542,9.330499812622,9.330499812152,9.330499812632,9.330499812632,9.330499812632,9.059138890652,8.861849763652,9.330499812602,8.926632031402,8.294730146782,9.330499812722,9.330499812722,9.330499812692,9.330499812692,8.397871251522,9.330499812522,9.330499813022,9.330499813022,8.742451620392,9.330499812892,9.330499812872,9.330499812882,9.330499812882,9.330499812592,9.156812632592,8.351046785502,9.330499812602,9.330499812652,9.330499812652,8.574844531202,9.330499812622,9.330499812622,9.330499812522,9.330499812522,9.330499812662,9.330499812662,9.330499812602,9.330499812902,9.330499812602,9.330499812702,9.330499812642,9.330499812622,9.330499812622,9.079590723802,9.330499812602,9.330499812602,9.330499812902,8.418440951002,9.330499813002,9.330499813002,8.051813919102,7.615821463802,9.330499812702,8.582802814702,9.330499812642,9.330499812642,9.330499812742,9.3304998126837,9.3304998126837,9.330499812742,9.298194668142,9.330499812652,9.330499812652,8.618295869942,8.812774065142,9.330499812742,9.330499812742,9.330499813142,7.639749064522,7.991528277312,8.893220915912,9.254550433112,9.330499812712,8.322687638912,8.770747550912,7.697531909222,7.898089858122,9.108359165982,9.330499812602,9.330499812602,9.330499812602,9.330499812602,9.330499812602,9.330499812602,9.191555437572,9.330499812572,8.784568612072,9.330499812582,9.330499812582,8.606165368622,9.330499812622,9.330499812522,9.330499812522,7.481175044582,6.301222680622,7.664587005022,7.799817743722,9.268250698382,9.330499813042,9.330499813042,9.330499812722,7.471474530622,9.330499812222,9.330499812222,8.581341148552,8.313154520222,9.277085750922,9.330499813122,7.007760627632,9.184883922122,9.066928972822,9.330499812552,9.330499812552,9.330499812522,7.779055025802,8.551632293522,9.330499812222,7.320416663522,6.269118262222,5.254336326502,5.642397808602
"t75",8.032332267452,8.032332267452,8.032332267452,6.047373395252,1.34761522793,0,0.66022079453,1.37585517016,1.389886222752,2.728743189762,2.728743189762,2.455000903652,2.800202722152,5.516535832352,5.754032862952,8.741943858752,8.741943858802,8.741943858802,8.741943858752,8.438617652952,8.741943858752,8.741943858752,6.685737308642,8.741943859352,8.741943859452,8.596190954692,8.741943859252,8.741943859252,8.741943859252,8.666542484552,8.741943858852,8.741943859252,8.741943859162,8.741943859072,8.741943859072,8.741943859072,8.741943859152,8.741943858682,8.741943859162,8.741943859162,8.741943859162,8.470582937182,8.273293810182,8.741943859132,8.338076077932,7.706174193312,8.741943859252,8.741943859252,8.741943859222,8.741943859222,7.809315298052,8.741943859052,8.741943859552,8.741943859552,8.153895666922,8.741943859422,8.741943859402,8.741943859412,8.741943859412,8.741943859122,8.568256679122,7.762490832032,8.741943859132,8.741943859182,8.741943859182,7.986288577732,8.741943859152,8.741943859152,8.741943859052,8.741943859052,8.741943859192,8.741943859192,8.741943859132,8.741943859432,8.741943859132,8.741943859232,8.741943859172,8.741943859152,8.741943859152,8.491034770332,8.741943859132,8.741943859132,8.741943859432,7.829884997532,8.741943859532,8.741943859532,7.463257965632,7.027265510332,8.741943859232,7.994246861232,8.741943859172,8.741943859172,8.741943859272,8.7419438592137,8.7419438592137,8.741943859272,8.709638714672,8.741943859182,8.741943859182,8.029739916472,8.224218111672,8.741943859272,8.741943859272,8.741943859672,7.051193111052,7.402972323842,8.304664962442,8.665994479642,8.741943859242,7.734131685442,8.182191597442,7.108975955752,7.309533904652,8.519803212512,8.741943859132,8.741943859132,8.741943859132,8.741943859132,8.741943859132,8.741943859132,8.602999484102,8.741943859102,8.196012658602,8.741943859112,8.741943859112,8.017609415152,8.741943859152,8.741943859052,8.741943859052,6.892619091112,5.712666727152,7.076031051552,7.211261790252,8.679694744912,8.741943859572,8.741943859572,8.741943859252,6.882918577152,8.741943858752,8.741943858752,7.992785195082,7.724598566752,8.688529797452,8.741943859652,6.419204674162,8.596327968652,8.478373019352,8.741943859082,8.741943859082,8.741943859052,7.190499072332,7.963076340052,8.741943858752,6.731860710052,5.680562308752,4.665780373032,5.053841855132
"t76",8.620888220922,8.620888220922,8.620888220922,6.635929348722,1.9361711814,0.66022079453,0,1.96441112363,1.978442176222,3.317299143232,3.317299143232,3.043556857122,3.388758675622,6.105091785822,6.342588816422,9.330499812222,9.330499812272,9.330499812272,9.330499812222,9.027173606422,9.330499812222,9.330499812222,7.274293262112,9.330499812822,9.330499812922,9.184746908162,9.330499812722,9.330499812722,9.330499812722,9.255098438022,9.330499812322,9.330499812722,9.330499812632,9.330499812542,9.330499812542,9.330499812542,9.330499812622,9.330499812152,9.330499812632,9.330499812632,9.330499812632,9.059138890652,8.861849763652,9.330499812602,8.926632031402,8.294730146782,9.330499812722,9.330499812722,9.330499812692,9.330499812692,8.397871251522,9.330499812522,9.330499813022,9.330499813022,8.742451620392,9.330499812892,9.330499812872,9.330499812882,9.330499812882,9.330499812592,9.156812632592,8.351046785502,9.330499812602,9.330499812652,9.330499812652,8.574844531202,9.330499812622,9.330499812622,9.330499812522,9.330499812522,9.330499812662,9.330499812662,9.330499812602,9.330499812902,9.330499812602,9.330499812702,9.330499812642,9.330499812622,9.330499812622,9.079590723802,9.330499812602,9.330499812602,9.330499812902,8.418440951002,9.330499813002,9.330499813002,8.051813919102,7.615821463802,9.330499812702,8.582802814702,9.330499812642,9.330499812642,9.330499812742,9.3304998126837,9.3304998126837,9.330499812742,9.298194668142,9.330499812652,9.330499812652,8.618295869942,8.812774065142,9.330499812742,9.330499812742,9.330499813142,7.639749064522,7.991528277312,8.893220915912,9.254550433112,9.330499812712,8.322687638912,8.770747550912,7.697531909222,7.898089858122,9.108359165982,9.330499812602,9.330499812602,9.330499812602,9.330499812602,9.330499812602,9.330499812602,9.191555437572,9.330499812572,8.784568612072,9.330499812582,9.330499812582,8.606165368622,9.330499812622,9.330499812522,9.330499812522,7.481175044582,6.301222680622,7.664587005022,7.799817743722,9.268250698382,9.330499813042,9.330499813042,9.330499812722,7.471474530622,9.330499812222,9.330499812222,8.581341148552,8.313154520222,9.277085750922,9.330499813122,7.007760627632,9.184883922122,9.066928972822,9.330499812552,9.330499812552,9.330499812522,7.779055025802,8.551632293522,9.330499812222,7.320416663522,6.269118262222,5.254336326502,5.642397808602
"t56",8.620888220892,8.620888220892,8.620888220892,6.635929348692,1.96441112363,1.37585517016,1.96441112363,0,1.978442176192,3.317299143202,3.317299143202,3.043556857092,3.388758675592,6.105091785792,6.342588816392,9.330499812192,9.330499812242,9.330499812242,9.330499812192,9.027173606392,9.330499812192,9.330499812192,7.274293262082,9.330499812792,9.330499812892,9.184746908132,9.330499812692,9.330499812692,9.330499812692,9.255098437992,9.330499812292,9.330499812692,9.330499812602,9.330499812512,9.330499812512,9.330499812512,9.330499812592,9.330499812122,9.330499812602,9.330499812602,9.330499812602,9.059138890622,8.861849763622,9.330499812572,8.926632031372,8.294730146752,9.330499812692,9.330499812692,9.330499812662,9.330499812662,8.397871251492,9.330499812492,9.330499812992,9.330499812992,8.742451620362,9.330499812862,9.330499812842,9.330499812852,9.330499812852,9.330499812562,9.156812632562,8.351046785472,9.330499812572,9.330499812622,9.330499812622,8.574844531172,9.330499812592,9.330499812592,9.330499812492,9.330499812492,9.330499812632,9.330499812632,9.330499812572,9.330499812872,9.330499812572,9.330499812672,9.330499812612,9.330499812592,9.330499812592,9.079590723772,9.330499812572,9.330499812572,9.330499812872,8.418440950972,9.330499812972,9.330499812972,8.051813919072,7.615821463772,9.330499812672,8.582802814672,9.330499812612,9.330499812612,9.330499812712,9.3304998126537,9.3304998126537,9.330499812712,9.298194668112,9.330499812622,9.330499812622,8.618295869912,8.812774065112,9.330499812712,9.330499812712,9.330499813112,7.639749064492,7.991528277282,8.893220915882,9.254550433082,9.330499812682,8.322687638882,8.770747550882,7.697531909192,7.898089858092,9.108359165952,9.330499812572,9.330499812572,9.330499812572,9.330499812572,9.330499812572,9.330499812572,9.191555437542,9.330499812542,8.784568612042,9.330499812552,9.330499812552,8.606165368592,9.330499812592,9.330499812492,9.330499812492,7.481175044552,6.301222680592,7.664587004992,7.799817743692,9.268250698352,9.330499813012,9.330499813012,9.330499812692,7.471474530592,9.330499812192,9.330499812192,8.581341148522,8.313154520192,9.277085750892,9.330499813092,7.007760627602,9.184883922092,9.066928972792,9.330499812522,9.330499812522,9.330499812492,7.779055025772,8.551632293492,9.330499812192,7.320416663492,6.269118262192,5.254336326472,5.642397808572
"t55",8.6208882209,8.6208882209,8.6208882209,6.6359293487,1.978442176222,1.389886222752,1.978442176222,1.978442176192,0,3.31729914321,3.31729914321,3.0435568571,3.3887586756,6.1050917858,6.3425888164,9.3304998122,9.33049981225,9.33049981225,9.3304998122,9.0271736064,9.3304998122,9.3304998122,7.27429326209,9.3304998128,9.3304998129,9.18474690814,9.3304998127,9.3304998127,9.3304998127,9.255098438,9.3304998123,9.3304998127,9.33049981261,9.33049981252,9.33049981252,9.33049981252,9.3304998126,9.33049981213,9.33049981261,9.33049981261,9.33049981261,9.05913889063,8.86184976363,9.33049981258,8.92663203138,8.29473014676,9.3304998127,9.3304998127,9.33049981267,9.33049981267,8.3978712515,9.3304998125,9.330499813,9.330499813,8.74245162037,9.33049981287,9.33049981285,9.33049981286,9.33049981286,9.33049981257,9.15681263257,8.35104678548,9.33049981258,9.33049981263,9.33049981263,8.57484453118,9.3304998126,9.3304998126,9.3304998125,9.3304998125,9.33049981264,9.33049981264,9.33049981258,9.33049981288,9.33049981258,9.33049981268,9.33049981262,9.3304998126,9.3304998126,9.07959072378,9.33049981258,9.33049981258,9.33049981288,8.41844095098,9.33049981298,9.33049981298,8.05181391908,7.61582146378,9.33049981268,8.58280281468,9.33049981262,9.33049981262,9.33049981272,9.3304998126617,9.3304998126617,9.33049981272,9.29819466812,9.33049981263,9.33049981263,8.61829586992,8.81277406512,9.33049981272,9.33049981272,9.33049981312,7.6397490645,7.99152827729,8.89322091589,9.25455043309,9.33049981269,8.32268763889,8.77074755089,7.6975319092,7.8980898581,9.10835916596,9.33049981258,9.33049981258,9.33049981258,9.33049981258,9.33049981258,9.33049981258,9.19155543755,9.33049981255,8.78456861205,9.33049981256,9.33049981256,8.6061653686,9.3304998126,9.3304998125,9.3304998125,7.48117504456,6.3012226806,7.664587005,7.7998177437,9.26825069836,9.33049981302,9.33049981302,9.3304998127,7.4714745306,9.3304998122,9.3304998122,8.58134114853,8.3131545202,9.2770857509,9.3304998131,7.00776062761,9.1848839221,9.0669289728,9.33049981253,9.33049981253,9.3304998125,7.77905502578,8.5516322935,9.3304998122,7.3204166635,6.2691182622,5.25433632648,5.64239780858
"t150",8.62088822051,8.62088822051,8.62088822051,6.63592934831,3.317299143232,2.728743189762,3.317299143232,3.317299143202,3.31729914321,0,0.03807477222,0.72647357871,3.38875867521,6.10509178541,6.34258881601,9.33049981181,9.33049981186,9.33049981186,9.33049981181,9.02717360601,9.33049981181,9.33049981181,7.2742932617,9.33049981241,9.33049981251,9.18474690775,9.33049981231,9.33049981231,9.33049981231,9.25509843761,9.33049981191,9.33049981231,9.33049981222,9.33049981213,9.33049981213,9.33049981213,9.33049981221,9.33049981174,9.33049981222,9.33049981222,9.33049981222,9.05913889024,8.86184976324,9.33049981219,8.92663203099,8.29473014637,9.33049981231,9.33049981231,9.33049981228,9.33049981228,8.39787125111,9.33049981211,9.33049981261,9.33049981261,8.74245161998,9.33049981248,9.33049981246,9.33049981247,9.33049981247,9.33049981218,9.15681263218,8.35104678509,9.33049981219,9.33049981224,9.33049981224,8.57484453079,9.33049981221,9.33049981221,9.33049981211,9.33049981211,9.33049981225,9.33049981225,9.33049981219,9.33049981249,9.33049981219,9.33049981229,9.33049981223,9.33049981221,9.33049981221,9.07959072339,9.33049981219,9.33049981219,9.33049981249,8.41844095059,9.33049981259,9.33049981259,8.05181391869,7.61582146339,9.33049981229,8.58280281429,9.33049981223,9.33049981223,9.33049981233,9.3304998122717,9.3304998122717,9.33049981233,9.29819466773,9.33049981224,9.33049981224,8.61829586953,8.81277406473,9.33049981233,9.33049981233,9.33049981273,7.63974906411,7.9915282769,8.8932209155,9.2545504327,9.3304998123,8.3226876385,8.7707475505,7.69753190881,7.89808985771,9.10835916557,9.33049981219,9.33049981219,9.33049981219,9.33049981219,9.33049981219,9.33049981219,9.19155543716,9.33049981216,8.78456861166,9.33049981217,9.33049981217,8.60616536821,9.33049981221,9.33049981211,9.33049981211,7.48117504417,6.30122268021,7.66458700461,7.79981774331,9.26825069797,9.33049981263,9.33049981263,9.33049981231,7.47147453021,9.33049981181,9.33049981181,8.58134114814,8.31315451981,9.27708575051,9.33049981271,7.00776062722,9.18488392171,9.06692897241,9.33049981214,9.33049981214,9.33049981211,7.77905502539,8.55163229311,9.33049981181,7.32041666311,6.26911826181,5.25433632609,5.64239780819
