"accepted_species","I1.1/1"
"t12",NA
"t38","1"
"t8","1"
"t59","0"
"t79","0"
"t80","0"
"t7","0"
"t60","0"
"t92","0"
"t93","0"
"t9","0"
"t77","0"
"t78","1"
"t21","0"
"t22","0"
"t18","0"
"t15","0"
"t16","0"
"t66","0"
"t84","1"
"t85","1"
"t97","0"
"t98","0"
"t50","1"
"t53","1"
"t54","1"
"t23",NA
"t24","1"
"t10","0"
"t51","1"
"t67","1"
"t68","1"
"t65","0"
"t88","1"
"t89","1"
"t71","1"
"t40","1"
"t76","0"
"t99","0"
"t100","0"
"t42","0"
"t43","1"
"t17","1"
"t46",NA
"t47","0"
"t55","1"
"t56","0"
"t69","1"
"t70","1"
"t28","0"
"t29","1"
"t26","0"
"t27",NA
"t4","1"
"t1","1"
"t11","1"
"t13","1"
"t14","1"
"t6","1"
"t36","1"
"t37",NA
"t48","0"
"t49","0"
"t19","0"
"t20",NA
"t3","1"
"t32","1"
"t39","1"
"t61","1"
"t62","1"
"t82","1"
"t83","1"
"t41","1"
"t25","1"
"t52","1"
"t63","1"
"t64","1"
"t2","0"
"t57","1"
"t58",NA
"t30","1"
"t34","1"
"t35","1"
"t5","0"
"t72","1"
"t73","1"
"t94","1"
"t95","1"
"t96","0"
"t81","0"
"t44","0"
"t45","0"
"t90","0"
"t91",NA
"t33","1"
"t86","0"
"t87",NA
"t74",NA
"t75","0"
"t31","0"
