"accepted_species","traits"
"sp43",1
"sp45",1
"sp50",NA
"sp55",NA
"sp59",1
"sp61",1
"sp63",1
"sp67",1
"sp68",1
"sp70",1
"sp72",1
"sp73",1
"sp75",1
"sp77",1
"sp79",1
"sp85",1
"sp86",1
"sp89",NA
"sp90",1
"sp91",1
"sp93",1
"sp94",1
"sp96",1
"sp98",1
"sp99",1
"sp101",1
"sp103",1
"sp104",NA
"sp105",1
"sp106",1
"sp107",1
"sp109",1
"sp110",1
"sp111",1
"sp112",1
"sp113",1
"sp114",1
"sp115",NA
"sp118",1
"sp119",1
"sp122",1
"sp123",1
"sp124",1
"sp125",1
"sp126",1
"sp128",1
"sp129",1
"sp130",1
"sp131",1
"sp132",1
"sp133",1
"sp134",1
"sp135",0
"sp139",NA
"sp140",1
"sp141",NA
"sp142",1
"sp143",1
"sp144",1
"sp145",1
"sp146",1
"sp147",1
"sp148",1
"sp149",1
"sp150",1
"sp151",1
"sp152",1
"sp153",NA
"sp154",1
"sp155",1
"sp156",1
"sp157",1
"sp158",1
"sp159",1
"sp160",1
"sp161",1
"sp162",1
"sp163",1
"sp164",1
"sp165",1
"sp166",1
"sp167",1
"sp168",1
"sp169",1
"sp170",1
"sp171",1
"sp172",NA
"sp173",1
"sp174",1
"sp175",NA
"sp176",1
"sp177",1
"sp178",1
"sp179",1
"sp180",1
"sp181",1
"sp182",1
"sp183",1
"sp184",1
"sp185",1
