"","t1","t71","t106","t120","t121","t113","t51","t46","t50","t60","t142","t143","t82","t119","t128","t129","t75","t83","t130","t131","t124","t125","t80","t91","t92","t72","t73","t63","t107","t108","t41","t17","t7","t8","t39","t144","t145","t87","t20","t37","t38","t34","t77","t134","t135","t132","t133","t70","t32","t95","t96","t81","t74","t78","t93","t94","t90","t86","t79","t55","t56","t54","t62","t114","t115","t23","t24","t126","t127","t84","t19","t102","t103","t48","t49","t25","t27","t28","t58","t59","t22","t67","t68","t44","t136","t137","t66","t104","t105","t33","t117","t118","t88","t89","t57","t31","t122","t123","t85","t21","t29","t30","t16","t9","t99","t109","t110","t40","t43","t45","t64","t65","t97","t98","t6","t14","t15","t5","t4","t111","t112","t35","t36","t26","t42","t69","t100","t101","t61","t146","t147","t52","t53","t18","t47","t138","t139","t76","t116","t140","t141","t10","t11","t12","t13","t3","t2"
"t1",0,8.22492346109,8.22492346099,8.224923461,8.224923461,8.224923461,8.22492346109,8.2249234611,7.5382312183,7.5150367739,8.22492346107,8.22492346107,8.2249234615,8.2249234615,8.22492346151,8.22492346151,8.1950964711,7.9138092466,8.2249234616,8.2249234616,8.22492346158,8.22492346158,8.22492346158,8.22492346158,8.22492346158,8.22492346132,8.22492346132,8.22492346132,8.22492346142,8.22492346142,8.22492346122,6.19704382172,6.0451617958,6.6469329673,8.2249234615,8.22492346118,8.22492346118,8.2249234612,8.2249234608,8.22492346172,8.22492346172,6.96299189614,8.22492346115,8.22492346121,8.22492346121,8.22492346117,8.22492346117,8.22492346121,8.22492346111,8.22492346121,8.22492346121,8.22492346121,8.22492346121,8.2249234612,8.224923461299,8.224923461299,8.224923461269,8.224923461269,7.910975858969,8.224923461235,8.224923461235,8.22492346121,8.09790285471,8.22492346121,8.22492346121,6.66177966342,6.78957135391,8.22492346084,8.22492346084,8.22492346084,6.33958647657,8.22492346087,8.22492346087,8.22492346117,7.30980422492,6.88346686037,7.32179980337,6.95945064597,8.22492346127,8.22492346127,6.71704213477,8.22492346114,7.88302575944,8.22492346094,8.2249234612,8.2249234612,7.99710594544,8.22492346174,8.22492346174,8.22492346109,8.22492346159,8.22492346159,8.2249234615,8.2249234615,8.22492346149,8.22492346123,8.22492346073,8.22492346073,8.22492346073,6.86531824873,7.50491179483,7.08465424183,7.09126676493,8.22492346124,8.22492346094,8.22492346094,8.22492346094,7.45132529324,8.22492346126,7.56737059927,8.22492346117,8.22492346117,8.22492346154,8.22492346154,7.76788291682,5.84750816132,5.96373803582,5.66552852486,5.935038205,8.165003006567,8.224923461067,7.100078434067,7.336356819167,7.002178440867,7.917264986767,7.618295322237,8.224923461167,8.056012575867,8.224923461167,8.224923461367,8.224923461367,8.224923461147,7.933234316047,6.211764972567,8.224923460967,8.224923460907,8.224923460907,8.224923460967,8.224923460967,8.224923460967,8.224923460967,5.608169139387,5.662201064987,5.8181504605,5.7386847354,4.6053628452,3.6823790684
"t71",8.22492346109,0,1.2498035825,1.24980358251,1.24980358251,1.24980358251,1.8969894146,1.97969071619,1.67955766439,1.65636321999,2.36624990716,2.36624990716,5.06366389359,5.06366389359,5.0636638936,5.0636638936,5.03383690319,9.14692260669,9.45803682169,9.45803682169,9.45803682167,9.45803682167,9.45803682167,9.45803682167,9.45803682167,9.45803682141,9.45803682141,9.45803682141,9.45803682151,9.45803682151,9.45803682131,7.43015718181,7.27827515589,7.88004632739,9.45803682159,9.45803682127,9.45803682127,9.45803682129,9.45803682089,9.45803682181,9.45803682181,8.19610525623,9.45803682124,9.4580368213,9.4580368213,9.45803682126,9.45803682126,9.4580368213,9.4580368212,9.4580368213,9.4580368213,9.4580368213,9.4580368213,9.45803682129,9.458036821389,9.458036821389,9.458036821359,9.458036821359,9.144089219059,9.458036821325,9.458036821325,9.4580368213,9.3310162148,9.4580368213,9.4580368213,7.89489302351,8.022684714,9.45803682093,9.45803682093,9.45803682093,7.57269983666,9.45803682096,9.45803682096,9.45803682126,8.54291758501,8.11658022046,8.55491316346,8.19256400606,9.45803682136,9.45803682136,7.95015549486,9.45803682123,9.11613911953,9.45803682103,9.45803682129,9.45803682129,9.23021930553,9.45803682183,9.45803682183,9.45803682118,9.45803682168,9.45803682168,9.45803682159,9.45803682159,9.45803682158,9.45803682132,9.45803682082,9.45803682082,9.45803682082,8.09843160882,8.73802515492,8.31776760192,8.32438012502,9.45803682133,9.45803682103,9.45803682103,9.45803682103,8.68443865333,9.45803682135,8.80048395936,9.45803682126,9.45803682126,9.45803682163,9.45803682163,9.00099627691,7.08062152141,7.19685139591,6.89864188495,7.16815156509,9.398116366657,9.458036821157,8.333191794157,8.569470179257,8.235291800957,9.150378346857,8.851408682327,9.458036821257,9.289125935957,9.458036821257,9.458036821457,9.458036821457,9.458036821237,9.166347676137,7.444878332657,9.458036821057,9.458036820997,9.458036820997,9.458036821057,9.458036821057,9.458036821057,9.458036821057,6.841282499477,6.895314425077,7.05126382059,6.97179809549,5.83847620529,6.15442320869
"t106",8.22492346099,1.2498035825,0,0.53365805521,0.53365805521,0.53365805521,1.8969894145,1.97969071609,1.67955766429,1.65636321989,2.36624990706,2.36624990706,5.06366389349,5.06366389349,5.0636638935,5.0636638935,5.03383690309,9.14692260659,9.45803682159,9.45803682159,9.45803682157,9.45803682157,9.45803682157,9.45803682157,9.45803682157,9.45803682131,9.45803682131,9.45803682131,9.45803682141,9.45803682141,9.45803682121,7.43015718171,7.27827515579,7.88004632729,9.45803682149,9.45803682117,9.45803682117,9.45803682119,9.45803682079,9.45803682171,9.45803682171,8.19610525613,9.45803682114,9.4580368212,9.4580368212,9.45803682116,9.45803682116,9.4580368212,9.4580368211,9.4580368212,9.4580368212,9.4580368212,9.4580368212,9.45803682119,9.458036821289,9.458036821289,9.458036821259,9.458036821259,9.144089218959,9.458036821225,9.458036821225,9.4580368212,9.3310162147,9.4580368212,9.4580368212,7.89489302341,8.0226847139,9.45803682083,9.45803682083,9.45803682083,7.57269983656,9.45803682086,9.45803682086,9.45803682116,8.54291758491,8.11658022036,8.55491316336,8.19256400596,9.45803682126,9.45803682126,7.95015549476,9.45803682113,9.11613911943,9.45803682093,9.45803682119,9.45803682119,9.23021930543,9.45803682173,9.45803682173,9.45803682108,9.45803682158,9.45803682158,9.45803682149,9.45803682149,9.45803682148,9.45803682122,9.45803682072,9.45803682072,9.45803682072,8.09843160872,8.73802515482,8.31776760182,8.32438012492,9.45803682123,9.45803682093,9.45803682093,9.45803682093,8.68443865323,9.45803682125,8.80048395926,9.45803682116,9.45803682116,9.45803682153,9.45803682153,9.00099627681,7.08062152131,7.19685139581,6.89864188485,7.16815156499,9.398116366557,9.458036821057,8.333191794057,8.569470179157,8.235291800857,9.150378346757,8.851408682227,9.458036821157,9.289125935857,9.458036821157,9.458036821357,9.458036821357,9.458036821137,9.166347676037,7.444878332557,9.458036820957,9.458036820897,9.458036820897,9.458036820957,9.458036820957,9.458036820957,9.458036820957,6.841282499377,6.895314424977,7.05126382049,6.97179809539,5.83847620519,6.15442320859
"t120",8.224923461,1.24980358251,0.53365805521,0,0.4144278324,0.480482451,1.89698941451,1.9796907161,1.6795576643,1.6563632199,2.36624990707,2.36624990707,5.0636638935,5.0636638935,5.06366389351,5.06366389351,5.0338369031,9.1469226066,9.4580368216,9.4580368216,9.45803682158,9.45803682158,9.45803682158,9.45803682158,9.45803682158,9.45803682132,9.45803682132,9.45803682132,9.45803682142,9.45803682142,9.45803682122,7.43015718172,7.2782751558,7.8800463273,9.4580368215,9.45803682118,9.45803682118,9.4580368212,9.4580368208,9.45803682172,9.45803682172,8.19610525614,9.45803682115,9.45803682121,9.45803682121,9.45803682117,9.45803682117,9.45803682121,9.45803682111,9.45803682121,9.45803682121,9.45803682121,9.45803682121,9.4580368212,9.458036821299,9.458036821299,9.458036821269,9.458036821269,9.144089218969,9.458036821235,9.458036821235,9.45803682121,9.33101621471,9.45803682121,9.45803682121,7.89489302342,8.02268471391,9.45803682084,9.45803682084,9.45803682084,7.57269983657,9.45803682087,9.45803682087,9.45803682117,8.54291758492,8.11658022037,8.55491316337,8.19256400597,9.45803682127,9.45803682127,7.95015549477,9.45803682114,9.11613911944,9.45803682094,9.4580368212,9.4580368212,9.23021930544,9.45803682174,9.45803682174,9.45803682109,9.45803682159,9.45803682159,9.4580368215,9.4580368215,9.45803682149,9.45803682123,9.45803682073,9.45803682073,9.45803682073,8.09843160873,8.73802515483,8.31776760183,8.32438012493,9.45803682124,9.45803682094,9.45803682094,9.45803682094,8.68443865324,9.45803682126,8.80048395927,9.45803682117,9.45803682117,9.45803682154,9.45803682154,9.00099627682,7.08062152132,7.19685139582,6.89864188486,7.168151565,9.398116366567,9.458036821067,8.333191794067,8.569470179167,8.235291800867,9.150378346767,8.851408682237,9.458036821167,9.289125935867,9.458036821167,9.458036821367,9.458036821367,9.458036821147,9.166347676047,7.444878332567,9.458036820967,9.458036820907,9.458036820907,9.458036820967,9.458036820967,9.458036820967,9.458036820967,6.841282499387,6.895314424987,7.0512638205,6.9717980954,5.8384762052,6.1544232086
"t121",8.224923461,1.24980358251,0.53365805521,0.4144278324,0,0.480482451,1.89698941451,1.9796907161,1.6795576643,1.6563632199,2.36624990707,2.36624990707,5.0636638935,5.0636638935,5.06366389351,5.06366389351,5.0338369031,9.1469226066,9.4580368216,9.4580368216,9.45803682158,9.45803682158,9.45803682158,9.45803682158,9.45803682158,9.45803682132,9.45803682132,9.45803682132,9.45803682142,9.45803682142,9.45803682122,7.43015718172,7.2782751558,7.8800463273,9.4580368215,9.45803682118,9.45803682118,9.4580368212,9.4580368208,9.45803682172,9.45803682172,8.19610525614,9.45803682115,9.45803682121,9.45803682121,9.45803682117,9.45803682117,9.45803682121,9.45803682111,9.45803682121,9.45803682121,9.45803682121,9.45803682121,9.4580368212,9.458036821299,9.458036821299,9.458036821269,9.458036821269,9.144089218969,9.458036821235,9.458036821235,9.45803682121,9.33101621471,9.45803682121,9.45803682121,7.89489302342,8.02268471391,9.45803682084,9.45803682084,9.45803682084,7.57269983657,9.45803682087,9.45803682087,9.45803682117,8.54291758492,8.11658022037,8.55491316337,8.19256400597,9.45803682127,9.45803682127,7.95015549477,9.45803682114,9.11613911944,9.45803682094,9.4580368212,9.4580368212,9.23021930544,9.45803682174,9.45803682174,9.45803682109,9.45803682159,9.45803682159,9.4580368215,9.4580368215,9.45803682149,9.45803682123,9.45803682073,9.45803682073,9.45803682073,8.09843160873,8.73802515483,8.31776760183,8.32438012493,9.45803682124,9.45803682094,9.45803682094,9.45803682094,8.68443865324,9.45803682126,8.80048395927,9.45803682117,9.45803682117,9.45803682154,9.45803682154,9.00099627682,7.08062152132,7.19685139582,6.89864188486,7.168151565,9.398116366567,9.458036821067,8.333191794067,8.569470179167,8.235291800867,9.150378346767,8.851408682237,9.458036821167,9.289125935867,9.458036821167,9.458036821367,9.458036821367,9.458036821147,9.166347676047,7.444878332567,9.458036820967,9.458036820907,9.458036820907,9.458036820967,9.458036820967,9.458036820967,9.458036820967,6.841282499387,6.895314424987,7.0512638205,6.9717980954,5.8384762052,6.1544232086
"t113",8.224923461,1.24980358251,0.53365805521,0.480482451,0.480482451,0,1.89698941451,1.9796907161,1.6795576643,1.6563632199,2.36624990707,2.36624990707,5.0636638935,5.0636638935,5.06366389351,5.06366389351,5.0338369031,9.1469226066,9.4580368216,9.4580368216,9.45803682158,9.45803682158,9.45803682158,9.45803682158,9.45803682158,9.45803682132,9.45803682132,9.45803682132,9.45803682142,9.45803682142,9.45803682122,7.43015718172,7.2782751558,7.8800463273,9.4580368215,9.45803682118,9.45803682118,9.4580368212,9.4580368208,9.45803682172,9.45803682172,8.19610525614,9.45803682115,9.45803682121,9.45803682121,9.45803682117,9.45803682117,9.45803682121,9.45803682111,9.45803682121,9.45803682121,9.45803682121,9.45803682121,9.4580368212,9.458036821299,9.458036821299,9.458036821269,9.458036821269,9.144089218969,9.458036821235,9.458036821235,9.45803682121,9.33101621471,9.45803682121,9.45803682121,7.89489302342,8.02268471391,9.45803682084,9.45803682084,9.45803682084,7.57269983657,9.45803682087,9.45803682087,9.45803682117,8.54291758492,8.11658022037,8.55491316337,8.19256400597,9.45803682127,9.45803682127,7.95015549477,9.45803682114,9.11613911944,9.45803682094,9.4580368212,9.4580368212,9.23021930544,9.45803682174,9.45803682174,9.45803682109,9.45803682159,9.45803682159,9.4580368215,9.4580368215,9.45803682149,9.45803682123,9.45803682073,9.45803682073,9.45803682073,8.09843160873,8.73802515483,8.31776760183,8.32438012493,9.45803682124,9.45803682094,9.45803682094,9.45803682094,8.68443865324,9.45803682126,8.80048395927,9.45803682117,9.45803682117,9.45803682154,9.45803682154,9.00099627682,7.08062152132,7.19685139582,6.89864188486,7.168151565,9.398116366567,9.458036821067,8.333191794067,8.569470179167,8.235291800867,9.150378346767,8.851408682237,9.458036821167,9.289125935867,9.458036821167,9.458036821367,9.458036821367,9.458036821147,9.166347676047,7.444878332567,9.458036820967,9.458036820907,9.458036820907,9.458036820967,9.458036820967,9.458036820967,9.458036820967,6.841282499387,6.895314424987,7.0512638205,6.9717980954,5.8384762052,6.1544232086
"t51",8.22492346109,1.8969894146,1.8969894145,1.89698941451,1.89698941451,1.89698941451,0,1.97969071619,1.67955766439,1.65636321999,2.36624990716,2.36624990716,5.06366389359,5.06366389359,5.0636638936,5.0636638936,5.03383690319,9.14692260669,9.45803682169,9.45803682169,9.45803682167,9.45803682167,9.45803682167,9.45803682167,9.45803682167,9.45803682141,9.45803682141,9.45803682141,9.45803682151,9.45803682151,9.45803682131,7.43015718181,7.27827515589,7.88004632739,9.45803682159,9.45803682127,9.45803682127,9.45803682129,9.45803682089,9.45803682181,9.45803682181,8.19610525623,9.45803682124,9.4580368213,9.4580368213,9.45803682126,9.45803682126,9.4580368213,9.4580368212,9.4580368213,9.4580368213,9.4580368213,9.4580368213,9.45803682129,9.458036821389,9.458036821389,9.458036821359,9.458036821359,9.144089219059,9.458036821325,9.458036821325,9.4580368213,9.3310162148,9.4580368213,9.4580368213,7.89489302351,8.022684714,9.45803682093,9.45803682093,9.45803682093,7.57269983666,9.45803682096,9.45803682096,9.45803682126,8.54291758501,8.11658022046,8.55491316346,8.19256400606,9.45803682136,9.45803682136,7.95015549486,9.45803682123,9.11613911953,9.45803682103,9.45803682129,9.45803682129,9.23021930553,9.45803682183,9.45803682183,9.45803682118,9.45803682168,9.45803682168,9.45803682159,9.45803682159,9.45803682158,9.45803682132,9.45803682082,9.45803682082,9.45803682082,8.09843160882,8.73802515492,8.31776760192,8.32438012502,9.45803682133,9.45803682103,9.45803682103,9.45803682103,8.68443865333,9.45803682135,8.80048395936,9.45803682126,9.45803682126,9.45803682163,9.45803682163,9.00099627691,7.08062152141,7.19685139591,6.89864188495,7.16815156509,9.398116366657,9.458036821157,8.333191794157,8.569470179257,8.235291800957,9.150378346857,8.851408682327,9.458036821257,9.289125935957,9.458036821257,9.458036821457,9.458036821457,9.458036821237,9.166347676137,7.444878332657,9.458036821057,9.458036820997,9.458036820997,9.458036821057,9.458036821057,9.458036821057,9.458036821057,6.841282499477,6.895314425077,7.05126382059,6.97179809549,5.83847620529,6.15442320869
"t46",8.2249234611,1.97969071619,1.97969071609,1.9796907161,1.9796907161,1.9796907161,1.97969071619,0,1.6795576644,1.65636322,2.36624990717,2.36624990717,5.0636638936,5.0636638936,5.06366389361,5.06366389361,5.0338369032,9.1469226067,9.4580368217,9.4580368217,9.45803682168,9.45803682168,9.45803682168,9.45803682168,9.45803682168,9.45803682142,9.45803682142,9.45803682142,9.45803682152,9.45803682152,9.45803682132,7.43015718182,7.2782751559,7.8800463274,9.4580368216,9.45803682128,9.45803682128,9.4580368213,9.4580368209,9.45803682182,9.45803682182,8.19610525624,9.45803682125,9.45803682131,9.45803682131,9.45803682127,9.45803682127,9.45803682131,9.45803682121,9.45803682131,9.45803682131,9.45803682131,9.45803682131,9.4580368213,9.458036821399,9.458036821399,9.458036821369,9.458036821369,9.144089219069,9.458036821335,9.458036821335,9.45803682131,9.33101621481,9.45803682131,9.45803682131,7.89489302352,8.02268471401,9.45803682094,9.45803682094,9.45803682094,7.57269983667,9.45803682097,9.45803682097,9.45803682127,8.54291758502,8.11658022047,8.55491316347,8.19256400607,9.45803682137,9.45803682137,7.95015549487,9.45803682124,9.11613911954,9.45803682104,9.4580368213,9.4580368213,9.23021930554,9.45803682184,9.45803682184,9.45803682119,9.45803682169,9.45803682169,9.4580368216,9.4580368216,9.45803682159,9.45803682133,9.45803682083,9.45803682083,9.45803682083,8.09843160883,8.73802515493,8.31776760193,8.32438012503,9.45803682134,9.45803682104,9.45803682104,9.45803682104,8.68443865334,9.45803682136,8.80048395937,9.45803682127,9.45803682127,9.45803682164,9.45803682164,9.00099627692,7.08062152142,7.19685139592,6.89864188496,7.1681515651,9.398116366667,9.458036821167,8.333191794167,8.569470179267,8.235291800967,9.150378346867,8.851408682337,9.458036821267,9.289125935967,9.458036821267,9.458036821467,9.458036821467,9.458036821247,9.166347676147,7.444878332667,9.458036821067,9.458036821007,9.458036821007,9.458036821067,9.458036821067,9.458036821067,9.458036821067,6.841282499487,6.895314425087,7.0512638206,6.9717980955,5.8384762053,6.1544232087
"t50",7.5382312183,1.67955766439,1.67955766429,1.6795576643,1.6795576643,1.6795576643,1.67955766439,1.6795576644,0,0.528665499,1.23855218617,1.23855218617,4.3769716508,4.3769716508,4.37697165081,4.37697165081,4.3471446604,8.4602303639,8.7713445789,8.7713445789,8.77134457888,8.77134457888,8.77134457888,8.77134457888,8.77134457888,8.77134457862,8.77134457862,8.77134457862,8.77134457872,8.77134457872,8.77134457852,6.74346493902,6.5915829131,7.1933540846,8.7713445788,8.77134457848,8.77134457848,8.7713445785,8.7713445781,8.77134457902,8.77134457902,7.50941301344,8.77134457845,8.77134457851,8.77134457851,8.77134457847,8.77134457847,8.77134457851,8.77134457841,8.77134457851,8.77134457851,8.77134457851,8.77134457851,8.7713445785,8.771344578599,8.771344578599,8.771344578569,8.771344578569,8.457396976269,8.771344578535,8.771344578535,8.77134457851,8.64432397201,8.77134457851,8.77134457851,7.20820078072,7.33599247121,8.77134457814,8.77134457814,8.77134457814,6.88600759387,8.77134457817,8.77134457817,8.77134457847,7.85622534222,7.42988797767,7.86822092067,7.50587176327,8.77134457857,8.77134457857,7.26346325207,8.77134457844,8.42944687674,8.77134457824,8.7713445785,8.7713445785,8.54352706274,8.77134457904,8.77134457904,8.77134457839,8.77134457889,8.77134457889,8.7713445788,8.7713445788,8.77134457879,8.77134457853,8.77134457803,8.77134457803,8.77134457803,7.41173936603,8.05133291213,7.63107535913,7.63768788223,8.77134457854,8.77134457824,8.77134457824,8.77134457824,7.99774641054,8.77134457856,8.11379171657,8.77134457847,8.77134457847,8.77134457884,8.77134457884,8.31430403412,6.39392927862,6.51015915312,6.21194964216,6.4814593223,8.711424123867,8.771344578367,7.646499551367,7.882777936467,7.548599558167,8.463686104067,8.164716439537,8.771344578467,8.602433693167,8.771344578467,8.771344578667,8.771344578667,8.771344578447,8.479655433347,6.758186089867,8.771344578267,8.771344578207,8.771344578207,8.771344578267,8.771344578267,8.771344578267,8.771344578267,6.154590256687,6.208622182287,6.3645715778,6.2851058527,5.1517839625,5.4677309659
"t60",7.5150367739,1.65636321999,1.65636321989,1.6563632199,1.6563632199,1.6563632199,1.65636321999,1.65636322,0.528665499,0,0.92220744457,0.92220744457,4.3537772064,4.3537772064,4.35377720641,4.35377720641,4.323950216,8.4370359195,8.7481501345,8.7481501345,8.74815013448,8.74815013448,8.74815013448,8.74815013448,8.74815013448,8.74815013422,8.74815013422,8.74815013422,8.74815013432,8.74815013432,8.74815013412,6.72027049462,6.5683884687,7.1701596402,8.7481501344,8.74815013408,8.74815013408,8.7481501341,8.7481501337,8.74815013462,8.74815013462,7.48621856904,8.74815013405,8.74815013411,8.74815013411,8.74815013407,8.74815013407,8.74815013411,8.74815013401,8.74815013411,8.74815013411,8.74815013411,8.74815013411,8.7481501341,8.748150134199,8.748150134199,8.748150134169,8.748150134169,8.434202531869,8.748150134135,8.748150134135,8.74815013411,8.62112952761,8.74815013411,8.74815013411,7.18500633632,7.31279802681,8.74815013374,8.74815013374,8.74815013374,6.86281314947,8.74815013377,8.74815013377,8.74815013407,7.83303089782,7.40669353327,7.84502647627,7.48267731887,8.74815013417,8.74815013417,7.24026880767,8.74815013404,8.40625243234,8.74815013384,8.7481501341,8.7481501341,8.52033261834,8.74815013464,8.74815013464,8.74815013399,8.74815013449,8.74815013449,8.7481501344,8.7481501344,8.74815013439,8.74815013413,8.74815013363,8.74815013363,8.74815013363,7.38854492163,8.02813846773,7.60788091473,7.61449343783,8.74815013414,8.74815013384,8.74815013384,8.74815013384,7.97455196614,8.74815013416,8.09059727217,8.74815013407,8.74815013407,8.74815013444,8.74815013444,8.29110958972,6.37073483422,6.48696470872,6.18875519776,6.4582648779,8.688229679467,8.748150133967,7.623305106967,7.859583492067,7.525405113767,8.440491659667,8.141521995137,8.748150134067,8.579239248767,8.748150134067,8.748150134267,8.748150134267,8.748150134047,8.456460988947,6.734991645467,8.748150133867,8.748150133807,8.748150133807,8.748150133867,8.748150133867,8.748150133867,8.748150133867,6.131395812287,6.185427737887,6.3413771334,6.2619114083,5.1285895181,5.4445365215
