"","turnover.rates","eps.values","transition.rates"
"1",0.014692822471261,0.839385431958362,NA
"2",0.945695686619729,0.6821573311463,0.285340994363651
"3",0.7481932900846,0.133058957522735,0.439330253750086
"4",0.177004052791744,0.326631881995127,0.549943581689149
"5",0.014692822471261,0.839385431958362,0.335908993147314
"6",0.945695686619729,0.6821573311463,NA
"7",0.7481932900846,0.133058957522735,0.332887639058754
"8",0.177004052791744,0.326631881995127,0.531476358650252
"9",0.014692822471261,0.839385431958362,0.772434177808464
"10",0.945695686619729,0.6821573311463,0.73514533881098
"11",0.7481932900846,0.133058957522735,NA
"12",0.177004052791744,0.326631881995127,0.733040135586634
"13",0.014692822471261,0.839385431958362,0.194291902473196
"14",0.945695686619729,0.6821573311463,0.582631439436227
"15",0.7481932900846,0.133058957522735,0.707570431521162
"16",0.177004052791744,0.326631881995127,NA
