"accepted_species","I1.1/1"
"t7","1"
"t74","0"
"t75","0"
"t22","1"
"t61","0"
"t62","0"
"t42","0"
"t43","1"
"t68","0"
"t69","1"
"t87","1"
"t88","0"
"t80","0"
"t81","0"
"t55","0"
"t53","1"
"t54","1"
"t8","1"
"t64","0"
"t65","1"
"t13","0"
"t3","0"
"t11","1"
"t93","1"
"t94","1"
"t63","0"
"t89","1"
"t90","1"
"t60","0"
"t83","0"
"t84","0"
"t14","1"
"t26","1"
"t49","1"
"t50","1"
"t1","1"
"t66",NA
"t67",NA
"t17",NA
"t70",NA
"t71",NA
"t45",NA
"t46",NA
"t44",NA
"t25",NA
"t5",NA
"t29","0"
"t30","1"
"t39","0"
"t51","1"
"t52","1"
"t76","1"
"t77","0"
"t56","1"
"t57","1"
"t35","0"
"t36","1"
"t23","1"
"t24","0"
"t32","0"
"t40","0"
"t41","0"
"t27","1"
"t6","1"
"t12","1"
"t15","0"
"t16","0"
"t31","1"
"t58","0"
"t59","1"
"t9","0"
"t10","1"
"t2","0"
"t33","1"
"t34","1"
"t4","1"
"t18","0"
"t28","0"
"t78","1"
"t79","0"
"t47","1"
"t48","1"
"t19","1"
"t20","1"
"t85","1"
"t86","1"
"t72","0"
"t73","0"
"t91","1"
"t92","1"
"t37","1"
"t38","1"
"t21","0"
"t95","1"
"t96","1"
"t82","1"
"t97","1"
"t98","1"
"t99","0"
"t100","0"
