"accepted_species","I1.1/1"
"t30","0"
"t31","1"
"t97","0"
"t98","1"
"t44","1"
"t45","0"
"t6","1"
"t9","1"
"t73","1"
"t74","0"
"t83","1"
"t95","1"
"t96","1"
"t90","1"
"t58","1"
"t14","0"
"t69","1"
"t70","1"
"t65","1"
"t66","0"
"t13","0"
"t61","0"
"t62","0"
"t53","0"
"t20","0"
"t21","1"
"t8","1"
"t5","0"
"t24","0"
"t42","0"
"t43","0"
"t2","0"
"t3","0"
"t27","0"
"t28","0"
"t32","0"
"t22","0"
"t23","0"
"t93","0"
"t94","0"
"t11","0"
"t25","0"
"t26","0"
"t15","0"
"t16","0"
"t18","0"
"t84","1"
"t85","1"
"t77","1"
"t78","0"
"t88","1"
"t89","0"
"t63","0"
"t54","1"
"t55","1"
"t33","0"
"t75","0"
"t76","1"
"t40","0"
"t17","1"
"t36","0"
"t64","0"
"t79","0"
"t80","0"
"t7","0"
"t29","0"
"t99","1"
"t100",NA
"t67","1"
"t68","0"
"t56","0"
"t57","0"
"t71",NA
"t72",NA
"t48","1"
"t46","0"
"t47","0"
"t86","0"
"t87","0"
"t38","1"
"t39","1"
"t51","0"
"t52",NA
"t59","0"
"t60",NA
"t34","0"
"t19",NA
"t37","0"
"t49",NA
"t50",NA
"t4","0"
"t91",NA
"t92","0"
"t41","1"
"t81","1"
"t82","1"
"t35",NA
"t1","0"
"t10","0"
"t12","0"
