"accepted_species","traits"
"t4",1
"t8",1
"t10",0
"t11",1
"t12",1
"t13",1
"t14",0
"t17",1
"t18",1
"t19",1
"t20",0
"t22",1
"t31",NA
"t32",1
"t33",NA
"t34",1
"t35",1
"t36",1
"t37",0
"t38",0
"t39",1
"t40",1
"t41",0
"t42",0
"t43",0
"t44",1
"t45",0
"t46",NA
"t47",0
"t48",0
"t49",0
"t50",1
"t51",0
"t52",1
"t54",1
"t55",0
"t56",0
"t57",0
"t58",1
"t60",0
"t61",1
"t63",1
"t64",0
"t65",NA
"t66",NA
"t67",1
"t68",1
"t69",0
"t70",1
"t71",1
"t73",1
"t74",0
"t75",1
"t76",1
"t77",0
"t78",1
"t79",1
"t80",1
"t81",0
"t82",1
"t83",1
"t84",1
"t85",1
"t86",1
"t87",1
"t88",1
"t89",NA
"t90",1
"t91",0
"t92",0
"t93",0
"t94",1
"t95",1
"t96",1
"t97",NA
"t98",1
"t99",NA
"t100",1
"t101",1
"t103",0
"t106",0
"t107",1
"t108",1
"t109",1
"t110",1
"t111",NA
"t112",1
"t113",0
"t114",0
"t115",1
"t116",1
"t117",1
"t118",0
"t119",0
"t120",1
"t121",1
"t122",NA
"t123",1
"t124",1
"t125",1
