"accepted_species","I1.1/1"
"t18","1"
"t49","1"
"t50","0"
"t35","0"
"t24","1"
"t95","1"
"t96","0"
"t43","1"
"t17","1"
"t2","1"
"t19","0"
"t20","1"
"t21","1"
"t60","1"
"t93","1"
"t94","1"
"t72","0"
"t73","0"
"t87","1"
"t88","1"
"t51","1"
"t75","0"
"t67","0"
"t38","1"
"t45","0"
"t46","0"
"t16","0"
"t10","0"
"t58","1"
"t59","1"
"t91","0"
"t92","0"
"t81","0"
"t82","0"
"t97","1"
"t98","1"
"t68","0"
"t69","0"
"t27","1"
"t47","1"
"t48","0"
"t4","0"
"t77","0"
"t78","0"
"t76","1"
"t33","0"
"t34","1"
"t41","0"
"t61","0"
"t62","0"
"t36","0"
"t37","0"
"t56","0"
"t57","0"
"t9","0"
"t3","1"
"t99","1"
"t100","1"
"t39","0"
"t40","0"
"t30","1"
"t23","0"
"t65","0"
"t66","0"
"t70","0"
"t71","0"
"t13","1"
"t6","0"
"t28","0"
"t29","1"
"t54","0"
"t55","0"
"t31","0"
"t32",NA
"t52",NA
"t53","1"
"t11","1"
"t12","1"
"t85",NA
"t86","1"
"t44","1"
"t89","1"
"t90","1"
"t42","0"
"t74",NA
"t79",NA
"t80","1"
"t5","1"
"t7",NA
"t8","0"
"t63","1"
"t64",NA
"t83","1"
"t84","1"
"t1","1"
"t25",NA
"t26",NA
"t22",NA
"t14","1"
"t15","0"
