accepted_species,Medicinal
Anisopus exellii,0.0
Scleromitrion tenuifolium,0.0
Eumachia domatiicola,0.0
Leptopetalum taiwanense,0.0
Scleromitrion gibsonii,0.0
Guettarda shaferi,0.0
Malouetia arborea,
Strophanthus caudatus,1.0
Forsteronia spicata,0.0
Chomelia longiflora,0.0
Ectadium rotundifolium,0.0
Chomelia anisomeris,0.0
Ruehssia weberbaueri,0.0
Ruehssia bourgaeana,0.0
Chomelia klugii,0.0
Rytigynia umbellulata,0.0
Ruehssia haitiensis,0.0
Symbolanthus calygonus,0.0
Neobertiera palustris,0.0
Schenkia elegans,0.0
Symbolanthus argyreus,0.0
Micrechites serpyllifolius,0.0
Didymosalpinx konguensis,0.0
Tarenna alleizettei,0.0
Rubia sylvatica,1.0
Decalepis nervosa,0.0
Urceola minutiflora,1.0
Pentagonia amazonica,0.0
Tarenna compactiflora,
Asclepias velutina,
Hoodia gordonii,1.0
Schradera monocephala,0.0
Alafia erythrophthalma,1.0
Tavaresia barklyi,
Houstonia correllii,0.0
Jasminanthes saxatilis,0.0
Orthosia stannardii,0.0
Rauvolfia semperflorens,1.0
Houstonia acerosa,0.0
Ornichia lancifolia,0.0
Notopleura uberta,0.0
Antirhea bifurcata,
Boucerosia indica,1.0
Notopleura microbracteata,0.0
Mandevilla vanheurckii,0.0
Hippotis panamensis,0.0
Isertia pittieri,0.0
Atractocarpus confertus,0.0
Mandevilla emarginata,0.0
Mandevilla lanuginosa,0.0
Sacleuxia newii,0.0
Mandevilla glandulosa,0.0
Irlbachia tatei,0.0
Finlaysonia insularum,0.0
Mandevilla spigeliiflora,1.0
Atractocarpus pentagonioides,0.0
Cyclophyllum coprosmoides,0.0
Cynanchum eurychiton,0.0
Afrocanthium racemulosum,0.0
Lomatogonium caeruleum,
Cynanchum resiliens,0.0
Cynanchum ellipticum,1.0
Cynanchum floriferum,
Cynanchum messeri,0.0
Peponidium boivinianum,0.0
Afrocanthium shabanii,0.0
Peponidium pervilleanum,0.0
Himatanthus tarapotensis,1.0
Peponidium celastroides,0.0
Ceriscoides sessiliflora,0.0
Ceropegia discoidea,0.0
Valantia columella,0.0
Ceropegia spaniflora,0.0
Ceriscoides perakensis,0.0
Ceropegia meyeriana,0.0
Spigelia texana,0.0
Plocama afghanica,0.0
Spigelia stenocardia,0.0
Spigelia macrophylla,0.0
Swertia lurida,0.0
Psychotria grandistipulata,0.0
Psychotria puffii,0.0
Psychotria bridsoniae,0.0
Galium vile,0.0
Psychotria costata,0.0
Psychotria madagascariensis,
Psychotria alto-macahensis,0.0
Galium diffusoramosum,0.0
Galium kinuta,0.0
Psychotria paradoxalis,0.0
Psychotria bidentata,1.0
Psychotria radicans,0.0
Ptycanthera ovatifolia,0.0
Psychotria calothyris,0.0
Psychotria guianensis,1.0
Galium moldavicum,0.0
Hoppea fastigiata,0.0
Psychotria psychotriifolia,1.0
Psychotria brachylaena,0.0
Psychotria bathieana,0.0
Quaqua cincta,
Empogona coriacea,0.0
Empogona aequatoria,0.0
Asperula kotschyana,0.0
Manettia secundiflora,0.0
Quaqua parviflora,0.0
Minaria lourteigiae,0.0
Bremeria pilosa,0.0
Ixora miquelii,0.0
Bremeria scabridior,0.0
Hedyotis pubescens,0.0
Cynanchica boissieri,0.0
Hedyotis hainanensis,0.0
Cynanchica bryoides,0.0
Hedyotis marginata,0.0
Hedyotis rugosa,0.0
Hedyotis barberi,0.0
Leptactina angolensis,0.0
Benkara pierrei,0.0
Rosenbergiodendron longiflorum,
Megacodon venosus,0.0
Machaonia ottonis,0.0
Funastrum flavum,
Sericanthe petitii,0.0
Chimarrhis cubensis,0.0
Mitracarpus frigidus,0.0
Palicourea pullei,0.0
Palicourea megalantha,0.0
Palicourea flaviflora,0.0
Palicourea tacarcunensis,0.0
Palicourea simiarum,0.0
Secamone penangiana,0.0
Willughbeia angustifolia,1.0
Heterostemma disciflorum,0.0
Palicourea luxurians,0.0
Palicourea everardii,0.0
Palicourea candelabrum,0.0
Palicourea cairoana,0.0
Gentianopsis simplex,0.0
Petchia plectaneiifolia,0.0
Palicourea vichadensis,0.0
Gentianopsis lutea,0.0
Coussarea graciliflora,0.0
Palicourea boqueronensis,1.0
Palicourea hyptoides,0.0
Petalostelma roberti,0.0
Pygmaeothamnus zeyheri,1.0
Matelea rhamnifolia,0.0
Matelea inconspicua,0.0
Pauridiantha liebrechtsiana,0.0
Matelea tigrina,0.0
Dictyanthus eximius,
Pauridiantha pyramidata,1.0
Matelea picturata,0.0
Stephanotis abyssinica,1.0
Canthium thonningii,0.0
Leichhardtia connivens,0.0
Leichhardtia belensis,
Spermacoce valens,0.0
Leichhardtia variifolia,0.0
Spermacoce hepperiana,0.0
Spermacoce neohispida,
Aidia canthioides,0.0
Leichhardtia papuana,0.0
Spermacoce suaveolens,0.0
Spermacoce marticrovettiana,0.0
Aidia oxyodonta,0.0
Spermacoce argentea,0.0
Leichhardtia spathulata,0.0
Spermacoce johnwoodii,0.0
Aspidoglossum woodii,0.0
Myrmephytum selebicum,0.0
Nostolachma jenkinsii,0.0
Stapeliopsis pillansii,
Psydrax occidentalis,0.0
Galianthe chodatiana,0.0
Gynochthodes ammitia,0.0
Cryptolepis intricata,0.0
Dischidia major,1.0
Morinda elliptica,1.0
Morilloa lutea,0.0
Wrightia dubia,1.0
Lasianthus thwaitesii,
Centaurium maritimum,0.0
Orianthera campanulata,0.0
Pavetta zeylanica,0.0
Geniostoma waialealae,
Tromotriche baylissii,0.0
Phyllanthera multinervosa,0.0
Philibertia tucumanensis,0.0
Amaracarpus nouhuizii,0.0
Crobylanthe pellacalyx,0.0
Rudgea canephorantha,0.0
Rothmannia talbotii,0.0
Prismatomeris borneensis,0.0
Halenia gracilis,
Halenia recurva,0.0
Halenia brevicornis,0.0
Ladenbergia acutifolia,
Gentianella narcissoides,0.0
Gentianella tortuosa,
Tournefortiopsis hirsuta,0.0
Gentianella selaginifolia,
Gentianella hypericoides,0.0
Wendlandia pendula,1.0
Stenotis asperuloides,0.0
Thliphthisa microphylla,
Ladenbergia heterophylla,0.0
Arcytophyllum setosum,0.0
Vincetoxicum oligophyllum,0.0
Molongum zschokkeiforme,0.0
Vincetoxicum coddii,0.0
Vincetoxicum josephrockii,0.0
Gonzalagunia stenostachya,0.0
Vincetoxicum cambodiense,0.0
Orbea circes,0.0
Kibatalia macgregorii,0.0
Vincetoxicum liebianum,0.0
Vincetoxicum taiwanense,0.0
Vincetoxicum sarasinorum,0.0
Vincetoxicum schmalhausenii,0.0
Orbea ciliata,0.0
Vincetoxicum uncinatum,0.0
Saprosma fragrans,0.0
Mesechites roseus,0.0
Ophiorrhiza capitata,0.0
Ophiorrhiza wangii,
Sabicea sanguinosa,0.0
Ophiorrhiza vietnamensis,
Roraimaea coccinea,
Solenandra mexicana,1.0
Oldenlandia bicornuta,0.0
Sabicea asperula,0.0
Ophiorrhiza coccinea,0.0
Solenandra lineata,0.0
Arachnothryx tuxtlensis,0.0
Argostemma kurzii,0.0
Arachnothryx megalantha,0.0
Declieuxia tenuiflora,0.0
Arachnothryx povedae,0.0
Heinsia zanzibarica,0.0
Arachnothryx rzedowskii,0.0
Eumachia vaupelii,0.0
Sinoswertia tetraptera,
Mucoa duckei,1.0
Larsenaikia suffruticosa,
Oxyceros patulus,
Rytigynia neglecta,0.0
Rytigynia gracilipetiolata,0.0
Rytigynia beniensis,0.0
Ruehssia lanata,0.0
Ruehssia ecuadorensis,0.0
Xanthophytum attopevense,0.0
Ruehssia mollis,0.0
Ruehssia gallardoae,0.0
Ruehssia colombiana,0.0
Chomelia parvifolia,0.0
Chloropetalum obtusiflorum,0.0
Nauclea diderrichii,1.0
Coussarea panurensis,0.0
Secamone letouzeana,0.0
Ronabea isanae,0.0
Pseudolithos dodsonianus,
Palicourea padifolia,1.0
Palicourea argentinensis,
Palicourea egensis,1.0
Palicourea vareschii,
Palicourea chrysotricha,0.0
Palicourea tepuiensis,0.0
Palicourea barnebyana,
Simira ecuadorensis,1.0
Condaminea microcarpa,0.0
Mycetia stipulata,0.0
Piaranthus geminatus,0.0
Didymosalpinx abbeokutae,1.0
Hexasepalum scandens,1.0
Condaminea corymbosa,0.0
Tarenna grandiflora,0.0
Tarenna gracilis,0.0
Tarenna insularis,0.0
Ditassa franciscoi,0.0
Tarenna loheri,0.0
Schradera elmeri,0.0
Asclepias cordifolia,1.0
Strychnos dalzellii,0.0
Metastelma pauciflorum,0.0
Metagentiana leptoclada,0.0
Metastelma dorrii,0.0
Metastelma hirtellum,0.0
Lecananthus pentander,0.0
Alafia multiflora,1.0
Coptosperma borbonicum,1.0
Ornichia madagascariensis,0.0
Notopleura aligera,0.0
Notopleura uliginosa,1.0
Notopleura lateriflora,0.0
Notopleura pithecobia,0.0
Dolichopentas longiflora,1.0
Finlaysonia lanuginosa,0.0
Mandevilla hesperia,0.0
Mandevilla scabra,1.0
Mandevilla widgrenii,0.0
Atractocarpus longipes,0.0
Peponidium marojejyense,0.0
Cynanchum leptolepis,0.0
Cynanchum areysianum,0.0
Cynanchum gilbertii,0.0
Cynanchum revoilii,0.0
Cynanchum brasiliense,0.0
Gardenia flava,0.0
Congolanthus longidens,0.0
Stenostelma eustegioides,0.0
Bertiera viburnoides,0.0
Spigelia riedeliana,0.0
Spigelia spruceana,0.0
Plocama calcicola,
Stenostelma corniculatum,0.0
Swertia swertopsis,0.0
Ceropegia pachypodium,0.0
Ceropegia mairei,1.0
Plocama iljinii,0.0
Psychotria hombroniana,0.0
Psychotria lagunensis,0.0
Psychotria oleifolia,0.0
Psychotria puberulina,0.0
Bathysa australis,1.0
Psychotria berryi,0.0
Psychotria bealananensis,0.0
Galium undulatum,0.0
Rogersonanthus arboreus,
Psychotria boenyana,0.0
Psychotria integristipulata,0.0
Psychotria desirei,0.0
Caa balansae,0.0
Psychotria moninensis,0.0
Neonauclea bartlingii,0.0
Manettia congesta,0.0
Dictyophleba leonensis,1.0
Empogona reflexa,0.0
Bartonia paniculata,0.0
Hedythyrsus thamnoideus,0.0
Ixora blumei,0.0
Pruskortizia macrocarpa,0.0
Alyxia stellata,1.0
Neurocalyx calycinus,
Ixora richardi-longii,0.0
Ixora ferrea,0.0
Ixora pubirama,0.0
Ixora ravikumarii,0.0
Ixora ridsdalei,
Bremeria pervillei,0.0
Ixora paludosa,0.0
Neolamarckia cadamba,1.0
Cynanchica cristata,
Landolphia incerta,1.0
Landolphia micrantha,0.0
Picrophloeus rugulosus,0.0
Hoya inflata,0.0
Landolphia glabra,0.0
Hedyotis rigida,
Cynanchica suffruticosa,0.0
Landolphia bruneelii,0.0
Cynanchica rigidula,0.0
Schizacme novae-zelandiae,0.0
Tabernaemontana polyneura,0.0
Tabernaemontana glabra,0.0
Gongronemopsis gazensis,0.0
Tabernaemontana divaricata,1.0
Tabernaemontana gamblei,1.0
Hymenodictyon floribundum,1.0
Oreopolus glacialis,0.0
Pentanisia veronicoides,0.0
Cascabela ovata,1.0
Faramea suerrensis,0.0
Funastrum elegans,
Utania stenophylla,0.0
Utania volubilis,
Hunteria zeylanica,1.0
Tripterospermum taiwanense,1.0
Baissea axillaris,1.0
Matelea greenmanii,
Canthium oblongum,0.0
Periploca calophylla,1.0
Motleyothamnus corymbosus,0.0
Matelea porphyrantha,0.0
Matelea squiresii,0.0
Matelea sagittifolia,0.0
Leichhardtia mackeeorum,0.0
Spermacoce cataractarum,0.0
Leichhardtia ambuntiensis,0.0
Leichhardtia torsiva,0.0
Leichhardtia velutina,0.0
Leichhardtia praestans,0.0
Spermacoce viridiflora,0.0
Gonolobus heterophyllus,0.0
Rennellia subsessilis,0.0
Schmidtottia elliptica,0.0
Schmidtottia sessilifolia,0.0
Psydrax dunlapii,0.0
Psydrax ficiformis,0.0
Dischidia lanceolata,0.0
Galianthe thalictroides,0.0
Sabatia campanulata,1.0
Scolosanthus triacanthus,0.0
Pavetta salicina,0.0
Adina pilulifera,1.0
Debia rosettifolia,0.0
Orianthera biloba,0.0
Vidalasia morindifolia,0.0
Prestonia cyaniphylla,0.0
Dimetia prainiana,0.0
Eumachia depauperata,0.0
Guettardella tenuiflora,0.0
Guettardella tayabensis,0.0
Guettardella ternata,0.0
Trachelospermum lucidum,1.0
Guettardella affinis,
Guettardella attenuata,0.0
Palicourea cuspidata,1.0
Macrocarpaea cinchonifolia,0.0
Palicourea celiae,
Palicourea horquetensis,0.0
Palicourea nematostachya,0.0
Palicourea toensis,0.0
Carterella alexanderae,0.0
Petchia montana,0.0
Macrocarpaea glabra,0.0
Palicourea mamillaris,0.0
Palicourea tabayensis,0.0
Vangueria discolor,0.0
Neuburgia moluccana,0.0
Heterostemma andersonii,0.0
Palicourea psychotrioides,0.0
Palicourea raveniana,0.0
Simira maxonii,1.0
Discospermum quocensis,0.0
Matelea bicolor,0.0
Matelea gentlei,0.0
Matelea pseudobarbata,0.0
Pauridiantha micrantha,0.0
Matelea pubescens,0.0
Matelea castanea,0.0
Baissea floribunda,0.0
Matelea flavidula,0.0
Matelea capillacea,0.0
Leichhardtia kebarensis,0.0
Leichhardtia assimulata,0.0
Spermacoce burchellii,
Spermacoce rosmarinifolia,0.0
Leichhardtia ericoides,0.0
Spermacoce densiflora,1.0
Spermacoce octodon,1.0
Spermacoce latituba,0.0
Gyrandra blumbergiana,0.0
Spermacoce malacophylla,
Macropharynx peltata,
Crossopteryx febrifuga,1.0
Pachycarpus linearis,
Vangueriella glabrescens,0.0
Vangueriella orthacantha,0.0
Aspidoglossum glabrescens,
Pachycarpus stenoglossus,0.0
Psydrax grandifolius,0.0
Galianthe guaranitica,0.0
Gynochthodes celebica,0.0
Gynochthodes verticillata,0.0
Timonius subavenis,0.0
