accepted_species,Medicinal
Anisopus_exellii,0
Scleromitrion_tenuifolium,0
Eumachia_domatiicola,0
Leptopetalum_taiwanense,0
Scleromitrion_gibsonii,0
Guettarda_shaferi,0
Malouetia_arborea,1
Strophanthus_caudatus,1
Forsteronia_spicata,0
Chomelia_longiflora,0
Ectadium_rotundifolium,0
Chomelia_anisomeris,0
Ruehssia_weberbaueri,0
Ruehssia_bourgaeana,0
Chomelia_klugii,0
Rytigynia_umbellulata,0
Ruehssia_haitiensis,0
Symbolanthus_calygonus,0
Neobertiera_palustris,0
Schenkia_elegans,0
Symbolanthus_argyreus,0
Micrechites_serpyllifolius,0
Didymosalpinx_konguensis,0
Tarenna_alleizettei,0
Rubia_sylvatica,1
Decalepis_nervosa,0
Urceola_minutiflora,1
Pentagonia_amazonica,0
Tarenna_compactiflora,0
Asclepias_velutina,0
Hoodia_gordonii,1
Schradera_monocephala,0
Alafia_erythrophthalma,1
Tavaresia_barklyi,1
Houstonia_correllii,0
Jasminanthes_saxatilis,0
Orthosia_stannardii,0
Rauvolfia_semperflorens,1
Houstonia_acerosa,0
Ornichia_lancifolia,0
Notopleura_uberta,0
Antirhea_bifurcata,1
Boucerosia_indica,1
Notopleura_microbracteata,0
Mandevilla_vanheurckii,0
Hippotis_panamensis,0
Isertia_pittieri,0
Atractocarpus_confertus,0
Mandevilla_emarginata,0
Mandevilla_lanuginosa,0
Sacleuxia_newii,0
Mandevilla_glandulosa,0
Irlbachia_tatei,0
Finlaysonia_insularum,0
Mandevilla_spigeliiflora,1
Atractocarpus_pentagonioides,0
Cyclophyllum_coprosmoides,0
Cynanchum_eurychiton,0
Afrocanthium_racemulosum,0
Lomatogonium_caeruleum,0
Cynanchum_resiliens,0
Cynanchum_ellipticum,1
Cynanchum_floriferum,0
Cynanchum_messeri,0
Peponidium_boivinianum,0
Afrocanthium_shabanii,0
Peponidium_pervilleanum,0
Himatanthus_tarapotensis,1
Peponidium_celastroides,0
Ceriscoides_sessiliflora,0
Ceropegia_discoidea,0
Valantia_columella,0
Ceropegia_spaniflora,0
Ceriscoides_perakensis,0
Ceropegia_meyeriana,0
Spigelia_texana,0
Plocama_afghanica,0
Spigelia_stenocardia,0
Spigelia_macrophylla,0
Swertia_lurida,0
Psychotria_grandistipulata,0
Psychotria_puffii,0
Psychotria_bridsoniae,0
Galium_vile,0
Psychotria_costata,0
Psychotria_madagascariensis,0
Psychotria_alto-macahensis,0
Galium_diffusoramosum,0
Galium_kinuta,0
Psychotria_paradoxalis,0
Psychotria_bidentata,1
Psychotria_radicans,0
Ptycanthera_ovatifolia,0
Psychotria_calothyris,0
Psychotria_guianensis,1
Galium_moldavicum,0
Hoppea_fastigiata,0
Psychotria_psychotriifolia,1
Psychotria_brachylaena,0
Psychotria_bathieana,0
Quaqua_cincta,0
Empogona_coriacea,0
Empogona_aequatoria,0
Asperula_kotschyana,0
Manettia_secundiflora,0
Quaqua_parviflora,0
Minaria_lourteigiae,0
Bremeria_pilosa,0
Ixora_miquelii,0
Bremeria_scabridior,0
Hedyotis_pubescens,0
Cynanchica_boissieri,0
Hedyotis_hainanensis,0
Cynanchica_bryoides,0
Hedyotis_marginata,0
Hedyotis_rugosa,0
Hedyotis_barberi,0
