"accepted_species","traits"
"t83",0
"t97",1
"t99",1
"t104",0
"t105",1
"t106",0
"t109",1
"t114",1
"t116",1
"t122",1
"t125",0
"t128",0
"t130",1
"t131",1
"t132",1
"t142",NA
"t145",1
"t149",1
"t155",0
"t156",1
"t158",1
"t159",NA
"t162",1
"t164",1
"t166",0
"t168",0
"t178",1
"t179",1
"t181",1
"t184",1
"t188",1
"t189",1
"t190",NA
"t191",NA
"t193",1
"t194",NA
"t196",1
"t197",0
"t199",0
"t200",1
"t201",1
"t202",1
"t203",1
"t204",1
"t206",1
"t209",1
"t211",0
"t212",1
"t215",NA
"t216",NA
"t218",1
"t219",1
"t220",NA
"t221",1
"t223",1
"t224",1
"t225",1
"t226",1
"t227",1
"t229",1
"t230",0
"t231",NA
"t232",NA
"t233",0
"t235",1
"t236",0
"t237",0
"t238",0
"t239",0
"t240",1
"t241",1
"t242",1
"t244",1
"t245",1
"t246",1
"t248",1
"t249",1
"t250",1
"t251",1
"t252",1
"t253",1
"t254",1
"t255",1
"t256",1
"t257",1
"t258",1
"t259",1
"t262",1
"t263",1
"t264",1
"t265",1
"t266",1
"t267",1
"t268",0
"t269",1
"t270",1
"t271",1
"t272",1
"t273",1
"t274",1
