,phylopars_picante,phylopars_phylnn_fill_means,phylopars_linear_eigenvecs,phylopars_linear_umap,phylopars_linear_autoencoded,phylopars_xgb_eigenvecs,phylopars_xgb_umap,phylopars_xgb_autoencoded,picante_phylnn_fill_means,picante_linear_eigenvecs,picante_linear_umap,picante_linear_autoencoded,picante_xgb_eigenvecs,picante_xgb_umap,picante_xgb_autoencoded,phylnn_fill_means_linear_eigenvecs,phylnn_fill_means_linear_umap,phylnn_fill_means_linear_autoencoded,phylnn_fill_means_xgb_eigenvecs,phylnn_fill_means_xgb_umap,phylnn_fill_means_xgb_autoencoded,linear_eigenvecs_linear_umap,linear_eigenvecs_linear_autoencoded,linear_eigenvecs_xgb_eigenvecs,linear_eigenvecs_xgb_umap,linear_eigenvecs_xgb_autoencoded,linear_umap_linear_autoencoded,linear_umap_xgb_eigenvecs,linear_umap_xgb_umap,linear_umap_xgb_autoencoded,linear_autoencoded_xgb_eigenvecs,linear_autoencoded_xgb_umap,linear_autoencoded_xgb_autoencoded,xgb_eigenvecs_xgb_umap,xgb_eigenvecs_xgb_autoencoded,xgb_umap_xgb_autoencoded
stat,0.6827951969606354,-9.986382518222507,-1.5903999533666466,-7.295483978520245,-4.972732641258947,-4.140187128213417,-6.618552174345027,-4.827870280486809,-10.021563941397567,-1.5908867036988348,-7.298145853648997,-5.0182894282835715,-4.079408835219373,-6.600693179071426,-4.935486826444448,-0.9813864736187803,3.1506239169465675,1.9595201440822831,6.877646492496182,5.608001702023993,6.749167678148972,1.2356438105351195,1.2111132039736348,1.4848907552130075,1.364721668820763,1.4606398527617248,-0.4689417914829581,4.022354728119338,2.737661645788476,4.4112802921839,2.9153899239122554,2.184044261805176,3.7065671949315395,-2.3882917920611133,-0.004265700178759155,2.7501428400987797
p value,0.49633094549020906,1.1714201226375341e-16,0.11493308344804568,7.491381682301821e-11,2.7773533508202115e-06,7.304174542146684e-05,1.8815120216276164e-09,5.025554242900163e-06,9.816809182536148e-17,0.11482339553022329,7.395694317242097e-11,2.300348793305839e-06,9.143974107265416e-05,2.0457013827815222e-09,3.2377466980552864e-06,0.328794445619213,0.0021551609116734235,0.052864060811642,5.542154709108611e-10,1.8570319223571165e-07,1.017997461541177e-09,0.2195150621741377,0.22873518467938755,0.14075001317173236,0.17543437627391983,0.14728075557356152,0.6401422744200749,0.00011269537136675185,0.00733734072646907,2.6171339527264743e-05,0.004393752093825388,0.031320314635050285,0.00034640133694245704,0.018823227536971573,0.9966050578862202,0.007082960549291108
