"","t1","t18","t58","t96","t112","t113","t22","t35","t43","t44","t128","t129","t111","t69","t70","t71","t90","t91","t33","t34","t86","t92","t93","t17","t83","t109","t110","t5","t36","t45","t134","t135","t54","t88","t89","t62","t142","t143","t61","t7","t51","t63","t119","t120","t123","t124","t116","t10","t11","t14","t15","t103","t104","t32","t28","t31","t46","t47","t98","t99","t97","t94","t95","t48","t101","t102","t114","t115","t117","t118","t12","t13","t65","t66","t37","t19","t20","t21","t49","t50","t39","t25","t55","t56","t41","t42","t81","t127","t130","t131","t100","t57","t121","t122","t76","t77","t78","t68","t53","t30","t136","t137","t79","t6","t59","t60","t73","t125","t126","t87","t84","t85","t80","t74","t75","t52","t72","t105","t106","t29","t8","t4","t38","t107","t108","t40","t132","t133","t82","t138","t139","t64","t24","t23","t26","t27","t67","t140","t141","t16","t9","t2","t3"
"t1",0,5.7717264404,5.6704288553,5.7717264403,5.7717264403,5.7717264403,4.668464546877,5.771726440177,5.771726440257,4.991324398657,5.771726440277,5.771726440277,5.669776935527,5.771726440227,5.633210553827,5.667045728727,5.429899865267,5.771726440327,5.7717264403,5.7717264403,5.77172643991,5.77172643984,5.77172643984,5.07112415041,5.77172644001,5.77172643991,5.77172643991,2.32758634749,5.03695542419,4.97968429749,5.77172644082,5.77172644082,5.77172644109,5.77172644099,5.77172644099,5.53400692124,5.771726441061,5.771726441061,5.77172644106,5.7717264404,5.7717264402,5.7717264402,5.7717264403,5.7717264403,5.77172643984,5.64444667095,5.7717264398,4.4897662903,4.1123325573,5.48355671769,4.68173382489,5.77172644083,5.77172644083,5.77172644053,5.44348474909,5.77172644039,5.77172644082,5.77172644082,5.771726440835,5.771726440835,5.77172644082,5.77172644089,5.77172644089,5.46351671889,5.77172644089,5.77172644089,5.77172644069,5.77172644069,5.77172644069,5.77172644069,3.90734522944,3.609824912704,5.77172644029,5.77172644029,5.53670843889,4.75249139729,4.56726083375,5.39394000265,5.77172644039,5.58195264889,4.91562424009,5.05581413589,5.77172644039,5.77172644039,4.8906165146,5.7717264399,5.7717264395,5.7717264394,5.77172643944,5.77172643944,5.7717264394,5.77172643997,5.77172643987,5.77172643987,5.77172644009,5.771726440027,5.547129197327,5.77172644007,5.77172644007,4.712412531,5.77172644005,5.77172644005,5.7717264401,2.9225633423,5.7717264405,5.7717264405,5.7717264406,5.77172644048,5.77172644048,5.77172644058,5.7717264405,5.7717264405,5.77172644052,5.77172644053,5.77172644053,5.3884831573,5.7717264404,5.7717264404,5.6147550405,5.7717264402,4.7832567536,2.7338254428,5.7717264399,5.77172644019,5.77172644019,5.19952693309,5.77172644014,5.77172644014,5.77172644014,5.77172644013,5.77172644013,5.77172644016,4.42338572566,5.77172644024,4.8555851545,5.7717264401,5.7717264402,5.77172644021,5.77172644021,5.7717264401,3.6685719825,2.3295274132,1.6141802122
"t18",5.7717264404,0,3.3711356409,3.4724332259,3.4724332259,3.4724332259,2.369171332477,3.472433225777,3.472433225857,2.692031184257,3.472433225877,3.472433225877,3.370483721127,3.472433225827,3.333917339427,3.367752514327,3.130606650867,3.472433225927,4.4230936433,4.4230936433,4.42309364291,4.42309364284,4.42309364284,3.72249135341,4.42309364301,4.42309364291,4.42309364291,4.26679210849,6.97616118519,6.91889005849,7.71093220182,7.71093220182,7.71093220209,7.71093220199,7.71093220199,7.47321268224,7.710932202061,7.710932202061,7.71093220206,8.6366327628,8.6366327626,8.6366327626,8.6366327627,8.6366327627,8.63663276224,8.50935299335,8.6366327622,7.3546726127,6.9772388797,8.34846304009,7.54664014729,8.63663276323,8.63663276323,8.63663276293,8.30839107149,8.63663276279,8.63663276322,8.63663276322,8.636632763235,8.636632763235,8.63663276322,8.63663276329,8.63663276329,8.32842304129,8.63663276329,8.63663276329,8.63663276309,8.63663276309,8.63663276309,8.63663276309,6.77225155184,6.474731235104,8.63663276269,8.63663276269,8.40161476129,7.61739771969,7.43216715615,8.25884632505,8.63663276279,8.44685897129,7.78053056249,7.92072045829,8.63663276279,8.63663276279,7.755522837,8.6366327623,8.6366327619,8.6366327618,8.63663276184,8.63663276184,8.6366327618,8.63663276237,8.63663276227,8.63663276227,8.63663276249,8.636632762427,8.412035519727,8.63663276247,8.63663276247,7.5773188534,8.63663276245,8.63663276245,8.6366327625,8.0257084767,10.8748715749,10.8748715749,10.874871575,10.87487157488,10.87487157488,10.87487157498,10.8748715749,10.8748715749,10.87487157492,10.87487157493,10.87487157493,10.4916282917,10.8748715748,10.8748715748,10.7179001749,10.8748715746,9.886401888,7.8369705772,10.8748715743,10.87487157459,10.87487157459,10.30267206749,10.87487157454,10.87487157454,10.87487157454,10.87487157453,10.87487157453,10.87487157456,9.52653086006,10.87487157464,9.9587302889,10.8748715745,10.8748715746,10.87487157461,10.87487157461,10.8748715745,8.7717171169,7.4326725476,6.7173253466
"t58",5.6704288553,3.3711356409,0,1.1615070114,1.1615070114,1.1615070114,2.019121450177,3.122383343477,3.122383343557,2.341981301957,3.122383343577,3.122383343577,3.020433838827,3.122383343527,2.983867457127,3.017702632027,2.780556768567,3.122383343627,4.3217960582,4.3217960582,4.32179605781,4.32179605774,4.32179605774,3.62119376831,4.32179605791,4.32179605781,4.32179605781,4.16549452339,6.87486360009,6.81759247339,7.60963461672,7.60963461672,7.60963461699,7.60963461689,7.60963461689,7.37191509714,7.609634616961,7.609634616961,7.60963461696,8.5353351777,8.5353351775,8.5353351775,8.5353351776,8.5353351776,8.53533517714,8.40805540825,8.5353351771,7.2533750276,6.8759412946,8.24716545499,7.44534256219,8.53533517813,8.53533517813,8.53533517783,8.20709348639,8.53533517769,8.53533517812,8.53533517812,8.535335178135,8.535335178135,8.53533517812,8.53533517819,8.53533517819,8.22712545619,8.53533517819,8.53533517819,8.53533517799,8.53533517799,8.53533517799,8.53533517799,6.67095396674,6.373433650004,8.53533517759,8.53533517759,8.30031717619,7.51610013459,7.33086957105,8.15754873995,8.53533517769,8.34556138619,7.67923297739,7.81942287319,8.53533517769,8.53533517769,7.6542252519,8.5353351772,8.5353351768,8.5353351767,8.53533517674,8.53533517674,8.5353351767,8.53533517727,8.53533517717,8.53533517717,8.53533517739,8.535335177327,8.310737934627,8.53533517737,8.53533517737,7.4760212683,8.53533517735,8.53533517735,8.5353351774,7.9244108916,10.7735739898,10.7735739898,10.7735739899,10.77357398978,10.77357398978,10.77357398988,10.7735739898,10.7735739898,10.77357398982,10.77357398983,10.77357398983,10.3903307066,10.7735739897,10.7735739897,10.6166025898,10.7735739895,9.7851043029,7.7356729921,10.7735739892,10.77357398949,10.77357398949,10.20137448239,10.77357398944,10.77357398944,10.77357398944,10.77357398943,10.77357398943,10.77357398946,9.42523327496,10.77357398954,9.8574327038,10.7735739894,10.7735739895,10.77357398951,10.77357398951,10.7735739894,8.6704195318,7.3313749625,6.6160277615
"t96",5.7717264403,3.4724332259,1.1615070114,0,0.6290142614,0.6290142614,2.120419035177,3.223680928477,3.223680928557,2.443278886957,3.223680928577,3.223680928577,3.121731423827,3.223680928527,3.085165042127,3.119000217027,2.881854353567,3.223680928627,4.4230936432,4.4230936432,4.42309364281,4.42309364274,4.42309364274,3.72249135331,4.42309364291,4.42309364281,4.42309364281,4.26679210839,6.97616118509,6.91889005839,7.71093220172,7.71093220172,7.71093220199,7.71093220189,7.71093220189,7.47321268214,7.710932201961,7.710932201961,7.71093220196,8.6366327627,8.6366327625,8.6366327625,8.6366327626,8.6366327626,8.63663276214,8.50935299325,8.6366327621,7.3546726126,6.9772388796,8.34846303999,7.54664014719,8.63663276313,8.63663276313,8.63663276283,8.30839107139,8.63663276269,8.63663276312,8.63663276312,8.636632763135,8.636632763135,8.63663276312,8.63663276319,8.63663276319,8.32842304119,8.63663276319,8.63663276319,8.63663276299,8.63663276299,8.63663276299,8.63663276299,6.77225155174,6.474731235004,8.63663276259,8.63663276259,8.40161476119,7.61739771959,7.43216715605,8.25884632495,8.63663276269,8.44685897119,7.78053056239,7.92072045819,8.63663276269,8.63663276269,7.7555228369,8.6366327622,8.6366327618,8.6366327617,8.63663276174,8.63663276174,8.6366327617,8.63663276227,8.63663276217,8.63663276217,8.63663276239,8.636632762327,8.412035519627,8.63663276237,8.63663276237,7.5773188533,8.63663276235,8.63663276235,8.6366327624,8.0257084766,10.8748715748,10.8748715748,10.8748715749,10.87487157478,10.87487157478,10.87487157488,10.8748715748,10.8748715748,10.87487157482,10.87487157483,10.87487157483,10.4916282916,10.8748715747,10.8748715747,10.7179001748,10.8748715745,9.8864018879,7.8369705771,10.8748715742,10.87487157449,10.87487157449,10.30267206739,10.87487157444,10.87487157444,10.87487157444,10.87487157443,10.87487157443,10.87487157446,9.52653085996,10.87487157454,9.9587302888,10.8748715744,10.8748715745,10.87487157451,10.87487157451,10.8748715744,8.7717171168,7.4326725475,6.7173253465
"t112",5.7717264403,3.4724332259,1.1615070114,0.6290142614,0,0.4519373668,2.120419035177,3.223680928477,3.223680928557,2.443278886957,3.223680928577,3.223680928577,3.121731423827,3.223680928527,3.085165042127,3.119000217027,2.881854353567,3.223680928627,4.4230936432,4.4230936432,4.42309364281,4.42309364274,4.42309364274,3.72249135331,4.42309364291,4.42309364281,4.42309364281,4.26679210839,6.97616118509,6.91889005839,7.71093220172,7.71093220172,7.71093220199,7.71093220189,7.71093220189,7.47321268214,7.710932201961,7.710932201961,7.71093220196,8.6366327627,8.6366327625,8.6366327625,8.6366327626,8.6366327626,8.63663276214,8.50935299325,8.6366327621,7.3546726126,6.9772388796,8.34846303999,7.54664014719,8.63663276313,8.63663276313,8.63663276283,8.30839107139,8.63663276269,8.63663276312,8.63663276312,8.636632763135,8.636632763135,8.63663276312,8.63663276319,8.63663276319,8.32842304119,8.63663276319,8.63663276319,8.63663276299,8.63663276299,8.63663276299,8.63663276299,6.77225155174,6.474731235004,8.63663276259,8.63663276259,8.40161476119,7.61739771959,7.43216715605,8.25884632495,8.63663276269,8.44685897119,7.78053056239,7.92072045819,8.63663276269,8.63663276269,7.7555228369,8.6366327622,8.6366327618,8.6366327617,8.63663276174,8.63663276174,8.6366327617,8.63663276227,8.63663276217,8.63663276217,8.63663276239,8.636632762327,8.412035519627,8.63663276237,8.63663276237,7.5773188533,8.63663276235,8.63663276235,8.6366327624,8.0257084766,10.8748715748,10.8748715748,10.8748715749,10.87487157478,10.87487157478,10.87487157488,10.8748715748,10.8748715748,10.87487157482,10.87487157483,10.87487157483,10.4916282916,10.8748715747,10.8748715747,10.7179001748,10.8748715745,9.8864018879,7.8369705771,10.8748715742,10.87487157449,10.87487157449,10.30267206739,10.87487157444,10.87487157444,10.87487157444,10.87487157443,10.87487157443,10.87487157446,9.52653085996,10.87487157454,9.9587302888,10.8748715744,10.8748715745,10.87487157451,10.87487157451,10.8748715744,8.7717171168,7.4326725475,6.7173253465
"t113",5.7717264403,3.4724332259,1.1615070114,0.6290142614,0.4519373668,0,2.120419035177,3.223680928477,3.223680928557,2.443278886957,3.223680928577,3.223680928577,3.121731423827,3.223680928527,3.085165042127,3.119000217027,2.881854353567,3.223680928627,4.4230936432,4.4230936432,4.42309364281,4.42309364274,4.42309364274,3.72249135331,4.42309364291,4.42309364281,4.42309364281,4.26679210839,6.97616118509,6.91889005839,7.71093220172,7.71093220172,7.71093220199,7.71093220189,7.71093220189,7.47321268214,7.710932201961,7.710932201961,7.71093220196,8.6366327627,8.6366327625,8.6366327625,8.6366327626,8.6366327626,8.63663276214,8.50935299325,8.6366327621,7.3546726126,6.9772388796,8.34846303999,7.54664014719,8.63663276313,8.63663276313,8.63663276283,8.30839107139,8.63663276269,8.63663276312,8.63663276312,8.636632763135,8.636632763135,8.63663276312,8.63663276319,8.63663276319,8.32842304119,8.63663276319,8.63663276319,8.63663276299,8.63663276299,8.63663276299,8.63663276299,6.77225155174,6.474731235004,8.63663276259,8.63663276259,8.40161476119,7.61739771959,7.43216715605,8.25884632495,8.63663276269,8.44685897119,7.78053056239,7.92072045819,8.63663276269,8.63663276269,7.7555228369,8.6366327622,8.6366327618,8.6366327617,8.63663276174,8.63663276174,8.6366327617,8.63663276227,8.63663276217,8.63663276217,8.63663276239,8.636632762327,8.412035519627,8.63663276237,8.63663276237,7.5773188533,8.63663276235,8.63663276235,8.6366327624,8.0257084766,10.8748715748,10.8748715748,10.8748715749,10.87487157478,10.87487157478,10.87487157488,10.8748715748,10.8748715748,10.87487157482,10.87487157483,10.87487157483,10.4916282916,10.8748715747,10.8748715747,10.7179001748,10.8748715745,9.8864018879,7.8369705771,10.8748715742,10.87487157449,10.87487157449,10.30267206739,10.87487157444,10.87487157444,10.87487157444,10.87487157443,10.87487157443,10.87487157446,9.52653085996,10.87487157454,9.9587302888,10.8748715744,10.8748715745,10.87487157451,10.87487157451,10.8748715744,8.7717171168,7.4326725475,6.7173253465
"t22",4.668464546877,2.369171332477,2.019121450177,2.120419035177,2.120419035177,2.120419035177,0,2.0564196955,2.05641969558,1.27601765398,2.1099218445,2.1099218445,2.00797233975,2.10992184445,1.97140595805,2.00524113295,1.76809526949,2.10992184455,3.319831749777,3.319831749777,3.319831749387,3.319831749317,3.319831749317,2.619229459887,3.319831749487,3.319831749387,3.319831749387,3.163530214967,5.872899291667,5.815628164967,6.607670308297,6.607670308297,6.607670308567,6.607670308467,6.607670308467,6.369950788717,6.607670308538,6.607670308538,6.607670308537,7.533370869277,7.533370869077,7.533370869077,7.533370869177,7.533370869177,7.533370868717,7.406091099827,7.533370868677,6.251410719177,5.873976986177,7.245201146567,6.443378253767,7.533370869707,7.533370869707,7.533370869407,7.205129177967,7.533370869267,7.533370869697,7.533370869697,7.533370869712,7.533370869712,7.533370869697,7.533370869767,7.533370869767,7.225161147767,7.533370869767,7.533370869767,7.533370869567,7.533370869567,7.533370869567,7.533370869567,5.668989658317,5.371469341581,7.533370869167,7.533370869167,7.298352867767,6.514135826167,6.328905262627,7.155584431527,7.533370869267,7.343597077767,6.677268668967,6.817458564767,7.533370869267,7.533370869267,6.652260943477,7.533370868777,7.533370868377,7.533370868277,7.533370868317,7.533370868317,7.533370868277,7.533370868847,7.533370868747,7.533370868747,7.533370868967,7.533370868904,7.308773626204,7.533370868947,7.533370868947,6.474056959877,7.533370868927,7.533370868927,7.533370868977,6.922446583177,9.771609681377,9.771609681377,9.771609681477,9.771609681357,9.771609681357,9.771609681457,9.771609681377,9.771609681377,9.771609681397,9.771609681407,9.771609681407,9.388366398177,9.771609681277,9.771609681277,9.614638281377,9.771609681077,8.783139994477,6.733708683677,9.771609680777,9.771609681067,9.771609681067,9.199410173967,9.771609681017,9.771609681017,9.771609681017,9.771609681007,9.771609681007,9.771609681037,8.423268966537,9.771609681117,8.855468395377,9.771609680977,9.771609681077,9.771609681087,9.771609681087,9.771609680977,7.668455223377,6.329410654077,5.614063453077
"t35",5.771726440177,3.472433225777,3.122383343477,3.223680928477,3.223680928477,3.223680928477,2.0564196955,0,2.12987726208,1.34947522048,3.2131837378,3.2131837378,3.11123423305,3.21318373775,3.07466785135,3.10850302625,2.87135716279,3.21318373785,4.423093643077,4.423093643077,4.423093642687,4.423093642617,4.423093642617,3.722491353187,4.423093642787,4.423093642687,4.423093642687,4.266792108267,6.976161184967,6.918890058267,7.710932201597,7.710932201597,7.710932201867,7.710932201767,7.710932201767,7.473212682017,7.710932201838,7.710932201838,7.710932201837,8.636632762577,8.636632762377,8.636632762377,8.636632762477,8.636632762477,8.636632762017,8.509352993127,8.636632761977,7.354672612477,6.977238879477,8.348463039867,7.546640147067,8.636632763007,8.636632763007,8.636632762707,8.308391071267,8.636632762567,8.636632762997,8.636632762997,8.636632763012,8.636632763012,8.636632762997,8.636632763067,8.636632763067,8.328423041067,8.636632763067,8.636632763067,8.636632762867,8.636632762867,8.636632762867,8.636632762867,6.772251551617,6.474731234881,8.636632762467,8.636632762467,8.401614761067,7.617397719467,7.432167155927,8.258846324827,8.636632762567,8.446858971067,7.780530562267,7.920720458067,8.636632762567,8.636632762567,7.755522836777,8.636632762077,8.636632761677,8.636632761577,8.636632761617,8.636632761617,8.636632761577,8.636632762147,8.636632762047,8.636632762047,8.636632762267,8.636632762204,8.412035519504,8.636632762247,8.636632762247,7.577318853177,8.636632762227,8.636632762227,8.636632762277,8.025708476477,10.874871574677,10.874871574677,10.874871574777,10.874871574657,10.874871574657,10.874871574757,10.874871574677,10.874871574677,10.874871574697,10.874871574707,10.874871574707,10.491628291477,10.874871574577,10.874871574577,10.717900174677,10.874871574377,9.886401887777,7.836970576977,10.874871574077,10.874871574367,10.874871574367,10.302672067267,10.874871574317,10.874871574317,10.874871574317,10.874871574307,10.874871574307,10.874871574337,9.526530859837,10.874871574417,9.958730288677,10.874871574277,10.874871574377,10.874871574387,10.874871574387,10.874871574277,8.771717116677,7.432672547377,6.717325346377
"t43",5.771726440257,3.472433225857,3.122383343557,3.223680928557,3.223680928557,3.223680928557,2.05641969558,2.12987726208,0,1.1751896582,3.21318373788,3.21318373788,3.11123423313,3.21318373783,3.07466785143,3.10850302633,2.87135716287,3.21318373793,4.423093643157,4.423093643157,4.423093642767,4.423093642697,4.423093642697,3.722491353267,4.423093642867,4.423093642767,4.423093642767,4.266792108347,6.976161185047,6.918890058347,7.710932201677,7.710932201677,7.710932201947,7.710932201847,7.710932201847,7.473212682097,7.710932201918,7.710932201918,7.710932201917,8.636632762657,8.636632762457,8.636632762457,8.636632762557,8.636632762557,8.636632762097,8.509352993207,8.636632762057,7.354672612557,6.977238879557,8.348463039947,7.546640147147,8.636632763087,8.636632763087,8.636632762787,8.308391071347,8.636632762647,8.636632763077,8.636632763077,8.636632763092,8.636632763092,8.636632763077,8.636632763147,8.636632763147,8.328423041147,8.636632763147,8.636632763147,8.636632762947,8.636632762947,8.636632762947,8.636632762947,6.772251551697,6.474731234961,8.636632762547,8.636632762547,8.401614761147,7.617397719547,7.432167156007,8.258846324907,8.636632762647,8.446858971147,7.780530562347,7.920720458147,8.636632762647,8.636632762647,7.755522836857,8.636632762157,8.636632761757,8.636632761657,8.636632761697,8.636632761697,8.636632761657,8.636632762227,8.636632762127,8.636632762127,8.636632762347,8.636632762284,8.412035519584,8.636632762327,8.636632762327,7.577318853257,8.636632762307,8.636632762307,8.636632762357,8.025708476557,10.874871574757,10.874871574757,10.874871574857,10.874871574737,10.874871574737,10.874871574837,10.874871574757,10.874871574757,10.874871574777,10.874871574787,10.874871574787,10.491628291557,10.874871574657,10.874871574657,10.717900174757,10.874871574457,9.886401887857,7.836970577057,10.874871574157,10.874871574447,10.874871574447,10.302672067347,10.874871574397,10.874871574397,10.874871574397,10.874871574387,10.874871574387,10.874871574417,9.526530859917,10.874871574497,9.958730288757,10.874871574357,10.874871574457,10.874871574467,10.874871574467,10.874871574357,8.771717116757,7.432672547457,6.717325346457
"t44",4.991324398657,2.692031184257,2.341981301957,2.443278886957,2.443278886957,2.443278886957,1.27601765398,1.34947522048,1.1751896582,0,2.43278169628,2.43278169628,2.33083219153,2.43278169623,2.29426580983,2.32810098473,2.09095512127,2.43278169633,3.642691601557,3.642691601557,3.642691601167,3.642691601097,3.642691601097,2.942089311667,3.642691601267,3.642691601167,3.642691601167,3.486390066747,6.195759143447,6.138488016747,6.930530160077,6.930530160077,6.930530160347,6.930530160247,6.930530160247,6.692810640497,6.930530160318,6.930530160318,6.930530160317,7.856230721057,7.856230720857,7.856230720857,7.856230720957,7.856230720957,7.856230720497,7.728950951607,7.856230720457,6.574270570957,6.196836837957,7.568060998347,6.766238105547,7.856230721487,7.856230721487,7.856230721187,7.527989029747,7.856230721047,7.856230721477,7.856230721477,7.856230721492,7.856230721492,7.856230721477,7.856230721547,7.856230721547,7.548020999547,7.856230721547,7.856230721547,7.856230721347,7.856230721347,7.856230721347,7.856230721347,5.991849510097,5.694329193361,7.856230720947,7.856230720947,7.621212719547,6.836995677947,6.651765114407,7.478444283307,7.856230721047,7.666456929547,7.000128520747,7.140318416547,7.856230721047,7.856230721047,6.975120795257,7.856230720557,7.856230720157,7.856230720057,7.856230720097,7.856230720097,7.856230720057,7.856230720627,7.856230720527,7.856230720527,7.856230720747,7.856230720684,7.631633477984,7.856230720727,7.856230720727,6.796916811657,7.856230720707,7.856230720707,7.856230720757,7.245306434957,10.094469533157,10.094469533157,10.094469533257,10.094469533137,10.094469533137,10.094469533237,10.094469533157,10.094469533157,10.094469533177,10.094469533187,10.094469533187,9.711226249957,10.094469533057,10.094469533057,9.937498133157,10.094469532857,9.105999846257,7.056568535457,10.094469532557,10.094469532847,10.094469532847,9.522270025747,10.094469532797,10.094469532797,10.094469532797,10.094469532787,10.094469532787,10.094469532817,8.746128818317,10.094469532897,9.178328247157,10.094469532757,10.094469532857,10.094469532867,10.094469532867,10.094469532757,7.991315075157,6.652270505857,5.936923304857
