"accepted_species","traits"
"t2",0
"t5",0
"t6",0
"t7",1
"t8",0
"t9",1
"t10",0
"t12",0
"t13",0
"t14",1
"t16",0
"t17",1
"t19",0
"t20",0
"t21",0
"t22",1
"t23",0
"t26",1
"t27",NA
"t28",NA
"t29",1
"t30",1
"t31",0
"t32",1
"t33",1
"t34",1
"t35",0
"t38",0
"t39",1
"t41",1
"t42",1
"t43",1
"t44",NA
"t46",1
"t47",1
"t48",0
"t49",0
"t50",1
"t51",1
"t52",1
"t53",0
"t54",1
"t55",1
"t57",NA
"t58",NA
"t59",1
"t60",1
"t62",1
"t63",1
"t64",1
"t65",1
"t67",NA
"t68",1
"t69",0
"t70",0
"t71",1
"t72",1
"t73",0
"t74",1
"t75",1
"t76",1
"t77",1
"t78",0
"t79",0
"t80",1
"t81",1
"t82",1
"t83",0
"t84",NA
"t85",NA
"t86",1
"t87",0
"t88",1
"t89",1
"t90",1
"t91",1
"t92",1
"t93",1
"t94",1
"t95",1
"t96",1
"t97",0
"t98",0
"t99",1
"t100",1
"t101",1
"t102",1
"t103",1
"t104",1
"t105",1
"t106",1
"t107",1
"t108",1
"t109",1
"t110",1
"t111",1
"t112",NA
"t113",NA
"t114",1
"t115",1
