"","t4","t82","t83","t132","t133","t66","t67","t47","t8","t92","t93","t73","t38","t130","t131","t89","t111","t112","t40","t41","t24","t55","t122","t123","t12","t64","t65","t80","t81","t72","t39","t56","t57","t94","t99","t100","t109","t110","t84","t85","t62","t36","t37","t2","t5","t6","t20","t25","t26","t134","t135","t128","t129","t52","t33","t31","t101","t102","t105","t106","t79","t68","t10","t11","t53","t54","t113","t114","t32","t58","t59","t51","t107","t108","t88","t124","t125","t69","t103","t104","t48","t95","t96","t76","t77","t34","t86","t87","t7","t90","t91","t27","t28","t19","t78","t98","t126","t127","t97","t120","t121","t63","t14","t15","t23","t74","t75","t115","t116","t117","t44","t29","t30","t22","t13","t61","t70","t71","t60","t9","t42","t43","t35","t18","t118","t119","t21","t49","t50","t45","t46","t16","t17","t3","t1"
"t4",0,4.5004029153,4.5004029153,4.500402914992,4.500402914992,4.5004029148,4.5004029148,4.1651694439,2.2910618435,5.3002002958,5.3065508364,5.3065508365,5.3065508367,5.30655083673,5.30655083673,5.3065508367,5.3065508367,5.3065508367,5.3065508371,5.3065508371,5.543148383228,4.936295249628,5.543148382758,5.543148382758,4.737210720228,5.5431483834,5.5431483834,5.54314838293,5.54314838293,5.54314838293,5.45784701663,5.54314838297,5.23545700637,5.54314838302,5.543148383,5.543148383,5.54314838303,5.54314838303,5.5431483831,5.5431483831,5.543148383,4.8418622236,4.7087363879,2.7968125396,3.99976226088,3.45358364782,6.28281025678,6.28281025638,6.28281025638,6.282810256829,6.282810256829,6.28281025683,6.28281025683,5.483271466869,5.16696603737,6.282810256626,6.282810256926,6.282810256926,6.28281025668,6.28281025668,6.28281025658,6.28281025668,6.28281025638,5.13839103138,6.28281025668,6.28281025668,6.28281025668,6.28281025668,6.28281025641,6.28281025661,5.96999408231,6.23207780071,6.28281025669,6.28281025669,6.28281025671,6.2828102566,6.2828102566,6.28281025658,6.28281025658,6.28281025658,6.28281025668,6.28281025668,6.28281025668,6.2828102569,6.2828102569,6.2828102572,6.2828102567,6.2828102567,3.97806516578,6.2828102564,6.2828102564,6.3701647749,7.0806288572,5.57837631278,7.0806288571,7.0806288571,7.08062885713,7.08062885713,7.0806288572,7.0806288572,7.0806288572,7.0806288572,7.0806288569,5.28914583961,6.23048098904,7.08062885729,7.08062885729,7.08062885724,7.080628857231,7.080628857231,7.08062885724,5.91497097113,6.13654023004,6.49809915104,5.0470531339,7.08062885681,7.08062885691,7.08062885691,7.0806288568,7.0806288572,7.0806288571,6.424955073,6.7472677148,7.0806288573,7.0806288571,7.0806288571,7.0806288576,7.0806288571,7.0806288571,7.0424571274,6.7225118755,5.9056858729,5.8394105947,3.78390575475,5.6505483481
"t82",4.5004029153,0,0.589658854,4.523243639692,4.523243639692,4.5232436395,4.5232436395,4.1880101686,3.3352442658,7.3907480291,7.3970985697,7.3970985698,7.39709857,7.39709857003,7.39709857003,7.39709857,7.39709857,7.39709857,7.3970985704,7.3970985704,7.633696116528,7.026842982928,7.633696116058,7.633696116058,6.827758453528,7.6336961167,7.6336961167,7.63369611623,7.63369611623,7.63369611623,7.54839474993,7.63369611627,7.32600473967,7.63369611632,7.6336961163,7.6336961163,7.63369611633,7.63369611633,7.6336961164,7.6336961164,7.6336961163,6.9324099569,6.7992841212,4.8873602729,6.09030999418,5.54413138112,8.37335799008,8.37335798968,8.37335798968,8.373357990129,8.373357990129,8.37335799013,8.37335799013,7.573819200169,7.25751377067,8.373357989926,8.373357990226,8.373357990226,8.37335798998,8.37335798998,8.37335798988,8.37335798998,8.37335798968,7.22893876468,8.37335798998,8.37335798998,8.37335798998,8.37335798998,8.37335798971,8.37335798991,8.06054181561,8.32262553401,8.37335798999,8.37335798999,8.37335799001,8.3733579899,8.3733579899,8.37335798988,8.37335798988,8.37335798988,8.37335798998,8.37335798998,8.37335798998,8.3733579902,8.3733579902,8.3733579905,8.37335799,8.37335799,6.06861289908,8.3733579897,8.3733579897,8.4607125082,9.1711765905,7.66892404608,9.1711765904,9.1711765904,9.17117659043,9.17117659043,9.1711765905,9.1711765905,9.1711765905,9.1711765905,9.1711765902,7.37969357291,8.32102872234,9.17117659059,9.17117659059,9.17117659054,9.171176590531,9.171176590531,9.17117659054,8.00551870443,8.22708796334,8.58864688434,7.1376008672,9.17117659011,9.17117659021,9.17117659021,9.1711765901,9.1711765905,9.1711765904,8.5155028063,8.8378154481,9.1711765906,9.1711765904,9.1711765904,9.1711765909,9.1711765904,9.1711765904,9.1330048607,8.8130596088,7.9962336062,7.929958328,5.87445348805,7.7410960814
"t83",4.5004029153,0.589658854,0,4.523243639692,4.523243639692,4.5232436395,4.5232436395,4.1880101686,3.3352442658,7.3907480291,7.3970985697,7.3970985698,7.39709857,7.39709857003,7.39709857003,7.39709857,7.39709857,7.39709857,7.3970985704,7.3970985704,7.633696116528,7.026842982928,7.633696116058,7.633696116058,6.827758453528,7.6336961167,7.6336961167,7.63369611623,7.63369611623,7.63369611623,7.54839474993,7.63369611627,7.32600473967,7.63369611632,7.6336961163,7.6336961163,7.63369611633,7.63369611633,7.6336961164,7.6336961164,7.6336961163,6.9324099569,6.7992841212,4.8873602729,6.09030999418,5.54413138112,8.37335799008,8.37335798968,8.37335798968,8.373357990129,8.373357990129,8.37335799013,8.37335799013,7.573819200169,7.25751377067,8.373357989926,8.373357990226,8.373357990226,8.37335798998,8.37335798998,8.37335798988,8.37335798998,8.37335798968,7.22893876468,8.37335798998,8.37335798998,8.37335798998,8.37335798998,8.37335798971,8.37335798991,8.06054181561,8.32262553401,8.37335798999,8.37335798999,8.37335799001,8.3733579899,8.3733579899,8.37335798988,8.37335798988,8.37335798988,8.37335798998,8.37335798998,8.37335798998,8.3733579902,8.3733579902,8.3733579905,8.37335799,8.37335799,6.06861289908,8.3733579897,8.3733579897,8.4607125082,9.1711765905,7.66892404608,9.1711765904,9.1711765904,9.17117659043,9.17117659043,9.1711765905,9.1711765905,9.1711765905,9.1711765905,9.1711765902,7.37969357291,8.32102872234,9.17117659059,9.17117659059,9.17117659054,9.171176590531,9.171176590531,9.17117659054,8.00551870443,8.22708796334,8.58864688434,7.1376008672,9.17117659011,9.17117659021,9.17117659021,9.1711765901,9.1711765905,9.1711765904,8.5155028063,8.8378154481,9.1711765906,9.1711765904,9.1711765904,9.1711765909,9.1711765904,9.1711765904,9.1330048607,8.8130596088,7.9962336062,7.929958328,5.87445348805,7.7410960814
"t132",4.500402914992,4.523243639692,4.523243639692,0,0.004546517184,3.870533896992,3.870533896992,3.535300426092,3.335244265492,7.390748028792,7.397098569392,7.397098569492,7.397098569692,7.397098569722,7.397098569722,7.397098569692,7.397098569692,7.397098569692,7.397098570092,7.397098570092,7.63369611622,7.02684298262,7.63369611575,7.63369611575,6.82775845322,7.633696116392,7.633696116392,7.633696115922,7.633696115922,7.633696115922,7.548394749622,7.633696115962,7.326004739362,7.633696116012,7.633696115992,7.633696115992,7.633696116022,7.633696116022,7.633696116092,7.633696116092,7.633696115992,6.932409956592,6.799284120892,4.887360272592,6.090309993872,5.544131380812,8.373357989772,8.373357989372,8.373357989372,8.373357989821,8.373357989821,8.373357989822,8.373357989822,7.573819199861,7.257513770362,8.373357989618,8.373357989918,8.373357989918,8.373357989672,8.373357989672,8.373357989572,8.373357989672,8.373357989372,7.228938764372,8.373357989672,8.373357989672,8.373357989672,8.373357989672,8.373357989402,8.373357989602,8.060541815302,8.322625533702,8.373357989682,8.373357989682,8.373357989702,8.373357989592,8.373357989592,8.373357989572,8.373357989572,8.373357989572,8.373357989672,8.373357989672,8.373357989672,8.373357989892,8.373357989892,8.373357990192,8.373357989692,8.373357989692,6.068612898772,8.373357989392,8.373357989392,8.460712507892,9.171176590192,7.668924045772,9.171176590092,9.171176590092,9.171176590122,9.171176590122,9.171176590192,9.171176590192,9.171176590192,9.171176590192,9.171176589892,7.379693572602,8.321028722032,9.171176590282,9.171176590282,9.171176590232,9.171176590223,9.171176590223,9.171176590232,8.005518704122,8.227087963032,8.588646884032,7.137600866892,9.171176589802,9.171176589902,9.171176589902,9.171176589792,9.171176590192,9.171176590092,8.515502805992,8.837815447792,9.171176590292,9.171176590092,9.171176590092,9.171176590592,9.171176590092,9.171176590092,9.133004860392,8.813059608492,7.996233605892,7.929958327692,5.874453487742,7.741096081092
"t133",4.500402914992,4.523243639692,4.523243639692,0.004546517184,0,3.870533896992,3.870533896992,3.535300426092,3.335244265492,7.390748028792,7.397098569392,7.397098569492,7.397098569692,7.397098569722,7.397098569722,7.397098569692,7.397098569692,7.397098569692,7.397098570092,7.397098570092,7.63369611622,7.02684298262,7.63369611575,7.63369611575,6.82775845322,7.633696116392,7.633696116392,7.633696115922,7.633696115922,7.633696115922,7.548394749622,7.633696115962,7.326004739362,7.633696116012,7.633696115992,7.633696115992,7.633696116022,7.633696116022,7.633696116092,7.633696116092,7.633696115992,6.932409956592,6.799284120892,4.887360272592,6.090309993872,5.544131380812,8.373357989772,8.373357989372,8.373357989372,8.373357989821,8.373357989821,8.373357989822,8.373357989822,7.573819199861,7.257513770362,8.373357989618,8.373357989918,8.373357989918,8.373357989672,8.373357989672,8.373357989572,8.373357989672,8.373357989372,7.228938764372,8.373357989672,8.373357989672,8.373357989672,8.373357989672,8.373357989402,8.373357989602,8.060541815302,8.322625533702,8.373357989682,8.373357989682,8.373357989702,8.373357989592,8.373357989592,8.373357989572,8.373357989572,8.373357989572,8.373357989672,8.373357989672,8.373357989672,8.373357989892,8.373357989892,8.373357990192,8.373357989692,8.373357989692,6.068612898772,8.373357989392,8.373357989392,8.460712507892,9.171176590192,7.668924045772,9.171176590092,9.171176590092,9.171176590122,9.171176590122,9.171176590192,9.171176590192,9.171176590192,9.171176590192,9.171176589892,7.379693572602,8.321028722032,9.171176590282,9.171176590282,9.171176590232,9.171176590223,9.171176590223,9.171176590232,8.005518704122,8.227087963032,8.588646884032,7.137600866892,9.171176589802,9.171176589902,9.171176589902,9.171176589792,9.171176590192,9.171176590092,8.515502805992,8.837815447792,9.171176590292,9.171176590092,9.171176590092,9.171176590592,9.171176590092,9.171176590092,9.133004860392,8.813059608492,7.996233605892,7.929958327692,5.874453487742,7.741096081092
"t66",4.5004029148,4.5232436395,4.5232436395,3.870533896992,3.870533896992,0,0.9887685508,1.3146345519,3.3352442653,7.3907480286,7.3970985692,7.3970985693,7.3970985695,7.39709856953,7.39709856953,7.3970985695,7.3970985695,7.3970985695,7.3970985699,7.3970985699,7.633696116028,7.026842982428,7.633696115558,7.633696115558,6.827758453028,7.6336961162,7.6336961162,7.63369611573,7.63369611573,7.63369611573,7.54839474943,7.63369611577,7.32600473917,7.63369611582,7.6336961158,7.6336961158,7.63369611583,7.63369611583,7.6336961159,7.6336961159,7.6336961158,6.9324099564,6.7992841207,4.8873602724,6.09030999368,5.54413138062,8.37335798958,8.37335798918,8.37335798918,8.373357989629,8.373357989629,8.37335798963,8.37335798963,7.573819199669,7.25751377017,8.373357989426,8.373357989726,8.373357989726,8.37335798948,8.37335798948,8.37335798938,8.37335798948,8.37335798918,7.22893876418,8.37335798948,8.37335798948,8.37335798948,8.37335798948,8.37335798921,8.37335798941,8.06054181511,8.32262553351,8.37335798949,8.37335798949,8.37335798951,8.3733579894,8.3733579894,8.37335798938,8.37335798938,8.37335798938,8.37335798948,8.37335798948,8.37335798948,8.3733579897,8.3733579897,8.37335799,8.3733579895,8.3733579895,6.06861289858,8.3733579892,8.3733579892,8.4607125077,9.17117659,7.66892404558,9.1711765899,9.1711765899,9.17117658993,9.17117658993,9.17117659,9.17117659,9.17117659,9.17117659,9.1711765897,7.37969357241,8.32102872184,9.17117659009,9.17117659009,9.17117659004,9.171176590031,9.171176590031,9.17117659004,8.00551870393,8.22708796284,8.58864688384,7.1376008667,9.17117658961,9.17117658971,9.17117658971,9.1711765896,9.17117659,9.1711765899,8.5155028058,8.8378154476,9.1711765901,9.1711765899,9.1711765899,9.1711765904,9.1711765899,9.1711765899,9.1330048602,8.8130596083,7.9962336057,7.9299583275,5.87445348755,7.7410960809
"t67",4.5004029148,4.5232436395,4.5232436395,3.870533896992,3.870533896992,0.9887685508,0,1.3146345519,3.3352442653,7.3907480286,7.3970985692,7.3970985693,7.3970985695,7.39709856953,7.39709856953,7.3970985695,7.3970985695,7.3970985695,7.3970985699,7.3970985699,7.633696116028,7.026842982428,7.633696115558,7.633696115558,6.827758453028,7.6336961162,7.6336961162,7.63369611573,7.63369611573,7.63369611573,7.54839474943,7.63369611577,7.32600473917,7.63369611582,7.6336961158,7.6336961158,7.63369611583,7.63369611583,7.6336961159,7.6336961159,7.6336961158,6.9324099564,6.7992841207,4.8873602724,6.09030999368,5.54413138062,8.37335798958,8.37335798918,8.37335798918,8.373357989629,8.373357989629,8.37335798963,8.37335798963,7.573819199669,7.25751377017,8.373357989426,8.373357989726,8.373357989726,8.37335798948,8.37335798948,8.37335798938,8.37335798948,8.37335798918,7.22893876418,8.37335798948,8.37335798948,8.37335798948,8.37335798948,8.37335798921,8.37335798941,8.06054181511,8.32262553351,8.37335798949,8.37335798949,8.37335798951,8.3733579894,8.3733579894,8.37335798938,8.37335798938,8.37335798938,8.37335798948,8.37335798948,8.37335798948,8.3733579897,8.3733579897,8.37335799,8.3733579895,8.3733579895,6.06861289858,8.3733579892,8.3733579892,8.4607125077,9.17117659,7.66892404558,9.1711765899,9.1711765899,9.17117658993,9.17117658993,9.17117659,9.17117659,9.17117659,9.17117659,9.1711765897,7.37969357241,8.32102872184,9.17117659009,9.17117659009,9.17117659004,9.171176590031,9.171176590031,9.17117659004,8.00551870393,8.22708796284,8.58864688384,7.1376008667,9.17117658961,9.17117658971,9.17117658971,9.1711765896,9.17117659,9.1711765899,8.5155028058,8.8378154476,9.1711765901,9.1711765899,9.1711765899,9.1711765904,9.1711765899,9.1711765899,9.1330048602,8.8130596083,7.9962336057,7.9299583275,5.87445348755,7.7410960809
"t47",4.1651694439,4.1880101686,4.1880101686,3.535300426092,3.535300426092,1.3146345519,1.3146345519,0,3.0000107944,7.0555145577,7.0618650983,7.0618650984,7.0618650986,7.06186509863,7.06186509863,7.0618650986,7.0618650986,7.0618650986,7.061865099,7.061865099,7.298462645128,6.691609511528,7.298462644658,7.298462644658,6.492524982128,7.2984626453,7.2984626453,7.29846264483,7.29846264483,7.29846264483,7.21316127853,7.29846264487,6.99077126827,7.29846264492,7.2984626449,7.2984626449,7.29846264493,7.29846264493,7.298462645,7.298462645,7.2984626449,6.5971764855,6.4640506498,4.5521268015,5.75507652278,5.20889790972,8.03812451868,8.03812451828,8.03812451828,8.038124518729,8.038124518729,8.03812451873,8.03812451873,7.238585728769,6.92228029927,8.038124518526,8.038124518826,8.038124518826,8.03812451858,8.03812451858,8.03812451848,8.03812451858,8.03812451828,6.89370529328,8.03812451858,8.03812451858,8.03812451858,8.03812451858,8.03812451831,8.03812451851,7.72530834421,7.98739206261,8.03812451859,8.03812451859,8.03812451861,8.0381245185,8.0381245185,8.03812451848,8.03812451848,8.03812451848,8.03812451858,8.03812451858,8.03812451858,8.0381245188,8.0381245188,8.0381245191,8.0381245186,8.0381245186,5.73337942768,8.0381245183,8.0381245183,8.1254790368,8.8359431191,7.33369057468,8.835943119,8.835943119,8.83594311903,8.83594311903,8.8359431191,8.8359431191,8.8359431191,8.8359431191,8.8359431188,7.04446010151,7.98579525094,8.83594311919,8.83594311919,8.83594311914,8.835943119131,8.835943119131,8.83594311914,7.67028523303,7.89185449194,8.25341341294,6.8023673958,8.83594311871,8.83594311881,8.83594311881,8.8359431187,8.8359431191,8.835943119,8.1802693349,8.5025819767,8.8359431192,8.835943119,8.835943119,8.8359431195,8.835943119,8.835943119,8.7977713893,8.4778261374,7.6610001348,7.5947248566,5.53922001665,7.40586261
"t8",2.2910618435,3.3352442658,3.3352442658,3.335244265492,3.335244265492,3.3352442653,3.3352442653,3.0000107944,0,5.1814069573,5.1877574979,5.187757498,5.1877574982,5.18775749823,5.18775749823,5.1877574982,5.1877574982,5.1877574982,5.1877574986,5.1877574986,5.424355044728,4.817501911128,5.424355044258,5.424355044258,4.618417381728,5.4243550449,5.4243550449,5.42435504443,5.42435504443,5.42435504443,5.33905367813,5.42435504447,5.11666366787,5.42435504452,5.4243550445,5.4243550445,5.42435504453,5.42435504453,5.4243550446,5.4243550446,5.4243550445,4.7230688851,4.5899430494,2.6780192011,3.88096892238,3.33479030932,6.16401691828,6.16401691788,6.16401691788,6.164016918329,6.164016918329,6.16401691833,6.16401691833,5.364478128369,5.04817269887,6.164016918126,6.164016918426,6.164016918426,6.16401691818,6.16401691818,6.16401691808,6.16401691818,6.16401691788,5.01959769288,6.16401691818,6.16401691818,6.16401691818,6.16401691818,6.16401691791,6.16401691811,5.85120074381,6.11328446221,6.16401691819,6.16401691819,6.16401691821,6.1640169181,6.1640169181,6.16401691808,6.16401691808,6.16401691808,6.16401691818,6.16401691818,6.16401691818,6.1640169184,6.1640169184,6.1640169187,6.1640169182,6.1640169182,3.85927182728,6.1640169179,6.1640169179,6.2513714364,6.9618355187,5.45958297428,6.9618355186,6.9618355186,6.96183551863,6.96183551863,6.9618355187,6.9618355187,6.9618355187,6.9618355187,6.9618355184,5.17035250111,6.11168765054,6.96183551879,6.96183551879,6.96183551874,6.961835518731,6.961835518731,6.96183551874,5.79617763263,6.01774689154,6.37930581254,4.9282597954,6.96183551831,6.96183551841,6.96183551841,6.9618355183,6.9618355187,6.9618355186,6.3061617345,6.6284743763,6.9618355188,6.9618355186,6.9618355186,6.9618355191,6.9618355186,6.9618355186,6.9236637889,6.603718537,5.7868925344,5.7206172562,3.66511241625,5.5317550096
"t92",5.3002002958,7.3907480291,7.3907480291,7.390748028792,7.390748028792,7.3907480286,7.3907480286,7.0555145577,5.1814069573,0,0.5144402496,0.8640214569,4.8082198631,4.80821986313,4.80821986313,4.8082198631,4.8082198631,4.8082198631,4.8082198635,4.8082198635,7.627345575628,7.020492442028,7.627345575158,7.627345575158,6.821407912628,7.6273455758,7.6273455758,7.62734557533,7.62734557533,7.62734557533,7.54204420903,7.62734557537,7.31965419877,7.62734557542,7.6273455754,7.6273455754,7.62734557543,7.62734557543,7.6273455755,7.6273455755,7.6273455754,6.926059416,6.7929335803,4.881009732,6.08395945328,5.53778084022,8.36700744918,8.36700744878,8.36700744878,8.367007449229,8.367007449229,8.36700744923,8.36700744923,7.567468659269,7.25116322977,8.367007449026,8.367007449326,8.367007449326,8.36700744908,8.36700744908,8.36700744898,8.36700744908,8.36700744878,7.22258822378,8.36700744908,8.36700744908,8.36700744908,8.36700744908,8.36700744881,8.36700744901,8.05419127471,8.31627499311,8.36700744909,8.36700744909,8.36700744911,8.367007449,8.367007449,8.36700744898,8.36700744898,8.36700744898,8.36700744908,8.36700744908,8.36700744908,8.3670074493,8.3670074493,8.3670074496,8.3670074491,8.3670074491,6.06226235818,8.3670074488,8.3670074488,8.4543619673,9.1648260496,7.66257350518,9.1648260495,9.1648260495,9.16482604953,9.16482604953,9.1648260496,9.1648260496,9.1648260496,9.1648260496,9.1648260493,7.37334303201,8.31467818144,9.16482604969,9.16482604969,9.16482604964,9.164826049631,9.164826049631,9.16482604964,7.99916816353,8.22073742244,8.58229634344,7.1312503263,9.16482604921,9.16482604931,9.16482604931,9.1648260492,9.1648260496,9.1648260495,8.5091522654,8.8314649072,9.1648260497,9.1648260495,9.1648260495,9.16482605,9.1648260495,9.1648260495,9.1266543198,8.8067090679,7.9898830653,7.9236077871,5.86810294715,7.7347455405
