,0,1,2,3,4,5,6,7,8,9,10,11,12
t4,3.1088064,10.104706,4.5817623,5.871845,5.762299,5.3928585,2.1728656,6.084343,2.3867128,4.2244287,5.182771,4.519161,5.82572
t82,-3.334046,-1.4970329,-0.0403666,7.2438917,1.9671928,9.051584,2.930972,5.01953,-0.5189604,7.978991,1.7080884,3.9397314,3.4887788
t83,-3.3282986,-1.4760603,0.057414874,7.262921,2.0129254,9.047427,3.051373,5.0623074,-0.5734606,7.986025,1.7793545,4.0850005,3.3583302
t132,-3.3546634,-1.5113356,-0.013979278,7.3062315,2.0158734,8.963249,3.089954,4.977601,-0.6641619,7.9118795,1.7966807,4.0142703,3.3030226
t133,-3.4270635,-1.599017,-0.055695374,7.3570576,1.9239526,8.958995,3.0079117,4.9600377,-0.6154705,7.9306784,1.710544,3.978346,3.3851724
t66,-3.3882585,-1.5534225,-0.106019,7.3558702,1.999814,8.897369,3.1046386,4.9133344,-0.67992145,7.941812,1.7612544,3.897683,3.2805953
t67,-3.2732418,-1.4371828,-0.06322765,7.1788707,1.9803519,9.077234,3.0539722,5.0779743,-0.60130316,7.8716288,1.7652441,3.894706,3.3254075
t47,-3.293017,-1.4757679,-0.1376159,7.251525,1.9949726,9.008454,3.0569413,4.9960055,-0.65242267,7.7835097,1.7833074,3.8681448,3.3383
t8,3.0220342,10.108089,4.5279975,5.972455,5.84611,5.3533754,2.0988405,6.0220475,2.3540344,4.1582146,5.138442,4.4704356,5.78001
t92,-3.5412645,-1.6789416,0.2363004,7.38664,1.7558662,9.061562,2.772307,5.1050277,-0.42800665,8.096348,1.6199445,4.4114876,3.61644
t93,-3.5854712,-1.7283262,0.18204512,7.4375134,1.7188696,9.0092,2.7360864,5.053195,-0.45937133,8.092366,1.5820302,4.3900466,3.6187274
t73,-3.665882,-1.7241355,0.19235635,7.505805,1.7167015,9.031096,2.6695826,5.0812182,-0.39320478,8.180258,1.5140133,4.4557176,3.6829143
t38,-3.826643,-1.6979692,0.37332904,7.627405,1.6601307,9.120194,2.579685,5.239412,-0.20925228,8.363061,1.47318,4.634347,3.8519704
t130,-3.6807296,-1.7839302,0.36890906,7.4833064,1.5574707,9.099998,2.4862075,5.172198,-0.37879154,8.19064,1.3849097,4.6813617,3.715003
t131,-3.7307906,-1.7336138,0.29614633,7.4964275,1.4986248,9.07284,2.461015,5.1562943,-0.37551886,8.239967,1.3264054,4.7192054,3.713292
t89,-3.7458146,-1.7301283,0.42854047,7.5367503,1.5637552,9.172771,2.5144033,5.2644606,-0.25107756,8.314444,1.435292,4.7117085,3.8322911
t111,-3.766975,-1.7884537,0.40872234,7.5541277,1.5388297,9.100108,2.5013342,5.20904,-0.2671003,8.2914,1.4136298,4.68706,3.8170443
t112,-3.8038225,-1.7675804,0.4366689,7.587563,1.5791332,9.145936,2.4781244,5.2439837,-0.24813057,8.3270645,1.4041599,4.735134,3.8355033
t40,-3.7621787,-1.7662121,0.3154723,7.577588,1.6815804,9.030655,2.632404,5.128523,-0.30763233,8.254605,1.5217795,4.531365,3.7602077
t41,-3.6699548,-1.757476,0.3124774,7.4871063,1.6592001,9.060662,2.626859,5.1295013,-0.37315252,8.186438,1.507485,4.54218,3.6963837
t24,4.053521,5.7134714,4.445156,3.6117177,5.8113694,7.1661577,5.6124864,5.213662,0.36636376,4.003913,7.30755,6.2435913,4.152941
t55,4.192724,5.861534,4.4190736,3.6948693,5.8361807,7.146042,5.555176,5.241989,0.42728934,3.9577396,7.236616,6.25309,4.298277
t122,4.068604,5.6595674,4.4653673,3.533596,5.768795,7.2153096,5.6698813,5.253984,0.30954397,3.9904902,7.351668,6.2450504,4.1096525
t123,4.091792,5.777903,4.52481,3.653784,5.8103447,7.2204733,5.599579,5.2577047,0.3764891,4.0271535,7.251972,6.1593018,4.150818
t12,4.2620316,6.007499,4.4773297,3.8673794,5.862572,7.169058,5.4898586,5.2521014,0.5108081,3.989669,7.083594,6.181671,4.412354
t64,4.133999,5.7149677,4.533824,3.5660427,5.8533697,7.349012,5.777301,5.289248,0.2654136,3.8765929,7.2439175,6.238411,4.2283163
t65,4.1015115,5.7262955,4.5154424,3.6141582,5.892976,7.3227034,5.7619724,5.247852,0.2788512,3.8887753,7.209118,6.2501664,4.2428045
t80,4.2769303,5.734546,4.18877,3.5074985,5.8344774,7.515764,5.86419,5.296258,0.12000426,3.7062688,7.4395204,6.381417,4.360365
t81,4.314211,5.694616,4.2203383,3.5129123,5.8639627,7.5837016,5.91739,5.3066273,0.072266884,3.6428733,7.4008894,6.3635993,4.373432
t72,4.324876,5.747765,4.209679,3.4525812,5.7686357,7.4751577,5.83811,5.31464,0.16218735,3.70787,7.4018655,6.4032316,4.3262205
t39,4.5299773,5.6559105,4.0134487,3.417406,5.754283,7.661539,6.071869,5.3388996,0.0035499835,3.488792,7.43658,6.562973,4.5401855
t56,4.5798984,5.6542163,3.9493585,3.4027684,5.7460732,7.700256,6.1062083,5.3540015,-0.021880044,3.43475,7.4558845,6.6159315,4.585086
t57,4.543185,5.699095,4.041016,3.469293,5.8437543,7.630819,6.0929756,5.305904,-0.010210216,3.3885217,7.3592067,6.6040955,4.658137
t94,4.6939554,5.6525655,3.8899333,3.3121011,5.783615,7.8034906,6.2563305,5.4531016,-0.036719713,3.260521,7.4751744,6.761051,4.7454276
t99,4.637845,5.6283135,3.9138746,3.3884115,5.764652,7.7021656,6.164583,5.3851595,-0.05159604,3.3938916,7.453969,6.685746,4.6390796
t100,4.66796,5.5353327,3.8622549,3.4104452,5.7212825,7.831794,6.2033696,5.36118,-0.13392414,3.3165863,7.47772,6.6571856,4.638191
t109,4.6979866,5.696948,3.8155522,3.3260515,5.6589866,7.6633167,6.142053,5.4469132,0.0060861637,3.4776711,7.5390177,6.741098,4.580101
t110,4.6853333,5.658585,3.8875022,3.2769194,5.7294064,7.7602944,6.23709,5.497337,0.027501866,3.3423126,7.527009,6.7839456,4.7068005
t84,4.4375334,5.8062057,4.1038494,3.3762171,5.6965876,7.4974875,5.8936343,5.3927197,0.16561018,3.6733217,7.4449058,6.564007,4.4219313
t85,4.430684,5.855856,4.008505,3.295993,5.5815234,7.4025273,5.8301787,5.3876977,0.1913992,3.711659,7.50909,6.6072598,4.4060936
t62,4.4377437,5.7986245,4.1322346,3.387433,5.721928,7.5340023,5.913538,5.4064193,0.1619959,3.653994,7.440059,6.516304,4.4146833
t36,4.267304,5.9146395,4.417082,3.708513,5.932411,7.3055053,5.657695,5.273872,0.37189263,3.8740206,7.1452956,6.2619314,4.395545
t37,4.327864,5.955844,4.313864,3.6992338,5.867645,7.3281016,5.6616244,5.2914696,0.35279787,3.800792,7.213114,6.3236933,4.474416
t2,2.96521,10.206265,4.6399813,6.07215,5.894617,5.249741,1.9979427,6.1020184,2.329791,4.009973,5.119046,4.429594,5.7515407
t5,3.0031,10.402086,4.5364485,6.0710917,5.889691,5.2767277,2.0334818,6.0042014,2.5174105,4.010702,4.982979,4.3486967,5.88408
t6,3.0081744,10.283741,4.5112176,6.027267,5.8763976,5.2821765,2.045559,5.998466,2.4286425,4.1516366,5.1050916,4.4462256,5.816491
t20,2.766803,11.606903,4.527138,6.0144267,5.9043155,4.831761,1.6244466,5.778651,2.8713155,3.087215,4.5577164,4.0817685,5.9161267
t25,2.8380065,11.510247,4.4984336,6.1334686,5.7921524,4.820547,1.5836146,5.764059,2.9886103,3.223358,4.419139,3.9276268,6.0244374
t26,2.7514863,11.540338,4.494722,6.0967255,5.920754,4.839892,1.6527847,5.8298893,2.9163892,3.1795056,4.541969,4.040501,5.9848757
t134,2.8003497,11.35732,4.529139,6.2466793,6.038264,4.7448306,1.7829438,5.8986235,2.9265013,3.4703014,4.532735,3.8498707,6.097653
t135,2.7983623,11.264249,4.616403,6.093203,5.9312167,4.8069696,1.6818337,5.820901,2.8541052,3.423607,4.546002,3.8275619,5.9993486
t128,2.7709827,11.241141,4.6098337,6.105222,5.9499354,4.7802424,1.6437576,5.7944207,2.8516665,3.4047444,4.56039,3.815348,6.0129747
t129,2.7392597,11.36185,4.5025306,6.191079,5.982514,4.8356657,1.7752087,5.929471,2.924954,3.4376574,4.53113,3.9411328,6.047877
t52,2.8517432,10.966644,4.526785,6.077459,5.9470396,4.974437,1.8092198,5.9514604,2.7044642,3.6787956,4.782976,4.1437235,6.002059
t33,2.8808248,10.859282,4.525219,6.0776005,5.935953,5.0370345,1.8602477,5.9578624,2.6505752,3.758342,4.8394623,4.1918793,5.9640846
t31,2.663374,11.239303,4.423754,6.090767,5.9217405,4.786881,1.5456861,5.864028,2.8401172,3.3550959,4.62555,4.198779,6.1323667
t101,2.6605997,11.274452,4.422899,5.975837,5.748282,4.8769345,1.5209932,5.8320904,2.909539,3.255763,4.5280743,4.1600018,6.0804305
t102,2.6684742,11.316346,4.450024,6.1492243,5.930631,4.938157,1.7065732,5.909293,2.8958838,3.4376647,4.6156826,4.036661,6.0246143
t105,2.772324,11.411913,4.5259423,5.9421167,6.0054703,4.8442225,1.5934924,5.929899,2.7365816,3.4237516,4.759536,4.1567373,6.1072855
t106,2.7867787,11.505473,4.5462656,5.92259,5.998688,4.7634673,1.614065,5.8081636,2.7551243,3.262866,4.7283854,4.087552,6.1711435
t79,2.7660408,11.347454,4.5364723,5.928063,5.950238,4.8410454,1.6000307,5.8923297,2.7559242,3.3851917,4.7176614,4.119733,6.109597
t68,2.751214,11.387366,4.51363,5.982873,6.0002675,4.8321033,1.5965306,5.904443,2.7618494,3.4029238,4.7352986,4.134357,6.107165
t10,2.7925084,11.589932,4.488553,6.0122943,5.754912,4.852069,1.5570369,5.706229,2.9572854,3.0265312,4.4189296,4.0630116,5.9088426
