"accepted_species","trait_BM_trend_scaled"
"t7",0
"t8",0
"t5",0
"t38",0
"t63",0
"t126",0
"t127",0
"t128",0
"t122",0
"t107",NA
"t92",0
"t14",0
"t4",0
"t1",1
"t72",0
"t73",0
"t11",0
"t78",0
"t79",0
"t62",NA
"t97",0
"t98",0
"t67",0
"t154",0
"t155",0
"t80",0
"t111",NA
"t112",NA
"t28",0
"t13",NA
"t16",1
"t20",1
"t87",1
"t88",1
"t77",1
"t25",0
"t57",0
"t58",0
"t44",0
"t71",0
"t100",0
"t101",0
"t53",0
"t69",0
"t70",0
"t35",0
"t19",NA
"t15",0
"t106",0
"t133",0
"t134",NA
"t94",0
"t125",0
"t142",0
"t143",0
"t40",0
"t41",0
"t12",0
"t30",0
"t31",0
"t29",0
"t22",0
"t23",0
"t36",0
"t49",0
"t50",NA
"t74",0
"t81",0
"t82",0
"t56",0
"t93",0
"t120",0
"t121",0
"t18",0
"t144",0
"t145",0
"t115",0
"t59",0
"t60",NA
"t37",0
"t26",0
"t139",0
"t148",0
"t149",0
"t91",0
"t39",0
"t27",0
"t32",0
"t33",0
"t34",0
"t17",NA
"t54",0
"t55",0
"t135",0
"t136",NA
"t10",NA
"t129",0
"t130",0
"t64",0
"t43",0
"t65",0
"t66",0
"t83",0
"t84",0
"t42",0
"t95",NA
"t96",NA
"t103",0
"t104",0
"t85",0
"t86",0
"t75",0
"t76",0
"t51",0
"t52",0
"t105",NA
"t123",0
"t124",0
"t140",0
"t141",0
"t118",0
"t119",0
"t152",0
"t153",NA
"t99",0
"t6",0
"t150",0
"t151",0
"t146",0
"t147",0
"t102",0
"t137",0
"t138",0
"t68",0
"t47",0
"t48",0
"t24",0
"t89",0
"t90",0
"t113",0
"t114",0
"t9",0
"t2",0
"t3",0
"t21",0
"t61",0
"t108",0
"t131",0
"t132",0
"t109",0
"t110",0
"t116",0
"t117",0
"t45",0
"t46",0
