"","t1","t2","t3","t6","t29","t30","t51","t52","t136","t137","t98","t99","t132","t133","t67","t146","t147","t129","t148","t149","t61","t42","t118","t140","t141","t112","t113","t65","t66","t114","t115","t79","t80","t9","t10","t49","t50","t108","t109","t41","t71","t100","t101","t63","t64","t33","t134","t135","t58","t85","t86","t55","t72","t73","t70","t37","t38","t32","t5","t107","t152","t153","t154","t155","t57","t90","t91","t76","t82","t94","t128","t150","t151","t124","t125","t119","t138","t139","t102","t68","t62","t17","t18","t21","t22","t19","t20","t69","t144","t145","t59","t60","t53","t54","t95","t110","t111","t103","t104","t43","t116","t117","t92","t93","t35","t36","t88","t89","t81","t44","t87","t120","t121","t122","t123","t96","t97","t74","t40","t7","t8","t13","t14","t11","t130","t131","t39","t12","t56","t126","t127","t31","t83","t84","t23","t24","t16","t15","t47","t48","t34","t105","t106","t75","t142","t143","t77","t78","t45","t46","t25","t27","t28","t26","t4"
"t1",0,1.9405513379,1.9843320376,2.4900050747,6.0699618043,5.9545937323,6.11784875698,7.06808289278,7.0680828927,7.0680828927,7.0680828928,6.8916532403,7.0680828927,7.0680828927,6.9420954505,7.06808289244,7.06808289244,7.06808289249,7.06808289248,7.06808289248,7.06808289239,7.0680828921,7.06808289236,7.06808289233,7.06808289233,7.06808289238,6.92243156948,7.0680828918,7.0680828918,7.0680828918,7.0680828918,7.0680828918,7.0680828918,2.7692023546,2.8866699925,6.9698744038,6.5205092245,7.06808289144,7.06808289144,7.0680828912,7.0680828914,7.0680828914,7.0680828914,7.068082891,7.068082891,7.06808289117,7.06808289134,7.06808289134,7.06808289184,7.06808289143,6.80508579183,6.70655491633,6.80724761114,7.06808289164,7.0680828917,7.021635158,6.2795973487,6.0296035534,2.6429048611,7.0680828921,7.06808289203,7.06808289203,7.068082892076,7.068082892076,7.0680828918,7.06808289204,7.06808289204,7.06808289198,7.06808289198,6.7826609149,7.068082892,7.06808289198,7.06808289198,7.06808289202,7.06808289202,6.86236850935,7.06808289206,7.06808289206,7.00010724105,7.06808289208,7.06808289204,5.6866913014,4.2852716483,5.7309690771,4.5709800329,7.0680828917,4.7720365346,7.0680828917,7.06808289172,7.06808289172,6.842811983,6.287715949,6.3952664137,6.02318121707,7.0680828917,7.0680828917,7.0680828917,7.0680828917,7.0680828917,7.0680828919,7.0680828916,7.0680828916,7.0680828916,7.0680828916,7.0680828913,5.202141224899,7.0680828911,7.0680828911,7.0680828911,6.0079258937,7.0680828915,7.0680828915,7.0680828915,7.0680828918,7.0680828918,7.0680828919,7.0680828919,7.0680828918,7.0680828916,2.8519456643,2.61658315771,4.6018842763,4.0507372657,2.945657760622,7.0680828907,7.0680828907,5.7149860439,3.08062637313,6.74262096583,7.06808289203,7.06808289203,7.06808289143,7.06808289133,6.72899805293,4.50875495867,5.07592529933,5.79561550633,5.07223225953,5.98245948198,7.06808289118,7.06808289128,7.06808289168,7.06808289168,7.06808289168,7.06808289169,7.06808289169,7.06808289158,6.70143688248,7.06808289128,7.06808289128,5.21963721063,4.76060135133,6.13682705253,4.98691019723,1.86417564723
"t2",1.9405513379,0,1.1613257025,2.2205883752,5.8005451048,5.6851770328,5.84843205748,6.79866619328,6.7986661932,6.7986661932,6.7986661933,6.6222365408,6.7986661932,6.7986661932,6.672678751,6.79866619294,6.79866619294,6.79866619299,6.79866619298,6.79866619298,6.79866619289,6.7986661926,6.79866619286,6.79866619283,6.79866619283,6.79866619288,6.65301486998,6.7986661923,6.7986661923,6.7986661923,6.7986661923,6.7986661923,6.7986661923,2.4997856551,2.617253293,8.1348771095,7.6855119302,8.23308559714,8.23308559714,8.2330855969,8.2330855971,8.2330855971,8.2330855971,8.2330855967,8.2330855967,8.23308559687,8.23308559704,8.23308559704,8.23308559754,8.23308559713,7.97008849753,7.87155762203,7.97225031684,8.23308559734,8.2330855974,8.1866378637,7.4446000544,7.1946062591,3.8079075668,8.2330855978,8.23308559773,8.23308559773,8.233085597776,8.233085597776,8.2330855975,8.23308559774,8.23308559774,8.23308559768,8.23308559768,7.9476636206,8.2330855977,8.23308559768,8.23308559768,8.23308559772,8.23308559772,8.02737121505,8.23308559776,8.23308559776,8.16510994675,8.23308559778,8.23308559774,6.8516940071,5.450274354,6.8959717828,5.7359827386,8.2330855974,5.9370392403,8.2330855974,8.23308559742,8.23308559742,8.0078146887,7.4527186547,7.5602691194,7.18818392277,8.2330855974,8.2330855974,8.2330855974,8.2330855974,8.2330855974,8.2330855976,8.2330855973,8.2330855973,8.2330855973,8.2330855973,8.233085597,6.367143930599,8.2330855968,8.2330855968,8.2330855968,7.1729285994,8.2330855972,8.2330855972,8.2330855972,8.2330855975,8.2330855975,8.2330855976,8.2330855976,8.2330855975,8.2330855973,4.01694837,3.78158586341,5.766886982,5.2157399714,4.110660466322,8.2330855964,8.2330855964,6.8799887496,4.24562907883,7.90762367153,8.23308559773,8.23308559773,8.23308559713,8.23308559703,7.89400075863,5.67375766437,6.24092800503,6.96061821203,6.23723496523,7.14746218768,8.23308559688,8.23308559698,8.23308559738,8.23308559738,8.23308559738,8.23308559739,8.23308559739,8.23308559728,7.86643958818,8.23308559698,8.23308559698,6.38463991633,5.92560405703,7.30182975823,6.15191290293,3.02917835293
"t3",1.9843320376,1.1613257025,0,2.2643690749,5.8443258045,5.7289577325,5.89221275718,6.84244689298,6.8424468929,6.8424468929,6.842446893,6.6660172405,6.8424468929,6.8424468929,6.7164594507,6.84244689264,6.84244689264,6.84244689269,6.84244689268,6.84244689268,6.84244689259,6.8424468923,6.84244689256,6.84244689253,6.84244689253,6.84244689258,6.69679556968,6.842446892,6.842446892,6.842446892,6.842446892,6.842446892,6.842446892,2.5435663548,2.6610339927,8.1786578092,7.7292926299,8.27686629684,8.27686629684,8.2768662966,8.2768662968,8.2768662968,8.2768662968,8.2768662964,8.2768662964,8.27686629657,8.27686629674,8.27686629674,8.27686629724,8.27686629683,8.01386919723,7.91533832173,8.01603101654,8.27686629704,8.2768662971,8.2304185634,7.4883807541,7.2383869588,3.8516882665,8.2768662975,8.27686629743,8.27686629743,8.276866297476,8.276866297476,8.2768662972,8.27686629744,8.27686629744,8.27686629738,8.27686629738,7.9914443203,8.2768662974,8.27686629738,8.27686629738,8.27686629742,8.27686629742,8.07115191475,8.27686629746,8.27686629746,8.20889064645,8.27686629748,8.27686629744,6.8954747068,5.4940550537,6.9397524825,5.7797634383,8.2768662971,5.98081994,8.2768662971,8.27686629712,8.27686629712,8.0515953884,7.4964993544,7.6040498191,7.23196462247,8.2768662971,8.2768662971,8.2768662971,8.2768662971,8.2768662971,8.2768662973,8.276866297,8.276866297,8.276866297,8.276866297,8.2768662967,6.410924630299,8.2768662965,8.2768662965,8.2768662965,7.2167092991,8.2768662969,8.2768662969,8.2768662969,8.2768662972,8.2768662972,8.2768662973,8.2768662973,8.2768662972,8.276866297,4.0607290697,3.82536656311,5.8106676817,5.2595206711,4.154441166022,8.2768662961,8.2768662961,6.9237694493,4.28940977853,7.95140437123,8.27686629743,8.27686629743,8.27686629683,8.27686629673,7.93778145833,5.71753836407,6.28470870473,7.00439891173,6.28101566493,7.19124288738,8.27686629658,8.27686629668,8.27686629708,8.27686629708,8.27686629708,8.27686629709,8.27686629709,8.27686629698,7.91022028788,8.27686629668,8.27686629668,6.42842061603,5.96938475673,7.34561045793,6.19569360263,3.07295905263
"t6",2.4900050747,2.2205883752,2.2643690749,0,4.070557627,3.955189555,4.11844457968,5.06867871548,5.0686787154,5.0686787154,5.0686787155,4.892249063,5.0686787154,5.0686787154,4.9426912732,5.06867871514,5.06867871514,5.06867871519,5.06867871518,5.06867871518,5.06867871509,5.0686787148,5.06867871506,5.06867871503,5.06867871503,5.06867871508,4.92302739218,5.0686787145,5.0686787145,5.0686787145,5.0686787145,5.0686787145,5.0686787145,2.1856310367,2.3030986746,8.6843308463,8.234965667,8.78253933394,8.78253933394,8.7825393337,8.7825393339,8.7825393339,8.7825393339,8.7825393335,8.7825393335,8.78253933367,8.78253933384,8.78253933384,8.78253933434,8.78253933393,8.51954223433,8.42101135883,8.52170405364,8.78253933414,8.7825393342,8.7360916005,7.9940537912,7.7440599959,4.3573613036,8.7825393346,8.78253933453,8.78253933453,8.782539334576,8.782539334576,8.7825393343,8.78253933454,8.78253933454,8.78253933448,8.78253933448,8.4971173574,8.7825393345,8.78253933448,8.78253933448,8.78253933452,8.78253933452,8.57682495185,8.78253933456,8.78253933456,8.71456368355,8.78253933458,8.78253933454,7.4011477439,5.9997280908,7.4454255196,6.2854364754,8.7825393342,6.4864929771,8.7825393342,8.78253933422,8.78253933422,8.5572684255,8.0021723915,8.1097228562,7.73763765957,8.7825393342,8.7825393342,8.7825393342,8.7825393342,8.7825393342,8.7825393344,8.7825393341,8.7825393341,8.7825393341,8.7825393341,8.7825393338,6.916597667399,8.7825393336,8.7825393336,8.7825393336,7.7223823362,8.782539334,8.782539334,8.782539334,8.7825393343,8.7825393343,8.7825393344,8.7825393344,8.7825393343,8.7825393341,4.5664021068,4.33103960021,6.3163407188,5.7651937082,4.660114203122,8.7825393332,8.7825393332,7.4294424864,4.79508281563,8.45707740833,8.78253933453,8.78253933453,8.78253933393,8.78253933383,8.44345449543,6.22321140117,6.79038174183,7.51007194883,6.78668870203,7.69691592448,8.78253933368,8.78253933378,8.78253933418,8.78253933418,8.78253933418,8.78253933419,8.78253933419,8.78253933408,8.41589332498,8.78253933378,8.78253933378,6.93409365313,6.47505779383,7.85128349503,6.70136663973,3.57863208973
"t29",6.0699618043,5.8005451048,5.8443258045,4.070557627,0,2.465864826,2.92314218248,3.87337631828,3.8733763182,3.8733763182,3.8733763183,3.6969466658,3.8733763182,3.8733763182,4.0849757388,4.21096318074,4.21096318074,4.21096318079,4.21096318078,4.21096318078,4.21096318069,4.2109631804,4.21096318066,4.21096318063,4.21096318063,4.21096318068,4.06531185778,6.6126886681,6.6126886681,6.6126886681,6.6126886681,6.6126886681,6.6126886681,5.7655877663,5.8830554042,12.2642875759,11.8149223966,12.36249606354,12.36249606354,12.3624960633,12.3624960635,12.3624960635,12.3624960635,12.3624960631,12.3624960631,12.36249606327,12.36249606344,12.36249606344,12.36249606394,12.36249606353,12.09949896393,12.00096808843,12.10166078324,12.36249606374,12.3624960638,12.3160483301,11.5740105208,11.3240167255,7.9373180332,12.3624960642,12.36249606413,12.36249606413,12.362496064176,12.362496064176,12.3624960639,12.36249606414,12.36249606414,12.36249606408,12.36249606408,12.077074087,12.3624960641,12.36249606408,12.36249606408,12.36249606412,12.36249606412,12.15678168145,12.36249606416,12.36249606416,12.29452041315,12.36249606418,12.36249606414,10.9811044735,9.5796848204,11.0253822492,9.865393205,12.3624960638,10.0664497067,12.3624960638,12.36249606382,12.36249606382,12.1372251551,11.5821291211,11.6896795858,11.31759438917,12.3624960638,12.3624960638,12.3624960638,12.3624960638,12.3624960638,12.362496064,12.3624960637,12.3624960637,12.3624960637,12.3624960637,12.3624960634,10.496554396999,12.3624960632,12.3624960632,12.3624960632,11.3023390658,12.3624960636,12.3624960636,12.3624960636,12.3624960639,12.3624960639,12.362496064,12.362496064,12.3624960639,12.3624960637,8.1463588364,7.91099632981,9.8962974484,9.3451504378,8.240070932722,12.3624960628,12.3624960628,11.009399216,8.37503954523,12.03703413793,12.36249606413,12.36249606413,12.36249606353,12.36249606343,12.02341122503,9.80316813077,10.37033847143,11.09002867843,10.36664543163,11.27687265408,12.36249606328,12.36249606338,12.36249606378,12.36249606378,12.36249606378,12.36249606379,12.36249606379,12.36249606368,11.99585005458,12.36249606338,12.36249606338,10.51405038273,10.05501452343,11.43124022463,10.28132336933,7.15858881933
"t30",5.9545937323,5.6851770328,5.7289577325,3.955189555,2.465864826,0,2.80777411048,3.75800824628,3.7580082462,3.7580082462,3.7580082463,3.5815785938,3.7580082462,3.7580082462,3.9696076668,4.09559510874,4.09559510874,4.09559510879,4.09559510878,4.09559510878,4.09559510869,4.0955951084,4.09559510866,4.09559510863,4.09559510863,4.09559510868,3.94994378578,6.4973205961,6.4973205961,6.4973205961,6.4973205961,6.4973205961,6.4973205961,5.6502196943,5.7676873322,12.1489195039,11.6995543246,12.24712799154,12.24712799154,12.2471279913,12.2471279915,12.2471279915,12.2471279915,12.2471279911,12.2471279911,12.24712799127,12.24712799144,12.24712799144,12.24712799194,12.24712799153,11.98413089193,11.88560001643,11.98629271124,12.24712799174,12.2471279918,12.2006802581,11.4586424488,11.2086486535,7.8219499612,12.2471279922,12.24712799213,12.24712799213,12.247127992176,12.247127992176,12.2471279919,12.24712799214,12.24712799214,12.24712799208,12.24712799208,11.961706015,12.2471279921,12.24712799208,12.24712799208,12.24712799212,12.24712799212,12.04141360945,12.24712799216,12.24712799216,12.17915234115,12.24712799218,12.24712799214,10.8657364015,9.4643167484,10.9100141772,9.750025133,12.2471279918,9.9510816347,12.2471279918,12.24712799182,12.24712799182,12.0218570831,11.4667610491,11.5743115138,11.20222631717,12.2471279918,12.2471279918,12.2471279918,12.2471279918,12.2471279918,12.247127992,12.2471279917,12.2471279917,12.2471279917,12.2471279917,12.2471279914,10.381186324999,12.2471279912,12.2471279912,12.2471279912,11.1869709938,12.2471279916,12.2471279916,12.2471279916,12.2471279919,12.2471279919,12.247127992,12.247127992,12.2471279919,12.2471279917,8.0309907644,7.79562825781,9.7809293764,9.2297823658,8.124702860722,12.2471279908,12.2471279908,10.894031144,8.25967147323,11.92166606593,12.24712799213,12.24712799213,12.24712799153,12.24712799143,11.90804315303,9.68780005877,10.25497039943,10.97466060643,10.25127735963,11.16150458208,12.24712799128,12.24712799138,12.24712799178,12.24712799178,12.24712799178,12.24712799179,12.24712799179,12.24712799168,11.88048198258,12.24712799138,12.24712799138,10.39868231073,9.93964645143,11.31587215263,10.16595529733,7.04322074733
"t51",6.11784875698,5.84843205748,5.89221275718,4.11844457968,2.92314218248,2.80777411048,0,1.3354784842,1.46087246088,1.46087246088,1.46087246098,1.28444280848,1.46087246088,1.46087246088,4.13286269148,4.25885013342,4.25885013342,4.25885013347,4.25885013346,4.25885013346,4.25885013337,4.25885013308,4.25885013334,4.25885013331,4.25885013331,4.25885013336,4.11319881046,6.66057562078,6.66057562078,6.66057562078,6.66057562078,6.66057562078,6.66057562078,5.81347471898,5.93094235688,12.31217452858,11.86280934928,12.41038301622,12.41038301622,12.41038301598,12.41038301618,12.41038301618,12.41038301618,12.41038301578,12.41038301578,12.41038301595,12.41038301612,12.41038301612,12.41038301662,12.41038301621,12.14738591661,12.04885504111,12.14954773592,12.41038301642,12.41038301648,12.36393528278,11.62189747348,11.37190367818,7.98520498588,12.41038301688,12.41038301681,12.41038301681,12.410383016856,12.410383016856,12.41038301658,12.41038301682,12.41038301682,12.41038301676,12.41038301676,12.12496103968,12.41038301678,12.41038301676,12.41038301676,12.4103830168,12.4103830168,12.20466863413,12.41038301684,12.41038301684,12.34240736583,12.41038301686,12.41038301682,11.02899142618,9.62757177308,11.07326920188,9.91328015768,12.41038301648,10.11433665938,12.41038301648,12.4103830165,12.4103830165,12.18511210778,11.63001607378,11.73756653848,11.36548134185,12.41038301648,12.41038301648,12.41038301648,12.41038301648,12.41038301648,12.41038301668,12.41038301638,12.41038301638,12.41038301638,12.41038301638,12.41038301608,10.544441349679,12.41038301588,12.41038301588,12.41038301588,11.35022601848,12.41038301628,12.41038301628,12.41038301628,12.41038301658,12.41038301658,12.41038301668,12.41038301668,12.41038301658,12.41038301638,8.19424578908,7.95888328249,9.94418440108,9.39303739048,8.287957885402,12.41038301548,12.41038301548,11.05728616868,8.42292649791,12.08492109061,12.41038301681,12.41038301681,12.41038301621,12.41038301611,12.07129817771,9.85105508345,10.41822542411,11.13791563111,10.41453238431,11.32475960676,12.41038301596,12.41038301606,12.41038301646,12.41038301646,12.41038301646,12.41038301647,12.41038301647,12.41038301636,12.04373700726,12.41038301606,12.41038301606,10.56193733541,10.10290147611,11.47912717731,10.32921032201,7.20647577201
"t52",7.06808289278,6.79866619328,6.84244689298,5.06867871548,3.87337631828,3.75800824628,1.3354784842,0,2.41110659668,2.41110659668,2.41110659678,2.23467694428,2.41110659668,2.41110659668,5.08309682728,5.20908426922,5.20908426922,5.20908426927,5.20908426926,5.20908426926,5.20908426917,5.20908426888,5.20908426914,5.20908426911,5.20908426911,5.20908426916,5.06343294626,7.61080975658,7.61080975658,7.61080975658,7.61080975658,7.61080975658,7.61080975658,6.76370885478,6.88117649268,13.26240866438,12.81304348508,13.36061715202,13.36061715202,13.36061715178,13.36061715198,13.36061715198,13.36061715198,13.36061715158,13.36061715158,13.36061715175,13.36061715192,13.36061715192,13.36061715242,13.36061715201,13.09762005241,12.99908917691,13.09978187172,13.36061715222,13.36061715228,13.31416941858,12.57213160928,12.32213781398,8.93543912168,13.36061715268,13.36061715261,13.36061715261,13.360617152656,13.360617152656,13.36061715238,13.36061715262,13.36061715262,13.36061715256,13.36061715256,13.07519517548,13.36061715258,13.36061715256,13.36061715256,13.3606171526,13.3606171526,13.15490276993,13.36061715264,13.36061715264,13.29264150163,13.36061715266,13.36061715262,11.97922556198,10.57780590888,12.02350333768,10.86351429348,13.36061715228,11.06457079518,13.36061715228,13.3606171523,13.3606171523,13.13534624358,12.58025020958,12.68780067428,12.31571547765,13.36061715228,13.36061715228,13.36061715228,13.36061715228,13.36061715228,13.36061715248,13.36061715218,13.36061715218,13.36061715218,13.36061715218,13.36061715188,11.494675485479,13.36061715168,13.36061715168,13.36061715168,12.30046015428,13.36061715208,13.36061715208,13.36061715208,13.36061715238,13.36061715238,13.36061715248,13.36061715248,13.36061715238,13.36061715218,9.14447992488,8.90911741829,10.89441853688,10.34327152628,9.238192021202,13.36061715128,13.36061715128,12.00752030448,9.37316063371,13.03515522641,13.36061715261,13.36061715261,13.36061715201,13.36061715191,13.02153231351,10.80128921925,11.36845955991,12.08814976691,11.36476652011,12.27499374256,13.36061715176,13.36061715186,13.36061715226,13.36061715226,13.36061715226,13.36061715227,13.36061715227,13.36061715216,12.99397114306,13.36061715186,13.36061715186,11.51217147121,11.05313561191,12.42936131311,11.27944445781,8.15670990781
"t136",7.0680828927,6.7986661932,6.8424468929,5.0686787154,3.8733763182,3.7580082462,1.46087246088,2.41110659668,0,0.2105408324,1.0348970257,0.8584673732,1.2546673206,1.2546673206,5.0830968272,5.20908426914,5.20908426914,5.20908426919,5.20908426918,5.20908426918,5.20908426909,5.2090842688,5.20908426906,5.20908426903,5.20908426903,5.20908426908,5.06343294618,7.6108097565,7.6108097565,7.6108097565,7.6108097565,7.6108097565,7.6108097565,6.7637088547,6.8811764926,13.2624086643,12.813043485,13.36061715194,13.36061715194,13.3606171517,13.3606171519,13.3606171519,13.3606171519,13.3606171515,13.3606171515,13.36061715167,13.36061715184,13.36061715184,13.36061715234,13.36061715193,13.09762005233,12.99908917683,13.09978187164,13.36061715214,13.3606171522,13.3141694185,12.5721316092,12.3221378139,8.9354391216,13.3606171526,13.36061715253,13.36061715253,13.360617152576,13.360617152576,13.3606171523,13.36061715254,13.36061715254,13.36061715248,13.36061715248,13.0751951754,13.3606171525,13.36061715248,13.36061715248,13.36061715252,13.36061715252,13.15490276985,13.36061715256,13.36061715256,13.29264150155,13.36061715258,13.36061715254,11.9792255619,10.5778059088,12.0235033376,10.8635142934,13.3606171522,11.0645707951,13.3606171522,13.36061715222,13.36061715222,13.1353462435,12.5802502095,12.6878006742,12.31571547757,13.3606171522,13.3606171522,13.3606171522,13.3606171522,13.3606171522,13.3606171524,13.3606171521,13.3606171521,13.3606171521,13.3606171521,13.3606171518,11.494675485399,13.3606171516,13.3606171516,13.3606171516,12.3004601542,13.360617152,13.360617152,13.360617152,13.3606171523,13.3606171523,13.3606171524,13.3606171524,13.3606171523,13.3606171521,9.1444799248,8.90911741821,10.8944185368,10.3432715262,9.238192021122,13.3606171512,13.3606171512,12.0075203044,9.37316063363,13.03515522633,13.36061715253,13.36061715253,13.36061715193,13.36061715183,13.02153231343,10.80128921917,11.36845955983,12.08814976683,11.36476652003,12.27499374248,13.36061715168,13.36061715178,13.36061715218,13.36061715218,13.36061715218,13.36061715219,13.36061715219,13.36061715208,12.99397114298,13.36061715178,13.36061715178,11.51217147113,11.05313561183,12.42936131303,11.27944445773,8.15670990773
"t137",7.0680828927,6.7986661932,6.8424468929,5.0686787154,3.8733763182,3.7580082462,1.46087246088,2.41110659668,0.2105408324,0,1.0348970257,0.8584673732,1.2546673206,1.2546673206,5.0830968272,5.20908426914,5.20908426914,5.20908426919,5.20908426918,5.20908426918,5.20908426909,5.2090842688,5.20908426906,5.20908426903,5.20908426903,5.20908426908,5.06343294618,7.6108097565,7.6108097565,7.6108097565,7.6108097565,7.6108097565,7.6108097565,6.7637088547,6.8811764926,13.2624086643,12.813043485,13.36061715194,13.36061715194,13.3606171517,13.3606171519,13.3606171519,13.3606171519,13.3606171515,13.3606171515,13.36061715167,13.36061715184,13.36061715184,13.36061715234,13.36061715193,13.09762005233,12.99908917683,13.09978187164,13.36061715214,13.3606171522,13.3141694185,12.5721316092,12.3221378139,8.9354391216,13.3606171526,13.36061715253,13.36061715253,13.360617152576,13.360617152576,13.3606171523,13.36061715254,13.36061715254,13.36061715248,13.36061715248,13.0751951754,13.3606171525,13.36061715248,13.36061715248,13.36061715252,13.36061715252,13.15490276985,13.36061715256,13.36061715256,13.29264150155,13.36061715258,13.36061715254,11.9792255619,10.5778059088,12.0235033376,10.8635142934,13.3606171522,11.0645707951,13.3606171522,13.36061715222,13.36061715222,13.1353462435,12.5802502095,12.6878006742,12.31571547757,13.3606171522,13.3606171522,13.3606171522,13.3606171522,13.3606171522,13.3606171524,13.3606171521,13.3606171521,13.3606171521,13.3606171521,13.3606171518,11.494675485399,13.3606171516,13.3606171516,13.3606171516,12.3004601542,13.360617152,13.360617152,13.360617152,13.3606171523,13.3606171523,13.3606171524,13.3606171524,13.3606171523,13.3606171521,9.1444799248,8.90911741821,10.8944185368,10.3432715262,9.238192021122,13.3606171512,13.3606171512,12.0075203044,9.37316063363,13.03515522633,13.36061715253,13.36061715253,13.36061715193,13.36061715183,13.02153231343,10.80128921917,11.36845955983,12.08814976683,11.36476652003,12.27499374248,13.36061715168,13.36061715178,13.36061715218,13.36061715218,13.36061715218,13.36061715219,13.36061715219,13.36061715208,12.99397114298,13.36061715178,13.36061715178,11.51217147113,11.05313561183,12.42936131303,11.27944445773,8.15670990773
