"accepted_species","I1.1/1"
"t36","0"
"t37","0"
"t30","0"
"t25","0"
"t47","1"
"t48","0"
"t78","0"
"t79","0"
"t43","0"
"t16","0"
"t17","0"
"t5","0"
"t12","0"
"t11","0"
"t74","0"
"t75","0"
"t97","0"
"t98",NA
"t27",NA
"t31",NA
"t14",NA
"t60","0"
"t61",NA
"t40",NA
"t86",NA
"t95",NA
"t96","0"
"t42","1"
"t71",NA
"t84",NA
"t85","0"
"t4","0"
"t91","0"
"t92","1"
"t82","0"
"t83","0"
"t6","0"
"t15","0"
"t1","1"
"t7","0"
"t55","0"
"t63","0"
"t64","0"
"t80","0"
"t81","0"
"t3","0"
"t2","0"
"t72","0"
"t73","1"
"t32","0"
"t8","0"
"t9","0"
"t28","0"
"t29","0"
"t13","0"
"t23","0"
"t10","0"
"t66","0"
"t89","0"
"t90","0"
"t62","0"
"t87","0"
"t88","1"
"t49","0"
"t50","0"
"t58","1"
"t59","1"
"t99","0"
"t100","0"
"t22","0"
"t38","0"
"t44","0"
"t45","1"
"t20","0"
"t51","0"
"t52","1"
"t19","0"
"t18","0"
"t21","0"
"t34","0"
"t35","0"
"t24","0"
"t26","0"
"t46","0"
"t33","0"
"t69","0"
"t70","0"
"t41","0"
"t65","0"
"t93","0"
"t94","0"
"t67","0"
"t68","1"
"t76","0"
"t77","1"
"t39","0"
"t56","0"
"t57","0"
"t53","0"
"t54","0"
