,0,1,2,3,4,5,6,7,8,9,10,11
t1,12.577285,10.989512,10.214155,-3.5461717,30.420092,-8.376485,-6.3883085,-1.1083897,-2.6864803,35.749702,-6.064123,10.553735
t2,12.263947,10.763569,10.000051,-3.431971,29.239573,-8.38648,-6.1875567,-1.1233078,-2.570053,34.475784,-5.934565,10.300756
t3,9.750614,9.535691,8.962052,-2.8030858,24.836004,-6.885728,-5.2008886,-0.95883906,-2.0278585,29.324873,-4.7714896,8.477287
t5,13.123812,8.459982,6.7715855,-3.167161,25.140322,-7.516669,-5.4735394,-0.4145113,-1.9378542,31.58244,-5.048054,9.724289
t26,22.063082,11.049269,6.2092466,-5.034881,36.382694,-10.782512,-8.056692,-0.33240014,-2.5505197,45.457863,-7.0965776,15.256584
t89,22.467812,11.696259,6.1186843,-5.147708,35.63294,-10.828974,-7.988025,-0.34644452,-2.3651824,45.473152,-7.0850434,15.193268
t90,22.534767,11.56439,6.136744,-5.155923,35.6377,-10.833057,-7.9775004,-0.34724483,-2.3524086,45.461494,-7.103358,15.198374
t28,22.51773,11.15152,6.128316,-5.0509057,35.75481,-10.816371,-7.9876685,-0.38710696,-2.4320529,44.96374,-7.0792747,14.237284
t21,22.328817,11.486024,6.146043,-5.138472,35.675655,-10.71317,-8.029071,-0.46713668,-2.5127113,44.949913,-7.048632,14.511694
t15,19.310211,10.071352,6.7000628,-4.276271,31.72209,-9.779445,-6.8779674,-0.1882801,-2.2308776,40.395943,-6.515931,12.978211
t74,22.100174,11.187841,6.9681897,-4.7696266,36.145817,-10.844655,-7.7704835,-0.1823986,-2.587037,44.859753,-7.380591,14.909079
t75,22.089151,11.156269,6.8735967,-4.8070917,36.250145,-10.818787,-7.7595267,-0.18067627,-2.5426824,44.826283,-7.3245597,14.904242
t6,14.303117,8.817139,6.5801973,-3.3642151,26.49311,-7.928478,-5.8112426,-0.35584912,-2.0814776,33.310036,-5.3224273,10.564743
t19,6.10441,0.71943724,9.130305,-2.8858025,29.949085,-5.0715647,-4.50585,-1.9896326,-2.3493955,25.0142,-3.6483753,3.5850635
t20,8.997949,2.5171428,10.328942,-3.6082,36.46905,-6.7165656,-5.8944106,-2.1960514,-2.9712725,31.7487,-4.872291,5.892673
t10,7.0322967,0.6102315,10.206924,-3.2615678,35.62481,-5.9583335,-5.46826,-2.3777816,-2.9046953,27.723627,-4.1015296,4.8581223
t98,7.0707245,0.64241517,10.424067,-3.2286713,36.936054,-6.603748,-5.9273405,-2.6271882,-3.089952,28.129717,-4.2054877,5.2230663
t99,7.135536,0.62091315,10.327857,-3.2313957,36.932747,-6.5928154,-5.9197955,-2.6142902,-3.0866594,28.076979,-4.190073,5.2759132
t106,6.643444,0.53519213,10.065324,-3.2500703,37.31995,-6.5419974,-5.854685,-2.5975883,-3.1477294,27.5327,-4.1949606,5.3542385
t107,6.6648707,0.5152117,9.995084,-3.256872,37.34378,-6.551693,-5.8608403,-2.5895278,-3.1569242,27.513218,-4.185124,5.384741
t80,6.591075,0.8428303,10.10736,-3.288704,37.086918,-6.545344,-5.840198,-2.5759523,-3.1738222,27.528795,-4.146918,5.4201226
t78,6.5004425,0.7486826,10.2021055,-3.2446716,37.479992,-6.5229692,-5.8936315,-2.6120312,-3.2059174,27.6149,-4.1522136,5.3344626
t79,6.6441216,0.70545685,10.238715,-3.2599494,37.493202,-6.55108,-5.8532577,-2.5917358,-3.1855025,27.758982,-4.1865754,5.250701
t31,7.8948617,0.80624974,10.334182,-3.3052526,36.857018,-6.1603866,-5.940233,-2.661085,-3.1854734,28.064856,-4.422758,5.351414
t62,8.214034,0.5853144,10.136246,-3.333056,36.81484,-6.1593432,-5.8515115,-2.556739,-3.216875,27.809584,-4.3510456,5.200975
t63,8.1407175,0.5907904,10.291874,-3.3308008,36.848484,-6.176986,-5.8363705,-2.5854957,-3.2286122,27.7045,-4.332386,4.903117
t100,7.7223005,0.7202369,10.076651,-3.3263047,36.882973,-5.9560866,-5.825505,-2.669132,-3.2605178,27.950912,-4.0945997,4.633328
t121,7.7169957,0.7180935,10.029437,-3.338049,36.8213,-5.9411488,-5.810144,-2.6583526,-3.2625542,27.899227,-4.0848813,4.6629415
t122,7.7259827,0.6879083,10.019055,-3.3397377,36.844257,-5.9394965,-5.8114314,-2.6589944,-3.2651048,27.909784,-4.078581,4.6506057
t58,9.32278,-0.5838601,9.361165,-3.961867,38.81118,-4.6746416,-4.6852665,-2.3533556,-2.6155639,28.724186,-3.9845226,0.09400991
t59,9.472735,-0.5608978,9.276031,-3.9356415,38.735165,-4.6909394,-4.721325,-2.3441298,-2.626659,28.682236,-3.9830494,0.22699694
t45,9.179843,-0.5359498,9.748147,-3.9260678,38.72646,-4.69971,-4.7453837,-2.4047544,-2.6413522,28.995913,-3.9996045,0.20728354
t34,9.437825,-0.5543851,9.267526,-4.0415645,38.329266,-4.726523,-4.656562,-2.3518302,-2.5661662,28.635143,-3.923502,-0.06744241
