,0,1,2,3,4,5,6,7,8,9,10,11
t57,4.9048233,-6.1251206,5.354528,5.4382586,5.710119,6.7535877,6.8628078,-0.06621057,6.158897,3.584914,0.78032136,5.739714
t52,5.0141816,-6.1386642,5.441583,5.4482303,5.6526656,6.847412,6.9224577,0.10500616,6.1649046,3.4549832,0.7021861,5.6672997
t72,5.1129956,-6.0501995,5.398147,5.3030725,5.618678,6.7960277,6.98084,-0.12825347,6.24248,3.3709538,0.57822835,5.723722
t73,5.098102,-5.9996276,5.3931932,5.2356033,5.484564,6.734038,6.90065,-0.16427815,6.226543,3.3972018,0.5896632,5.577521
t68,5.1473255,-5.9962106,5.3127384,5.222965,5.507473,6.689755,6.973906,-0.18345092,6.280775,3.4970818,0.69052774,5.598134
t17,4.935606,-5.7302656,5.335565,5.217251,5.5892687,6.685724,6.932174,-0.06363451,6.1385574,3.418161,0.5688119,5.7556686
t18,5.0171,-5.8198495,5.2492757,5.261085,5.5587044,6.6035686,7.0064025,0.058847666,6.14178,3.555321,0.71844983,5.693929
t25,5.2212553,-6.506013,5.6790195,5.7462325,5.2646723,7.054039,6.933713,0.9155132,5.707869,3.7715263,1.1125199,5.0079265
t60,5.227318,-6.4961815,5.688774,5.736786,5.2692833,7.0524263,6.921073,0.90200305,5.7215214,3.743495,1.0887407,5.0267243
t61,5.0887823,-6.511871,5.7269335,5.823646,5.389684,7.142246,7.04848,0.91188097,5.824694,3.7869043,1.1270033,5.0594573
t39,5.0402293,-6.539125,5.6113224,5.720549,5.3146,7.02821,7.088175,0.86639845,5.8149447,3.775793,1.0922747,4.99622
t127,5.160232,-6.5820293,5.6892037,5.6860127,5.2472467,7.1123686,6.9748626,0.779648,5.7182097,3.802916,1.1295576,4.9490247
t128,5.13045,-6.4840403,5.6772423,5.758847,5.3124723,7.090178,7.0107613,0.8656006,5.7708173,3.793056,1.1241518,5.065175
t13,5.0147333,-6.252426,5.5384994,5.719544,5.579062,6.939513,7.0436916,0.8526157,6.0270324,3.570232,0.9287906,5.4618993
t43,5.0378838,-6.2976694,5.564641,5.6296544,5.5043216,6.9703264,6.9946437,0.6993839,5.9984713,3.597205,0.9274829,5.3664656
t44,5.109874,-6.3446803,5.6232224,5.5840993,5.592356,7.0189896,6.972884,0.61161,6.112401,3.528806,0.98428464,5.375132
t8,4.9704914,-5.8310657,5.2338753,5.283996,5.537198,6.5793266,7.0548277,0.3100574,6.082943,3.6347125,0.82291126,5.6258125
t42,-3.097041,8.538504,1.6383684,13.825058,7.25841,4.667256,5.691266,1.8762953,0.6172458,10.054111,-0.7606792,9.059836
t116,-3.017912,8.48699,1.4695629,13.662288,7.212654,4.8315444,5.7356677,1.7215688,0.66255796,10.007316,-0.7719215,9.032522
t123,-3.1722813,8.468091,1.5089245,13.694637,7.306277,4.7975073,5.7643867,1.7557453,0.6898455,9.9819565,-0.8281243,9.112948
t124,-3.2359328,8.470168,1.562476,13.747008,7.350344,4.7448664,5.7673163,1.8133204,0.69186455,9.980756,-0.84820527,9.155173
