,models,stat,p value,hochberg_adjusted_p_value
0,phylopars_phylnn_fill_means,-36.004703081155455,1.4322847149373392e-223,5.156224973774421e-222
1,picante_phylnn_fill_means,-33.66438709782707,9.66944795762778e-201,3.3843067851697227e-199
2,phylopars_xgb_umap,-31.03256344216261,1.132511053287911e-175,3.8505375811788975e-174
3,picante_xgb_umap,-26.429176926425438,6.617897187860385e-134,2.183906071993927e-132
4,phylnn_fill_means_xgb_eigenvecs,25.78032798144114,2.7834503435163825e-128,8.907041099252424e-127
5,phylnn_fill_means_xgb_autoencoded,21.971427168706338,6.824994082953942e-97,2.115748165715722e-95
6,phylnn_fill_means_xgb_umap,19.067531037974465,3.9008976329195926e-75,1.1702692898758778e-73
7,phylopars_xgb_autoencoded,-18.37053540302666,3.106774728185163e-70,9.009646711736973e-69
8,phylopars_xgb_eigenvecs,-16.361898092989286,7.14268707213732e-57,1.9999523801984496e-55
9,picante_xgb_autoencoded,-15.845157469033296,1.255562413333337e-53,3.39001851600001e-52
10,phylopars_linear_autoencoded,-14.834288978401657,1.6117849136455253e-47,4.190640775478366e-46
11,picante_linear_autoencoded,-14.147418159099724,1.484655670322831e-43,3.7116391758070776e-42
12,picante_xgb_eigenvecs,-13.351842694290804,3.7055401241728737e-39,8.893296298014897e-38
13,xgb_eigenvecs_xgb_umap,-12.108612450943255,1.0198937660799393e-32,2.3457556619838604e-31
14,linear_autoencoded_xgb_eigenvecs,11.242622602837615,1.4891920734088648e-28,3.2762225614995024e-27
15,linear_autoencoded_xgb_autoencoded,10.603750120316969,1.1783568232770165e-25,2.4745493288817348e-24
16,phylopars_linear_eigenvecs,-8.869076627058865,1.4920511721391211e-18,2.9841023442782424e-17
17,picante_linear_eigenvecs,-8.433150199935163,6.001994644506026e-17,1.140378982456145e-15
18,linear_autoencoded_xgb_umap,7.563267247813057,5.738715068398542e-14,1.0329687123117377e-12
19,phylopars_linear_umap,-7.384215331910905,2.1646527429786327e-13,3.6799096630636755e-12
20,picante_linear_umap,-7.078314364361434,1.9545669469618348e-12,3.1273071151389356e-11
21,phylopars_picante,-6.453845996466792,1.3373282776038932e-10,2.00599241640584e-09
22,linear_eigenvecs_xgb_eigenvecs,6.4102189674024945,1.7726331563417484e-10,2.481686418878448e-09
23,linear_eigenvecs_xgb_autoencoded,5.743439131698706,1.0563525041517325e-08,1.3732582553972523e-07
24,xgb_umap_xgb_autoencoded,5.638436028452528,1.936541149153347e-08,2.3238493789840167e-07
25,linear_umap_xgb_eigenvecs,5.605526653714505,2.3367154009072123e-08,2.5703869409979335e-07
26,xgb_eigenvecs_xgb_autoencoded,-5.199251233836251,2.1859162771215394e-07,2.1859162771215392e-06
27,linear_umap_xgb_autoencoded,5.1183613034410795,3.3495660455435775e-07,3.0146094409892196e-06
28,linear_eigenvecs_xgb_umap,3.7901588240380026,0.0001546005692242099,0.0012368045537936793
29,linear_umap_xgb_umap,3.7118929592340373,0.00021082670028411447,0.0014757869019888013
30,phylnn_fill_means_linear_eigenvecs,2.662985171796209,0.007801556169904385,0.046809337019426314
31,linear_eigenvecs_linear_autoencoded,-1.9583268525549846,0.050317926126149715,0.2515896306307486
33,phylnn_fill_means_linear_autoencoded,1.5935405952750594,0.11118268302758383,0.3335480490827515
32,linear_eigenvecs_linear_umap,-1.5946153764733222,0.1109419758443929,0.4437679033775716
34,phylnn_fill_means_linear_umap,1.0290939432168438,0.303548708676324,0.607097417352648
35,linear_umap_linear_autoencoded,-0.20818039165673852,0.8351073973391769,0.8351073973391769
