,Ev Model,corHMM,picante,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised,EV Model,Missing Type
count,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100
unique,1,,,,,,,,,,,,,,1,1
top,Extinct_BMT,,,,,,,,,,,,,,Extinct_BMT,phyloNa
freq,100,,,,,,,,,,,,,,100,100
mean,,0.06684669445952324,0.06818940231171133,0.10490448412334517,0.1019803287480288,0.10423329887685506,0.09716906232520918,0.09891661101590334,0.10249823752399967,0.07880237303767929,0.08190282488088538,0.10595915289957236,0.07644526877802788,0.07378756636017748,,
std,,0.08964150269938029,0.09442384058999485,0.11589928442387008,0.09933828246111903,0.09988774673523812,0.09239171742072531,0.10054278904823681,0.102711945961925,0.0931558315434698,0.09791385016302157,0.12508088279154142,0.0962172592841629,0.09038705163949642,,
min,,3.0295520688165172e-05,1.5960345396372688e-10,0.0,7.931059954752327e-10,9.95339703503864e-18,9.402745417372208e-13,9.991285354113e-22,4.3126257832487053e-20,2.8128344637111673e-07,1.8308174796640337e-06,3.7508080520200892e-06,6.472199282000401e-07,3.873433625723048e-06,,
25%,,0.0007589481058543709,3.573491939396305e-07,0.0017702855632633057,0.003574018679418118,0.0012911040167492636,2.2720265373846422e-05,0.0011763636811388724,0.001132519166600246,0.00016680102363375723,0.0003595126011367641,0.00026761639090366386,0.00015076085376846573,0.00015357496766591776,,
50%,,0.02845813006183846,0.014841144166352842,0.05821757386989152,0.10184431349881304,0.0849009271144689,0.08780042717648488,0.07704971361159013,0.07835785653187849,0.05164597668685159,0.03993806578620165,0.06370264521336749,0.029184467525215252,0.025435925153675015,,
75%,,0.10867342962091547,0.12206927502402323,0.1961884148181681,0.1619246165474738,0.1819062440490196,0.1632077376825385,0.1691702639766367,0.17901222587913634,0.13578205991474973,0.14098715401010203,0.17468304154171443,0.1325926128862842,0.12997722534403922,,
max,,0.49449569293875195,0.5317089333869285,0.5648563195389419,0.44845831223616606,0.3561163364170844,0.3048959088378033,0.47016567200501125,0.416543052258979,0.45038200115753735,0.3708397437995412,0.5093977371361496,0.4978635193656744,0.34609772027695107,,
