,Ev Model,corHMM,picante,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised,EV Model,Missing Type
count,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100
unique,1,,,,,,,,,,,,,,1,1
top,real_data,,,,,,,,,,,,,,real_data,phyloNa
freq,100,,,,,,,,,,,,,,100,100
mean,,0.08411914774298117,0.11251372126008942,0.08734623505139151,0.08174774647813159,0.08284092808363251,0.10077833976387472,0.0847853649792393,0.0835653455837993,0.08440949205510986,0.08647926469109056,0.1301983840137173,0.0837886327172061,0.08431579468311315,,
std,,0.0739104737332424,0.09934355063296892,0.0788653674790763,0.06968859079868613,0.07233224086018818,0.08163685882001873,0.07284419437057255,0.07137504725529337,0.07280634174426769,0.07135566486704366,0.12252876316178953,0.07165097581795023,0.07064130018462321,,
min,,0.0014729468310851752,6.933260309378251e-08,0.0,0.0025221449507444663,2.2762972475943827e-05,2.8816377804521925e-26,0.0001483065298454793,1.9234406047111156e-05,4.929799752361743e-06,7.214257567968999e-06,3.8032117833062498e-06,1.6748294961994163e-05,1.1726342232879025e-05,,
25%,,0.0164611847770587,0.0007840442807975682,0.011971117815605427,0.014126934558482445,0.017607947844563133,0.02293300168947672,0.017267142181314307,0.016448415439345113,0.015013031972409222,0.014678072713936277,0.04571405444868977,0.013852614502768437,0.013347798984535902,,
50%,,0.09000008165049657,0.09988407965833146,0.09009008395112669,0.09005751164545889,0.09033804582534444,0.09528542551081537,0.09026247286454298,0.09018906365796933,0.09026673651310241,0.0907042306546357,0.09871843882299847,0.09045150163023621,0.0906490649373615,,
75%,,0.09776897503542972,0.19943037560003538,0.11607084896434858,0.09706277341359766,0.09473937945915144,0.150762353452561,0.10132086369870388,0.09742421677102951,0.11033948170183598,0.11733266303252678,0.18947527591861313,0.10161148565042505,0.10704275361944135,,
max,,0.3390475443207841,0.3649374328189733,0.30599999999999994,0.2616128660775917,0.2997430702819153,0.3924547026470619,0.295680632325907,0.2998993408953609,0.2694975195351662,0.270891848853977,0.6399544361068733,0.29441289056177045,0.2672569274125032,,
