"accepted_species","I1.1/1"
"t74","1"
"t75","1"
"t97","1"
"t98","1"
"t59","0"
"t60","0"
"t19","0"
"t85","1"
"t86","0"
"t52","1"
"t53","0"
"t54","0"
"t28","0"
"t18","0"
"t11","0"
"t44","0"
"t45","0"
"t21","1"
"t40","1"
"t41","1"
"t70","0"
"t71","0"
"t26","1"
"t5","0"
"t24","1"
"t25","1"
"t95","1"
"t96","1"
"t17","0"
"t1","0"
"t6","1"
"t66","0"
"t67","0"
"t83","1"
"t84","0"
"t87","1"
"t88","0"
"t43","0"
"t49","1"
"t31","0"
"t7","0"
"t13","1"
"t14","1"
"t22","1"
"t16","1"
"t58","1"
"t91","1"
"t92","1"
"t82","0"
"t33","1"
"t30","1"
"t9","0"
"t8","1"
"t2","1"
"t55","1"
"t93","0"
"t94","0"
"t29","0"
"t48","0"
"t61","0"
"t64","0"
"t65","0"
"t50","0"
"t51","0"
"t36","0"
"t23","1"
"t46","0"
"t47","1"
"t99","0"
"t100","1"
"t4","0"
"t32","0"
"t62","0"
"t63","0"
"t38","0"
"t39","0"
"t76","0"
"t77","0"
"t37","1"
"t35","0"
"t15","0"
"t27","0"
"t80","1"
"t81","1"
"t12","1"
"t3","1"
"t42","1"
"t56","1"
"t57","1"
"t10","1"
"t34","0"
"t89","1"
"t90","1"
"t78","0"
"t79","0"
"t72","1"
"t73","1"
"t68","0"
"t69","0"
"t20","0"
