,lambda,kappa,Ev Model,phylopars,picante,phylnn_fill_means,linear_eigenvecs,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_umap,xgb_autoencoded
count,100.0,100.0,300,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
unique,,,4,,,,,,,,,
top,,,EB,,,,,,,,,
freq,,,100,,,,,,,,,
mean,0.5152341072401032,0.5360208793985657,,0.5397902591761046,0.5502597149788448,0.7454195758720158,1.1816336021956841,0.7588517486269618,0.7278903464694321,0.5910949842283931,0.6107471215332168,0.5966907080043543
std,0.25696148146602754,0.28843025847863313,,0.24682692931382072,0.2579240713716572,0.31268252587811624,4.017431679259128,1.067537476487316,0.6281115219236688,0.2779317692877492,0.24075519776276263,0.2624274125827777
min,0.0034050941467285,0.0157201017718762,,0.12436085471540033,0.12436085471540008,0.22236663390500175,0.154026611325517,0.23348633685292994,0.2194193638366674,0.16243104583335272,0.18474596526318818,0.12070385833163373
25%,0.3011042964644735,0.32333793287398277,,0.3510124972085945,0.3498289210464608,0.5403966489537888,0.4660016013707598,0.47815691351009215,0.48745767667538475,0.39949875082150593,0.42282979458541614,0.42736292944018217
50%,0.5421510797459634,0.5349884129827844,,0.49358823572256993,0.5073826295192081,0.6847262776845326,0.6012318440639022,0.6263659699758357,0.619787737013426,0.5393055136515985,0.5921184402776832,0.5556195950555407
75%,0.7178868756745944,0.765899818681646,,0.6770080157318727,0.7054482571009874,0.8691692057020577,0.7747554009464692,0.8009209051785053,0.7865213638202416,0.723588236377653,0.7633073262410164,0.7164653563531111
max,0.969793748343363,0.998171331360936,,1.5598567227900724,1.5599495767966531,2.525099047559255,48.063461812855664,15.057182256476107,6.54619723819354,2.26082953154152,1.4649237556322352,1.9951850381446963
