"","t1","t6","t30","t31","t21","t32","t171","t172","t39","t40","t25","t150","t151","t139","t14","t5","t2","t169","t170","t106","t107","t53","t44","t61","t62","t48","t92","t93","t131","t132","t49","t111","t157","t158","t148","t149","t129","t94","t109","t110","t36","t37","t50","t51","t45","t41","t153","t154","t152","t167","t168","t112","t113","t70","t71","t144","t145","t33","t20","t137","t138","t161","t162","t66","t101","t102","t69","t15","t79","t142","t143","t130","t73","t63","t135","t136","t114","t59","t7","t120","t121","t108","t86","t103","t104","t85","t97","t98","t118","t119","t95","t38","t89","t116","t117","t82","t133","t134","t52","t56","t57","t23","t24","t17","t10","t12","t83","t84","t27","t55","t163","t164","t3","t78","t122","t123","t105","t127","t128","t72","t60","t29","t8","t4","t9","t34","t35","t46","t47","t81","t125","t126","t100","t165","t166","t115","t80","t67","t159","t160","t18","t19","t28","t87","t88","t76","t77","t68","t42","t124","t155","t156","t96","t99","t140","t141","t58","t146","t147","t43","t74","t75","t54","t13","t11","t16","t90","t91","t64","t65","t26","t22"
"t1",0,1.9388394253,5.1942740585,3.2195406062,3.6162391933,3.3879492894,5.19427405866,5.19427405866,4.3655442292,3.7403916886,6.8260428207,8.13393822407,8.22389301802,8.223893018,8.1754705634,4.5908500341,4.2157714116,8.22389301938,8.22389301938,8.223893019,8.223893019,6.87243757801,7.565133283,7.50693152594,7.67958608984,6.93937078644,8.223893019,8.223893019,8.1263379596,8.223893019,7.038203921,8.2238930187,8.2238930187,8.2238930187,8.2238930186,8.2238930186,8.2238930187,8.22389301869,7.78283805142,8.22389301859,7.69975597,8.223893019,8.22389301896,7.52368659176,7.5984710443,6.7693972562,8.223893018797,8.223893018797,8.2238930188,8.22389301876,8.22389301876,8.0082042621,8.2238930188,7.3768468393,8.2238930191,8.2238930183,8.2238930183,7.7171149245,5.9828828525,8.22389301908,8.22389301908,8.22389301885,8.22389301885,7.19318662454,7.640982261761,8.2238930189,8.2238930193,5.42567418608,8.22389301876,8.2238930188,8.2238930188,8.22389301876,7.44482730608,8.223893019,8.2238930186,8.2238930186,8.2238930187,8.22389301838,5.0347338203,8.2238930188,8.2238930188,7.74486470223,8.22389301858,8.22389301858,8.22389301858,8.22389301868,8.22389301858,7.71041180188,8.22389301858,8.22389301858,8.22389301858,8.2238930191,8.22389301859,8.22389301849,8.22389301849,8.22389301859,8.22389301859,8.13889176115,7.75153190419,8.22389301849,7.08390921204,5.9587336149,6.554478939,5.586894844213,5.7987327037,5.28870034371,8.22389301851,8.22389301851,7.1707238218,8.223893019,8.22389301842,8.22389301842,4.583317606,8.2238930187,8.2238930186,8.2238930186,7.8306837203,8.07370278555,8.0946879687,8.2238930188,7.5624799695,6.4217901415,4.90311465671,4.5056178358,5.2504169388,8.2238930189,6.47048962587,8.22389301807,7.02716646087,7.48205869819,8.2238930185,8.2238930185,8.2238930185,8.22389301851,8.22389301851,8.2238930185,8.2238930186,8.2238930186,8.22389301843,8.22389301843,6.60669242155,6.76716157755,8.22389301826,8.22389301876,8.22389301876,8.22389301836,8.22389301836,8.22389301886,6.61889710046,8.18721949636,8.22389301836,8.22389301836,8.22389301836,8.22389301842,8.22389301832,8.22389301832,8.22389301846,8.22389301866,8.22389301866,7.22951465586,7.92058703866,7.64601876196,7.12991836216,8.11496689546,5.33629694651,6.752193725,7.61508419677,8.120705514,8.2238930187,7.5499974892,7.3490232437,5.79018265081
"t6",1.9388394253,0,3.7727765368,1.7980430845,2.5493785322,2.3210886283,4.12741339756,4.12741339756,3.2986835681,2.6735310275,7.4712852442,8.77918064757,8.86913544152,8.8691354415,8.8207129869,5.2360924576,4.8610138351,8.86913544288,8.86913544288,8.8691354425,8.8691354425,7.51768000151,8.2103757065,8.15217394944,8.32482851334,7.58461320994,8.8691354425,8.8691354425,8.7715803831,8.8691354425,7.6834463445,8.8691354422,8.8691354422,8.8691354422,8.8691354421,8.8691354421,8.8691354422,8.86913544219,8.42808047492,8.86913544209,8.3449983935,8.8691354425,8.86913544246,8.16892901526,8.2437134678,7.4146396797,8.869135442297,8.869135442297,8.8691354423,8.86913544226,8.86913544226,8.6534466856,8.8691354423,8.0220892628,8.8691354426,8.8691354418,8.8691354418,8.362357348,6.628125276,8.86913544258,8.86913544258,8.86913544235,8.86913544235,7.83842904804,8.286224685261,8.8691354424,8.8691354428,6.07091660958,8.86913544226,8.8691354423,8.8691354423,8.86913544226,8.09006972958,8.8691354425,8.8691354421,8.8691354421,8.8691354422,8.86913544188,5.6799762438,8.8691354423,8.8691354423,8.39010712573,8.86913544208,8.86913544208,8.86913544208,8.86913544218,8.86913544208,8.35565422538,8.86913544208,8.86913544208,8.86913544208,8.8691354426,8.86913544209,8.86913544199,8.86913544199,8.86913544209,8.86913544209,8.78413418465,8.39677432769,8.86913544199,7.72915163554,6.6039760384,7.1997213625,6.232137267713,6.4439751272,5.93394276721,8.86913544201,8.86913544201,7.8159662453,8.8691354425,8.86913544192,8.86913544192,5.2285600295,8.8691354422,8.8691354421,8.8691354421,8.4759261438,8.71894520905,8.7399303922,8.8691354423,8.207722393,7.067032565,5.54835708021,5.1508602593,5.8956593623,8.8691354424,7.11573204937,8.86913544157,7.67240888437,8.12730112169,8.869135442,8.869135442,8.869135442,8.86913544201,8.86913544201,8.869135442,8.8691354421,8.8691354421,8.86913544193,8.86913544193,7.25193484505,7.41240400105,8.86913544176,8.86913544226,8.86913544226,8.86913544186,8.86913544186,8.86913544236,7.26413952396,8.83246191986,8.86913544186,8.86913544186,8.86913544186,8.86913544192,8.86913544182,8.86913544182,8.86913544196,8.86913544216,8.86913544216,7.87475707936,8.56582946216,8.29126118546,7.77516078566,8.76020931896,5.98153937001,7.3974361485,8.26032662027,8.7659479375,8.8691354422,8.1952399127,7.9942656672,6.43542507431
"t30",5.1942740585,3.7727765368,0,2.0402269297,5.8048131654,5.5765232615,7.38284803076,7.38284803076,6.5541182013,5.9289656607,10.7267198774,12.03461528077,12.12457007472,12.1245700747,12.0761476201,8.4915270908,8.1164484683,12.12457007608,12.12457007608,12.1245700757,12.1245700757,10.77311463471,11.4658103397,11.40760858264,11.58026314654,10.84004784314,12.1245700757,12.1245700757,12.0270150163,12.1245700757,10.9388809777,12.1245700754,12.1245700754,12.1245700754,12.1245700753,12.1245700753,12.1245700754,12.12457007539,11.68351510812,12.12457007529,11.6004330267,12.1245700757,12.12457007566,11.42436364846,11.499148101,10.6700743129,12.124570075497,12.124570075497,12.1245700755,12.12457007546,12.12457007546,11.9088813188,12.1245700755,11.277523896,12.1245700758,12.124570075,12.124570075,11.6177919812,9.8835599092,12.12457007578,12.12457007578,12.12457007555,12.12457007555,11.09386368124,11.541659318461,12.1245700756,12.124570076,9.32635124278,12.12457007546,12.1245700755,12.1245700755,12.12457007546,11.34550436278,12.1245700757,12.1245700753,12.1245700753,12.1245700754,12.12457007508,8.935410877,12.1245700755,12.1245700755,11.64554175893,12.12457007528,12.12457007528,12.12457007528,12.12457007538,12.12457007528,11.61108885858,12.12457007528,12.12457007528,12.12457007528,12.1245700758,12.12457007529,12.12457007519,12.12457007519,12.12457007529,12.12457007529,12.03956881785,11.65220896089,12.12457007519,10.98458626874,9.8594106716,10.4551559957,9.487571900913,9.6994097604,9.18937740041,12.12457007521,12.12457007521,11.0714008785,12.1245700757,12.12457007512,12.12457007512,8.4839946627,12.1245700754,12.1245700753,12.1245700753,11.731360777,11.97437984225,11.9953650254,12.1245700755,11.4631570262,10.3224671982,8.80379171341,8.4062948925,9.1510939955,12.1245700756,10.37116668257,12.12457007477,10.92784351757,11.38273575489,12.1245700752,12.1245700752,12.1245700752,12.12457007521,12.12457007521,12.1245700752,12.1245700753,12.1245700753,12.12457007513,12.12457007513,10.50736947825,10.66783863425,12.12457007496,12.12457007546,12.12457007546,12.12457007506,12.12457007506,12.12457007556,10.51957415716,12.08789655306,12.12457007506,12.12457007506,12.12457007506,12.12457007512,12.12457007502,12.12457007502,12.12457007516,12.12457007536,12.12457007536,11.13019171256,11.82126409536,11.54669581866,11.03059541886,12.01564395216,9.23697400321,10.6528707817,11.51576125347,12.0213825707,12.1245700754,11.4506745459,11.2497003004,9.69085970751
"t31",3.2195406062,1.7980430845,2.0402269297,0,3.8300797131,3.6017898092,5.40811457846,5.40811457846,4.579384749,3.9542322084,8.7519864251,10.05988182847,10.14983662242,10.1498366224,10.1014141678,6.5167936385,6.141715016,10.14983662378,10.14983662378,10.1498366234,10.1498366234,8.79838118241,9.4910768874,9.43287513034,9.60552969424,8.86531439084,10.1498366234,10.1498366234,10.052281564,10.1498366234,8.9641475254,10.1498366231,10.1498366231,10.1498366231,10.149836623,10.149836623,10.1498366231,10.14983662309,9.70878165582,10.14983662299,9.6256995744,10.1498366234,10.14983662336,9.44963019616,9.5244146487,8.6953408606,10.149836623197,10.149836623197,10.1498366232,10.14983662316,10.14983662316,9.9341478665,10.1498366232,9.3027904437,10.1498366235,10.1498366227,10.1498366227,9.6430585289,7.9088264569,10.14983662348,10.14983662348,10.14983662325,10.14983662325,9.11913022894,9.566925866161,10.1498366233,10.1498366237,7.35161779048,10.14983662316,10.1498366232,10.1498366232,10.14983662316,9.37077091048,10.1498366234,10.149836623,10.149836623,10.1498366231,10.14983662278,6.9606774247,10.1498366232,10.1498366232,9.67080830663,10.14983662298,10.14983662298,10.14983662298,10.14983662308,10.14983662298,9.63635540628,10.14983662298,10.14983662298,10.14983662298,10.1498366235,10.14983662299,10.14983662289,10.14983662289,10.14983662299,10.14983662299,10.06483536555,9.67747550859,10.14983662289,9.00985281644,7.8846772193,8.4804225434,7.512838448613,7.7246763081,7.21464394811,10.14983662291,10.14983662291,9.0966674262,10.1498366234,10.14983662282,10.14983662282,6.5092612104,10.1498366231,10.149836623,10.149836623,9.7566273247,9.99964638995,10.0206315731,10.1498366232,9.4884235739,8.3477337459,6.82905826111,6.4315614402,7.1763605432,10.1498366233,8.39643323027,10.14983662247,8.95311006527,9.40800230259,10.1498366229,10.1498366229,10.1498366229,10.14983662291,10.14983662291,10.1498366229,10.149836623,10.149836623,10.14983662283,10.14983662283,8.53263602595,8.69310518195,10.14983662266,10.14983662316,10.14983662316,10.14983662276,10.14983662276,10.14983662326,8.54484070486,10.11316310076,10.14983662276,10.14983662276,10.14983662276,10.14983662282,10.14983662272,10.14983662272,10.14983662286,10.14983662306,10.14983662306,9.15545826026,9.84653064306,9.57196236636,9.05586196656,10.04091049986,7.26224055091,8.6781373294,9.54102780117,10.0466491184,10.1498366231,9.4759410936,9.2749668481,7.71612625521
"t21",3.6162391933,2.5493785322,5.8048131654,3.8300797131,0,1.7502081523,3.55653292156,3.55653292156,2.7278030921,2.1026505515,9.1486850122,10.45658041557,10.54653520952,10.5465352095,10.4981127549,6.9134922256,6.5384136031,10.54653521088,10.54653521088,10.5465352105,10.5465352105,9.19507976951,9.8877754745,9.82957371744,10.00222828134,9.26201297794,10.5465352105,10.5465352105,10.4489801511,10.5465352105,9.3608461125,10.5465352102,10.5465352102,10.5465352102,10.5465352101,10.5465352101,10.5465352102,10.54653521019,10.10548024292,10.54653521009,10.0223981615,10.5465352105,10.54653521046,9.84632878326,9.9211132358,9.0920394477,10.546535210297,10.546535210297,10.5465352103,10.54653521026,10.54653521026,10.3308464536,10.5465352103,9.6994890308,10.5465352106,10.5465352098,10.5465352098,10.039757116,8.305525044,10.54653521058,10.54653521058,10.54653521035,10.54653521035,9.51582881604,9.963624453261,10.5465352104,10.5465352108,7.74831637758,10.54653521026,10.5465352103,10.5465352103,10.54653521026,9.76746949758,10.5465352105,10.5465352101,10.5465352101,10.5465352102,10.54653520988,7.3573760118,10.5465352103,10.5465352103,10.06750689373,10.54653521008,10.54653521008,10.54653521008,10.54653521018,10.54653521008,10.03305399338,10.54653521008,10.54653521008,10.54653521008,10.5465352106,10.54653521009,10.54653520999,10.54653520999,10.54653521009,10.54653521009,10.46153395265,10.07417409569,10.54653520999,9.40655140354,8.2813758064,8.8771211305,7.909537035713,8.1213748952,7.61134253521,10.54653521001,10.54653521001,9.4933660133,10.5465352105,10.54653520992,10.54653520992,6.9059597975,10.5465352102,10.5465352101,10.5465352101,10.1533259118,10.39634497705,10.4173301602,10.5465352103,9.885122161,8.744432333,7.22575684821,6.8282600273,7.5730591303,10.5465352104,8.79313181737,10.54653520957,9.34980865237,9.80470088969,10.54653521,10.54653521,10.54653521,10.54653521001,10.54653521001,10.54653521,10.5465352101,10.5465352101,10.54653520993,10.54653520993,8.92933461305,9.08980376905,10.54653520976,10.54653521026,10.54653521026,10.54653520986,10.54653520986,10.54653521036,8.94153929196,10.50986168786,10.54653520986,10.54653520986,10.54653520986,10.54653520992,10.54653520982,10.54653520982,10.54653520996,10.54653521016,10.54653521016,9.55215684736,10.24322923016,9.96866095346,9.45256055366,10.43760908696,7.65893913801,9.0748359165,9.93772638827,10.4433477055,10.5465352102,9.8726396807,9.6716654352,8.11282484231
"t32",3.3879492894,2.3210886283,5.5765232615,3.6017898092,1.7502081523,0,1.93057986966,1.93057986966,1.3336724274,0.7085198868,8.9203951083,10.22829051167,10.31824530562,10.3182453056,10.269822851,6.6852023217,6.3101236992,10.31824530698,10.31824530698,10.3182453066,10.3182453066,8.96678986561,9.6594855706,9.60128381354,9.77393837744,9.03372307404,10.3182453066,10.3182453066,10.2206902472,10.3182453066,9.1325562086,10.3182453063,10.3182453063,10.3182453063,10.3182453062,10.3182453062,10.3182453063,10.31824530629,9.87719033902,10.31824530619,9.7941082576,10.3182453066,10.31824530656,9.61803887936,9.6928233319,8.8637495438,10.318245306397,10.318245306397,10.3182453064,10.31824530636,10.31824530636,10.1025565497,10.3182453064,9.4711991269,10.3182453067,10.3182453059,10.3182453059,9.8114672121,8.0772351401,10.31824530668,10.31824530668,10.31824530645,10.31824530645,9.28753891214,9.735334549361,10.3182453065,10.3182453069,7.52002647368,10.31824530636,10.3182453064,10.3182453064,10.31824530636,9.53917959368,10.3182453066,10.3182453062,10.3182453062,10.3182453063,10.31824530598,7.1290861079,10.3182453064,10.3182453064,9.83921698983,10.31824530618,10.31824530618,10.31824530618,10.31824530628,10.31824530618,9.80476408948,10.31824530618,10.31824530618,10.31824530618,10.3182453067,10.31824530619,10.31824530609,10.31824530609,10.31824530619,10.31824530619,10.23324404875,9.84588419179,10.31824530609,9.17826149964,8.0530859025,8.6488312266,7.681247131813,7.8930849913,7.38305263131,10.31824530611,10.31824530611,9.2650761094,10.3182453066,10.31824530602,10.31824530602,6.6776698936,10.3182453063,10.3182453062,10.3182453062,9.9250360079,10.16805507315,10.1890402563,10.3182453064,9.6568322571,8.5161424291,6.99746694431,6.5999701234,7.3447692264,10.3182453065,8.56484191347,10.31824530567,9.12151874847,9.57641098579,10.3182453061,10.3182453061,10.3182453061,10.31824530611,10.31824530611,10.3182453061,10.3182453062,10.3182453062,10.31824530603,10.31824530603,8.70104470915,8.86151386515,10.31824530586,10.31824530636,10.31824530636,10.31824530596,10.31824530596,10.31824530646,8.71324938806,10.28157178396,10.31824530596,10.31824530596,10.31824530596,10.31824530602,10.31824530592,10.31824530592,10.31824530606,10.31824530626,10.31824530626,9.32386694346,10.01493932626,9.74037104956,9.22427064976,10.20931918306,7.43064923411,8.8465460126,9.70943648437,10.2150578016,10.3182453063,9.6443497768,9.4433755313,7.88453493841
"t171",5.19427405866,4.12741339756,7.38284803076,5.40811457846,3.55653292156,1.93057986966,0,0.00223099692,3.13999719666,2.51484465606,10.72671987756,12.03461528093,12.12457007488,12.12457007486,12.07614762026,8.49152709096,8.11644846846,12.12457007624,12.12457007624,12.12457007586,12.12457007586,10.77311463487,11.46581033986,11.4076085828,11.5802631467,10.8400478433,12.12457007586,12.12457007586,12.02701501646,12.12457007586,10.93888097786,12.12457007556,12.12457007556,12.12457007556,12.12457007546,12.12457007546,12.12457007556,12.12457007555,11.68351510828,12.12457007545,11.60043302686,12.12457007586,12.12457007582,11.42436364862,11.49914810116,10.67007431306,12.124570075657,12.124570075657,12.12457007566,12.12457007562,12.12457007562,11.90888131896,12.12457007566,11.27752389616,12.12457007596,12.12457007516,12.12457007516,11.61779198136,9.88355990936,12.12457007594,12.12457007594,12.12457007571,12.12457007571,11.0938636814,11.541659318621,12.12457007576,12.12457007616,9.32635124294,12.12457007562,12.12457007566,12.12457007566,12.12457007562,11.34550436294,12.12457007586,12.12457007546,12.12457007546,12.12457007556,12.12457007524,8.93541087716,12.12457007566,12.12457007566,11.64554175909,12.12457007544,12.12457007544,12.12457007544,12.12457007554,12.12457007544,11.61108885874,12.12457007544,12.12457007544,12.12457007544,12.12457007596,12.12457007545,12.12457007535,12.12457007535,12.12457007545,12.12457007545,12.03956881801,11.65220896105,12.12457007535,10.9845862689,9.85941067176,10.45515599586,9.487571901073,9.69940976056,9.18937740057,12.12457007537,12.12457007537,11.07140087866,12.12457007586,12.12457007528,12.12457007528,8.48399466286,12.12457007556,12.12457007546,12.12457007546,11.73136077716,11.97437984241,11.99536502556,12.12457007566,11.46315702636,10.32246719836,8.80379171357,8.40629489266,9.15109399566,12.12457007576,10.37116668273,12.12457007493,10.92784351773,11.38273575505,12.12457007536,12.12457007536,12.12457007536,12.12457007537,12.12457007537,12.12457007536,12.12457007546,12.12457007546,12.12457007529,12.12457007529,10.50736947841,10.66783863441,12.12457007512,12.12457007562,12.12457007562,12.12457007522,12.12457007522,12.12457007572,10.51957415732,12.08789655322,12.12457007522,12.12457007522,12.12457007522,12.12457007528,12.12457007518,12.12457007518,12.12457007532,12.12457007552,12.12457007552,11.13019171272,11.82126409552,11.54669581882,11.03059541902,12.01564395232,9.23697400337,10.65287078186,11.51576125363,12.02138257086,12.12457007556,11.45067454606,11.24970030056,9.69085970767
"t172",5.19427405866,4.12741339756,7.38284803076,5.40811457846,3.55653292156,1.93057986966,0.00223099692,0,3.13999719666,2.51484465606,10.72671987756,12.03461528093,12.12457007488,12.12457007486,12.07614762026,8.49152709096,8.11644846846,12.12457007624,12.12457007624,12.12457007586,12.12457007586,10.77311463487,11.46581033986,11.4076085828,11.5802631467,10.8400478433,12.12457007586,12.12457007586,12.02701501646,12.12457007586,10.93888097786,12.12457007556,12.12457007556,12.12457007556,12.12457007546,12.12457007546,12.12457007556,12.12457007555,11.68351510828,12.12457007545,11.60043302686,12.12457007586,12.12457007582,11.42436364862,11.49914810116,10.67007431306,12.124570075657,12.124570075657,12.12457007566,12.12457007562,12.12457007562,11.90888131896,12.12457007566,11.27752389616,12.12457007596,12.12457007516,12.12457007516,11.61779198136,9.88355990936,12.12457007594,12.12457007594,12.12457007571,12.12457007571,11.0938636814,11.541659318621,12.12457007576,12.12457007616,9.32635124294,12.12457007562,12.12457007566,12.12457007566,12.12457007562,11.34550436294,12.12457007586,12.12457007546,12.12457007546,12.12457007556,12.12457007524,8.93541087716,12.12457007566,12.12457007566,11.64554175909,12.12457007544,12.12457007544,12.12457007544,12.12457007554,12.12457007544,11.61108885874,12.12457007544,12.12457007544,12.12457007544,12.12457007596,12.12457007545,12.12457007535,12.12457007535,12.12457007545,12.12457007545,12.03956881801,11.65220896105,12.12457007535,10.9845862689,9.85941067176,10.45515599586,9.487571901073,9.69940976056,9.18937740057,12.12457007537,12.12457007537,11.07140087866,12.12457007586,12.12457007528,12.12457007528,8.48399466286,12.12457007556,12.12457007546,12.12457007546,11.73136077716,11.97437984241,11.99536502556,12.12457007566,11.46315702636,10.32246719836,8.80379171357,8.40629489266,9.15109399566,12.12457007576,10.37116668273,12.12457007493,10.92784351773,11.38273575505,12.12457007536,12.12457007536,12.12457007536,12.12457007537,12.12457007537,12.12457007536,12.12457007546,12.12457007546,12.12457007529,12.12457007529,10.50736947841,10.66783863441,12.12457007512,12.12457007562,12.12457007562,12.12457007522,12.12457007522,12.12457007572,10.51957415732,12.08789655322,12.12457007522,12.12457007522,12.12457007522,12.12457007528,12.12457007518,12.12457007518,12.12457007532,12.12457007552,12.12457007552,11.13019171272,11.82126409552,11.54669581882,11.03059541902,12.01564395232,9.23697400337,10.65287078186,11.51576125363,12.02138257086,12.12457007556,11.45067454606,11.24970030056,9.69085970767
"t39",4.3655442292,3.2986835681,6.5541182013,4.579384749,2.7278030921,1.3336724274,3.13999719666,3.13999719666,0,1.0824486584,9.8979900481,11.20588545147,11.29584024542,11.2958402454,11.2474177908,7.6627972615,7.287718639,11.29584024678,11.29584024678,11.2958402464,11.2958402464,9.94438480541,10.6370805104,10.57887875334,10.75153331724,10.01131801384,11.2958402464,11.2958402464,11.198285187,11.2958402464,10.1101511484,11.2958402461,11.2958402461,11.2958402461,11.295840246,11.295840246,11.2958402461,11.29584024609,10.85478527882,11.29584024599,10.7717031974,11.2958402464,11.29584024636,10.59563381916,10.6704182717,9.8413444836,11.295840246197,11.295840246197,11.2958402462,11.29584024616,11.29584024616,11.0801514895,11.2958402462,10.4487940667,11.2958402465,11.2958402457,11.2958402457,10.7890621519,9.0548300799,11.29584024648,11.29584024648,11.29584024625,11.29584024625,10.26513385194,10.712929489161,11.2958402463,11.2958402467,8.49762141348,11.29584024616,11.2958402462,11.2958402462,11.29584024616,10.51677453348,11.2958402464,11.295840246,11.295840246,11.2958402461,11.29584024578,8.1066810477,11.2958402462,11.2958402462,10.81681192963,11.29584024598,11.29584024598,11.29584024598,11.29584024608,11.29584024598,10.78235902928,11.29584024598,11.29584024598,11.29584024598,11.2958402465,11.29584024599,11.29584024589,11.29584024589,11.29584024599,11.29584024599,11.21083898855,10.82347913159,11.29584024589,10.15585643944,9.0306808423,9.6264261664,8.658842071613,8.8706799311,8.36064757111,11.29584024591,11.29584024591,10.2426710492,11.2958402464,11.29584024582,11.29584024582,7.6552648334,11.2958402461,11.295840246,11.295840246,10.9026309477,11.14565001295,11.1666351961,11.2958402462,10.6344271969,9.4937373689,7.97506188411,7.5775650632,8.3223641662,11.2958402463,9.54243685327,11.29584024547,10.09911368827,10.55400592559,11.2958402459,11.2958402459,11.2958402459,11.29584024591,11.29584024591,11.2958402459,11.295840246,11.295840246,11.29584024583,11.29584024583,9.67863964895,9.83910880495,11.29584024566,11.29584024616,11.29584024616,11.29584024576,11.29584024576,11.29584024626,9.69084432786,11.25916672376,11.29584024576,11.29584024576,11.29584024576,11.29584024582,11.29584024572,11.29584024572,11.29584024586,11.29584024606,11.29584024606,10.30146188326,10.99253426606,10.71796598936,10.20186558956,11.18691412286,8.40824417391,9.8241409524,10.68703142417,11.1926527414,11.2958402461,10.6219447166,10.4209704711,8.86212987821
"t40",3.7403916886,2.6735310275,5.9289656607,3.9542322084,2.1026505515,0.7085198868,2.51484465606,2.51484465606,1.0824486584,0,9.2728375075,10.58073291087,10.67068770482,10.6706877048,10.6222652502,7.0376447209,6.6625660984,10.67068770618,10.67068770618,10.6706877058,10.6706877058,9.31923226481,10.0119279698,9.95372621274,10.12638077664,9.38616547324,10.6706877058,10.6706877058,10.5731326464,10.6706877058,9.4849986078,10.6706877055,10.6706877055,10.6706877055,10.6706877054,10.6706877054,10.6706877055,10.67068770549,10.22963273822,10.67068770539,10.1465506568,10.6706877058,10.67068770576,9.97048127856,10.0452657311,9.216191943,10.670687705597,10.670687705597,10.6706877056,10.67068770556,10.67068770556,10.4549989489,10.6706877056,9.8236415261,10.6706877059,10.6706877051,10.6706877051,10.1639096113,8.4296775393,10.67068770588,10.67068770588,10.67068770565,10.67068770565,9.63998131134,10.087776948561,10.6706877057,10.6706877061,7.87246887288,10.67068770556,10.6706877056,10.6706877056,10.67068770556,9.89162199288,10.6706877058,10.6706877054,10.6706877054,10.6706877055,10.67068770518,7.4815285071,10.6706877056,10.6706877056,10.19165938903,10.67068770538,10.67068770538,10.67068770538,10.67068770548,10.67068770538,10.15720648868,10.67068770538,10.67068770538,10.67068770538,10.6706877059,10.67068770539,10.67068770529,10.67068770529,10.67068770539,10.67068770539,10.58568644795,10.19832659099,10.67068770529,9.53070389884,8.4055283017,9.0012736258,8.033689531013,8.2455273905,7.73549503051,10.67068770531,10.67068770531,9.6175185086,10.6706877058,10.67068770522,10.67068770522,7.0301122928,10.6706877055,10.6706877054,10.6706877054,10.2774784071,10.52049747235,10.5414826555,10.6706877056,10.0092746563,8.8685848283,7.34990934351,6.9524125226,7.6972116256,10.6706877057,8.91728431267,10.67068770487,9.47396114767,9.92885338499,10.6706877053,10.6706877053,10.6706877053,10.67068770531,10.67068770531,10.6706877053,10.6706877054,10.6706877054,10.67068770523,10.67068770523,9.05348710835,9.21395626435,10.67068770506,10.67068770556,10.67068770556,10.67068770516,10.67068770516,10.67068770566,9.06569178726,10.63401418316,10.67068770516,10.67068770516,10.67068770516,10.67068770522,10.67068770512,10.67068770512,10.67068770526,10.67068770546,10.67068770546,9.67630934266,10.36738172546,10.09281344876,9.57671304896,10.56176158226,7.78309163331,9.1989884118,10.06187888357,10.5675002008,10.6706877055,9.996792176,9.7958179305,8.23697733761
