"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110","c111","c112","c113","c114","c115","c116","c117","c118","c119","c120","c121"
"t1",-0.0517091458296656,-0.0557325750247071,0.0123873145933438,-0.00284113262146546,-0.000139410291509784,0.0036784784021184,0.0007778238630641,-0.00226691744001811,0.0166643839373145,-0.0211314207515635,0.0313321623571826,0.00173864202324636,-0.033622594529201,0.00424614992794697,0.00090429013551004,-0.0799767938191831,0.0170515727874649,-0.00058210963584227,-0.0475838470525274,0.0021216170396221,-0.101614222978159,0.0528611459904354,0.481290327442085,-0.168842250641918,-0.00874792178736482,0.389073119520774,-0.268761360308676,0.478860575787825,0.206973468041538,0.413694498146163,-0.00282154611017026,0.112235306538449,0.00251556071316058,-0.000614319403413258,-0.120781307537993,-0.00210418633517478,0.000759707297234495,-0.00628221831594058,-0.0794231570301518,-0.000144783546530704,-0.000279065680423694,-0.00112345196093827,0.00122442992799923,0.000147254127799414,-0.000209263363848717,0.00125192036259738,3.84978393519633e-18,-0.000554963701526058,-1.13115509467054e-05,-0.00136769111095544,-7.40553590150382e-16,-5.92421680661895e-16,-0.000138626287709448,3.19889657137784e-16,0.000575142279578026,2.52141592921147e-15,0.000968935267546629,-0.000175723571529264,0.00830222433562873,-0.000932566957375692,0.000716928261561309,0.00708251147888415,0.00263657514835054,0.000765558197856002,-8.33023684564849e-15,-0.00319298693968022,-1.23666187102762e-16,-0.00172051007390792,-4.8347274370175e-06,-3.95682740892807e-05,5.27639691590661e-06,0.000193585629467478,1.98165552026117e-16,-3.62163223258778e-05,1.07764380835579e-06,-0.000225055063446199,0.000521674260294505,3.52476944482163e-16,0.000537931546397993,-9.45436439570552e-05,5.5629359231054e-05,8.03916353396142e-06,-0.00102920051320424,0.000280198226165827,0.000198450660345628,-1.92862256196332e-16,0.00281873222925932,0.00764707608996755,-7.35117344450354e-17,-0.00291850372718124,0.00252095215538056,-3.77400516533339e-16,-4.59914315364909e-06,-1.68480843984862e-06,-7.16793378096259e-17,2.09826377894115e-16,-1.72730039282834e-05,-5.66594695733958e-05,1.19715958637475e-16,-2.23456835807888e-05,-0.000457541197803938,1.65715761564098e-15,2.51945669718604e-17,1.7134013915264e-16,-3.22632271357446e-06,3.57647177653065e-16,-9.56487727644534e-18,1.28931782028598e-16,-6.96615810470625e-16,-2.33734839637219e-16,7.14883325974211e-17,6.29353327305775e-16,-0.000109474247005484,2.40865645964221e-06,1.35094148614725e-06,9.50684896464435e-16,6.94951430242109e-16,-1.8259193597154e-15,1.34220627375102e-15,-8.34061613574677e-16,1.55436360797104e-13
"t6",-0.114426138616858,-0.199028048377942,-0.0335553187412826,0.00385187803771056,4.31956223266215e-05,-0.00100060246611844,-0.000103645905748712,0.000236939619255416,-0.0166583532205937,-0.000537927606403796,2.45422431055832e-05,5.34337000553692e-05,-0.00214173853050551,0.000405189934443836,0.000102707441743636,-0.100645889084201,-0.00117694566078735,1.72608401666958e-05,-0.00122419481240148,6.80232856399021e-05,-0.00630623968720354,0.00412139369216271,0.0418279676428963,-0.0148938652593899,-0.000820865235660165,0.0373422565679889,-0.0378046214593668,0.0797394016960957,-0.109039276328182,0.0416937764832801,-0.000305506968660832,0.0215290637378547,0.000484945062074895,-0.000519095013898559,0.46666094717266,0.000555168370647833,1.60295813009572e-05,-0.000249735534776615,0.781758796846453,0.000112875611976638,6.45757539357222e-05,0.000253523061016192,-0.000111367316334332,-7.0667923798177e-06,8.70776541057824e-06,-4.25570192440734e-05,1.65406353914189e-15,-2.25762658422654e-07,-2.29760544769363e-07,-2.8789125772236e-05,1.0700097519978e-14,1.30479608869859e-14,-5.78197076513923e-06,-1.36949072937376e-15,4.27003466097425e-05,7.49237504184644e-15,8.34884142929338e-05,-1.82388080081118e-05,0.270218919131033,9.9803408481201e-05,1.1779448293154e-05,0.000293425136357993,0.0170199951674986,9.89908790162376e-06,-3.99069162384444e-15,-0.000143139784940607,-2.39489087798432e-15,-0.000100107782444809,-2.85543048287512e-07,-2.34988594853989e-06,3.15262665960538e-07,1.16397992301306e-05,-2.43112839561401e-15,-2.23056517616767e-06,6.72966360175929e-08,-1.40829013934877e-05,0.00312192950204914,7.2844301079159e-16,3.37688388198506e-05,-5.99179834293256e-06,3.5793902133044e-06,5.25287202082903e-07,-6.77014351802414e-05,1.84983731815303e-05,1.3111144821955e-05,3.36661119831101e-16,0.000191069741635326,0.000518993676539787,-9.39038804114528e-17,-0.000200731750929278,0.000173608776603061,9.14886569784249e-16,-3.20661430270009e-07,-1.20836901351368e-07,3.63670669520585e-16,-3.65914169531547e-15,-1.274571316593e-06,-4.23349188255168e-06,-1.05990044870282e-15,-0.000245141041779059,-3.51910169523567e-05,-3.59879841026122e-15,9.71662112275078e-16,-6.6017468128031e-16,-2.51462434749616e-07,-4.42372926708577e-15,-3.47261169246553e-16,8.6247270171009e-16,4.50315573717154e-17,6.79413804079533e-16,1.14467431667969e-16,-1.82106985373752e-15,-8.80447656125414e-06,1.95051906506718e-07,1.09573102793451e-07,-6.67607536027369e-16,-1.18896939156876e-15,-5.98756359203606e-16,1.52233314154559e-15,-1.48031587361078e-15,1.53666053037472e-13
"t10",-0.120160979151974,-0.212234440968156,-0.0379145132509979,0.00449725965364268,6.27270296496383e-05,-0.00151018642779977,-0.000215702102173032,0.000585667026180401,-0.163701395230205,-0.00813163704485533,0.0022117360332235,-0.000110970125886928,0.0021776232946699,-0.000278718143291672,-6.08196890231735e-05,0.0269350462799778,9.88980720490546e-05,-5.48749696849379e-07,-0.000117113754531128,7.77669181244572e-06,-0.00127468669372849,0.000991386467692536,0.0107865278486059,-0.00387442839200647,-0.000220899856669017,0.0101647332333144,-0.0116436247316529,0.0251614122161955,-0.0365117954201297,0.015667921453985,-0.000116418878954744,0.00955008094076538,0.000215412959276471,-0.000296571100697345,0.294487202916439,0.000443043988706365,-3.80904311292457e-05,0.00026859677818416,0.0407136160451285,7.49108211098429e-06,5.89932311052549e-06,2.33294322664302e-05,-1.28765978836284e-05,-8.92809045503585e-07,1.11231226403574e-06,-5.49670714261577e-06,4.09414571919442e-16,-2.82770232888065e-08,-2.17801620711011e-08,-2.66561470709457e-06,9.46619017889376e-15,-6.8433774749287e-15,3.31846726127685e-07,-5.58835174174867e-15,-3.88283795933085e-05,-2.52428026755001e-14,-0.000100629268532217,2.81350206658331e-05,-0.900795241950566,-0.000514588158158952,0.000105071965842103,0.000572763885486439,0.0274997286480383,1.58269597593804e-05,1.45055449533887e-14,-0.00019273963470163,6.63386124402074e-15,-8.12979417869376e-05,-2.26036511810829e-07,-1.84314641047676e-06,2.44835609540389e-07,8.9486345734e-06,9.77166963762729e-15,-1.65387238710076e-06,4.90638808187416e-08,-1.0249727507717e-05,0.0022548959689852,-6.45060267347952e-15,2.4172275136758e-05,-4.24556708578627e-06,2.48901879717519e-06,3.58450808375084e-07,-4.58328731792877e-05,1.24704814158227e-05,8.83121505850546e-06,-1.7616790290304e-15,0.000125115761440092,0.000339415595213334,-4.40480718011387e-15,-0.000129520974547163,0.000111881026360526,-1.19103988195351e-15,-2.0424035852866e-07,-7.51080300396749e-08,-1.11786604306966e-15,1.39753248116475e-14,-7.75545224118235e-07,-2.55492991431377e-06,2.35563357767123e-16,-0.00323761175567394,-2.08674860798626e-05,8.68246910335939e-15,-3.31499202259062e-16,1.00810357388537e-16,-1.48083247744602e-07,5.74114927512584e-15,5.4705725907868e-16,-1.55380614078792e-15,-1.5103355065461e-15,-1.93149731865848e-16,-2.229894000361e-16,4.49802772577883e-15,-5.11227447524755e-06,1.12953097987305e-07,6.34148662605977e-08,2.26976375371997e-15,2.25635658795311e-15,-2.10766807179388e-15,3.20985824213459e-15,-1.53872486713641e-16,1.5661158805788e-13
"t24",-0.123946646342038,-0.220939526578659,-0.0407734526198729,0.00491943952093652,7.53347132516933e-05,-0.00183852766265149,-0.000287091481516094,0.000806929586086084,-0.255741154711283,-0.0128783641672917,0.00357615991430933,-0.000212039757152558,0.0048052486811278,-0.000691712742263797,-0.000159269312281083,0.102472517620575,0.000840007578893719,-1.08082273399976e-05,0.000500633723623549,-2.56074946929143e-05,0.00137926316048283,-0.000599535347631266,-0.00464253056842674,0.00158497645495245,7.22671820121577e-05,-0.00304738906619078,0.000141449329662622,0.00108676935253554,-0.00649967121522769,0.00680129550850007,-5.40269273881671e-05,0.00731482282202267,0.000165533766498289,-0.000344616802863627,0.379087033244117,0.000678797729450489,-0.000102801146507514,0.000816898289717996,-0.387715089448097,-5.13611226650521e-05,-2.44536580836327e-05,-9.54568068684874e-05,3.23813768801674e-05,1.66365446248678e-06,-1.95903953744682e-06,9.0028139692263e-06,-1.21938221141752e-15,3.03565044684714e-08,1.65466160932925e-08,1.9955570308939e-06,2.37282230165293e-15,0.707106781186542,-1.56841192636678e-07,-1.0036811164037e-14,1.18068463602153e-05,3.18393503054898e-15,2.93342699656853e-05,-7.93868262733421e-06,0.235762667039383,0.000131080538140605,-2.43731669579515e-05,-0.000111413828513818,-0.00501950462978034,-2.87669448585748e-06,-1.05744021553764e-14,3.22277143908193e-05,-1.63604256341408e-15,6.81042256623657e-06,1.72544986983042e-08,1.35510104237847e-07,-1.72351459695428e-08,-6.00549048949986e-07,-3.63253058646588e-15,9.00273347815177e-08,-2.3542823381778e-09,4.84837937305911e-07,-9.97349306976463e-05,1.40150364381949e-15,-9.79068338858185e-07,1.53365908494847e-07,-6.86187108071322e-08,-6.55552555776621e-09,6.47988091410866e-07,-1.48120876126256e-07,-1.0081192909207e-07,9.98510281003986e-16,6.31307147306925e-07,1.98278849307491e-06,6.11456464670418e-16,-1.89688833950635e-06,1.73322190223342e-06,1.03743108370052e-15,-4.85949533785447e-09,-3.24797638836886e-09,7.36069747015306e-16,-3.81065480896055e-15,-4.91574249248713e-08,-1.85336972591676e-07,-2.7606160692263e-16,-0.00294491298333176,-1.94974830199034e-06,-1.57387786396593e-15,-7.5952476100022e-18,4.44415381917633e-16,-1.52947607135868e-08,4.65959273264931e-15,3.84456942653394e-17,3.54215697001719e-16,7.07888424412258e-16,2.94492085493115e-16,-4.39322923931828e-16,-1.51401026384127e-15,-6.48438671910187e-07,1.49148073459732e-08,8.45026662368206e-09,-5.35683591746343e-16,2.61407918577414e-16,-1.09597024406306e-15,1.17633989984678e-15,2.32482869955817e-16,1.54173951016268e-13
"t25",-0.123946646342038,-0.220939526578659,-0.0407734526198739,0.00491943952093663,7.53347132517911e-05,-0.00183852766265177,-0.00028709148151639,0.000806929586085429,-0.255741154711283,-0.012878364167293,0.00357615991430959,-0.000212039757153165,0.00480524868112662,-0.000691712742263812,-0.000159269312280674,0.102472517620572,0.00084000757889352,-1.08082273401062e-05,0.000500633723622911,-2.56074946927898e-05,0.00137926316048043,-0.000599535347629833,-0.00464253056842271,0.00158497645495206,7.22671820116624e-05,-0.00304738906619174,0.000141449329663135,0.00108676935253502,-0.00649967121523223,0.00680129550849569,-5.40269273890369e-05,0.00731482282201918,0.000165533766496726,-0.000344616802864529,0.379087033244109,0.000678797729453327,-0.000102801146507692,0.000816898289715677,-0.387715089448075,-5.1361122659078e-05,-2.44536580802761e-05,-9.54568068728676e-05,3.23813768732144e-05,1.66365446181808e-06,-1.95903952985233e-06,9.00281398058372e-06,9.9240433017723e-16,3.03565183854159e-08,1.65466258558643e-08,1.99555701357517e-06,-2.19936593434073e-14,-0.707106781186554,-1.56841012238275e-07,1.57560209671338e-14,1.18068463528884e-05,9.74044578410841e-15,2.93342699740548e-05,-7.9386826340349e-06,0.235762667039394,0.000131080538133272,-2.43731669644417e-05,-0.00011141382851317,-0.00501950462976842,-2.87669449033728e-06,2.05052249837221e-16,3.22277144077275e-05,-2.34094903448777e-15,6.81042256708161e-06,1.72544878409125e-08,1.35510106548256e-07,-1.72351417019216e-08,-6.00549049509013e-07,-1.69324939421228e-15,9.00273321607813e-08,-2.35427782500926e-09,4.84837939521048e-07,-9.97349306959366e-05,1.79027483112266e-15,-9.79068340538027e-07,1.5336591379318e-07,-6.8618704765521e-08,-6.55552733352145e-09,6.47988090398722e-07,-1.48120867619335e-07,-1.00811928059844e-07,1.59775676212731e-16,6.31307150598102e-07,1.98278849803789e-06,1.65835088955233e-15,-1.89688834230167e-06,1.73322190123642e-06,9.89012108863601e-18,-4.85949987163458e-09,-3.24797463193077e-09,-4.87556164675433e-16,-1.62805039269309e-15,-4.915742707568e-08,-1.8533697727728e-07,6.95879385688553e-16,-0.00294491298333367,-1.94974829934138e-06,1.52355993886587e-15,4.94052717348914e-16,-8.63886196922067e-16,-1.52947605463302e-08,-1.84158880511509e-16,2.07958718000047e-16,2.84648330800987e-16,-1.14753776483689e-15,3.9482475225174e-17,3.51608622186554e-16,1.55832556878493e-15,-6.48438671844407e-07,1.49148086092258e-08,8.45026812528405e-09,1.84593052080413e-15,1.14450464633178e-15,-7.72643328958222e-16,9.39292694885203e-16,-1.43839068260087e-15,1.56473714116595e-13
"t85",-0.125867422148158,-0.225374403019223,-0.0422507301698299,0.00513917198662891,8.21467938635959e-05,-0.00201684711700995,-0.000327117085718341,0.000932421711976699,-0.309978256279902,-0.0156862667835836,0.00438789719320221,-0.000274704744576882,0.00648352720993227,-0.000961039702206017,-0.000224026316036886,0.154558129764377,0.00137934611933666,-1.84519514258982e-05,0.00100411541374447,-5.33540903502343e-05,0.00391095989218421,-0.00228060895568778,-0.0219720517424476,0.00777122725961333,0.000417114862304493,-0.0188047457183465,0.0173242067292093,-0.0359577352105501,0.0476420362541476,-0.0180253364348486,0.000132625314949642,-0.0103917259723678,-0.000234388143431838,0.000334576179751659,-0.339862369614218,-0.00053834424327858,6.05446980880841e-05,-0.000459431598945789,0.130840154878961,1.64659620868535e-05,6.93646877484612e-06,2.69659481751353e-05,-7.44592293212545e-06,-3.13554686127755e-07,3.52442379807897e-07,-1.51725919679657e-06,1.48331501769476e-16,-2.9122627640087e-09,-5.2315510516514e-10,-5.759710125424e-08,7.22010202250347e-15,3.91221244360552e-15,-8.57184657707164e-09,-9.38051176539907e-16,1.46522616700488e-06,1.00978787637006e-15,3.81348258298986e-06,-1.06744061942812e-06,0.0340524783507162,1.93897789297563e-05,-3.88815581832334e-06,-2.00017237855731e-05,-0.000934552821800453,-5.36838044675433e-07,-6.34162213214102e-15,6.28058013818394e-06,-2.08857333189696e-15,1.67937330729286e-06,4.34177412082150e-09,3.43603591586572e-08,-4.40745795456554e-09,-1.54950559520864e-07,3.05257024764398e-15,2.40415434583644e-08,-6.39831561676527e-10,1.32011572141216e-07,-2.7384361311294e-05,2.856765550221e-15,-2.71578060754e-07,4.30558703819541e-08,-1.97254815098719e-08,-1.93428903390155e-09,1.93478854140981e-07,-4.45158810911429e-08,-3.03383914174513e-08,1.32785853657584e-16,1.99624457136542e-07,6.28547923137981e-07,2.15418901555321e-15,-6.18872091408664e-07,5.67108959684872e-07,-3.16460961234581e-15,-1.63816022655506e-09,-1.19817994792545e-09,-5.45971116421716e-15,-2.55724233493447e-15,-2.2701718732525e-08,-1.4747389912225e-07,1.03106463215616e-14,-0.405048762422717,-5.18554190843529e-07,-0.707106781186538,-2.51508940929934e-15,-2.15892955400858e-14,-4.67203766358581e-09,2.61033630454863e-14,5.80815775998319e-15,1.54668154335659e-14,8.06084297399398e-15,6.67068259211985e-16,-3.13559179563398e-16,-5.62154174419175e-15,-2.26825772375856e-07,5.31898522081921e-09,3.02636749210999e-09,5.11496290729355e-15,-6.05378614997688e-16,6.25015523068491e-15,-3.7296764925678e-15,-8.86840563741855e-16,1.53542681781627e-13
"t86",-0.125867422148158,-0.225374403019223,-0.0422507301698304,0.00513917198662885,8.21467938635113e-05,-0.00201684711700985,-0.00032711708571818,0.000932421711977143,-0.309978256279902,-0.0156862667835837,0.0043878971932031,-0.000274704744576193,0.00648352720993188,-0.000961039702206042,-0.000224026316036948,0.154558129764378,0.00137934611933573,-1.8451951425684e-05,0.00100411541374439,-5.33540903505777e-05,0.00391095989218528,-0.00228060895568756,-0.0219720517424471,0.00777122725961456,0.000417114862304659,-0.0188047457183476,0.0173242067292082,-0.0359577352105464,0.0476420362541453,-0.0180253364348494,0.000132625314949739,-0.0103917259723674,-0.000234388143431219,0.000334576179753652,-0.339862369614215,-0.000538344243279406,6.05446980886488e-05,-0.000459431598946304,0.130840154878964,1.64659620884543e-05,6.93646877387791e-06,2.69659481749266e-05,-7.44592293118998e-06,-3.13554686227321e-07,3.52442378719761e-07,-1.51725919716936e-06,-3.07172122724014e-16,-2.9122625510138e-09,-5.23155658492483e-10,-5.75970945184713e-08,1.27808056232382e-15,6.60450327832152e-15,-8.57184779373875e-09,-1.83629036967439e-16,1.46522616677624e-06,1.98215751201093e-15,3.81348258282151e-06,-1.06744061890596e-06,0.0340524783507281,1.93897789294907e-05,-3.88815581733939e-06,-2.00017237742827e-05,-0.00093455282179281,-5.36838039943243e-07,4.22207651619574e-15,6.28058013527351e-06,7.58115196483954e-16,1.67937330343418e-06,4.34177155892657e-09,3.43603618556445e-08,-4.40745709506527e-09,-1.54950560610751e-07,1.50509514309018e-15,2.40415494918339e-08,-6.3983503794854e-10,1.32011563546903e-07,-2.73843612909245e-05,-6.26470976145057e-16,-2.71578058161991e-07,4.3055860016219e-08,-1.97254879285931e-08,-1.93430573974528e-09,1.93478856126954e-07,-4.45158778663902e-08,-3.03383926116949e-08,-4.69578423177248e-15,1.99624466499062e-07,6.28547927942894e-07,2.59363047764049e-15,-6.18872093606992e-07,5.67108966101912e-07,-1.09958290779015e-14,-1.63816319791032e-09,-1.1981617014482e-09,8.07528316230625e-17,7.3036631967996e-15,-2.27017293023766e-08,-1.47473936196032e-07,2.0234961125882e-14,-0.405048762422694,-5.18555595683461e-07,0.707106781186557,-2.99699167982102e-15,2.4270142088979e-14,-4.67208961910756e-09,-2.68706693862878e-15,-7.24181564542723e-15,-3.86839739692009e-15,-1.61566895810934e-14,-1.27116272733979e-16,-7.40478018303797e-16,1.33398828405571e-14,-2.26825781139935e-07,5.31902258745258e-09,3.0263739511492e-09,8.8129171560813e-16,-4.96081045893322e-16,-4.49977823622746e-15,3.16006366837664e-15,9.35671570297602e-16,1.56170776612741e-13
"t84",-0.125822917662848,-0.225271878931585,-0.0422168440286771,0.0051341515806099,8.19942543308544e-05,-0.00201286494764894,-0.000326238023190258,0.00092968191442953,-0.308816856018762,-0.0156262551497998,0.00437059760120908,-0.000273395961681214,0.00644896883782666,-0.00095554764329846,-0.000222711063493916,0.153522675947364,0.00136887456484106,-1.83050215583427e-05,0.000994785909053969,-5.2843876045209e-05,0.0038667184667051,-0.00225222758882948,-0.0216850708075764,0.00766905928156639,0.000411483481285134,-0.0185484763385411,0.017059587479391,-0.0353946991399535,0.0468478827254738,-0.0176879336317779,0.000130111695114006,-0.0101729119289411,-0.000229449184133108,0.000326880543404476,-0.331889931221366,-0.000525320446804005,5.89634526525319e-05,-0.000447288581191232,0.12690711351936,1.5964899463522e-05,6.71929129579505e-06,2.61208652067152e-05,-7.20178865487276e-06,-3.02853097649395e-07,3.40306636341359e-07,-1.4643805513028e-06,-2.7920634287915e-16,-2.80153937165007e-09,-5.01274882475559e-10,-5.51771762926517e-08,-1.40422815230511e-15,3.2673619148506e-15,-8.14773306474065e-09,3.5797484296416e-16,1.3776979369001e-06,7.50918937902126e-18,3.58126580659415e-06,-1.0014647930688e-06,0.0318735740917829,1.81333958380453e-05,-3.6249721342879e-06,-1.85311360669332e-05,-0.000863758211278384,-4.96090578004695e-07,2.95466145082925e-15,5.78489868092595e-06,8.96933882533423e-16,1.49997342384884e-06,3.86080106668138e-09,3.04991908938275e-08,-3.90405183376614e-09,-1.36939396445928e-07,-4.29484582722082e-15,2.10369889763306e-08,-5.56597589970177e-10,1.14763293203372e-07,-2.37338214193309e-05,-6.03000683272603e-16,-2.34452192207098e-07,3.69860158921582e-08,-1.67602238425934e-08,-1.6203400158681e-09,1.60890223645761e-07,-3.68590037999837e-08,-2.50972800494441e-08,3.65423538492753e-15,1.58592581739586e-07,4.98124911559267e-07,-4.58671681103306e-15,-4.75129008725765e-07,4.33837549226982e-07,1.25852184284766e-14,-1.20211725658538e-09,-7.2635478478569e-10,5.67063709162448e-15,-7.66157703471391e-15,-3.83122856726629e-09,1.07633287985389e-07,-3.04063832210346e-14,0.819660361255048,-1.05646641975791e-06,-1.08395189580095e-14,5.07042171078482e-15,-2.01006062766484e-15,-7.39530205287e-09,-2.75266257662867e-14,9.64585676653945e-16,-1.05095765324906e-14,5.7579135089707e-15,-1.72495030078572e-15,1.46375867417788e-15,-6.85548137506808e-15,-2.8962186134636e-07,6.63214181025508e-09,3.75498587491383e-09,-3.64333677647008e-15,2.16669853458768e-15,-8.44800365322036e-15,3.93684197248433e-15,-2.69489773270642e-15,1.55936132319473e-13
"t7",-0.115618633280664,-0.201634698308582,-0.0342494691561563,0.00394143803822976,4.35827318323418e-05,-0.00100134394814634,-8.92723735651243e-05,0.000172567064512813,0.0569059510647104,0.00390500066638842,-0.00189157671213044,0.00014571650806313,-0.00587141411201363,0.00116615282559912,0.000304110456883731,-0.378440577293508,-0.00761787599392774,0.000178644660453514,0.00623965275769708,-0.000240862048524137,0.00369050356666331,0.000248504754910504,0.0144845351050819,-0.00574344268908807,-0.000452168098359857,0.0228642790383548,-0.0675744683303656,0.186817997382543,-0.821328157106617,-0.106651678395467,0.000675856218273338,-0.0200903366777091,-0.000450358224078699,0.000268373040080369,-0.206936419019515,-0.000178273024505568,-1.59430779267109e-05,0.00015919823663984,-0.142367877176883,-1.87554802825477e-05,-8.57289740545756e-06,-3.33973276712112e-05,9.6765969741467e-06,3.74726646397864e-07,-4.01974418276746e-07,1.57941541730606e-06,-9.33029056275262e-16,-4.33054564433146e-09,-1.54041224582174e-08,-1.98773755945739e-06,-4.66028480307695e-15,3.53150489030414e-15,-7.28491309637033e-07,3.02143634471081e-16,6.10848928493192e-06,7.72974183613913e-16,1.1291102189384e-05,-2.27309018145593e-06,0.015651008153298,-1.4980114660824e-06,6.80523152279877e-06,8.97737642841304e-05,0.0062181975410177,1.23615611143791e-06,-4.18723730641181e-18,-4.10155112143871e-05,-1.51033789346929e-16,-3.04665922239885e-05,-8.76909241039172e-08,-7.24185289397643e-07,9.75403831054006e-08,3.61638719673968e-06,-3.15940889511097e-16,-7.04659718416096e-07,2.14541120897105e-08,-4.49450455257239e-06,0.00119925225531746,5.16077345715362e-16,1.08583761899988e-05,-1.93910264876304e-06,1.17243675440771e-06,1.74330350432209e-07,-2.26015499547764e-05,6.19547847521584e-06,4.39408909492416e-06,4.51869740220808e-17,6.55716192838202e-05,0.000178314841963634,-6.00501798675596e-17,-6.98564146888432e-05,6.04920794059957e-05,-3.18122276682347e-16,-1.13097167240342e-07,-4.38583587155627e-08,4.96560546090564e-16,-5.66952997864452e-16,-4.76616724158965e-07,-1.60439438734997e-06,2.15493957681797e-16,-4.35428015920788e-05,-1.37639654522153e-05,1.19691849793645e-15,-2.22062614388995e-16,4.05404361743944e-16,-9.98035325126228e-08,1.03808231888728e-15,4.593042279697e-18,6.5538818475573e-16,-5.78601483555548e-16,-3.06681112016841e-16,1.63708511905555e-16,8.87172666493771e-16,-3.61891911990523e-06,8.07937943038428e-08,4.54684658585568e-08,1.06231330351463e-15,4.64880537750938e-16,-2.13008636212564e-15,1.32734247277318e-15,-4.86004571299183e-16,1.55544486121637e-13
"t21",-0.116853140333982,-0.204428237456648,-0.0351112654774297,0.00406409920751904,4.63777479160846e-05,-0.0010704019924465,-9.82719580950698e-05,0.000192097952124429,0.0658925670924716,0.00454054596700374,-0.00221325908719567,0.000178918944296296,-0.00748930881069738,0.00153072840931459,0.000404151277969147,-0.541439354267337,-0.0120375210261052,0.000296615314063404,0.0131560683501166,-0.000542708991682383,0.0186549531519912,-0.00873952557732536,-0.0777923824946639,0.027265140072605,0.00141657240493266,-0.0632472395648018,0.0586829120454413,-0.12986959526381,0.316312127252953,0.00610518305715987,-2.20576374268304e-05,-0.0025918754611661,-5.84984360434144e-05,5.95235164324133e-05,-0.0494342944091143,-4.69958171226938e-05,-5.0369366001892e-06,5.14374151362809e-05,-0.055189958567739,-7.36695184030421e-06,-3.46493526375554e-06,-1.35103995670621e-05,4.07486816962094e-06,1.62816080042272e-07,-1.75780825819249e-07,6.96569888407211e-07,2.26661452635052e-15,-2.01539409266189e-09,-7.51297307798736e-09,-9.71403051380331e-07,-0.707106781186548,1.24231610083634e-14,-3.77950153367852e-07,8.45853828217685e-16,3.32751788055399e-06,1.05385896824354e-15,6.17592164258926e-06,-1.24716520095593e-06,0.00864655028533586,-8.2958216435393e-07,3.79882347721652e-06,5.0801769416504e-05,0.00353469227455497,7.02889698094285e-07,-1.71507920349353e-15,-2.34520291610857e-05,5.79982983257422e-16,-1.80216260572344e-05,-5.20368139176132e-08,-4.3026232091445e-07,5.80304858908172e-08,2.15460026717853e-06,-1.5189140987964e-16,-4.22168915003225e-07,1.28901925449158e-08,-2.70123511530699e-06,0.000721749027799276,4.89523433852673e-16,6.54583593775799e-06,-1.17126831223909e-06,7.10930940248327e-07,1.0615813728261e-07,-1.37894921756789e-05,3.78388820617003e-06,2.6842636248098e-06,-4.9566440605382e-16,4.03652247404349e-05,0.00010980993483851,1.68525706840277e-16,-4.31984478046816e-05,3.74226851854126e-05,-7.17853195132652e-16,-7.02438505194176e-08,-2.74974153608056e-08,2.5154977156884e-16,6.7538858922096e-17,-3.01791140933519e-07,-1.02045750428364e-06,2.94634823767259e-16,-2.77434166429928e-05,-8.84847970236113e-06,4.29061472335907e-16,-3.88249078204671e-16,1.56247736852422e-16,-6.44842012910141e-08,2.72463388483165e-15,-1.10102813278252e-16,1.45933621350908e-17,-6.19561292442315e-16,-1.59384174799315e-17,-1.63363007139859e-16,8.04510685517236e-16,-2.36687365479408e-06,5.2985239916699e-08,2.98374835277588e-08,1.46550008999386e-15,4.87144512419928e-16,-1.61121636651887e-15,6.94035150058051e-16,-9.60629933381645e-16,1.54980662800507e-13
