,0,1,2,3,4,5,6,7,8,9,10,11
t1,21.083546,-4.8250294,-0.85681725,-2.2005172,-1.53449,-1.5891331,27.707361,-3.8408456,-2.5081816,8.844304,-6.8150873,7.8391824
t6,27.057724,-5.362941,-0.8758591,-2.413129,-2.1151915,-3.237994,40.351852,-4.1051097,-3.2783172,7.0994077,-8.2479315,23.003195
t10,27.442652,-5.507371,-0.7934976,-2.471876,-2.2264411,-3.4223523,41.610474,-4.2265177,-3.3935869,7.220038,-8.319985,24.764395
t24,30.318054,-6.167478,-0.9004626,-2.8477542,-2.5275295,-3.7467039,45.919243,-4.7927,-3.7356858,8.507133,-9.300396,26.627901
t25,30.491262,-6.0725927,-0.9097523,-2.7909477,-2.4752614,-3.8022175,45.77649,-4.7514234,-3.7380497,8.523871,-9.248325,26.724016
t85,30.650322,-6.0096645,-0.8968151,-2.8111315,-2.4870398,-3.8540497,45.652756,-4.723101,-3.6772575,8.4292555,-9.204616,27.343094
t86,30.686184,-6.0150237,-0.896935,-2.813872,-2.4843383,-3.8591313,45.730022,-4.7221932,-3.691058,8.455966,-9.209743,27.394876
t84,30.637627,-6.026815,-0.8926264,-2.8272114,-2.498145,-3.8364549,45.69926,-4.713655,-3.674568,8.421811,-9.219039,27.36809
t7,30.243666,-6.2468486,-1.1360474,-2.7049434,-2.3164716,-3.41771,45.674534,-4.659645,-3.8541286,7.993296,-9.367401,23.710184
t21,30.301592,-6.222293,-1.1177826,-2.7970479,-2.3936021,-3.4033418,45.49603,-4.558067,-3.7402322,7.813145,-9.440233,24.047731
t22,30.144344,-6.2415056,-1.1188287,-2.785897,-2.390395,-3.3883245,45.583313,-4.5783195,-3.7022858,7.6206274,-9.419742,24.359472
t46,30.412697,-6.074161,-0.9111187,-2.6616342,-2.348474,-3.7070758,45.716686,-4.7828264,-3.942597,8.478656,-9.091929,25.215158
t91,30.478937,-6.0735116,-0.9057417,-2.6605802,-2.3622792,-3.7031305,45.700134,-4.7959986,-3.9238262,8.4316225,-9.102755,25.231157
t92,30.49577,-6.054843,-0.90659124,-2.6596632,-2.3484411,-3.7104337,45.64082,-4.7926946,-3.9268486,8.4763975,-9.08786,25.192263
t62,30.565744,-6.0673037,-0.92431754,-2.6608284,-2.3300083,-3.6985326,45.75924,-4.7644734,-3.9103277,8.342343,-9.127162,25.320204
t2,16.414886,-6.8636947,-0.6310545,-3.2742918,-2.080315,-0.38523763,29.111773,-4.8900547,-3.2562256,12.309394,-7.5428977,-0.27449238
t8,9.727848,-8.192899,-0.15540336,-4.197368,-3.1323953,5.084922,27.382738,-5.3502116,-3.347693,11.259509,-7.415808,-0.885855
t40,12.531639,-9.375048,-0.21108408,-4.813326,-3.6838148,4.2480474,33.051567,-6.248158,-4.010796,13.164022,-8.67977,-0.7741231
t78,12.484285,-9.474641,-0.21113208,-4.901585,-3.6865258,4.28688,33.35312,-6.3202243,-4.0538535,13.388061,-8.744316,-0.8195858
t79,12.484236,-9.46861,-0.20743798,-4.9008155,-3.6826215,4.3407063,33.330795,-6.299442,-4.0413175,13.324607,-8.753028,-0.8197751
t106,12.631394,-9.490242,-0.1645228,-4.8857183,-3.726687,4.472873,32.89994,-6.3160768,-4.0144253,13.274757,-8.716548,-0.74655807
t107,12.623628,-9.505965,-0.16032927,-4.894653,-3.7363694,4.5017343,32.937775,-6.319964,-4.019956,13.295869,-8.720961,-0.7431379
t71,12.665536,-9.492404,-0.17733876,-4.883144,-3.7416382,4.5749965,32.922756,-6.31383,-4.0040298,13.182989,-8.736213,-0.7490613
t37,12.648778,-9.377427,-0.1979781,-4.827511,-3.6554897,4.262687,33.122257,-6.237535,-3.9818578,13.095784,-8.694615,-0.7179076
t38,12.693808,-9.481515,-0.20976888,-4.8794994,-3.7158716,4.40778,33.05284,-6.2843733,-3.9788296,13.366488,-8.777067,-0.769129
t31,12.295751,-9.633147,-0.19328463,-4.8327556,-3.663981,5.275863,32.557873,-6.369654,-4.029983,13.340994,-8.680846,-0.7482642
t108,11.80161,-9.758711,-0.14977042,-4.8711696,-3.774485,5.4130883,32.829872,-6.4915476,-4.0744205,13.344361,-8.709877,-0.76024175
t109,11.727436,-9.732728,-0.14951062,-4.8598566,-3.7518795,5.4220443,32.70538,-6.4732513,-4.05899,13.329862,-8.675697,-0.76056284
t93,11.783104,-9.749442,-0.15102406,-4.859724,-3.7726936,5.4146714,32.784126,-6.4864078,-4.0720344,13.340263,-8.697421,-0.7625589
t59,11.92935,-9.705951,-0.15264845,-4.848399,-3.7221735,5.1528935,32.88383,-6.483612,-4.0811844,13.443879,-8.674381,-0.71822685
t39,11.981055,-9.745836,-0.16891633,-4.9168663,-3.683994,5.3067527,33.21089,-6.4622636,-4.080259,13.513769,-8.761218,-0.7508515
t36,11.9621315,-9.589293,-0.15283056,-4.816838,-3.6713417,5.2548213,32.365673,-6.3409934,-4.0244765,13.237653,-8.567934,-0.7200798
t17,12.5564,-9.636659,-0.22801594,-4.9369483,-3.7151604,5.3264794,33.525196,-6.180966,-4.0017467,13.060832,-8.858726,-0.7971333
t55,12.310468,-9.729377,-0.21395364,-4.9689693,-3.696287,5.507399,33.46393,-6.278524,-4.030287,13.164346,-8.815622,-0.76980996
t76,12.377818,-9.739268,-0.21897636,-4.974578,-3.72599,5.590738,33.406563,-6.2859435,-4.034555,13.175951,-8.843311,-0.8033573
t77,12.359955,-9.7481985,-0.2128572,-4.9877715,-3.7230089,5.581616,33.418076,-6.2926087,-4.036066,13.116815,-8.8284855,-0.7713389
t121,12.434228,-9.6492605,-0.15895167,-4.9781203,-3.757265,5.314588,33.42659,-6.281547,-4.0424986,13.128039,-8.812242,-0.7944124
t122,12.434176,-9.649288,-0.1589351,-4.9781036,-3.757286,5.3146644,33.42669,-6.2815723,-4.042507,13.127927,-8.812236,-0.7943817
t13,12.908936,-9.515042,-0.2340912,-4.8846707,-3.619439,4.6698422,33.051823,-6.2097826,-3.9759717,13.405572,-8.752914,-0.67717427
t111,11.846858,-9.418003,-0.14475249,-4.657732,-3.8377836,4.8935866,32.84656,-6.057295,-3.768462,12.29277,-8.766929,-0.84342396
t112,11.8420515,-9.417716,-0.14489236,-4.657348,-3.8414693,4.91013,32.84305,-6.0540266,-3.769441,12.270677,-8.76589,-0.8410907
t110,11.853697,-9.419692,-0.14320104,-4.6588902,-3.8508904,4.9100823,32.822323,-6.058641,-3.7675443,12.267788,-8.769422,-0.84357655
t32,11.617062,-9.254297,-0.1323372,-4.6144576,-3.7674515,5.1267514,31.933039,-5.971191,-3.715744,12.11693,-8.556811,-0.81508887
t20,12.252273,-9.488246,-0.1686892,-4.784039,-3.8894227,5.1745095,32.754906,-6.103578,-3.847361,12.374981,-8.795649,-0.82624257
