"accepted_species","trait_BM_trend_scaled"
"t1",0
"t5",0
"t6",0
"t39",0
"t73",0
"t74",0
"t48",0
"t52",0
"t53",0
"t49",0
"t111",0
"t112",0
"t25",1
"t28",1
"t29",1
"t67",1
"t68",1
"t19",1
"t91",1
"t92",1
"t43",1
"t44",1
"t13",0
"t100",0
"t101",0
"t127",1
"t128",1
"t54",1
"t77",1
"t83",1
"t84",1
"t65",1
"t9",1
"t12",1
"t31",1
"t34",1
"t115",1
"t116",1
"t60",1
"t121",1
"t122",1
"t108",1
"t109",1
"t110",1
"t129",1
"t130",1
"t97",1
"t14",1
"t15",0
"t85",1
"t86",1
"t90",1
"t106",0
"t107",1
"t82",0
"t87",1
"t88",1
"t7",1
"t3",0
"t46",1
"t47",1
"t22",1
"t113",0
"t114",0
"t56",0
"t50",1
"t51",1
"t24",0
"t11",0
"t23",0
"t30",0
"t81",0
"t104",0
"t105",0
"t4",0
"t16",0
"t17",1
"t18",1
"t98",1
"t99",1
"t89",1
"t93",1
"t94",1
"t76",1
"t72",1
"t125",1
"t126",1
"t75",1
"t66",1
"t21",1
"t58",1
"t59",1
"t79",1
"t80",1
"t33",0
"t69",1
"t78",1
"t123",1
"t124",1
"t102",1
"t103",1
"t26",0
"t27",0
"t55",0
"t95",1
"t96",0
"t42",1
"t32",1
"t63",1
"t117",0
"t118",0
"t45",0
"t61",1
"t62",1
"t70",1
"t71",1
"t8",0
"t35",0
"t36",0
"t57",0
"t119",0
"t120",0
"t64",0
"t2",0
"t37",0
"t38",0
"t40",0
"t41",0
"t20",0
"t10",0
