"","t1","t31","t113","t114","t3","t39","t71","t72","t93","t94","t58","t37","t38","t105","t106","t10","t55","t100","t101","t99","t8","t109","t129","t130","t88","t89","t60","t61","t23","t19","t90","t97","t98","t125","t126","t26","t36","t123","t124","t112","t43","t44","t45","t6","t30","t102","t131","t132","t46","t47","t68","t95","t96","t18","t16","t17","t28","t79","t119","t120","t111","t73","t74","t4","t66","t67","t78","t121","t122","t24","t25","t21","t13","t27","t82","t83","t11","t12","t9","t65","t81","t91","t92","t49","t59","t110","t115","t116","t84","t85","t77","t35","t50","t56","t75","t76","t69","t57","t103","t104","t29","t41","t42","t14","t7","t64","t80","t117","t118","t70","t127","t128","t20","t15","t5","t40","t51","t52","t33","t34","t32","t48","t107","t108","t86","t87","t22","t62","t63","t53","t54","t2"
"t1",0,7.078888568,7.8235739997,7.8235739997,4.8865684174,7.18900269129,7.82357399929,7.82357399929,7.82357399934,7.82357399934,7.82357399934,7.82357399951,7.82357399931,7.82357399921,7.82357399921,6.18386921182,7.06372547912,7.77350546662,7.82357399932,7.82357399932,5.3805839223,7.82357399911,7.82357399907,7.82357399907,7.82357399901,7.82357399901,7.82357399906,7.82357399906,7.82357399936,6.40548733921,7.82357399951,7.82357399954,7.82357399954,7.82357399957,7.82357399957,7.82357400021,7.82357399971,7.82357399989,7.82357399989,7.82357399993,7.82357400033,7.00075815292,7.82357400022,7.82357399921,6.61996648036,7.82357399926,7.82357399929,7.82357399929,7.82357399946,7.82357399946,7.82357399916,7.82357399926,7.82357399926,7.82357399946,6.02974520952,7.82357399944,7.82357399959,7.82357399939,7.82357399949,7.82357399949,7.82357399949,7.82357399949,7.40262832129,5.15420573828,7.823573998942,7.823573998942,7.823573999042,7.823573999042,7.823573999042,7.823573999332,6.553783412132,7.823573999522,5.590512885722,7.068595319642,7.823573999342,7.823573999342,7.538990119002,5.539397759402,6.21057762042,7.82357399926,7.82357399936,7.82357399936,7.82357399936,7.82357399926,7.82357399927,7.82357399927,7.82357399917,7.82357399917,7.82357399923,7.82357399923,7.82357399932,6.87278310842,7.82357399941,7.82357399942,7.82357399935,7.82357399935,7.82357399932,7.82357399942,7.82357399942,7.82357399942,7.09309426502,7.82357399892,7.82357399892,5.67582282178,5.46245873284,7.82357399944,7.38075884045,7.82357399945,7.82357399945,7.27854994022,7.82357399942,7.82357399942,6.21904225022,7.82357399924,7.8235739997,7.8235739999,7.8235739995,7.8235739995,7.29027365743,7.75006096683,7.82357399905,7.8235739994,7.8235739993,7.8235739993,7.8235739994,7.8235739994,6.4846554886,7.8235739994,7.8235739994,7.8235739998,7.7027817788,4.0469564165
"t31",7.078888568,0,2.0582780277,2.0582780277,4.2154714114,6.51790568529,7.15247699329,7.15247699329,7.15247699334,7.15247699334,7.15247699334,7.15247699351,7.15247699331,7.15247699321,7.15247699321,5.51277220582,6.39262847312,7.10240846062,7.15247699332,7.15247699332,4.7094869163,7.15247699311,7.15247699307,7.15247699307,7.15247699301,7.15247699301,7.15247699306,7.15247699306,7.15247699336,5.73439033321,7.15247699351,7.15247699354,7.15247699354,7.15247699357,7.15247699357,7.15247699421,7.15247699371,7.15247699389,7.15247699389,7.15247699393,7.15247699433,6.32966114692,7.15247699422,7.15247699321,5.94886947436,7.15247699326,7.15247699329,7.15247699329,7.15247699346,7.15247699346,7.15247699316,7.15247699326,7.15247699326,7.15247699346,5.35864820352,7.15247699344,7.15247699359,7.15247699339,7.15247699349,7.15247699349,7.15247699349,7.15247699349,6.73153131529,4.48310873228,9.232197850942,9.232197850942,9.232197851042,9.232197851042,9.232197851042,9.232197851332,7.962407264132,9.232197851522,6.999136737722,8.477219171642,9.232197851342,9.232197851342,8.947613971002,6.948021611402,7.61920147242,9.23219785126,9.23219785136,9.23219785136,9.23219785136,9.23219785126,9.23219785127,9.23219785127,9.23219785117,9.23219785117,9.23219785123,9.23219785123,9.23219785132,8.28140696042,9.23219785141,9.23219785142,9.23219785135,9.23219785135,9.23219785132,9.23219785142,9.23219785142,9.23219785142,8.50171811702,9.23219785092,9.23219785092,7.08444667378,6.87108258484,9.23219785144,8.78938269245,9.23219785145,9.23219785145,8.68717379222,9.23219785142,9.23219785142,7.62766610222,9.23219785124,9.2321978517,9.2321978519,9.2321978515,9.2321978515,8.69889750943,9.15868481883,9.23219785105,9.2321978514,9.2321978513,9.2321978513,9.2321978514,9.2321978514,7.8932793406,9.2321978514,9.2321978514,9.2321978518,9.1114056308,5.7575453795
"t113",7.8235739997,2.0582780277,0,0.3504357694,4.9601568431,7.26259111699,7.89716242499,7.89716242499,7.89716242504,7.89716242504,7.89716242504,7.89716242521,7.89716242501,7.89716242491,7.89716242491,6.25745763752,7.13731390482,7.84709389232,7.89716242502,7.89716242502,5.454172348,7.89716242481,7.89716242477,7.89716242477,7.89716242471,7.89716242471,7.89716242476,7.89716242476,7.89716242506,6.47907576491,7.89716242521,7.89716242524,7.89716242524,7.89716242527,7.89716242527,7.89716242591,7.89716242541,7.89716242559,7.89716242559,7.89716242563,7.89716242603,7.07434657862,7.89716242592,7.89716242491,6.69355490606,7.89716242496,7.89716242499,7.89716242499,7.89716242516,7.89716242516,7.89716242486,7.89716242496,7.89716242496,7.89716242516,6.10333363522,7.89716242514,7.89716242529,7.89716242509,7.89716242519,7.89716242519,7.89716242519,7.89716242519,7.47621674699,5.22779416398,9.976883282642,9.976883282642,9.976883282742,9.976883282742,9.976883282742,9.976883283032,8.707092695832,9.976883283222,7.743822169422,9.221904603342,9.976883283042,9.976883283042,9.692299402702,7.692707043102,8.36388690412,9.97688328296,9.97688328306,9.97688328306,9.97688328306,9.97688328296,9.97688328297,9.97688328297,9.97688328287,9.97688328287,9.97688328293,9.97688328293,9.97688328302,9.02609239212,9.97688328311,9.97688328312,9.97688328305,9.97688328305,9.97688328302,9.97688328312,9.97688328312,9.97688328312,9.24640354872,9.97688328262,9.97688328262,7.82913210548,7.61576801654,9.97688328314,9.53406812415,9.97688328315,9.97688328315,9.43185922392,9.97688328312,9.97688328312,8.37235153392,9.97688328294,9.9768832834,9.9768832836,9.9768832832,9.9768832832,9.44358294113,9.90337025053,9.97688328275,9.9768832831,9.976883283,9.976883283,9.9768832831,9.9768832831,8.6379647723,9.9768832831,9.9768832831,9.9768832835,9.8560910625,6.5022308112
"t114",7.8235739997,2.0582780277,0.3504357694,0,4.9601568431,7.26259111699,7.89716242499,7.89716242499,7.89716242504,7.89716242504,7.89716242504,7.89716242521,7.89716242501,7.89716242491,7.89716242491,6.25745763752,7.13731390482,7.84709389232,7.89716242502,7.89716242502,5.454172348,7.89716242481,7.89716242477,7.89716242477,7.89716242471,7.89716242471,7.89716242476,7.89716242476,7.89716242506,6.47907576491,7.89716242521,7.89716242524,7.89716242524,7.89716242527,7.89716242527,7.89716242591,7.89716242541,7.89716242559,7.89716242559,7.89716242563,7.89716242603,7.07434657862,7.89716242592,7.89716242491,6.69355490606,7.89716242496,7.89716242499,7.89716242499,7.89716242516,7.89716242516,7.89716242486,7.89716242496,7.89716242496,7.89716242516,6.10333363522,7.89716242514,7.89716242529,7.89716242509,7.89716242519,7.89716242519,7.89716242519,7.89716242519,7.47621674699,5.22779416398,9.976883282642,9.976883282642,9.976883282742,9.976883282742,9.976883282742,9.976883283032,8.707092695832,9.976883283222,7.743822169422,9.221904603342,9.976883283042,9.976883283042,9.692299402702,7.692707043102,8.36388690412,9.97688328296,9.97688328306,9.97688328306,9.97688328306,9.97688328296,9.97688328297,9.97688328297,9.97688328287,9.97688328287,9.97688328293,9.97688328293,9.97688328302,9.02609239212,9.97688328311,9.97688328312,9.97688328305,9.97688328305,9.97688328302,9.97688328312,9.97688328312,9.97688328312,9.24640354872,9.97688328262,9.97688328262,7.82913210548,7.61576801654,9.97688328314,9.53406812415,9.97688328315,9.97688328315,9.43185922392,9.97688328312,9.97688328312,8.37235153392,9.97688328294,9.9768832834,9.9768832836,9.9768832832,9.9768832832,9.44358294113,9.90337025053,9.97688328275,9.9768832831,9.976883283,9.976883283,9.9768832831,9.9768832831,8.6379647723,9.9768832831,9.9768832831,9.9768832835,9.8560910625,6.5022308112
"t3",4.8865684174,4.2154714114,4.9601568431,4.9601568431,0,3.79477330269,4.42934461069,4.42934461069,4.42934461074,4.42934461074,4.42934461074,4.42934461091,4.42934461071,4.42934461061,4.42934461061,2.78963982322,3.66949609052,4.37927607802,4.42934461072,4.42934461072,1.9863545337,4.42934461051,4.42934461047,4.42934461047,4.42934461041,4.42934461041,4.42934461046,4.42934461046,4.42934461076,3.01125795061,4.42934461091,4.42934461094,4.42934461094,4.42934461097,4.42934461097,4.42934461161,4.42934461111,4.42934461129,4.42934461129,4.42934461133,4.42934461173,3.60652876432,4.42934461162,4.42934461061,3.22573709176,4.42934461066,4.42934461069,4.42934461069,4.42934461086,4.42934461086,4.42934461056,4.42934461066,4.42934461066,4.42934461086,2.63551582092,4.42934461084,4.42934461099,4.42934461079,4.42934461089,4.42934461089,4.42934461089,4.42934461089,4.00839893269,1.75997634968,7.039877700342,7.039877700342,7.039877700442,7.039877700442,7.039877700442,7.039877700732,5.770087113532,7.039877700922,4.806816587122,6.284899021042,7.039877700742,7.039877700742,6.755293820402,4.755701460802,5.42688132182,7.03987770066,7.03987770076,7.03987770076,7.03987770076,7.03987770066,7.03987770067,7.03987770067,7.03987770057,7.03987770057,7.03987770063,7.03987770063,7.03987770072,6.08908680982,7.03987770081,7.03987770082,7.03987770075,7.03987770075,7.03987770072,7.03987770082,7.03987770082,7.03987770082,6.30939796642,7.03987770032,7.03987770032,4.89212652318,4.67876243424,7.03987770084,6.59706254185,7.03987770085,7.03987770085,6.49485364162,7.03987770082,7.03987770082,5.43534595162,7.03987770064,7.0398777011,7.0398777013,7.0398777009,7.0398777009,6.50657735883,6.96636466823,7.03987770045,7.0398777008,7.0398777007,7.0398777007,7.0398777008,7.0398777008,5.70095919,7.0398777008,7.0398777008,7.0398777012,6.9190854802,3.5652252289
"t39",7.18900269129,6.51790568529,7.26259111699,7.26259111699,3.79477330269,0,1.7200924988,1.7200924988,1.75112272835,1.75112272835,1.75112272835,1.82758564978,2.25038095858,2.25038095848,2.25038095848,2.70077432109,3.58063058839,4.29041057589,4.34047910859,4.34047910859,1.89748903157,5.19874653618,5.19874653614,5.19874653614,5.19874653608,5.19874653608,5.19874653613,5.19874653613,5.19874653643,4.31323909268,5.73132575298,5.73132575301,5.73132575301,5.73132575304,5.73132575304,5.73132575368,5.73132575318,5.73132575336,5.73132575336,5.7313257534,5.7313257538,4.90850990639,5.73132575369,6.63035792908,5.42675041023,6.63035792913,6.63035792916,6.63035792916,6.63035792933,6.63035792933,6.63035792903,6.63035792913,6.63035792913,6.63035792933,4.83652913939,6.63035792931,6.63035792946,6.63035792926,6.63035792936,6.63035792936,6.63035792936,6.63035792936,6.20941225116,3.96098966815,9.342311974232,9.342311974232,9.342311974332,9.342311974332,9.342311974332,9.342311974622,8.072521387422,9.342311974812,7.109250861012,8.587333294932,9.342311974632,9.342311974632,9.057728094292,7.058135734692,7.72931559571,9.34231197455,9.34231197465,9.34231197465,9.34231197465,9.34231197455,9.34231197456,9.34231197456,9.34231197446,9.34231197446,9.34231197452,9.34231197452,9.34231197461,8.39152108371,9.3423119747,9.34231197471,9.34231197464,9.34231197464,9.34231197461,9.34231197471,9.34231197471,9.34231197471,8.61183224031,9.34231197421,9.34231197421,7.19456079707,6.98119670813,9.34231197473,8.89949681574,9.34231197474,9.34231197474,8.79728791551,9.34231197471,9.34231197471,7.73778022551,9.34231197453,9.34231197499,9.34231197519,9.34231197479,9.34231197479,8.80901163272,9.26879894212,9.34231197434,9.34231197469,9.34231197459,9.34231197459,9.34231197469,9.34231197469,8.00339346389,9.34231197469,9.34231197469,9.34231197509,9.22151975409,5.86765950279
"t71",7.82357399929,7.15247699329,7.89716242499,7.89716242499,4.42934461069,1.7200924988,0,1.2145650958,2.38569403635,2.38569403635,2.38569403635,2.46215695778,2.88495226658,2.88495226648,2.88495226648,3.33534562909,4.21520189639,4.92498188389,4.97505041659,4.97505041659,2.53206033957,5.83331784418,5.83331784414,5.83331784414,5.83331784408,5.83331784408,5.83331784413,5.83331784413,5.83331784443,4.94781040068,6.36589706098,6.36589706101,6.36589706101,6.36589706104,6.36589706104,6.36589706168,6.36589706118,6.36589706136,6.36589706136,6.3658970614,6.3658970618,5.54308121439,6.36589706169,7.26492923708,6.06132171823,7.26492923713,7.26492923716,7.26492923716,7.26492923733,7.26492923733,7.26492923703,7.26492923713,7.26492923713,7.26492923733,5.47110044739,7.26492923731,7.26492923746,7.26492923726,7.26492923736,7.26492923736,7.26492923736,7.26492923736,6.84398355916,4.59556097615,9.976883282232,9.976883282232,9.976883282332,9.976883282332,9.976883282332,9.976883282622,8.707092695422,9.976883282812,7.743822169012,9.221904602932,9.976883282632,9.976883282632,9.692299402292,7.692707042692,8.36388690371,9.97688328255,9.97688328265,9.97688328265,9.97688328265,9.97688328255,9.97688328256,9.97688328256,9.97688328246,9.97688328246,9.97688328252,9.97688328252,9.97688328261,9.02609239171,9.9768832827,9.97688328271,9.97688328264,9.97688328264,9.97688328261,9.97688328271,9.97688328271,9.97688328271,9.24640354831,9.97688328221,9.97688328221,7.82913210507,7.61576801613,9.97688328273,9.53406812374,9.97688328274,9.97688328274,9.43185922351,9.97688328271,9.97688328271,8.37235153351,9.97688328253,9.97688328299,9.97688328319,9.97688328279,9.97688328279,9.44358294072,9.90337025012,9.97688328234,9.97688328269,9.97688328259,9.97688328259,9.97688328269,9.97688328269,8.63796477189,9.97688328269,9.97688328269,9.97688328309,9.85609106209,6.50223081079
"t72",7.82357399929,7.15247699329,7.89716242499,7.89716242499,4.42934461069,1.7200924988,1.2145650958,0,2.38569403635,2.38569403635,2.38569403635,2.46215695778,2.88495226658,2.88495226648,2.88495226648,3.33534562909,4.21520189639,4.92498188389,4.97505041659,4.97505041659,2.53206033957,5.83331784418,5.83331784414,5.83331784414,5.83331784408,5.83331784408,5.83331784413,5.83331784413,5.83331784443,4.94781040068,6.36589706098,6.36589706101,6.36589706101,6.36589706104,6.36589706104,6.36589706168,6.36589706118,6.36589706136,6.36589706136,6.3658970614,6.3658970618,5.54308121439,6.36589706169,7.26492923708,6.06132171823,7.26492923713,7.26492923716,7.26492923716,7.26492923733,7.26492923733,7.26492923703,7.26492923713,7.26492923713,7.26492923733,5.47110044739,7.26492923731,7.26492923746,7.26492923726,7.26492923736,7.26492923736,7.26492923736,7.26492923736,6.84398355916,4.59556097615,9.976883282232,9.976883282232,9.976883282332,9.976883282332,9.976883282332,9.976883282622,8.707092695422,9.976883282812,7.743822169012,9.221904602932,9.976883282632,9.976883282632,9.692299402292,7.692707042692,8.36388690371,9.97688328255,9.97688328265,9.97688328265,9.97688328265,9.97688328255,9.97688328256,9.97688328256,9.97688328246,9.97688328246,9.97688328252,9.97688328252,9.97688328261,9.02609239171,9.9768832827,9.97688328271,9.97688328264,9.97688328264,9.97688328261,9.97688328271,9.97688328271,9.97688328271,9.24640354831,9.97688328221,9.97688328221,7.82913210507,7.61576801613,9.97688328273,9.53406812374,9.97688328274,9.97688328274,9.43185922351,9.97688328271,9.97688328271,8.37235153351,9.97688328253,9.97688328299,9.97688328319,9.97688328279,9.97688328279,9.44358294072,9.90337025012,9.97688328234,9.97688328269,9.97688328259,9.97688328259,9.97688328269,9.97688328269,8.63796477189,9.97688328269,9.97688328269,9.97688328309,9.85609106209,6.50223081079
"t93",7.82357399934,7.15247699334,7.89716242504,7.89716242504,4.42934461074,1.75112272835,2.38569403635,2.38569403635,0,0.8476488646,1.5325278084,2.46215695783,2.88495226663,2.88495226653,2.88495226653,3.33534562914,4.21520189644,4.92498188394,4.97505041664,4.97505041664,2.53206033962,5.83331784423,5.83331784419,5.83331784419,5.83331784413,5.83331784413,5.83331784418,5.83331784418,5.83331784448,4.94781040073,6.36589706103,6.36589706106,6.36589706106,6.36589706109,6.36589706109,6.36589706173,6.36589706123,6.36589706141,6.36589706141,6.36589706145,6.36589706185,5.54308121444,6.36589706174,7.26492923713,6.06132171828,7.26492923718,7.26492923721,7.26492923721,7.26492923738,7.26492923738,7.26492923708,7.26492923718,7.26492923718,7.26492923738,5.47110044744,7.26492923736,7.26492923751,7.26492923731,7.26492923741,7.26492923741,7.26492923741,7.26492923741,6.84398355921,4.5955609762,9.976883282282,9.976883282282,9.976883282382,9.976883282382,9.976883282382,9.976883282672,8.707092695472,9.976883282862,7.743822169062,9.221904602982,9.976883282682,9.976883282682,9.692299402342,7.692707042742,8.36388690376,9.9768832826,9.9768832827,9.9768832827,9.9768832827,9.9768832826,9.97688328261,9.97688328261,9.97688328251,9.97688328251,9.97688328257,9.97688328257,9.97688328266,9.02609239176,9.97688328275,9.97688328276,9.97688328268999,9.97688328268999,9.97688328266,9.97688328276,9.97688328276,9.97688328276,9.24640354836,9.97688328226,9.97688328226,7.82913210512,7.61576801618,9.97688328278,9.53406812379,9.97688328279,9.97688328279,9.43185922356,9.97688328276,9.97688328276,8.37235153356,9.97688328258,9.97688328304,9.97688328324,9.97688328284,9.97688328284,9.44358294077,9.90337025017,9.97688328239,9.97688328274,9.97688328264,9.97688328264,9.97688328274,9.97688328274,8.63796477194,9.97688328274,9.97688328274,9.97688328314,9.85609106214,6.50223081084
"t94",7.82357399934,7.15247699334,7.89716242504,7.89716242504,4.42934461074,1.75112272835,2.38569403635,2.38569403635,0.8476488646,0,1.5325278084,2.46215695783,2.88495226663,2.88495226653,2.88495226653,3.33534562914,4.21520189644,4.92498188394,4.97505041664,4.97505041664,2.53206033962,5.83331784423,5.83331784419,5.83331784419,5.83331784413,5.83331784413,5.83331784418,5.83331784418,5.83331784448,4.94781040073,6.36589706103,6.36589706106,6.36589706106,6.36589706109,6.36589706109,6.36589706173,6.36589706123,6.36589706141,6.36589706141,6.36589706145,6.36589706185,5.54308121444,6.36589706174,7.26492923713,6.06132171828,7.26492923718,7.26492923721,7.26492923721,7.26492923738,7.26492923738,7.26492923708,7.26492923718,7.26492923718,7.26492923738,5.47110044744,7.26492923736,7.26492923751,7.26492923731,7.26492923741,7.26492923741,7.26492923741,7.26492923741,6.84398355921,4.5955609762,9.976883282282,9.976883282282,9.976883282382,9.976883282382,9.976883282382,9.976883282672,8.707092695472,9.976883282862,7.743822169062,9.221904602982,9.976883282682,9.976883282682,9.692299402342,7.692707042742,8.36388690376,9.9768832826,9.9768832827,9.9768832827,9.9768832827,9.9768832826,9.97688328261,9.97688328261,9.97688328251,9.97688328251,9.97688328257,9.97688328257,9.97688328266,9.02609239176,9.97688328275,9.97688328276,9.97688328268999,9.97688328268999,9.97688328266,9.97688328276,9.97688328276,9.97688328276,9.24640354836,9.97688328226,9.97688328226,7.82913210512,7.61576801618,9.97688328278,9.53406812379,9.97688328279,9.97688328279,9.43185922356,9.97688328276,9.97688328276,8.37235153356,9.97688328258,9.97688328304,9.97688328324,9.97688328284,9.97688328284,9.44358294077,9.90337025017,9.97688328239,9.97688328274,9.97688328264,9.97688328264,9.97688328274,9.97688328274,8.63796477194,9.97688328274,9.97688328274,9.97688328314,9.85609106214,6.50223081084
